Y,O,Z,J,X
a,13,26.335068673673533,98,52.52902031180725
d,62,45.1610781829893,54,96.53319583049765
l,27,44.854917372109384,95,52.278510610894344
p,50,24.84940797054064,34,9.681299404075949
a,1,44.66340811571051,64,42.188520627503266
w,26,65.67597450635152,19,1.5983835648134437
q,14,8.368660038514275,95,84.2749483686814
d,91,70.7542350405527,2,49.16707986497665
h,72,48.61091572606928,69,34.439141536902326
b,79,58.040817304721806,26,88.76990870669502
b,73,94.41332429597935,81,25.747926239438158
o,66,63.583604095671994,55,42.20186850962816
t,29,51.96475919590957,81,56.358434040835945
v,31,80.22140661295238,58,77.36620285794716
g,62,12.939654298999226,53,22.662071456774125
k,3,94.76618183726544,48,78.66587169857259
y,80,15.036762298985295,91,9.121937797637692
p,58,12.743097444173468,48,32.6909887556309
t,47,74.21256984277225,88,12.59550182400534
z,58,9.60647184505692,86,67.02558276816099
r,99,9.139580459825236,56,49.742659619080584
r,22,77.79228514273822,29,33.23206473465421
v,27,48.83189613919057,91,31.421598147729448
m,14,43.53542025983648,22,31.08601728918504
y,84,41.494348003190396,70,58.57869481057332
l,95,6.235132155465206,10,96.7779265098079
d,98,61.864924147554426,83,88.55023712673902
u,24,55.554564428301475,85,39.30476069367729
f,80,21.309639576163974,95,3.7126458749887847
q,66,62.85186336855998,84,86.6098424661351
r,50,14.015983692219514,21,76.83933969496213
j,1,3.3294030273747888,3,63.98321387819491
n,25,58.29916752007927,38,88.40180521442579
e,31,78.21916865531857,32,83.99241691270461
m,39,33.98972622260451,48,82.14331633956706
x,32,71.59000184467689,63,66.02190800649959
z,99,79.09004849216157,19,94.75104264123817
i,37,86.4426249675923,77,39.134028392888574
t,82,75.65030067432784,78,48.87958624526518
c,84,65.25549067915878,43,16.817900266908904
j,82,62.08488818537553,84,15.439965489475394
o,16,88.90036720197149,79,3.040480453508876
z,51,82.89976520513272,28,13.70160334796211
d,36,23.319033415347945,45,64.02699280616704
u,76,30.788270983091792,90,95.90514530475315
g,85,82.46203379881817,2,72.09970692339387
r,25,40.748694733479915,3,50.91544972939228
p,27,36.37074913190044,77,55.73927872049082
s,95,3.726460015371491,75,59.64824646464887
q,55,42.891089760392475,59,46.85294453193553
v,89,55.002636379922606,95,25.637028405412977
y,54,57.9151584745464,19,42.05687983560329
j,15,55.85606000752548,79,71.96514163496985
w,74,22.15505953503528,59,55.32141398301603
x,24,56.96479565984092,80,37.08351389448444
r,75,84.85920025777621,27,98.29469948985246
w,71,87.63018789808638,81,48.5402158042843
f,32,54.785553372896686,37,74.7395603361917
r,76,96.05583712591293,38,99.87920211735063
a,82,38.59896013740833,59,41.874486346697296
e,61,25.566043274842475,72,84.89971465781231
w,52,73.65223309611974,4,97.7659628473916
d,34,85.90232654867445,55,93.21123977889272
d,15,80.0608295766664,94,35.877286324150084
s,64,76.44089469512815,20,74.53165235971743
a,77,32.23097768909703,67,87.37275117987853
p,9,65.6336772272026,2,57.47922087867041
q,34,83.16341418920365,48,47.08557952301145
h,4,86.13998951992589,60,8.123286213997872
q,25,50.88061196148048,56,47.35310924398243
u,34,54.33477116588289,67,13.678634431232627
a,32,96.64239326884864,70,79.29106486543273
t,64,44.8778099124879,59,25.48032384478193
f,85,3.683620180700631,60,14.676377326797319
k,44,27.54262729309015,93,65.00600356543775
j,87,62.347949599056385,39,65.07904462757503
j,72,2.8757677496845324,8,67.62339161350688
w,66,6.217096984136439,63,4.293799843452051
u,19,78.80010143972048,71,76.77540297914283
f,46,29.99678314327535,69,61.29809509639805
m,74,32.82662104322039,88,93.29544794960731
f,60,5.011740585587765,39,64.22335247215109
w,87,73.69301619172232,99,76.77989356469276
k,47,63.40257228393843,23,3.3462559998359565
d,96,43.43309182587466,98,49.95267317373512
j,50,86.90427813461642,73,95.65462726695088
o,23,62.00446050437238,69,5.90258489666563
z,69,99.64314728451748,62,42.42254351684068
o,90,31.497185026267704,45,48.81477430522945
w,72,79.69129119935162,88,55.1330232069277
s,100,73.17016751265837,12,75.51700564400066
s,84,34.374441084480836,6,28.950355150445063
g,99,98.7920560057381,2,21.310796919159703
r,63,37.06930431678885,86,47.91448207506761
x,62,84.37154276821288,7,65.24295192148105
a,68,7.315854797752664,49,37.224485632529976
d,92,15.169857147023825,64,37.934277997323285
l,34,61.834851733136716,41,86.8330161464074
u,11,38.86713954047565,84,31.801584855229915
z,9,33.28190184822123,26,49.685153767970256
h,28,44.80516746421511,24,69.09775824916757
g,40,57.267857225577664,98,74.06933708875034
y,4,57.013932315232054,46,9.257198070905126
j,29,31.92661465152755,33,58.79860281265014
