V,Q,O,T,S
c,33,19.156557730138466,7,39.486815168490786
r,72,90.96287481745753,84,24.818145630293763
p,34,48.20139673059464,96,71.17380480083656
e,39,94.59769137096464,43,8.991074602158877
a,80,39.206984957242895,97,1.263742224263742
e,51,30.669999925800095,70,62.22329217565278
u,51,9.35775348106147,32,97.9233559979604
d,50,62.0057657317711,35,92.90200941016212
y,3,65.59775808677955,66,27.662545170149823
a,50,93.75709590581008,73,45.423745770696335
h,78,76.29931786782703,73,91.75560863693035
h,17,46.105886010846,35,17.535956036237554
w,18,70.41450286131935,11,80.47133376246813
a,63,56.88434671665845,98,78.03024271185787
t,57,7.812247168544795,40,29.551999004972973
f,70,74.41120011810968,26,97.06018187628322
i,62,8.395502630146613,79,81.16777957443105
w,0,42.14734612127607,89,48.04891095049627
u,49,18.782356644593033,70,54.4853063603429
h,52,83.47444412886364,20,24.859295016578198
z,31,57.2518051159861,36,75.63363031946766
h,52,28.83344687759619,1,75.43331010604129
v,99,65.83779218248851,70,54.07998468963962
n,15,62.7889596104952,16,17.070549160131264
g,41,79.87672517008444,54,55.27314844179111
u,4,31.31761963959605,29,45.36326440317967
d,54,87.48518293001209,0,36.86834509731091
a,11,67.614317081805,71,33.83538712142911
l,62,68.6595577802705,3,16.734603731414065
o,70,2.6184888061749123,28,68.33957505595271
d,78,69.2591754460446,0,34.63515042622477
k,36,95.07605476696695,17,55.96885470169718
l,78,31.93910252517912,86,66.81753197644666
z,23,97.23547260318489,96,24.765106820957172
d,53,86.24336026876337,77,49.22597326480038
c,100,91.21188402743941,62,24.75420714155816
v,70,13.747023957523075,66,37.23571628259323
u,16,65.08208024426933,58,11.942249372549806
t,54,23.593299730441874,58,97.46177205302169
z,42,61.527272396855956,7,58.47650456096333
v,80,69.30628412574113,15,79.89289746585325
u,13,95.6402019822827,44,36.87391245756846
b,7,70.77293133239424,43,25.98504554854266
k,87,44.01618466768458,15,85.85076832117036
h,63,83.65861151260988,7,98.87697165471276
m,98,81.70774390036246,19,38.64415594961822
m,99,74.1163356780351,16,28.660979174759248
i,9,24.725497144966447,66,13.46908381946158
c,96,5.680864600869584,97,39.041600009104336
q,79,85.07148116049248,4,32.36863082974415
z,31,13.231593272396935,2,26.808325863670255
d,52,33.045084107701015,59,37.154032217119635
c,68,28.13898300993919,83,24.089688295790733
a,19,72.65186262928252,19,74.04984426585622
l,9,53.99126150700013,40,86.9600016115209
u,55,58.967456918544215,55,83.8824275374414
e,92,37.41688178824035,29,62.792102818787065
b,18,42.73241852907618,77,33.26246296558581
o,75,64.96544197191142,33,81.68999326060347
l,39,5.303810991337599,24,42.57841611287119
n,69,6.732350131973208,88,60.039307963668165
h,52,32.96721241579572,15,85.0766977433523
r,48,43.772935536663915,7,55.54784585377344
m,63,70.41570060976049,59,83.42945246781204
j,19,80.19097757474344,63,85.88886480278163
u,90,55.61020245828324,23,66.84393071022676
d,1,48.292247791367494,19,89.62728437566855
o,29,60.63997118715265,80,62.19377322680582
w,3,43.34839756868545,97,22.80067437467007
d,5,34.35887818962083,37,13.920648069439112
b,97,70.91905146078834,23,33.1699565257743
i,8,42.124290229608455,30,45.828979750221635
y,87,27.029600493385587,46,34.398938067118365
g,55,96.12087094143502,20,8.231997146826375
w,84,33.88596973901109,85,21.45448262691312
b,94,43.59713848299014,94,56.302162509355945
z,65,12.530381799681034,43,64.51893260864333
t,65,17.383240641976837,28,33.68320769412363
b,75,77.75772091343944,12,22.735317738647932
h,24,55.6813375418145,31,49.63511490176097
f,35,3.192649956214022,45,75.88990194155866
m,3,85.63415994327046,46,37.10222561666296
s,4,32.516909968497096,48,69.08826213475633
z,3,26.74624581541004,73,36.2049099500877
z,56,45.74783995022885,8,14.683193365759283
j,40,63.63455623245039,23,16.041360825880858
x,31,0.34799345854847896,65,43.34316555961524
e,17,78.37078847275595,24,38.47038615466328
o,52,52.22281178639098,75,51.21079819016641
w,54,45.09974608109019,81,29.734409542360808
c,20,42.07734376238002,32,29.32081967563872
a,76,32.96038759125168,94,99.13428782816285
m,74,51.36961667457588,26,53.397186130732756
b,61,94.9997300170461,57,68.96717610860554
r,18,48.45319891332136,37,24.2008436627267
r,100,48.942848620906055,70,27.511440150361423
j,67,34.62127974263268,85,0.24522693134735318
q,85,21.484258227487373,88,21.252973169428323
w,83,44.81158247429925,69,67.02463935316352
o,26,50.92870059631379,87,54.6427231410209
m,20,47.45076922774258,98,27.405956254332718
j,33,89.36862865988647,5,11.868833351154207
r,40,4.648240615724841,71,21.903447760256732
k,37,70.54074204566064,37,34.79526942247436
h,60,9.150027318861254,1,61.290973049222416
w,12,53.776069050429655,8,24.98548003716642
j,97,27.1983084418861,72,76.96126763155065
i,9,30.416764474891668,10,18.534217142175237
m,15,35.525767860973815,36,86.08530690900103
g,28,60.95198860860221,23,10.33150269399309
u,99,61.84912978011335,37,18.633898335421527
v,10,52.21385113617991,81,9.918920555100597
x,86,23.3526979865317,18,41.31754026234758
a,90,41.71664131256813,0,75.69925046076234
k,88,18.750476141928374,51,99.72630786685455
p,41,47.659449613099326,20,50.32474203021323
x,76,94.02842135084322,33,30.63150467616975
m,25,69.35247639029659,39,14.268821210799054
h,61,48.2291124132044,78,82.41566577556809
z,52,10.243597706802266,60,15.095027141983286
s,10,37.6474572677146,16,35.45583886635484
y,29,56.83408501972686,13,17.173322620041155
p,51,41.6115970737831,65,47.648225350742166
a,58,11.055836226875993,94,36.09517436226538
v,7,78.53398219835384,11,35.28800152320154
b,53,32.755154759191996,21,1.7936960456198858
h,87,77.54721957428997,45,59.221279923688506
l,84,10.13071539170859,55,94.56643672338751
s,29,89.04484257506503,43,39.67592999930958
i,64,53.78059329452528,43,14.816502140733023
z,30,94.07126600141723,82,98.99487219279422
w,76,86.25115457879852,18,27.330876328998656
q,0,67.11488595293555,85,50.14148216101296
m,39,26.407329757638585,60,48.7005248843647
w,57,84.42981878989663,7,36.796001968183575
h,36,85.83755205050872,80,34.7142186115674
l,81,69.03316623291612,4,59.14373638464772
e,77,58.24678202919261,92,97.03990774477556
q,96,59.748117421452044,0,46.25336958004471
d,98,0.7916381242496828,38,38.23257697998568
q,29,40.4084022080776,98,2.5087941343926334
x,75,55.62585844791587,1,12.60574552390099
w,68,6.7855517335032145,18,52.69068019550978
a,4,40.32485670125645,71,86.8752716207006
h,89,46.49905033051483,59,40.79594738798242
a,86,57.26069300705291,41,15.745110057088397
m,17,32.93816402072625,45,22.629326269187267
n,78,34.31849120742453,97,55.5513403332311
f,69,62.378000264758846,77,99.56001937635403
g,4,67.68860235623923,7,69.33984128019144
u,65,12.021802943086367,80,17.39171203880996
u,48,71.24636005370087,39,71.93401493900787
t,9,41.25215881553397,19,45.05279807770819
p,23,98.29808643506229,42,76.8821584442926
b,40,30.60481797056287,37,5.019668748181538
c,44,51.60497227293052,23,20.29914227533337
w,64,89.52874479686949,8,6.721591372419001
j,2,73.78679140194541,43,60.706294157482596
e,55,3.840486199946125,13,77.35705057290487
w,77,81.07996424455126,91,45.224509626714024
d,3,36.5144103186587,34,83.51936960940711
m,0,6.512342595968912,59,68.06537985212012
g,19,47.666012453233606,78,23.76271307691058
c,82,38.7726697606102,62,56.08374858654048
p,82,57.7707275967479,67,93.5634095010493
f,100,97.55556227973608,65,64.80418600575264
l,94,28.936370769624887,53,30.700191181841994
a,94,48.49816656478404,38,68.05912616915953
u,78,57.70067294428609,64,62.40825568929752
a,74,75.98572299152163,0,30.978256090189237
k,12,57.78573977739835,17,90.2798488355669
k,81,77.76783481012656,0,95.67876344465364
d,92,0.12549707479599936,88,30.217854076571882
w,19,24.80378162869742,29,58.01363347145424
i,43,5.671184510660899,31,97.63321328700286
u,85,68.26707376668001,75,93.04583250090452
s,58,13.3234057546335,9,24.278187702877673
u,8,68.52998049945153,19,36.98275438683434
f,72,49.87757780547521,56,44.02075942480123
r,15,24.140936311986305,82,88.20447516143017
y,64,76.66792380483261,44,32.2522121721615
g,94,73.45213475303277,51,2.2804679109630244
k,8,39.67437249733526,44,5.732293637988928
c,54,83.64055484986335,55,73.9415877169823
n,77,13.174263289617594,7,55.669006198171424
d,97,36.95518342448922,82,34.260921679572775
h,32,46.02604687685775,43,6.236184133160815
j,40,57.31871720189705,88,74.46389833515585
i,64,91.07192869994758,39,51.60818015031226
j,54,40.759705517365106,21,41.5687111936739
h,66,48.75673656236551,90,45.42016727794325
k,24,19.313637149747052,85,94.88407497992067
q,61,26.269560887678878,53,34.74978663082522
e,68,26.848143089718548,76,85.6126734397305
l,45,37.39320928341522,18,68.75504185677539
j,47,36.498450621765485,93,60.22686655672277
b,74,88.98597160259868,96,8.313355706119408
n,20,83.14153345149464,18,4.336948393578821
p,96,75.543848957185,50,35.163754518152935
f,76,1.646443487796534,16,72.58370205919331
n,12,56.01993886759572,22,73.83236927583077
l,65,45.85991542647913,12,89.51422946288076
m,68,8.005876919597988,52,95.32645183761872
c,73,37.99733847460936,71,88.32332103901258
v,18,92.21541279700018,31,50.87123794563999
x,48,88.43351650740722,74,2.8534357313997227
g,96,53.644738749841615,5,66.1226140750433
c,6,78.64180256283053,53,88.1319677786443
g,96,40.50088281574822,56,44.49773394744905
n,74,17.2247893488652,47,19.778849697918876
s,94,12.89594721541073,97,66.72150514615288
u,80,79.67096584969593,1,25.21916343055093
y,27,76.90675581879276,47,99.75490825512465
f,10,50.0387415327782,44,56.80816488319002
r,28,7.932874585708117,19,40.04577362691775
h,12,78.00844310019724,74,91.29722000380967
q,85,9.62589609823995,11,46.13291372120468
t,56,84.89972886515108,99,5.947598804503307
y,6,5.29945959333411,32,57.00365215706277
y,16,61.64498513629118,66,29.541725580531764
u,94,81.9190180578372,47,94.6093526296676
a,93,8.788905440034146,8,44.8936275191513
h,35,20.93310040232662,28,21.155920969451593
z,88,41.19103607231356,84,15.260170264161799
n,91,47.90531957478101,74,85.75218331880782
e,11,32.748356394487956,90,58.30298660156915
y,45,40.4637540552153,69,1.863582964820376
x,70,25.52607533758009,70,52.145715678301464
t,84,8.272482166298945,12,2.6543304000798074
v,98,17.028378020530297,52,18.282883106241442
x,9,15.292201082543155,56,74.75627439394098
a,12,88.42896660132983,20,35.641766902485
u,60,44.937787003785054,66,72.16296835321296
c,69,0.6950868281271894,49,89.62815780042689
w,64,41.25372449013894,44,47.64691690394701
z,37,42.690911215199456,23,48.22651743281465
s,59,66.47307858967339,73,39.832497008628884
a,14,82.82044985058783,90,13.815838891934352
u,12,19.815169379913765,76,67.16578248276566
n,79,43.127121444044434,7,56.171027280040384
y,37,97.95097901148941,70,27.572728644697975
a,52,33.53749434495303,72,24.133872015981396
c,36,46.81721052181176,32,68.08730258719805
s,17,71.01813990720356,88,56.54528973196784
m,48,99.81722368355894,22,10.520035216534785
r,95,40.6121975438827,52,58.89791113459227
e,62,15.3184788640499,99,12.937216333029466
o,23,98.74876270687554,11,53.447285240890494
r,19,81.0506084213831,49,56.93913487540399
l,61,19.434159419064667,54,93.29108981706185
s,96,17.107478019945287,54,32.15696630321329
r,36,70.05455280750387,38,49.45415115738974
n,36,56.19497953806132,83,50.84019475664765
q,39,65.22273014213009,17,13.87675537250821
s,12,82.72869559942878,86,67.07635411897533
x,63,44.99280518577494,3,12.158200307302035
s,28,58.389320721162555,55,13.245830935446346
z,14,73.01634548946757,15,54.42190570878641
i,40,78.5957005287886,85,28.158074250148058
f,5,76.70980456052152,13,70.79382646244284
e,13,1.0269858996731496,78,92.94306628026017
h,10,2.9464557299714422,52,77.71720245236828
o,4,96.8705128552457,72,45.24265482547661
z,15,84.66815271154586,89,86.01337874064812
r,3,69.77334740122065,53,7.230596930819589
s,79,35.51714722303744,59,40.86049356974323
d,77,39.751101539990565,3,69.76023208312974
a,66,36.61371462008236,26,94.37645803324625
v,51,52.42243153463726,5,13.39838880547546
i,28,98.60605486051817,84,88.14753558465495
e,51,4.089156914855618,40,58.496008140188295
i,68,69.34309005948445,85,69.97135902874767
a,98,25.608388832472663,64,3.572907836175232
c,43,10.124956561826048,13,48.520434171684954
s,43,85.1045341066739,8,92.92916696449483
k,44,58.17198063919471,71,85.42263853190029
i,98,39.380086292841064,66,6.236446716599698
x,90,63.80157374725346,53,76.68219936472921
t,86,67.75094195735225,21,13.319518371759287
i,91,28.307457185151584,94,72.9274490487715
o,23,49.23399256814059,43,52.09758661559647
l,40,55.699267508752136,7,99.19277263174433
w,1,93.17950549764565,87,4.574538414424634
q,5,46.140585622604405,30,42.51989191812928
s,35,70.96370779426896,69,39.62954221628554
y,18,97.58874977918363,96,2.5391740278735697
b,80,50.28206128712663,29,24.321285362594303
o,81,0.6125848856324168,52,22.526801478723236
w,68,55.69955481624509,66,68.09159412119003
m,51,68.16560729540555,21,13.80959336763653
s,54,15.060198147955461,35,99.85517478580329
q,31,25.839419381883044,46,26.64220767220099
b,86,52.25193583374749,70,55.546965602212076
b,76,88.1285251965924,3,27.498374355773294
u,39,6.186455735666163,95,86.14297234616471
x,11,72.83031353295841,57,31.39551524266522
t,75,22.367119791058176,86,1.451734184568254
t,20,43.78404214755399,68,95.91224469785801
j,62,28.17365547798505,79,54.19715408383718
a,31,9.556809631531827,3,84.60472213945118
h,59,99.27038310446527,12,29.73631118211062
l,23,25.49563377237729,93,88.29369506686903
k,75,48.16468935199695,90,4.645317356999012
w,1,60.335703932263954,71,10.353645292967329
a,55,60.89160014962884,47,75.04832779391451
l,47,12.097303217649568,8,8.56649209361262
v,28,3.467775879315471,57,19.675987135358884
q,20,47.93486345000694,54,15.211030864604947
f,21,61.022802486301856,28,14.737309605970362
z,5,78.74159885757066,55,6.834047326441528
r,28,89.44674675566776,17,79.98299030790452
p,49,5.752480368019153,56,46.84124715574448
w,12,35.5076061308803,26,32.663598853959044
q,14,72.7226229370555,51,15.774084729097936
g,10,84.39014598772783,25,7.739635042809001
y,44,73.45403829409697,81,99.70793528991082
n,59,63.388221252898305,58,18.876076835424605
l,78,35.22695021589675,11,73.86956160024
y,71,29.048632278442412,63,72.14131726101407
k,18,79.22501574066487,74,37.41587119158437
c,62,97.74655326654269,72,60.54575320474568
w,53,4.952939772967724,95,72.99078607487449
y,12,59.336696373767886,49,64.80100275109672
b,86,46.65436665590092,70,69.47527591005142
p,60,16.16981731297359,56,1.1189163363052868
w,39,24.883062529464826,67,28.288286156992225
a,70,57.826048927832254,17,65.75498822970178
s,15,75.02083876793894,28,49.7570257957352
u,88,33.21252811189619,66,26.034942626582914
o,0,0.14216852277701975,14,20.55805278287902
c,99,2.895273468337678,78,7.403624714158374
u,34,95.18954750253675,35,92.24998075962527
g,53,29.20755652295759,98,0.15520532846601265
r,45,39.99028346928032,55,15.636658830509532
x,91,94.88282297223732,31,8.16957356195841
o,93,39.422407954468106,82,61.859598019159236
p,43,45.90815348593902,41,34.5764484045099
a,69,82.17560676388712,51,15.569215002560332
v,53,15.00826164266218,16,84.46104261926989
q,83,91.58446594568478,66,47.455175213160636
j,20,58.55527010607155,82,77.86455576979044
y,0,45.99621799936986,23,46.05547900484698
t,63,2.060917917663019,59,34.152036266127894
t,44,69.28331833196464,62,37.6819132723765
u,45,77.81948956702543,4,3.530963585124547
b,69,1.3682232500630387,78,56.17563676344888
r,79,81.02676695599584,48,21.638668295259055
w,79,41.96458107736648,36,9.567880386677041
t,14,52.73962151473716,90,88.07985485473141
z,20,76.59013384258073,74,74.98634413540032
z,29,23.32694229877681,88,8.515270271159014
d,91,14.545263536330976,91,24.531248418310337
s,45,34.06876330539125,84,20.872143659606323
r,93,57.16129846269345,82,65.71950538979969
g,66,78.74409488901077,22,17.517177847002074
g,0,35.18527568681209,64,94.46110840042715
z,69,11.491291845396145,61,33.91988885244559
v,36,67.64273081221401,15,8.940944834273434
w,32,20.65316185524779,19,20.21108149646622
w,87,61.636836383410596,81,5.16441471477277
j,20,17.687525316473383,35,88.22566077858286
f,72,75.27732847209947,30,85.2175983450307
z,94,8.017493203852222,94,1.3348168918099201
g,14,94.07630505822165,97,13.410736253091171
o,73,26.36318342425844,20,84.50405178308972
e,55,3.6255772546549214,57,90.57180400713986
l,72,92.73976870359334,44,32.095877316268826
u,80,94.28256384027519,41,63.95057950616613
h,5,69.7291379959391,74,34.674095900640026
j,82,30.32551777955026,96,60.44654901754368
w,96,38.99775421993259,10,24.78914864327688
z,97,41.088670829864206,26,6.603996399691303
j,39,71.38915739744137,89,94.10703873928344
e,64,20.568099826331355,69,27.4200100609444
h,16,98.17360168250114,14,7.254355549899783
m,30,1.7027316317911434,55,45.693603022571075
f,8,46.27772573104632,33,76.26726333330576
p,41,19.541914473382572,55,30.311939593308622
t,29,67.60941762933761,16,20.357308068236758
v,95,1.6361830769559993,12,83.83821260781075
d,84,6.565100894352927,2,83.938571503094
z,32,63.64737518754795,84,14.914153280044795
h,4,44.24504417011258,1,77.55629633406242
t,27,54.44335577221011,39,9.368864719043746
r,78,31.900252855053736,81,6.714671657075922
m,51,37.83568841487613,82,74.70719354607024
q,32,16.0456693587269,37,34.58116274251554
v,70,48.44804299140378,64,34.095764738638024
a,51,29.98919142102322,97,30.640319752455103
q,100,62.54158746221245,66,75.88350915560872
n,2,19.693604956966805,12,36.20538562023485
g,86,9.522368289530691,90,88.67049356136053
b,23,14.788601109824285,70,28.586396323399164
v,60,16.95419667382937,4,66.97641874973074
k,79,93.57260144720988,19,91.78973813274072
a,33,50.1614559238285,63,49.36851633338145
d,94,89.0472232260239,52,69.71352430526649
x,67,42.63398734360804,1,21.72534507016476
h,88,13.245333410384298,44,82.70011473610747
f,6,40.60750374228858,16,77.49217668722702
k,41,69.30702659172098,17,59.2240860313003
q,34,32.15106005548864,7,24.50364366254344
k,66,75.97096401653397,35,83.38647324435888
m,21,66.19682042495711,30,27.86207039532329
k,16,29.814745629054418,99,6.448576195645661
m,35,92.82288779696543,91,92.37050131789195
r,98,87.68389664570174,89,71.29748567584237
d,56,56.72724266654179,11,1.7933744218254444
g,77,2.6476822590932425,79,34.014104611409856
l,5,8.275163911651784,10,3.992628041511881
y,84,86.76959684082833,63,46.295558671364255
z,56,31.3816372405473,6,1.021789128136119
z,49,54.92684675174401,83,94.08589845210552
i,2,74.9732419696596,7,37.53942778245419
x,4,89.43209276007329,56,91.57891296122669
y,31,72.43447094195918,92,75.8678262760619
z,75,9.305629441499208,95,19.667273609485868
o,48,8.115119477692978,19,13.273667746161843
j,34,73.84397738496111,56,10.45813687705749
k,87,52.67349934096558,93,79.8097942412836
s,49,50.62000771040639,16,4.899391735204972
t,6,90.49606056628407,17,13.502042744984289
i,91,71.12781529498555,49,35.7749958963954
e,37,51.85711518406275,17,52.692329996992704
r,18,2.7219644490245276,80,40.23426456765418
n,30,7.994567014293619,2,63.235927762686
h,1,53.35747016108051,11,87.31508088339021
f,65,47.23446727183056,60,56.44208553315907
m,70,98.87377211507523,39,97.35942118992902
p,95,37.750278927889354,14,56.67875561834366
q,71,87.24864059380666,73,7.161553925181097
h,45,44.66707956574051,23,26.210412110605308
z,25,50.578785503854164,95,36.91762027366152
t,93,99.1763426299962,23,53.53824797727833
s,16,92.67703978950213,33,17.16987412149331
h,97,79.6187123718562,91,79.99559257942124
q,48,79.89554895964204,98,44.134085462060845
l,79,56.2069858237297,81,44.64969123907579
o,34,91.75952647999382,85,80.80565008501736
z,62,66.21225552301003,50,97.92920413274194
c,0,84.14393564782775,54,81.65851895159449
u,88,73.93485026160957,68,94.08100786144917
d,64,53.08145739294093,99,96.05810450449222
v,85,25.78918064085083,24,92.6954241180215
z,17,87.57866996653942,90,81.10514906669427
s,71,22.800904922308575,60,42.23044305914881
j,47,48.71422646095368,45,91.78099791898683
d,36,60.0686292515937,0,64.14039819721499
p,72,14.58052683497517,37,51.04596063345295
k,93,47.47872132450699,17,60.324816390601065
d,76,0.3315835153042901,6,41.757386685838135
m,2,53.49407286484498,94,17.807741115664378
w,2,37.24085015385188,31,14.544621778318534
i,44,78.23090182918835,76,54.77987234890422
s,26,93.0728653559674,83,26.02665726040936
g,46,28.244073736746856,79,19.791195159708963
d,37,31.69395411884518,44,21.132033352142532
y,22,66.29540684301185,17,12.4999929863712
f,88,11.595287858085223,79,12.648793155497028
s,10,1.5911127344946818,84,65.67826090585841
c,79,47.361087065573194,81,39.32090255703196
n,97,10.696037663267843,91,90.60251360451022
c,85,69.07062990393219,40,77.63637878413668
o,31,14.407693141190814,16,31.032247508283007
y,4,73.43197938578892,77,19.09079915474139
a,87,3.167528463491287,29,51.15741134887969
d,84,24.29263897336701,50,12.823359634737042
x,4,62.93645402709303,52,57.89655335852759
v,69,23.197129423693696,7,43.4490578483499
b,20,87.21190324347184,11,13.305894193226841
o,15,35.272341332122494,18,16.62124760115724
z,24,18.22407623784845,66,46.855487792754104
i,78,77.25533902927378,24,79.1713958555248
r,40,41.580669876529754,1,69.17934579271471
c,80,46.245746137240495,66,62.16930990106931
p,64,92.57405951768706,67,81.14976470334345
y,39,9.00409662886772,19,30.503160228518066
l,19,95.82574181138696,43,60.27333285692629
f,69,42.65963695396625,61,84.41837096873346
y,63,34.67615157473559,36,71.74615014368497
