Z,X,C,O,G
s,39,49.93972205098065,28,16.868137719551555
z,89,30.154782398972902,83,11.356362977636591
b,8,90.04310407369647,60,92.48796514060444
j,22,81.0060013157091,93,89.12274124084074
j,18,44.98673574356271,18,94.3863606830297
o,40,0.13357525137139836,1,29.983916298764314
r,38,35.148893153301685,7,63.36110924718567
h,82,90.17673726877959,40,2.864387973741611
l,51,50.1846495490733,4,9.95880698173577
o,42,87.01460306090418,84,1.9582706576302011
v,66,18.678179795958762,19,88.84931402546471
q,11,40.44854348573487,55,14.95479444998673
r,56,12.608938921855351,71,86.0350465638595
f,35,91.29193182517335,47,54.060689355111876
t,61,73.18938516231738,27,94.85768912891915
x,12,70.65292668004378,68,29.629428285905846
o,7,4.861899403723435,47,98.3739873149382
i,75,99.35380627430173,0,53.20447873071799
z,55,98.59811009048312,42,40.81798000195405
s,74,49.639534297591716,68,68.97361397768832
h,58,51.07891475105024,4,48.438386050551465
c,96,26.939134441097135,52,33.3146756175111
u,97,93.78409249400757,26,34.21464644249609
n,47,13.688130973378543,19,39.73169564979501
f,31,35.192240703648494,12,68.92852484197954
v,67,50.938377034015645,73,72.43069412306562
o,59,26.89383254300083,10,76.10981748196662
r,27,46.15949338585864,34,60.31897180335382
h,78,86.19157252978002,27,66.86040424421888
c,58,0.3067914197550814,42,29.937327811216228
x,69,20.273134163637884,28,18.64557138385522
v,49,28.27720508369702,39,41.352629694938784
i,5,51.00556201892349,79,29.303014737728382
o,94,54.56507590717099,81,38.69577047598531
a,57,87.11838832358282,17,21.45334771344495
b,41,42.62816105968834,100,9.61508766386009
w,94,50.4864540882032,39,89.95664776359126
k,30,66.41535600279927,51,52.30317553152336
i,21,45.9212185275612,34,50.530779338896096
q,55,56.6651418706697,43,19.123841837942535
a,39,84.33838017814455,94,88.2413733166541
q,33,45.82019261451155,12,19.925770638214146
u,58,58.05727482674436,48,44.781442676482605
v,74,91.64549447753456,49,82.73393532086277
k,70,48.01250082664142,23,50.47054491208402
x,55,74.86486451581249,19,29.373149360871096
f,61,99.4021814365622,30,16.842639877552877
h,43,72.9915784354798,81,70.61033319508776
k,77,24.66237776663793,33,11.319625717453563
u,39,26.128903596044605,99,27.82184898768657
m,55,87.9389717817003,75,22.201974358662536
a,87,79.88229724430698,69,27.376494877370693
w,9,98.9146727833438,87,25.506407336598713
t,35,46.78930161727802,0,64.92246517701419
t,30,85.28416459852104,96,98.81506209642895
k,5,74.42433911042225,35,88.98170272185223
k,24,50.50238430559335,62,5.366558242763919
z,23,78.8968587375193,37,66.18550121632383
y,30,41.716393446108334,1,96.45678702709651
f,100,91.67546815270848,52,79.10463093587549
o,71,62.456841466387424,54,89.7023731355474
z,83,33.804862937367055,43,44.69031988044993
m,6,9.615009275418085,47,59.7698805714017
a,59,92.01177311702789,21,64.29598207168003
v,95,45.958740735697866,30,47.740634109425564
m,37,87.67620767927926,81,57.895508761978085
q,17,97.80225553049495,71,88.77568121831901
s,92,29.40785664865554,68,76.03621404974346
b,4,44.96536352625809,94,26.315222993070474
f,90,75.98176823005295,93,36.64561505219074
l,39,15.80423295741844,75,3.5451965122752505
t,41,83.62897425546478,91,40.20945056798493
b,52,52.2939924892102,54,93.28670835379705
q,94,32.141927345522845,81,78.37568523567737
s,90,29.33447055652816,3,88.5981505164484
e,79,69.47095226831489,19,10.360442886105957
u,3,79.59896001313194,28,60.14091354725111
a,24,79.23290556472804,4,42.24557809941886
c,16,48.63342497549065,34,57.63812124941741
x,33,53.16291299835682,66,27.677914643999713
d,16,1.346438227042479,84,74.81252796277545
s,29,50.028132278794736,57,80.1443312251065
v,14,79.76369492921536,97,8.685401648065849
e,35,33.44357844079501,97,80.4006034461414
b,59,23.74395870922227,55,59.732163836841764
h,87,26.70555077149356,27,24.792054613522964
k,11,35.125357256204595,100,88.89105869643218
x,21,4.428811887798945,80,18.670664461170272
l,19,2.2661688538317515,31,38.111307374882756
n,87,42.08086605451631,33,1.8569554063046168
a,80,61.036046536329266,45,90.63165593761316
f,28,42.08109554405709,96,13.091677817158775
q,7,96.01119781682918,82,92.1174258249997
j,9,10.023833504331725,94,32.01943427953723
q,7,30.891281630384924,47,48.57772335125312
z,72,98.67506097728923,32,13.85703802915298
q,16,83.18945268339499,26,12.705967136504848
u,41,17.673427060569104,93,74.03544815833185
q,16,37.079111774300166,94,49.073909656371185
z,11,84.7792127545661,78,45.146696041650294
y,96,99.447039824585,20,56.967676775355145
z,34,32.90329969413014,61,34.000501572550725
l,80,2.120148769391439,26,21.751692833924373
t,38,74.16958702381996,7,90.043241006295
s,99,88.99646101699277,14,13.527908825110291
a,38,69.69299248665325,22,85.2248026547696
i,9,57.391982603205186,80,63.691341541221426
a,60,52.124744440891035,0,92.49175932872402
a,69,70.90739129619048,85,83.13340810893443
t,98,42.775985978936234,2,59.479434619384165
n,80,12.308119292913478,87,8.80993325092475
g,91,11.724659942339422,70,60.965129017003484
g,74,24.84086363340753,71,18.170313086948543
w,6,44.016739821283835,53,3.6865862689536733
s,41,26.383290592359497,44,67.83088047827314
w,75,36.578988944974164,12,18.936584557352543
r,86,65.03596304692957,12,81.48794165407193
n,2,94.35209072816174,57,18.366611612631733
n,40,41.181223491095665,78,86.18465583553511
b,11,97.1726539112943,0,31.352745719727682
y,62,41.605113147872345,12,90.90959709646286
a,86,60.49717211632169,47,94.04950260554396
c,79,19.73442180604722,18,29.900924763272695
i,48,47.56724344367292,13,14.290170885805553
s,8,6.544138592856729,89,19.09925089980987
l,50,97.6138477118902,20,63.29208472398579
c,32,69.94338653039743,65,61.02481193577837
d,70,74.53754300539617,1,73.4902772868179
i,29,70.02765847459187,21,22.67256655716049
u,22,14.959193757857847,97,52.527522377446246
d,41,45.471256399542526,99,35.30122111155612
a,29,10.530465129843215,16,26.187145713981465
v,3,24.056918711393095,80,22.257445356817108
x,15,30.105606650313156,69,90.2533702520661
v,60,30.66747978979196,5,56.90537805774293
l,16,91.19307197263544,67,76.53272827451065
i,64,66.62966404566956,30,34.35457097891007
r,31,79.44177225145077,6,67.04222095568917
w,78,57.86746118516254,40,84.2480470973891
d,44,89.39553511180515,50,2.586474298059027
b,35,15.464152673465769,39,13.941754380597338
l,62,65.8984003593366,55,1.2760502326495282
w,93,16.33879619850803,48,62.53992762501639
y,1,97.67305335781617,39,77.88713921671847
g,13,65.49418955918394,14,58.36117322941566
c,55,51.83522426990274,76,46.31319942427372
w,9,37.07516926990229,66,4.050751386868024
r,30,95.42544348330735,77,18.3856230854754
b,96,40.49442740080678,4,53.449880380286764
g,25,9.304716776452837,37,98.38879047459979
l,49,46.866496177872044,57,22.44305030325304
y,59,52.83741931295209,81,73.45473119508762
y,20,70.27921293816476,33,10.162823536538578
v,10,75.76186606621921,27,24.30589272255834
n,27,64.48999761452309,99,0.2925298491046058
j,43,25.058736168474105,48,0.13020359944091453
m,64,54.94992140000489,50,42.2143893509799
h,22,81.0132507983411,82,68.77532683023296
q,56,37.228831478511225,70,43.60837085243001
w,69,33.131488309555,30,87.46016637753846
j,55,91.0698852567447,97,30.462845103444337
r,63,73.12764188942839,48,95.28831721078409
p,43,67.90728222379117,92,53.63181941565739
f,37,0.995148943500479,31,16.88143676620767
g,46,20.22099134511449,74,97.52376181505278
s,19,81.12086552825897,7,83.30854594357605
r,17,3.7016180492941086,33,74.6410198909774
q,9,94.8193834037273,2,20.81614693865922
e,88,45.60870041607002,5,45.325502225089146
y,61,72.96792653998652,60,47.99123257815033
f,39,7.424384535909301,64,38.2866226833998
v,87,97.8105816280824,48,67.53138299079875
c,78,39.25191036946296,39,25.686060443648383
r,70,56.48605105629401,78,2.954499124488663
s,29,0.5432700492860709,64,92.18991421458466
p,94,10.752281884504866,94,12.084448013740257
t,18,43.86751260768354,62,59.93009862899407
o,98,28.33988087919278,82,49.20206218998957
m,70,82.07199014115221,7,65.58842642254852
n,40,90.59554273156965,32,20.625718917491852
g,52,40.852105313356205,64,94.27851865608639
r,42,35.02633570988205,86,90.1780431791084
h,99,93.61215179471458,88,59.5158727614424
y,0,21.88705210860834,19,0.06372680870204706
t,40,2.473065816433073,85,77.24267611735569
o,93,73.14970405324944,58,4.981852786999797
l,67,8.160282463028945,30,75.04053385282752
v,16,60.76937112751586,39,16.702741908885265
r,46,50.587661966735034,67,33.847158513257
g,20,59.42636002468501,3,32.88877861838518
w,44,17.42915808321197,43,27.809344601107334
b,40,42.87228580928161,62,11.224144344470632
a,29,65.93800357693064,36,24.8859973327611
z,84,47.95953698825988,94,47.42719874480015
k,44,9.564078748507033,29,56.31297175431544
k,3,80.53656940847009,61,28.590800631815682
r,98,92.75185047145253,57,23.12743915212845
y,70,69.43090027448157,91,91.29807518130278
x,56,30.752234390879664,11,31.708923204769214
s,81,28.707250592627908,97,40.73417082844726
m,66,15.836556475688079,83,81.85846709998953
v,22,86.40579830676391,73,6.792692698651304
l,13,82.68012217510355,70,97.82079842005359
s,14,36.13354469266275,1,27.053793009807237
r,43,23.389354282482266,7,37.010274533587015
a,34,63.92742412543267,8,47.91011307297257
s,9,6.4628465786154665,37,0.8279750389495577
c,92,87.08187361753467,86,70.63686773578956
l,45,27.759528710698056,62,1.3423365813503563
a,27,88.21365489481323,4,56.02628711467161
v,53,91.7491115691623,62,17.166762948353465
i,37,19.60950710163516,34,3.643180047489014
r,38,46.44577631305036,56,30.738721547090964
b,12,53.32333696082442,16,91.82006127264962
f,33,61.83249503366618,2,74.21932104591585
k,87,95.90852780953955,91,58.407873987230985
y,18,67.21795356754876,57,70.39364809747153
o,19,23.671231442956454,94,36.496040902573256
h,63,3.3135939260886316,16,89.99175457502949
v,73,28.820124971928042,90,2.9715592987482498
h,0,84.10058381739005,57,65.90444055803681
s,86,16.001734841922033,96,82.42644009334956
s,35,75.77646807704303,84,51.32152529589413
u,87,60.15502728919321,15,91.99648733495323
g,89,48.68117464649313,51,70.09088995332469
i,58,1.6972435445035794,11,83.24362793867775
n,77,1.4266140828317009,46,28.396719786240844
s,36,39.0328550263064,86,60.34526967117646
j,56,37.0930774509621,23,49.12022210745651
t,72,15.178573014328167,50,69.76393791225182
t,60,98.80684996146883,48,54.15876349679962
g,88,16.464189367162053,82,97.62007632045334
n,90,24.330308477479324,0,64.7655986317167
b,96,94.89004377922694,32,29.175717112281596
b,10,13.027337713940412,25,87.59215081721543
g,73,30.731470031360452,99,99.9253816464689
y,18,15.123133279551892,18,18.02207756396996
l,48,50.43929466254329,1,91.48852966088583
l,75,99.36650124283585,14,34.737970559578656
g,93,89.49326158878326,66,6.400902282037357
u,79,2.4290222494520064,92,90.72221787554335
w,91,42.64514147779748,36,13.262626596688554
p,78,92.18337075429321,0,36.71158603746009
n,93,77.05677554417301,70,53.398164146083026
j,63,12.895024524968902,72,33.167099810469026
a,1,25.53886684963643,6,87.91967644491133
z,29,22.03298487179044,32,48.70128368843915
a,66,30.406712833619764,18,37.406848553463014
w,100,81.38008288076834,10,38.56127721227036
g,40,67.77332599027847,20,37.68435546963713
k,32,65.86078326909607,5,58.622035082127155
n,32,61.94146661322336,88,60.76921620073913
c,37,78.22760488323166,41,62.4565096646399
k,97,61.75097101801654,51,51.16051998135589
i,17,3.5586754294497536,6,0.017895908758047696
w,85,73.47051815827325,90,46.525987608536326
g,4,86.01484664996117,11,25.447557386399854
e,47,89.53709551689187,31,36.35428543483705
h,86,75.83703503138508,44,29.478765960666042
p,15,49.814566673772084,20,62.24081706753051
m,13,54.90330774378606,25,65.82001632299904
o,53,83.22570480124656,0,37.79822127167347
x,27,53.112988702611176,62,26.50630653222358
o,79,15.789339006340143,1,5.627658005906156
x,73,38.0944459550406,36,93.85098462478145
z,35,74.99418870011554,66,72.69467795340054
o,27,15.163452886636996,61,70.97461688546926
x,1,45.54212082390837,17,28.56560857301732
l,39,97.22679504967763,0,90.71165987974781
q,32,38.60847631390948,24,25.547899131547823
l,89,71.05514710411101,87,13.713871636392883
d,94,89.54456287467279,4,36.052184867687544
p,78,39.57321191374705,64,46.410092476107714
q,28,56.221595131902816,25,16.420558187864685
a,71,73.82788633795695,9,6.815307230272982
k,81,88.18245060339679,0,88.54317889202972
q,63,66.79538860434799,50,97.11491366445854
u,70,56.13720050053402,57,16.45495994449153
c,83,22.18185899610682,71,34.87851438668172
m,9,68.88071359211216,27,92.97620029348272
a,29,19.526254369473072,5,42.31432683096188
f,8,12.880178610154147,5,47.538158818539266
n,26,73.00745232781523,8,24.59007908672858
v,40,28.84667861481729,9,46.72791273387021
t,29,22.879064197278463,49,97.69408104693616
u,84,22.171290692647784,57,59.30260387569469
c,76,92.44803842098223,61,56.18022401790726
n,32,38.8064984197557,5,64.73046056041306
b,23,97.67810523323209,44,52.011315005179505
z,54,25.494212856759958,28,83.07773204312497
j,83,12.098478524991274,63,50.555610942991116
t,34,82.32242592776787,24,83.93790325279139
s,48,54.505192592794174,98,3.6908548839915234
n,23,36.47219397737184,81,84.96395389463052
p,15,90.18736724873423,36,1.204152307719275
b,78,21.79978938706987,8,13.441728216886572
r,50,48.50754577184575,85,44.57866205531475
z,4,32.070303738060225,68,5.78303748664416
l,0,31.27788654043304,98,69.91528926069664
h,31,43.8014102916937,16,60.214924703402225
l,2,14.432125798760875,10,15.817538591410562
v,58,32.23682806508853,92,0.9955941262079326
m,0,30.148803180562133,91,15.25850941613064
c,37,16.64288348440128,55,70.5728087984757
k,1,61.38996241424063,70,50.52890985083197
l,20,15.791536526514838,45,94.56989853353774
a,42,79.6458653785619,46,9.204880275660388
n,34,7.499513609032915,52,48.75001636073327
i,33,33.539139811380196,74,98.10455116175737
y,26,50.97263645608151,68,19.417467189445826
n,100,94.31941921450921,95,58.36603632549533
h,86,57.04847648166535,86,9.292319916784919
q,22,28.406718322881275,53,72.98368659960624
b,39,22.33558104195035,6,60.77437970152718
f,98,11.048985999647376,5,33.4080989242717
q,26,91.26619187357215,47,45.13991170504883
o,44,26.7622953510108,7,22.90769237568011
w,1,67.8468275109025,86,97.95609355218534
r,88,26.131418257547068,24,52.63955991619325
o,10,31.869450329748872,93,41.65611865944313
d,71,24.200589567436502,60,39.95191487297678
e,64,88.79794232910348,19,98.72348676300358
y,73,45.17418927289146,93,56.647042344968135
m,90,16.836052564673064,19,95.03343136089842
f,83,86.55656668259624,48,80.1777578123864
r,16,14.335276516494988,46,45.91390762586974
c,15,87.52055646273449,33,38.93749840404931
m,71,31.90523270581518,47,0.5702106800418716
q,95,71.73671580060447,81,94.73395298750874
c,64,82.75943750580217,66,91.00618515413643
o,18,78.6813305041486,97,12.919212980282957
x,91,19.204761960013595,35,32.08979445620748
u,7,29.794071569789903,75,13.262189021275317
s,19,83.62361229858186,48,79.44628649300384
p,26,82.57694039007167,54,96.77363832020576
e,8,98.97344508552199,62,15.97419697494118
z,10,48.511770979877944,23,92.11526513312695
j,26,53.99826289124374,86,40.55968618063509
t,19,4.516340468727542,51,59.57739888025255
g,20,32.444887140056586,73,44.1111381283556
t,9,63.750244287584934,93,46.92270694729341
n,33,23.655181857832154,91,19.018164536313208
m,84,64.99186167180308,12,7.156874864615448
e,47,76.90063729703093,44,10.75881744661209
r,82,18.44683283840466,70,19.630385248630724
x,30,48.911210239674396,5,44.74177248929091
j,55,11.095661372901178,26,47.18622642709247
n,80,0.9561178623893163,45,20.23266369663126
d,75,79.69345436008808,70,62.50678032437362
p,87,51.53331900218633,17,72.50631254169161
j,50,31.862809832295348,2,61.8962402822521
k,60,89.00744990536015,57,18.53873181000595
z,7,53.515369791076104,73,80.76572412114584
y,58,47.507664589194846,9,91.99956558039231
u,64,84.42037602826878,99,5.493987823513846
b,51,82.22800691986478,46,49.48877879900571
q,28,94.30045930893607,17,51.886171241879794
a,71,44.34048210433911,70,63.40880211496385
t,59,48.444698687197985,90,18.610458135960307
u,68,99.2546697367246,49,70.29474785103761
b,81,62.30217118134943,87,57.74044276518898
g,76,27.189350811622994,73,0.3177752502360742
f,77,11.026372292400378,72,97.09811012575629
u,47,47.516175174083045,63,45.66432752282347
d,41,87.66654806423983,96,96.9951507082502
g,44,25.331581088643762,20,17.492751984319575
j,71,88.06687055178686,91,58.28628212053509
n,35,79.63672272964098,12,14.833234222255975
e,3,24.086706474381003,22,65.09348777857286
j,28,52.60683758733487,22,10.44195482744602
z,26,20.53365660236135,41,11.763367834415506
c,58,23.030372765665163,23,96.46525903066811
a,34,2.520281591584339,7,59.76527611348082
r,18,77.52713564765374,70,99.2695084419074
j,4,47.32709530883632,89,78.54129862874699
g,85,95.48250422697086,74,42.571418746366206
k,46,20.13523278434606,7,19.865379924530913
c,46,38.230828057335884,65,32.457673672091744
o,30,26.26522979835815,4,10.107503347851654
y,90,4.562684636970826,27,15.198719405803097
v,60,55.94084767757273,69,78.85951706869567
a,0,11.542254061446211,60,59.15806347020951
d,9,24.823526318448597,82,93.20481135954057
r,53,41.78678830829185,43,42.84145088560424
i,48,84.87732543573405,73,92.45098896945798
e,95,83.25192759426602,55,85.57357860225933
n,91,14.548655800540622,79,0.4605247592813222
h,54,11.213841123680279,42,81.86848646929242
p,25,56.87118167304438,91,7.782212059030281
r,51,6.376122837161146,88,85.55321410105071
n,41,66.44087330628714,30,35.493824220131785
n,91,73.06454598047065,60,41.67015360021089
n,41,3.8204085553598,34,62.587845850147595
a,24,76.49587603336386,36,44.449422941027116
q,1,14.648985920027668,70,54.39817665902421
a,12,65.14004699509131,41,64.50017933137764
a,58,56.431999880534754,13,21.87674850852056
z,87,10.421228963972872,36,4.733871674813706
d,91,89.63689929479429,82,18.598531870358926
w,43,24.11134301345742,64,21.653023384072323
x,49,69.55537335606357,10,82.83344936464863
h,19,40.139488883515476,64,87.65915194969048
z,14,30.304118287098003,28,88.92766697109855
a,65,30.641187280191605,57,15.073876207528357
s,41,79.72438667495453,57,21.33977002921904
o,99,39.666811419685864,60,50.27043010540058
h,98,36.217815803012385,77,21.2712975392334
d,80,33.44713249505622,53,55.6678974631141
a,68,62.965183169674674,40,15.198431784618993
y,4,15.28264141829082,71,8.554845537397815
q,58,92.02318003445113,88,88.07690637529649
p,98,45.70314540826209,64,53.85447429280723
l,23,59.781356306137965,41,38.807271618603835
d,93,13.100978327176648,0,93.39932864785766
h,51,25.30176771081829,41,99.33841070773411
k,68,63.82188391088208,75,67.33470896617064
j,70,73.06126626912885,17,86.71802141053593
d,37,43.045446858162336,80,13.759390023090479
a,90,3.4330894450462224,38,93.59936997050798
g,29,50.61419776403054,48,26.47704600332269
n,71,98.81105191423383,41,67.57750573779818
h,88,63.07231913434791,99,63.5601156956344
d,7,16.376903004541777,51,65.09846750807385
h,14,59.519737688416264,14,30.232871038935127
p,84,53.813477406656474,74,75.96620930956146
x,73,3.614551206104988,25,21.158878147590986
y,27,0.0841277813120822,78,68.76502567865947
m,83,99.78372654789497,14,89.72419315036889
o,97,1.3745483246753065,53,53.22880289801799
s,52,1.4346738843514562,15,34.139495519913666
t,27,20.589844645001453,41,61.04883303732126
s,99,92.19540870261481,10,58.0577503233773
q,9,34.30910948542323,76,48.88746397296754
f,64,62.08415807444787,4,63.36793982775346
m,24,87.48146881272187,41,62.71758218351189
z,34,74.95652613627098,98,48.52943881368555
x,92,45.00126003338442,60,6.295927174564476
u,85,19.551568377227103,77,26.19566596404772
h,15,15.990268733643376,88,76.04381544695342
n,65,94.70729040300328,93,38.77439443145699
a,70,49.08288421782176,41,86.34849345612025
e,21,97.21240961571159,60,8.836662023856467
b,52,12.603843943784309,76,96.13351689843904
o,47,45.239640529847,66,97.25083774062774
o,49,47.81713985005772,58,81.87936269668697
n,87,56.508128341610956,1,13.415505530519278
p,66,42.52431544312002,14,60.423971862542324
b,4,14.8834947592559,11,32.26469965481146
x,61,78.62251301093424,24,2.934814693786192
e,52,75.10768090108428,18,21.771144807457887
m,46,51.43667833087875,67,50.683382762814
j,85,35.93249402603432,24,65.29084768492072
f,93,98.4506298596243,28,16.386551843332885
l,32,3.0686369494768884,58,56.593361591432554
c,67,39.593182227997104,60,46.72429736261605
k,13,3.3512869507387077,6,47.390261304779635
e,58,43.35764189403055,48,60.40254382475434
v,80,5.959527236645923,16,54.40318390555207
t,97,5.01264940545788,20,28.223691329533285
i,66,61.62665246645549,68,14.79508106626255
s,98,86.60425874663146,17,16.68469393655575
i,44,19.858042765690286,72,19.274912335713466
n,7,3.718063990114018,52,88.53346463839101
z,0,8.779268833204801,82,21.901325746387933
j,35,39.99153781349195,22,23.56283578834847
l,3,48.894732136351934,35,61.703665624545515
b,83,39.636013524360656,54,98.75501354414084
b,12,62.60157372430781,99,30.441302398301197
c,9,75.34972796159616,32,49.08420767085221
m,66,75.02927406487872,94,89.73890437662924
g,53,91.25031156936696,65,22.828493677934468
w,72,32.18893211576965,72,76.18601560220323
g,43,12.819703457622333,10,68.67084837910646
m,25,71.06143308906623,33,63.812846473979775
u,27,87.34787684324662,66,40.368021202241636
p,89,0.7742976021603232,9,55.23300840383616
z,90,36.645246958128816,10,36.26512062540894
k,28,4.9531059236647685,1,86.5919980728771
y,30,89.83837266958061,43,32.06634345268354
m,79,55.897284183879684,70,30.33921796204907
h,87,50.378815886728034,36,52.50561266572621
m,98,15.35025857500819,82,32.778734568248034
d,87,10.964945210819687,0,43.65239304991562
c,54,46.21604832824657,7,30.507954126613114
h,46,21.214588647931077,10,16.894593727342688
y,89,24.1228311581832,10,54.126600676595935
p,70,84.35738953708575,64,16.902811055258958
g,61,81.94116268983645,42,66.9870344361316
v,31,62.83729117725956,36,69.08537215669482
c,28,68.3656730433523,72,91.06147011019765
s,85,65.76191823437135,2,44.499963396678375
z,96,24.31939157809573,77,63.82214541444288
y,82,6.611356290426052,46,34.82252735221258
w,1,98.98933139451255,64,24.476436020640058
s,57,8.271126931730088,62,9.143901503223473
a,89,2.540689337872093,43,25.849033070361983
u,62,85.431436788975,31,90.20239011992611
h,43,49.08099377084476,57,64.73365166055744
n,36,85.78567269616002,35,55.00272511313496
y,36,64.88936954259104,23,81.91441653860288
v,28,95.43875811183388,91,63.33229348984235
g,58,19.789354109935676,91,89.43350001570256
d,54,99.86293565659004,33,74.64698067072251
w,55,80.72458673379592,34,20.56447231683487
n,20,9.889439591095305,85,4.652238858689406
l,71,28.812759675947053,81,11.28479147684307
s,19,51.202244932418594,76,59.99869028741187
h,27,81.02860824596357,14,5.062946367551124
t,45,25.230598089981648,41,56.1692740164085
i,70,96.5311782587449,46,6.428046058295522
m,75,13.319414576034227,74,35.25776684882285
c,57,64.4570945174044,46,77.03523839633048
p,10,82.55744221207753,27,96.34917430953166
s,72,15.27500751423948,86,17.035695928768078
f,12,68.30311690577709,96,45.17402906889123
i,78,65.73871288847639,40,97.6231456513362
l,58,95.95137019211127,45,95.91142913026903
v,16,33.633795714420486,98,67.18781085238264
h,47,3.3966020091308002,30,57.34912075636056
r,98,37.83881852041109,26,0.9777343381027315
k,32,77.76517192614557,78,21.140796048333478
s,44,61.65457706223226,15,45.15591933778238
k,42,33.67757298403765,30,27.824294176733254
s,46,89.15350013614712,5,34.9941601977824
t,79,89.79153379450825,93,98.22433428094672
t,99,99.35589720161559,13,83.13087400037374
