Y,L,P,G,Q
x,35,99.86307268306692,42,28.505717185474523
z,1,24.6487141564124,65,82.66537685313146
f,98,85.99408648638615,18,55.867560448392226
u,100,31.017376205842297,90,18.169507874320846
q,26,54.05139106639659,47,39.52190196851737
r,90,43.41979764637697,48,96.12530177193759
n,6,32.980779471491005,18,48.56871522123005
d,69,32.66870006813516,83,15.789127031713068
j,36,95.52897681187135,17,18.90355974154334
n,40,52.35210382524732,83,10.812703737961215
v,59,55.463939972526724,62,23.316638631509655
i,57,8.478189865426067,13,59.66044997775815
u,54,69.52196076097245,0,13.116465135641198
p,81,66.26556530263463,41,45.22579696058743
w,46,24.058165400452168,78,44.397546867018654
p,56,67.13761659797518,66,94.33021647129
r,37,16.48962484894756,78,0.8058524825151014
v,100,78.37223355466871,24,33.4117432785726
f,0,95.81482050375016,17,3.272218922165926
i,10,65.89244439813332,84,28.59097460255924
i,12,30.561159056489885,73,40.56349939237434
s,75,99.97676708730148,67,15.643211112478816
y,71,98.85938512851178,3,27.693327712884187
j,60,12.4929220047726,47,2.760331746867273
r,90,50.46954898020901,63,22.940176474835173
m,40,50.137119850512924,94,54.32356599743516
s,30,38.57133580902645,86,34.23681677025737
x,85,59.209048479646455,46,32.78685434378439
d,45,34.77617285444179,11,16.8892648332578
q,96,72.6814547687684,38,52.78428305279817
k,13,49.01991769725049,48,63.04259350010232
k,14,52.000061291569054,58,27.11959242950117
p,6,85.96339089453969,20,85.44746176490187
a,57,1.9776624023540967,96,80.79838024983466
u,77,58.80380197503706,90,40.85033449272281
q,24,65.12264716405822,56,40.107196841412765
n,75,0.026201587093799272,32,32.31063060357412
f,16,74.94492672149848,47,16.820381702199228
z,76,50.56804899252357,50,35.04103352371482
v,34,43.85402642222675,34,37.88305434646125
t,98,58.98662944014919,11,44.662260322657055
b,5,62.758622994581145,75,19.250088455579263
a,66,56.65155169871815,64,70.77436916202842
r,25,4.887267653124416,91,2.071390462555456
w,29,23.30972701610975,45,97.72019253504621
y,45,70.208689626831,61,93.23705054233558
e,75,78.81441696003915,94,52.45615201060888
e,50,54.97839792439295,45,39.74028530831255
i,47,54.77928467508654,32,3.9424514731257743
b,95,55.840650508786624,49,18.18626398059702
f,19,50.874806531368556,12,78.51768657616878
e,87,10.694355348560059,8,7.873657678833612
d,8,79.90382317035657,17,14.733005016788104
o,85,53.52442184295953,12,71.57170255268274
t,44,99.49295437824071,68,7.759375305958905
a,50,0.7651537218026139,55,3.8026786022847703
m,0,14.957718907360961,86,31.120419931197397
h,73,12.988913422392201,6,16.410171719233613
c,80,68.77110230514005,64,42.14982419147518
t,99,69.74110035283026,13,74.0114451547161
w,60,13.311349968201757,95,44.83373433753683
o,55,37.40690012611741,71,76.50453913999493
x,80,71.33572852190991,9,70.87695159986114
c,5,72.6651030108063,11,3.1832067867256675
h,95,43.82703389935545,59,30.150426364104888
j,49,1.6654683417087868,85,82.31929417829409
n,73,64.49614953560543,25,18.19515383554089
j,77,98.4410960893059,95,46.31314098334908
j,82,97.43597966862599,63,46.08094170267617
y,86,99.55284687953328,64,82.97345007555977
i,94,91.55914800211075,1,63.09708670698334
e,67,51.91017462365486,37,61.56089110115599
m,98,53.36032146883423,35,47.40552763674183
t,41,55.30268440352746,5,91.32008230880444
i,39,67.7702147547182,44,71.05586447667392
z,79,55.00752698519465,20,92.99486038287527
k,74,83.2792797534687,42,75.33825876233605
j,12,48.141390766028316,20,65.73098580457467
h,12,27.123281843107282,98,15.94681600150234
n,36,52.40435884308157,29,56.61969232629384
p,66,51.74085701291856,39,68.80564177748948
w,91,29.290321593710978,86,82.84087852160641
n,53,1.906261694498379,52,20.26861555437176
s,69,39.70606787692633,75,21.860107551941976
o,83,15.445994096356696,46,22.793094058512388
m,69,44.740538773236416,88,45.8753848461912
d,15,66.23760458588976,57,25.36962316159731
a,80,79.21121532608008,34,71.84020970130472
d,46,84.70482873064171,69,56.30493761049687
m,99,37.42038907441761,87,79.23016117221337
e,88,81.13213291077231,100,31.214285519136244
c,10,16.311136459452136,92,80.07943039671194
o,82,43.07387496242341,12,24.065458820471964
y,58,97.03823668117376,89,32.0896055823429
v,30,31.96546988127563,56,84.19970710797291
p,34,0.3097692587117451,92,74.07372638471878
i,38,66.12181252325826,89,25.53640389343984
z,85,2.707310158641252,74,10.063592393117126
m,64,90.80088162611113,49,47.743306755709725
n,97,62.75628044989797,33,3.7688843442827413
f,50,92.80921432511035,85,6.659976039719073
j,0,78.58536337849372,23,47.00315179559935
h,50,16.611687400731334,22,99.38863435231463
z,54,51.15661245113402,84,46.893522827176305
p,81,27.353928515565784,55,16.819839718967287
r,97,27.69598138503502,40,54.10894944687333
u,8,42.217714694343435,60,46.8705720236554
c,49,52.92939729487036,65,44.059854169409654
p,2,10.062951614701232,67,36.181888658972674
b,2,43.279591976915455,70,78.91209185067342
x,41,84.37899455418855,17,77.46882646259769
s,67,0.1886002816229193,80,3.135147888205636
n,18,66.58118580330101,9,94.09759582226829
l,87,37.326670066588555,9,46.22139949877988
z,32,53.06901993641348,5,9.431333190852964
g,48,41.32180906108469,95,73.06998178623353
m,81,64.41291992267976,69,90.14948740602023
i,56,57.17901222201747,70,85.11445079122842
a,34,11.490179048244997,27,97.85141923928418
x,7,61.519128039334305,16,64.24382938296522
n,100,94.00437149011049,58,17.31148614583723
g,37,79.11271395405144,15,31.453635009053503
o,80,90.49698693799724,44,35.20340401511197
v,11,23.72233045122024,94,20.02664296977441
a,19,41.91749608774169,74,7.622265582908128
p,34,39.02984749131112,90,73.35031547744462
e,9,49.4528157958284,42,56.04039900010569
d,99,57.56953838265475,12,46.780488388340416
d,24,34.28637860085971,91,70.39156292652991
k,33,83.37945225377138,88,7.364937221696055
x,77,44.227461866871984,3,0.97625769716565
r,98,2.985513763490355,85,48.31318798414074
x,95,72.18529001459449,11,30.416344319183263
l,74,19.351317366475985,54,21.018657631151207
e,49,78.72979460861332,58,63.121041670103516
e,37,34.13876319141325,33,31.283190662162987
o,57,56.40097355875411,54,88.19349865885412
p,31,1.3317909843534426,52,23.705739461801468
l,66,62.51538510111261,90,48.439873691246206
q,54,23.43745516347915,43,31.96192757624986
v,77,80.24382747719345,67,96.66590182047729
z,53,24.776763158507887,53,91.21183091000621
w,91,11.384246328660142,4,43.93743562149252
w,48,72.94066412954277,12,46.3120574808055
m,85,78.13142055055457,35,81.73935066119033
v,48,2.39146603108803,88,77.47695666684108
i,47,25.96234770729816,76,83.8715791490927
u,57,48.307566579925286,22,41.925113950133806
m,13,41.151420166739626,50,11.342442969593158
h,91,21.06092721339923,93,24.79723676842146
z,87,61.93792683632873,29,4.681740667380129
s,34,27.19026942195395,34,65.00850864589668
k,35,10.207063481956835,98,32.731284546979985
i,47,53.69137466046424,73,34.25363738522466
s,10,21.791804047954887,25,82.25496327352727
e,16,79.26959837036533,13,7.823164486240863
v,25,22.332149002446698,83,59.04691913805509
k,19,11.42078262922459,36,67.93025977559508
i,38,47.69476531405367,35,77.8709281006379
h,60,90.22153463934167,48,51.42661455313204
f,99,1.8355387463321216,5,29.110187146334077
r,32,33.20985352772827,60,96.95687643329151
j,8,10.123372594478042,100,67.29954606293137
j,62,48.49392168602446,9,46.310752529472964
d,51,55.998653199969354,58,59.12363764126422
a,2,43.040472252528176,94,8.54744893900028
y,58,96.72249488859441,2,5.613441438821187
p,100,60.076235309253455,82,56.036446723437216
d,0,38.751196928704026,45,68.15084691455259
l,90,8.696994379372057,46,23.052846964754814
l,63,31.980286255819678,31,89.32357926781584
w,81,97.49654527033518,24,20.8294982615553
z,81,87.70972101606128,8,75.72080814806148
p,29,73.10379544982185,63,73.62960250606615
w,59,65.87756260915263,30,93.04742914367253
b,6,68.59235541315158,79,85.95471760394065
w,19,17.190614103196378,0,65.01776099494457
i,47,7.646975098507214,21,9.159702459239316
c,87,42.355564911818675,7,59.81025852200788
i,26,17.7052184090293,20,66.74847430879602
u,80,78.86263256919774,19,74.98296038018157
x,35,14.558396091514913,81,18.24132007433825
t,7,34.990658062236214,49,31.064986667490945
i,40,43.836708216904164,93,56.08848158526192
u,4,2.16397991394196,78,22.84641440248939
z,52,62.29418332193719,35,89.63617331650757
j,58,26.822944090263835,100,68.67335886489609
a,0,26.316209542213176,98,2.5420142995539075
u,90,58.00610787309585,65,10.454685986769919
l,40,88.37607191272124,35,29.94528854848648
t,22,60.84280317990785,20,2.750943275545392
b,34,49.49427894720624,46,11.063024700784096
o,94,82.21244167060927,19,3.1934852684507242
m,65,30.464257441720267,1,81.13528408981998
m,87,39.776831743099194,79,48.675182179780975
z,45,90.95479301540661,48,5.543252641647889
y,56,4.424545748323327,55,43.1991495275924
k,66,44.001448128374335,88,72.5866398516606
x,75,59.34787181390898,1,42.15855013653962
p,69,45.919807956998746,51,66.58192074397928
s,3,57.27918448854159,47,80.53212447055105
v,25,97.85618702428393,52,69.04640619335957
z,9,7.3129695363634895,79,51.050916022038365
m,80,32.71097424523658,74,86.87680562947182
y,69,32.752113360793835,74,52.76134742160692
t,60,9.696983085612876,83,4.3766759317043435
l,0,48.296939944743336,99,20.11976395310088
l,56,46.06825245615952,96,33.93194053800255
y,49,78.60026283458352,2,93.72879949092362
s,90,94.31043579520062,3,73.31180629060427
s,31,3.191102554047831,29,19.33958704465336
n,51,6.587049863461914,9,99.52021255278605
f,75,11.715407569449576,62,35.17698352112695
j,52,16.545369139958723,46,22.896922223220184
v,45,87.1373403616613,41,60.65691489206733
k,81,53.322247334957005,11,94.99050723445902
o,30,20.461259771979044,8,37.6270834248172
f,58,34.30363414885272,7,15.688633433538058
x,12,9.328562135222395,20,4.195254450852792
x,0,4.95775412230246,22,31.488179076543144
t,32,21.2269399440969,78,92.01516302183053
u,71,77.99448105589039,97,23.391871889232608
j,96,69.47082761465549,84,65.0995468507462
n,18,66.47627866045443,90,9.814348397103545
c,83,36.35517062958989,3,48.480132994186796
u,79,95.77548525641316,40,15.277078193216154
g,90,56.656207048235494,26,23.845703575604404
x,48,84.44001443691795,7,13.007716951780935
e,72,16.894992807585353,18,54.06369393639429
t,99,41.5062716947818,61,32.622407048389725
j,26,83.0680442803189,22,70.35711295530736
g,77,10.170572997684523,69,12.238931440230171
r,52,50.46168587813772,11,29.060063017837123
q,4,20.67281858041323,85,31.794286868503995
e,20,72.73057237688782,86,36.42983179443152
f,9,85.32090167723845,23,57.262321290794816
m,51,43.77035879077833,3,96.60936493128521
x,58,51.26614320146135,22,55.546278670700985
n,20,19.83307407462552,9,31.092296050509695
n,5,25.14509910268029,29,90.41601058532984
p,21,75.43380260084737,97,15.624161635067091
f,94,20.714566608250152,66,8.306157520476365
w,31,0.3894253603167863,12,89.06583421450965
h,47,29.197449115142092,27,64.69244470457865
t,65,15.555622415190163,16,77.26984326406551
m,5,46.56224025919262,26,43.646468354483034
v,6,9.94393485239583,11,25.55036557864393
h,44,20.050696286626113,45,73.77366192000983
b,27,3.0512388025558224,90,27.434811340252608
a,27,2.6443182279668798,26,83.21478438307891
d,57,37.81159854508073,35,44.28323909764732
k,52,84.03538476509767,42,42.99823150987277
d,88,90.61064912564488,26,36.28683430543135
l,21,94.25725940234061,5,78.37293953830597
c,87,8.373597661993193,79,43.33376495377188
d,87,40.78469098992835,55,52.308241318159475
m,41,68.84391018224912,2,29.09804543229024
t,90,55.74039033642635,25,73.45155993343413
b,81,7.677606218915233,33,18.598307647829948
n,49,94.51013439613021,32,92.89585252726108
d,31,23.23990041622239,6,83.18514412130999
j,55,28.52716297347958,2,96.86340460813767
u,62,82.99104224392137,26,15.089146177840195
u,72,2.3127909176264394,31,62.057916072002165
l,8,25.813671309204445,40,32.65080871495984
m,28,38.79701577174344,7,22.728917055110664
s,63,88.51859045211555,2,88.5197202781161
n,36,95.53692472860324,88,95.40122646206919
o,96,26.73856281328303,4,4.140750507712909
i,26,79.54544709148657,100,49.85709868938015
e,61,62.312554351327165,54,45.584994984237724
o,69,73.12916850950685,86,36.28950687043703
t,16,56.029774762651776,32,13.224709781802469
o,58,73.52441859932189,91,37.27405170344241
p,70,84.33681891444587,63,81.84201231109954
j,73,53.05713408039876,50,22.63372399892052
n,77,94.86090386363357,24,15.651592323940733
e,90,4.771810701079005,16,75.05733369385648
n,76,38.083884379180155,54,24.450152256722003
c,93,71.57750005217319,61,31.779431392315594
u,42,90.76801608295835,3,40.531272994983006
b,48,61.6608268794191,2,71.35955859427605
q,32,42.07101515486307,1,33.26977995120796
d,47,77.18741192695884,42,6.1526192593265305
a,32,98.55858566209731,89,50.01806522247897
k,69,83.44547826445182,90,86.51477628744667
f,42,97.99427549370519,44,18.0659157430202
o,15,35.11174019439054,55,32.190661559280656
f,16,5.548975145475632,8,43.34605196851559
f,2,72.39585038403844,14,5.7088451235231545
u,30,73.49889049685086,89,72.07365287187591
q,83,1.9550906602549656,6,70.90186484020012
e,23,53.234087234154416,100,80.54996821214355
t,27,0.06305388078784446,5,45.95568836110316
u,27,17.32794960288231,52,4.052577459729112
e,10,49.66874214262167,86,50.882110591869925
v,8,97.22887059649732,26,28.47644131081224
g,33,42.22153898089213,20,11.502146807073288
r,70,78.1491438504591,20,32.56785361512168
u,91,50.1728024950846,74,43.1507621277279
m,39,48.10645280750858,24,93.53348290461776
h,25,77.14624349009243,2,35.02745550977836
h,29,96.10909007257582,47,0.560769442696718
c,97,98.39588394780752,32,64.00641625884525
e,80,54.07059073874173,38,82.75216870055715
b,6,78.92587177364062,24,91.70594935787167
i,18,56.01735234392844,12,86.12926129971608
q,8,36.03272509111019,69,45.190662538687164
t,5,59.58404743339465,80,32.52292146737261
q,39,95.27399340869256,27,84.96639799227921
y,51,28.576216870751935,0,60.41553089922162
u,31,40.58482118159677,45,82.17357841815776
b,63,25.75475467914251,12,78.87677408357095
f,54,1.0824957433513194,58,81.76148016496822
q,61,68.33427044798273,57,18.050403909872227
t,65,30.352535845588335,17,42.50102978917465
u,46,83.501791413496,24,3.3000676207415203
k,41,87.64261287587014,89,42.85605144755854
c,96,30.186260204466553,60,0.9498582174889747
j,17,35.27463367884703,34,97.72728347001316
i,60,19.650493042688446,54,64.91765759500525
e,61,77.93792517412085,75,24.828027779949657
y,45,4.822841418259383,79,18.8732018754904
c,19,91.98904147544091,98,17.806249172200182
l,54,98.38632026152585,17,20.589369362012732
x,90,71.630663995883,38,36.732470563626066
u,94,32.291310412580565,52,15.486652732156102
m,30,24.935529289164894,33,26.162498066813853
k,38,58.07444810205463,81,25.883325763403843
g,91,29.904281333881343,30,80.60442580835134
e,88,78.50113734180249,60,76.38941161746266
t,93,23.58591658657523,97,90.17476772732182
s,89,2.9162219697006164,52,47.007647845221015
e,20,66.64146873050225,50,89.1606943463391
q,17,59.83796226889887,67,51.14484164217207
y,56,18.17807280459096,49,34.97684040735247
u,10,99.75930079649874,41,89.92522133902298
h,88,38.75774406556781,32,18.968623339537572
y,91,75.89933993546107,33,23.141585064660575
d,7,13.859349195242265,42,83.66655356855637
k,83,82.69800100253603,8,13.205005262645841
u,98,48.479623410957295,79,23.111948312473796
d,10,41.90990118024306,39,65.80129670941527
k,93,70.87174890118011,29,54.29081963938912
c,70,86.71938904666418,36,89.05563763288055
a,46,57.14065520173083,63,43.52704223611421
h,55,72.69886688678,42,92.71175713500114
a,9,94.71309925723655,64,95.35226894297959
u,82,86.60609580617188,0,69.72416533808612
o,49,34.988487394089816,23,94.9366146974678
a,29,61.8885886382144,72,87.83964190971257
p,89,50.01668118092669,15,5.273140753437399
f,24,63.93137834629516,94,47.192586333687515
h,23,74.12605487569789,52,8.43178433485775
r,91,64.19775610502818,6,56.324541124769404
t,36,91.45366639947716,69,79.24041061653061
k,58,37.25465549342343,64,73.50126709733993
d,59,79.5457221950676,21,67.06971218725253
m,62,48.5295403487013,69,61.823285585955354
y,56,19.394740973568403,12,69.5887934163676
r,34,99.83714195293639,45,7.472270290388893
j,75,93.65868474190907,92,69.59622818850617
n,27,37.42233462376332,34,19.426352108281144
n,88,56.90007810408775,69,74.45755668643224
d,48,87.09888389799427,45,4.358921156942641
c,58,44.399292815971194,96,46.517806320510616
a,26,44.1232049908593,21,10.080796563042648
c,64,37.5880621378885,54,90.10326694793432
k,85,25.97806572723459,63,28.062399205375343
o,11,29.497220181950603,88,53.91430418893041
f,76,46.84367828136416,72,86.64851032339988
y,5,48.769906690518305,13,17.474607285006492
n,48,49.98942330519566,87,96.10672687154278
x,95,45.46258142683814,70,92.78707114325738
r,30,33.24332485090415,55,47.20323096338079
q,96,77.20209433083353,17,61.133596533339215
e,11,63.82938794179013,34,80.8712891687521
f,81,62.63278275368811,100,28.49835069579152
d,15,44.21286130762863,43,90.46044363803951
k,93,82.57123166062344,45,77.60866524004581
s,91,12.098901349472069,90,61.024443081331114
n,92,8.309691559578392,78,4.233441962378038
w,76,65.76523101817294,5,64.0802661045142
f,34,79.13118585610103,41,7.8425152971784655
u,81,33.497274676984226,94,60.205295099268696
a,74,72.77925830715863,66,25.471908029040545
e,69,76.58416652330405,93,67.41717919966186
j,29,2.6982944017656108,75,52.48940041428877
s,48,97.80108845675693,6,89.40849976555033
p,33,50.15040575156377,30,47.744325356078186
g,59,70.97499211333704,20,76.62948988848638
d,74,65.55880602685481,77,95.01220317341475
n,27,88.25648584220377,90,76.65713543398522
x,82,2.8961025236464266,45,85.5230420326753
t,49,41.81191171561587,100,79.28944381941409
w,3,81.35838995526653,13,4.7518545803879935
f,50,13.19382040514756,63,72.88551240835912
h,47,89.44978175325828,82,6.2862946563325695
x,99,64.03548121117018,8,90.17300922382287
c,81,77.17601256084293,78,5.9423816548204496
a,33,44.189895072078,9,54.425575777757885
g,30,48.31730748275875,45,47.133784322569205
j,34,7.643697429765872,42,75.60057198636537
h,37,20.309370050254948,34,21.506768267337783
g,30,0.7806855074592778,83,93.99219321310333
l,20,91.84153421462996,15,43.55609267861076
r,91,22.620456131089007,55,82.48071880920533
l,15,77.94006469963807,100,60.025667071747876
v,50,35.886191656333956,62,11.920246683785907
h,94,51.513863230665336,0,69.71048820981154
t,55,9.511128735584984,93,76.91276983438561
s,96,38.52333609615847,28,0.2502268663718388
e,49,86.00058046840398,23,52.47465107427565
c,51,57.431591776352576,6,93.20439223108296
w,82,5.880213685103741,47,41.534662170162605
x,49,88.0158317661143,19,7.868101299876084
y,100,70.26286567374444,89,68.29819320995337
g,89,50.90271692908297,49,84.80597467479909
z,23,77.95056790936472,7,56.675575578012136
h,26,18.57016407025465,50,86.63962194446873
o,91,38.50965978121722,67,55.29320780994671
f,86,10.965171384852045,18,75.95864012010462
u,46,1.2566523227285575,68,81.88817587389495
o,55,92.24914876066184,23,60.42728225000458
n,99,27.3740006835278,34,88.88008651917978
i,43,13.055181750883339,49,71.93055813203415
p,56,85.39898866212341,70,73.95278432294626
t,75,46.62994558445638,2,25.234376820798854
u,33,51.80979979562229,15,66.76623587629382
w,72,29.849810367041464,88,23.965604665974617
f,53,98.67883806455336,11,91.84405543675021
f,95,78.75957193575287,16,80.05146981226758
i,42,8.306968674121261,27,85.00307630188712
d,67,20.696184034833486,19,55.30966499956887
q,91,31.012759411010403,49,23.791630020230116
l,55,79.8929557993218,83,87.08341620830103
z,65,30.9856690712629,64,72.98551530305043
h,61,90.77707914191359,73,49.103834630221165
n,92,88.003496622887,68,53.53459740563322
n,96,32.264026607369836,20,86.21895895312757
z,64,85.90063219910881,12,30.49051057668436
w,30,44.356204845000626,25,13.911926765193982
i,51,36.12305980584497,86,13.620997748082452
y,24,54.97107279245109,46,62.76489596608887
d,47,34.20693103016008,39,0.7756293754592858
k,89,3.7662097567872643,14,25.46157970645777
c,5,86.12466009252195,95,14.603759441310427
t,27,54.383586865847114,18,33.000995632113096
f,44,34.8836638509877,29,78.12171346862543
x,100,67.39038483741298,81,44.95148022781572
d,64,95.10386259000903,95,75.27498956936279
b,40,64.19625854895887,40,17.365414049722126
b,56,83.97580251003986,4,63.260790452374515
y,59,4.33592537153954,80,22.583968843671943
h,60,22.278741036427242,8,69.95091191305835
u,43,13.17921547449158,17,77.89268631322727
x,66,81.36313497371731,54,12.82414080127321
q,31,43.80666505926052,85,98.59331115189262
u,36,50.17415922295171,60,67.74919776162231
r,18,97.09414357666306,26,25.06637620834319
r,68,20.137025871682923,7,69.73036170311757
g,65,62.9004198284733,97,15.027058477118471
o,55,9.607636016617427,85,90.87797330805407
c,60,28.912911199223334,42,69.65989485819838
e,67,47.41373690215488,20,83.96340865645615
x,64,47.09477917357857,50,56.9782672229118
e,15,81.42530455108155,93,34.66936215751893
t,35,3.4262214601931684,79,9.55747104830602
i,82,9.820319213988283,72,32.29964787722545
o,71,37.8456324735952,54,30.123529001804716
d,96,67.1789730297626,88,54.753548995239996
i,88,22.80936828051455,45,74.31060797270884
u,41,0.43743823619718514,77,58.1066960890861
r,79,30.25387849811141,72,79.31490784065332
j,89,91.11617386197655,53,87.6880690125063
d,45,95.96296000976413,62,79.50771434360475
a,71,56.4338844729919,19,49.81688432152196
d,88,72.15480349369123,30,37.57921107631657
w,62,8.360304748844182,24,44.6385385189638
d,63,7.17511347825921,18,32.51211198711377
j,41,57.552196792913456,89,74.83788589937689
t,11,32.21071748376825,38,23.52391853214718
b,89,54.93889130221324,9,27.13843515981551
b,10,78.93824456113506,75,31.07997768261621
x,37,30.552996780648712,11,11.20145340701425
j,86,87.80208777273488,39,86.73164157406688
i,70,21.36115560233922,40,88.52045205597064
k,99,37.27501571549839,59,11.818863853299632
t,90,79.27806369022885,61,49.052322282672
j,12,89.55476622247569,64,97.1175489983302
q,8,76.78420939726792,72,3.443775237058344
v,30,1.869260684260099,18,80.51866328951365
w,12,42.668332682753615,59,21.291483539583144
l,99,96.75561269276785,95,55.60818691567303
j,96,26.33577109151809,33,31.56959583751926
o,38,48.331422719535134,45,49.06348543964172
p,72,4.546749922879356,39,45.074472888342164
d,97,89.99185776729814,53,14.331972150082384
r,80,34.79201592958046,59,88.34668373690326
b,60,82.85466152377342,56,45.81619065210793
r,32,44.047621516164604,24,92.14110191063753
a,12,32.70142586377216,37,98.94200812110624
n,51,63.32775901239764,23,82.38966985218686
p,25,70.27408989882107,33,67.99256553875898
j,91,86.64732171004732,51,24.47993856913987
r,14,22.495540407302737,44,76.10470680580863
k,38,72.94136288237596,69,61.66274072493899
h,31,86.84821440872535,47,16.53780317690442
h,35,19.512106486283287,39,8.761535307766232
g,88,58.71177513981024,2,91.5837805988669
x,38,37.013633812278115,34,70.187034828857
i,81,93.09890644774572,75,48.25049463571598
q,80,8.15377280943066,49,96.24418844273706
r,6,36.889203498287706,24,23.51527864005868
g,38,98.44704793966052,93,61.3833151855882
i,93,85.1616784973366,34,94.19025104171833
m,41,42.349596048882866,31,21.3828697710875
q,47,46.68363814169274,98,75.73263014921552
i,28,58.31939103774128,68,67.81388059173173
j,14,82.05446747084136,9,32.04660060973767
l,55,33.723895774130916,62,93.78348859442026
q,88,50.85761407227471,44,23.556268953860872
b,67,28.390795709977667,22,75.07764753243829
u,30,76.81746638176237,1,10.307085611301147
a,13,21.940087345158933,38,68.73296014923486
i,44,1.2801984888969997,14,30.76949834982148
q,69,77.41715005838091,3,87.37197894281374
r,71,63.762597627071884,31,94.68719619949964
h,85,47.39262651348235,91,70.5465178170746
y,76,84.65426489764121,47,38.53896406061155
b,66,26.960723171265677,76,44.35903815796935
f,94,60.988580627431574,50,48.5622609141793
u,36,47.351363047146556,0,91.52805507600019
h,0,89.5237355263347,72,21.62939472252503
g,54,33.8759162583655,80,22.30829829693738
p,7,93.7946145762895,34,37.579393126344065
j,69,56.56580388581203,1,23.370207570795976
b,89,23.07665358069957,79,65.92228273264968
b,0,24.280767555688463,99,58.334531359021724
g,31,21.991239759894043,59,75.97135095641777
f,8,80.5220258431485,10,29.40585270357381
t,15,88.9402196953479,28,98.56885084140235
n,72,91.79476393523575,78,76.29594822438762
d,56,6.740686185242051,22,41.09427125428628
x,52,27.60392090267263,14,67.90300235921485
f,95,60.30472401039839,54,4.639904189087208
j,25,28.22316780552012,95,3.537432612186675
h,44,6.624485226055632,14,17.091033172909064
z,32,55.994302626142634,44,43.14357860657747
f,40,57.166046730819886,30,20.59648581683826
j,86,48.79146666607895,54,81.58771906916552
h,99,32.62662689979944,93,73.52127627479022
k,49,10.171476797764356,28,49.25884896716711
n,56,13.425434171494155,36,18.83051529156019
b,25,36.476324881553765,17,22.393272723110403
q,100,97.48175560849286,39,95.04551280740984
z,71,20.672633329619327,38,65.68029617758388
j,100,1.4814587220241648,17,83.8134359297072
k,81,34.0765713944283,77,76.34343630136007
a,32,87.61226600733289,50,87.01731019764777
p,61,81.15034162128144,7,18.47192384117986
w,40,9.312258124520234,89,82.07975476563618
y,78,57.84064933578522,6,59.28664207045365
r,81,92.25214360026897,38,81.52928479301652
d,10,86.16566030777922,72,99.64006125620877
c,49,35.03930836287914,7,9.53398464894425
q,23,82.7222960912976,10,90.00634425573458
i,55,73.04659057161608,89,24.664110142717867
e,51,77.41033862169844,54,27.79738102642215
w,48,77.38146699170414,10,0.40384339293438876
i,93,35.0624109725018,23,57.717096744835594
w,85,50.692876448756394,30,67.44601717287875
o,64,91.90705652776143,87,55.53204798543432
l,54,10.581646218294372,83,36.27016524052248
b,55,22.05621055066863,100,21.157286162675458
g,75,20.851156219697664,23,79.13445983121011
d,58,49.590378509496816,13,44.42052851852281
g,98,68.95229556880967,71,34.01076573285552
z,10,43.15057816158158,0,36.02433875930273
z,56,73.41651619937258,95,37.013733375203
c,92,51.37901293146155,52,34.23548488355027
i,69,35.69853822990719,72,81.44562491423781
