C,L,J,Z,T
p,52,58.63556604953434,38,88.70034867529807
d,91,56.52498601904708,54,31.475100031397584
l,62,24.522219322051185,38,28.447411364575547
v,22,6.34010063656858,26,73.21648699505452
j,30,66.03688841615664,43,68.27946599464167
e,32,66.03792801814875,69,96.18638735175449
s,62,28.555479937982543,29,41.663473781909055
d,79,12.221249826443103,66,0.4212294906452696
a,49,68.60874131634881,95,60.531171945235094
h,21,11.349614477115955,80,29.78814475791498
f,69,21.66458032897266,50,10.158901040704372
h,79,59.03459310540398,61,51.174094278776295
n,60,84.64676706130912,10,44.41028056482874
j,44,36.20326322592913,62,48.76014211720142
t,98,5.836936416630301,75,90.64012702277363
q,8,81.14970033801602,29,28.736813851048026
q,25,75.09468912920603,90,9.446310447108154
y,34,39.126915072396415,58,13.451785965263452
v,78,96.7225871435289,23,10.948634218527008
k,51,55.37801752891628,55,69.69878488829092
x,20,70.06470923175877,45,93.92702646450502
n,60,86.95401388583926,87,20.83324006901962
f,41,19.224798113310058,49,6.7586621756380865
q,63,21.839789059715365,72,22.542672035600308
o,2,68.17680939918041,17,40.53640350206642
l,23,22.778975277041123,83,23.38889520079809
i,98,0.019247022378443557,91,71.98687661874995
r,8,47.820562069653924,45,5.151597161150789
m,49,83.79143933677788,14,37.40890110813771
l,30,23.720261353347226,86,93.503928912663
a,11,77.13989416395451,78,78.47869691097928
h,42,80.32773017018536,21,17.222077810313372
k,26,37.5187819897668,14,4.656682551447188
z,69,97.34658724274216,9,26.743193134149102
x,58,48.407619919000744,66,68.67378064356767
d,30,81.75005986396549,59,91.28306644331622
y,7,85.0465270784327,67,36.8383360598023
t,63,23.53384897061931,6,83.60358579768452
m,83,83.11746802477124,79,13.8283680387428
r,27,40.23230286763629,9,90.13859076530773
n,21,44.24477925354897,46,25.894894025446625
m,2,18.331345938305667,17,0.7175576971010122
r,41,83.66913719879088,42,8.824351960983012
d,39,50.178967327282884,71,15.719477474744437
r,18,48.95283637901261,98,46.605743644454634
s,85,12.016771575853191,28,18.049657875819303
i,95,84.26776049105901,9,27.987551463560788
d,32,32.79727211189297,58,82.44564053867946
a,91,36.21236428208364,39,11.441324065298497
x,16,81.1891395782393,85,31.402903515753554
i,27,14.392543665380696,30,40.45793530746759
r,68,69.92128407360674,94,64.79149142751058
k,72,35.43310259829882,53,64.6424100607171
k,34,38.32019585950563,84,7.669855673737002
w,77,22.07715397916451,90,78.03377571487428
t,96,20.660336863395557,45,46.76791447601345
b,54,34.73094958700867,79,98.94540936307718
o,57,33.94462000340188,66,70.02626759813793
j,79,89.2340878456625,9,8.210313026010674
m,41,1.4387400600954892,5,92.09816268488805
k,5,26.21210460532456,23,64.22840627474373
u,41,30.17719964665736,2,21.440741828581842
f,16,84.63356579834321,79,62.858562829897934
k,61,34.0256354169664,58,33.081421742802675
j,59,61.58430872490588,92,54.77720106822338
a,78,84.4365045711494,5,32.15486055627841
j,9,56.87988914634108,69,8.809834604508836
u,12,35.78603174631822,97,77.92228433964581
k,98,68.76462097468848,23,60.14163926898702
k,0,41.1908118890822,80,17.975505579082874
j,76,65.50852924350264,52,48.12855482861378
y,38,53.9034144630933,94,95.09606505055608
r,83,49.008070131371596,29,78.66840905753628
w,12,57.88763139167861,36,55.24557811602615
q,95,75.78489426973171,1,13.254891435474514
j,98,69.72920580270657,80,99.54314944023423
l,73,51.17114657885842,15,39.102206472466975
d,46,6.801597878868226,77,24.232557272735257
s,77,24.03887401215715,78,94.66286846913258
z,66,23.09816925532222,56,35.54516611898529
n,97,90.94330486489936,67,79.9282098333733
k,6,63.06320739909103,14,53.278259648316975
b,53,13.494919222873026,97,81.95276151422483
p,84,24.265114145408052,10,98.73237195457352
u,86,67.52726626567478,2,43.22560981328266
p,46,45.14076757899451,51,22.098176714905648
b,68,76.37621514885917,8,59.74775957753693
p,18,7.113758023463168,4,95.11624625196163
u,18,87.59275066254627,26,56.035500074167885
s,56,98.98201052748972,87,31.159037002620494
d,52,50.66420826568425,35,34.94032558573147
d,2,88.5363542558338,35,70.87714494826382
y,0,65.93736982778928,47,39.740977781548196
j,87,8.762310924007476,33,29.674636946578836
l,23,66.26477039163959,81,59.71659994009551
h,39,11.024981076621643,33,54.9713933362981
h,49,52.9783393217921,43,95.01902787009469
y,77,71.56710727613745,53,26.245487636662055
o,38,56.03153703316023,72,30.969579315191453
q,88,45.30721174034823,67,23.180102135296675
s,17,10.854766141800498,75,1.3350878143186917
x,96,56.7935346214677,50,67.16617820570647
d,15,57.93938365020349,11,92.00680290431129
z,51,44.988967364942,47,94.68381638126931
n,99,38.13390701523214,6,56.244982735865804
g,50,69.89715543717136,22,7.969574631466003
i,82,62.174471172070156,49,93.2363685826262
p,82,85.42794474971971,97,29.530518147236563
y,45,66.28702377651297,44,48.32523082613055
y,65,32.89912449370797,4,82.00781565575774
u,47,78.10846650027145,6,49.97757222069613
i,50,42.300618399776035,19,37.531227972069416
j,98,10.33922811902257,4,65.43690370498054
e,72,11.413878398038369,22,87.57587892025825
y,23,4.378808046629768,97,99.04086799406623
w,3,91.0856956497333,81,75.3313108525789
z,45,51.303744518659514,86,57.878671483626206
o,12,38.31227053930378,38,27.53888521703124
j,99,21.515376776675833,54,38.39781598123935
q,46,58.51668681899953,14,47.68402198281454
r,65,1.083501712908752,60,87.24907781739176
i,27,37.735302168941274,98,59.42880523027691
z,88,79.88091829228695,6,7.240283261523118
t,78,62.72454825057787,6,58.44510775131726
j,49,89.99626765697003,14,38.59374393870926
c,74,65.17023021399811,65,78.58606746175066
e,14,26.176565736781367,28,86.92441697998756
e,16,15.358106158827223,97,28.977442432112298
i,76,38.02725636663742,73,99.44436592937544
u,56,38.25493852556613,80,17.94158009180007
k,20,14.202377712043202,45,71.50387723571052
s,61,81.07880272398688,74,91.1089631247336
j,64,81.42007167147615,6,32.807979388886785
v,97,43.49888861063733,51,13.75016239079967
t,38,84.8395797264805,31,91.0354202636898
z,92,25.324476157027178,100,71.0589868098061
q,65,87.6722678456836,21,58.29593897089724
a,75,93.69588953789534,84,42.45258933609153
l,76,51.112704715047265,17,8.200850495456734
t,28,98.47115719380619,23,36.95948224760437
w,93,72.26117591305777,59,19.62662928206298
f,83,83.01612668990175,43,96.94423245690072
h,93,35.31537522906832,35,65.55711755483755
l,21,34.66422101562614,75,86.06795669955854
g,68,22.386774363145577,4,43.26609439461615
o,74,43.41903402509889,96,94.93934773079383
o,24,5.2105887645748306,6,38.641226778561524
b,60,8.182917952178926,88,47.243152943258
y,77,13.19122542805543,52,24.719014450943643
n,60,48.58243739812495,71,69.71179744408502
m,46,62.97020195125075,47,81.58612830232445
s,80,17.788832668264565,97,33.897807141696255
c,75,69.34246994416435,46,16.831666936539015
i,94,43.725703640314414,13,61.54858358804507
w,16,27.432045528702854,20,49.12895309008209
t,23,60.73640348740022,32,3.1109751891511106
i,52,50.74597391476421,82,38.208003511404186
y,85,39.503811734936,38,0.03673992737056597
a,90,95.83395871819349,12,84.85076419702328
s,15,68.05226873158053,61,62.46644768605074
l,29,5.705049511622573,36,17.056987575101136
x,84,74.8444863362436,97,98.44828917086164
h,23,10.108531813716759,36,73.2316147797801
b,29,53.96689685517462,78,44.14918024113425
f,39,79.57978339192186,42,96.1113450508932
m,7,54.804199768067065,45,78.86886782290506
y,26,89.1297193195755,21,87.87810086992258
j,44,29.361768300508107,91,81.72730651621303
y,1,38.332772890087085,27,43.931590430037694
s,69,7.402413719141466,99,76.19244488854031
f,18,8.793755966672078,76,44.23377232311656
s,27,19.501205940328504,69,29.710099806681278
h,21,5.911280935289676,45,80.49595180412643
u,97,56.49691969860056,35,44.358910860077614
s,29,92.49450915113457,89,33.173866286852984
y,49,45.98116398806421,67,90.03573295559423
y,88,27.99942990348422,98,82.57906805239583
w,5,6.625269292345237,94,84.70283523577928
a,84,9.36720237082177,79,12.794023613053906
v,95,40.8921420468475,29,67.48476131742906
f,78,42.0372259417512,21,66.37162909123396
b,26,48.639609936101444,57,8.088539249329319
b,39,76.61397139976094,35,17.92702769708898
e,44,26.94078816168364,52,47.64911538939399
f,89,32.745464369837805,42,94.89413572368875
k,6,57.133376959032134,56,24.66671816983661
l,29,22.359455116673242,41,96.87057088970535
h,69,29.85705006485688,47,10.435230392497651
q,53,43.300042667374015,53,61.963765847985506
e,15,25.89580990010135,26,20.92708778215404
a,83,92.85409680125937,68,54.824397319745586
m,36,52.363607598228675,69,22.192443328673008
b,3,35.880734533706516,27,36.08949626829164
a,72,29.185585493870235,10,85.52875684694257
e,29,55.71469675210293,71,18.63158302721013
k,22,5.5852734934033315,22,52.117112802242616
i,58,69.23456465878985,32,20.040850608266524
l,86,73.48942196638637,43,5.8870911000280195
c,37,10.524294832665282,82,66.5524544393166
y,82,60.50253403975461,26,44.63926863972624
r,41,6.630279632046188,81,95.9678042888791
t,80,38.25903851703588,53,24.667353606513654
u,39,42.99908266640182,29,87.9589041860027
j,22,80.16487440486893,95,5.880609306203876
m,5,71.79519074838177,92,62.53245508593408
v,22,6.15982476907051,50,10.498473054749692
t,65,72.42421564108542,81,96.30885446533927
v,59,58.76999877967457,8,25.909068828815375
r,75,19.814172478145842,9,31.37095459515914
h,26,11.375767785068769,53,89.81327310995614
j,54,46.362309409145176,82,97.04057943859392
n,26,58.98909400194009,40,15.123924178890313
m,12,79.0693995401999,0,65.80374685053833
c,0,55.94817230561194,53,71.08053416222492
c,91,58.28899617064297,83,96.52816969017275
c,89,86.26872207905237,19,4.211710457754448
u,50,73.60859083800247,46,15.775186138152863
k,2,92.89231228282776,20,11.348592256369749
p,77,93.5370827486849,64,96.00987709808108
b,16,5.850848168792044,29,34.24246126792989
t,96,10.37714527743362,40,20.200763949673693
t,30,40.52563381878187,47,71.68883266606187
c,85,53.789206770899334,42,98.2503421151992
b,42,43.22895888658576,17,93.52021683136041
e,24,79.09809281880541,43,10.753962516730287
u,16,13.129783668700679,57,57.326707216383376
t,7,79.51077776305364,98,82.48272471278145
c,27,19.9292589782613,2,65.07406371558226
z,79,50.51166297910616,32,68.62335076505057
z,80,82.25510553193473,60,41.824658911035826
j,15,6.6738533504776765,73,36.5210602427772
n,40,98.03627686988897,91,72.11885864501953
b,52,84.28594886831186,77,21.756157422030785
z,10,42.50827417064762,80,31.900305137255646
e,36,84.43013836054291,47,84.98770290874582
e,38,51.57482716275808,88,88.80531432174918
x,80,65.52271609622674,31,8.579132843375747
k,72,64.75093496142121,57,14.357510385335125
k,93,96.89724489719814,40,46.50910991129377
q,31,40.49294804461141,56,16.36368992421072
y,100,54.39287903931954,54,41.4522027916057
n,90,42.11306153208446,33,67.34252134019022
e,38,6.703983492108579,28,90.74116237408963
d,71,64.34202675776483,41,11.629348629948911
d,26,5.886107737598579,92,63.478328812231545
w,3,46.204888715015656,39,98.94230393703548
f,5,94.27753395599407,21,16.243285422307995
i,5,39.07297900057512,58,85.13769997410145
r,62,99.83233664979804,79,94.29421878181496
f,85,22.343440072090303,58,44.925099865987846
i,2,77.87696717533886,18,36.83810431835175
n,78,88.67848829090626,64,88.3537181983619
s,22,17.094374281506475,10,78.84393685531397
x,53,40.32428905468749,47,57.38692122571793
n,31,15.739876099321881,4,69.42040297104526
i,32,38.28013044639567,77,60.22822933217347
r,1,8.199053073627105,90,25.974586116420216
y,96,12.588214150387046,44,78.88132222246276
h,100,3.09171891795168,17,65.0048636308458
s,23,95.45162867723269,5,0.5548138264700908
b,0,77.0151673055134,45,53.87319441309694
t,38,87.08077688931078,94,85.72278390226953
q,18,8.506329445150262,63,41.11896091198156
g,43,86.51692254729598,60,69.40217025122585
h,82,61.64849949800873,60,73.8230205411435
n,52,96.16457474318221,80,47.053858458441496
b,80,54.59114108766213,46,66.15272465694521
g,41,10.805704323985399,6,65.26305903418273
e,30,48.107934484128954,49,96.11123735489149
g,85,61.751269645782344,41,5.3451807514071525
u,90,91.36054027283505,44,74.48967998175937
s,72,56.798609182435825,54,49.59030844057478
u,35,42.39368464194233,13,73.30761654093531
l,94,39.37576693326984,53,96.49746107349276
v,18,5.024887513304033,5,67.82650849403726
k,36,32.610945214904206,7,16.347421169155595
d,91,62.11107028826536,78,17.54322968871539
v,43,46.84237022002736,2,13.63473176265677
c,78,73.1796338717641,63,39.422775925007635
l,38,81.30835370178983,39,73.39231249010994
u,64,61.51581725555755,31,34.801727713380934
b,56,53.25565177321673,31,50.054419873172805
j,82,57.333171747345126,24,42.47113312001821
v,53,7.174868330992712,88,1.2125198624026834
g,36,25.57799837288629,96,81.34282776939618
n,58,91.26817185065089,67,77.3201166707284
u,62,35.13418973692306,68,7.8335233080945805
u,22,45.91194112258628,90,8.287366340947832
y,68,76.65248018785967,75,44.59237835907632
x,2,79.90922760479565,37,29.563523991035346
n,91,23.438306065433224,38,1.246851198739507
m,58,73.66883694878399,82,94.18675308323033
e,28,30.865950937626796,37,51.03904835592887
a,24,21.62498440681816,92,57.94365300649387
k,84,27.719343923108962,48,94.79619051420859
x,77,68.6164620650234,74,55.89025513395466
o,44,7.504514047995803,27,40.40668308019318
q,23,62.003742000924056,5,90.16141518054026
c,65,47.50109247977529,37,67.59502162988811
c,22,19.735322640309818,37,83.0710466883655
s,18,63.900877168517724,97,32.89001639194631
c,3,35.253635345463685,8,43.47608732451527
j,47,87.35244980272536,27,37.01613212932134
j,68,63.47852599169044,98,3.2762345325198727
t,20,13.78351789008695,18,39.643321180836985
u,11,0.8021205966359024,32,59.63289466114253
w,2,52.95523235973394,49,77.16126371209319
o,83,84.16687451394988,74,49.140912969238705
j,86,11.667271943105117,95,18.935856447489996
v,51,16.08424621762612,41,3.521241021617627
f,31,2.1987623462737638,37,18.22637800761352
n,10,53.91491606467825,62,49.603041218380305
c,59,46.81532934352279,31,47.44022017473829
y,41,36.740156159243185,43,46.0928888739247
g,41,3.887274754321224,77,56.69453613270543
a,75,65.69138788331666,18,62.40541916166029
x,96,21.342289586287155,79,67.30455571363224
w,60,4.952998325007362,72,98.86747776794628
f,36,54.68816164290998,11,63.21598741735275
l,53,81.23242703697157,93,58.99851337955327
p,26,43.3473098823159,89,87.12110090721312
f,24,45.071792250827244,69,74.16192458242632
r,83,91.34562736540708,79,25.907891051856215
c,67,84.34920066677704,41,17.73313807833109
c,12,92.7512855142005,22,51.142192760766925
h,88,66.98969007410419,38,3.7169399941478054
d,74,70.76974501271707,82,95.70399602102547
e,84,49.425833065425984,58,21.770572239413443
l,27,2.0399122649750745,75,64.17481362520516
p,29,7.788859471715071,92,35.9431013139161
u,32,48.42905776384544,56,89.92056290390565
f,56,59.5149466782494,60,12.29959091258962
p,41,33.07963403354799,42,24.685208473003538
w,36,66.04560338830312,13,22.45437206997043
e,14,56.63266286608315,52,70.791919975067
c,13,25.991334755085326,0,69.40584585083359
z,43,89.57725554386806,92,70.5354965969185
s,72,96.73749315946944,98,44.70914923863286
r,6,81.77680853149583,41,56.32854604921419
n,67,16.9314054245277,51,9.866251069097732
x,90,89.2317080549936,82,15.755677589895178
o,71,11.09851587353905,1,93.19484940111631
s,41,6.9019285774944095,64,33.99755337590085
s,27,2.6766188829880466,38,64.14958707309407
j,24,61.93257430138025,54,85.00405728046935
k,20,56.04825111898829,46,82.19645271163301
e,1,84.54037277664065,43,11.026693379650688
s,20,31.953919841173985,2,8.062907893207127
p,98,83.03732415118247,83,82.58174182151126
a,44,43.44160546252665,91,34.12960217236795
p,83,43.93255877432431,9,5.373747508461246
t,37,55.713876723555686,74,87.88228521635513
h,10,50.865962319792004,34,77.58434717082075
g,62,44.81146192980327,95,69.62566725767009
m,16,67.23936254338525,20,79.46501625877401
t,87,73.11203185327959,65,49.798609247802105
w,38,8.372011418585611,41,34.614090197630034
s,31,57.37175211440684,50,57.98264959736864
i,49,18.243507704793693,75,86.17595155563352
z,77,21.073034089804498,55,46.758437361215755
z,13,19.523513647708455,89,39.40523990383096
x,20,86.89373153617265,82,60.320855791823
d,56,74.69002398467624,68,82.18012382712475
n,23,66.1366885667569,45,61.468502449189124
d,96,66.30841337613236,28,48.19324978042382
n,97,10.927309034374932,43,53.12660394213844
v,3,35.51713518622693,35,99.46743972972352
u,24,32.1714745445418,69,66.82504865021708
o,45,82.36495866057831,46,51.8610447992685
k,73,51.442417948506325,78,18.531446249476236
d,47,45.75156846855144,30,33.0600344798536
k,94,77.2647402897552,96,68.19912236380081
e,29,50.5855028835043,93,73.00065125873682
w,73,2.5578257121072867,40,50.2518261256535
o,40,77.20846352201721,70,42.727820465381214
s,28,28.2655729127988,90,83.02159061064414
n,46,77.0157284763931,6,8.689642862401502
k,48,48.361458573268,25,98.95965721922619
j,75,83.4557794289823,80,21.348581378203036
s,12,6.502410755071486,6,47.322756552810354
u,72,35.68918823936792,24,5.02264138273365
z,1,68.34143963957291,52,84.38052880259728
m,95,77.85051116073765,3,67.2530613541126
z,7,95.47079792717635,35,9.103654621394142
s,10,52.77007242557418,9,82.65903029597021
o,16,4.467814862336117,75,87.17346227396776
b,18,86.66818972242815,17,85.56278015804243
v,75,15.45492609295238,85,96.06783494089055
l,66,37.585066037114544,83,51.661687047251334
s,84,58.8379340796632,45,57.28084093296394
a,41,50.68803930986825,5,49.46064278076959
g,11,2.0861076333188233,80,19.890571110366228
x,80,52.60838578535522,71,43.12297752803378
y,27,51.372323824271795,64,33.221136459564036
i,94,78.75607604633397,93,87.7597739439963
q,44,26.815770212792334,23,45.60686515312202
a,34,46.705143656507964,0,52.49680859445579
o,92,40.259309805134336,94,56.23161125095528
r,61,93.22754932130086,45,85.2038395864339
i,13,70.24168084694305,87,98.66616008051965
i,77,78.93072138163295,34,94.30628451215168
e,18,94.68089219181826,95,34.097211750549064
j,82,21.618533684218168,38,41.68954991485917
a,73,87.88340204148437,20,12.448767294286089
o,77,98.59523494048567,83,85.85485149449053
w,55,8.696168473092447,32,80.63265800668904
m,24,96.70086657571551,58,75.52646114952695
q,19,65.65808388267446,67,73.04182767778465
y,96,39.31404055760618,16,49.47995132844848
w,68,39.66356977434226,10,1.6062673759292267
v,11,85.9080570288905,36,92.32827155563092
i,35,74.20912528497055,64,76.33012370074461
s,5,93.46530796118616,55,4.5720128549396
t,15,45.8268862265109,45,50.04012274184932
c,47,72.7872273207046,95,68.25753402460431
c,23,61.04724818680326,5,79.46836747501156
c,30,35.88607675641603,2,91.7604294938672
x,10,95.4767507978563,78,38.31170523719716
d,86,19.483032850962356,76,64.33364291370987
j,13,75.08793543516076,48,92.87258411676376
k,9,76.70988800968685,9,6.466147860015248
u,2,90.30075841173756,3,1.8782208791461974
n,36,25.97332398516231,46,55.429383790833654
p,98,39.33937413507934,32,96.59814876860176
q,68,37.94231007420381,65,82.37969403190455
z,28,7.694713171025425,56,44.24858877704851
a,16,64.47386149532979,7,93.86057089296852
l,10,42.38865525401051,51,95.66142013257985
v,69,43.474963388114276,84,63.461859123384144
q,31,55.983092131972114,95,59.21270092135016
s,75,17.26975930017226,29,68.49683768087253
q,58,9.434276567945222,88,65.86046420452152
z,12,76.88587390587789,35,41.64497943578828
c,45,40.87844561656869,17,66.3404583787506
p,44,21.736436164089824,41,70.29078680410747
l,15,97.20068177362852,21,6.741035337104928
k,6,23.322297160042062,74,50.400281326871735
n,76,81.64235697834059,100,15.690777402198963
q,50,30.562502202868448,51,89.59124703379081
c,22,17.460612445145905,38,46.06002280034728
g,83,18.951595102395647,75,25.06432083998066
f,85,37.78933891885941,17,89.51459840497618
y,95,88.0588447648904,14,37.73617351150915
j,84,40.37728243461438,50,83.17750457187216
m,0,45.46012208041296,78,74.45663502365328
b,13,11.961062779745735,12,6.732531422778143
w,91,15.66759002846979,43,61.16863745043953
f,89,61.70703638970091,12,46.255406747981844
u,96,35.079025188067924,10,78.73702886996557
b,67,66.82765598237398,9,39.96219470807705
j,69,98.73112346987483,21,5.371021097716733
g,3,41.95086443007882,19,39.41364306947855
h,60,96.70629262293748,52,20.657026761952103
b,64,71.27436943751519,90,36.705498319755215
t,70,8.35290148894724,29,52.32763953920022
y,15,10.714214880564155,50,66.13921117509332
f,52,37.11855182246969,51,37.9227580464438
i,91,66.36402057416812,3,29.591129231751278
p,56,40.28858518876564,88,65.36852884125943
s,69,33.08933689662121,97,49.19828264927726
h,80,60.86198745254351,30,78.44074331501821
f,6,63.712222039260894,74,1.6112031771534752
y,84,65.44308921056414,25,51.14622285664455
y,65,4.648670172829883,66,30.918957687803903
d,53,40.64227098994492,30,26.726925740650522
p,12,8.94455113367747,51,8.76069310114227
m,1,14.316125918529055,18,51.586853342009206
v,46,19.523549109050442,79,28.744047057355225
p,20,29.426370930491107,60,68.95392009455632
o,76,8.583412678790703,21,27.66074078901024
o,62,15.413159670821452,91,77.43409882038182
r,1,58.99452820138797,83,26.618449349080432
f,12,83.00624235989513,62,18.42388047501492
b,88,86.32341861215423,87,45.92532266328643
w,32,90.9179673326536,61,21.144489902837492
h,56,78.49323068408086,51,26.509546760290526
d,20,65.24353851330284,7,26.93633034021985
z,32,36.05149199133292,88,40.39578793798487
o,9,29.971883890478747,15,8.522601678190666
o,42,15.40638148495197,66,92.48516649402848
h,76,84.77565910576679,9,18.87262046355285
m,35,94.87506370159117,26,36.23458278921456
u,44,71.70907971144317,100,59.3977725710105
h,79,28.756870846482474,18,14.06804875135087
