U,O,S,G,P
z,22,52.533690537511404,3,50.41945604009822
a,79,6.984729413677027,95,71.12240849979636
p,83,58.38305692610454,33,4.774549646687232
v,23,91.10771286332387,27,26.036033226092627
t,17,93.33215908360202,39,41.521706994729534
n,91,87.11802999725074,82,66.78519759958141
h,38,48.024760200104275,0,88.90475677527927
i,94,22.374582324199675,90,48.579694155964226
m,3,15.518663743258754,23,16.836470510065173
z,77,38.706958501852874,50,92.29332701703373
i,5,60.22169176173159,51,39.338399303525875
q,83,54.47290064119778,91,83.45808174922517
k,46,2.458978051238858,66,18.561864388809447
b,5,0.8001145767567941,91,77.82887414703269
t,48,85.71415379865888,22,88.279997650222
g,99,85.45415044439963,20,51.333848903003975
u,24,62.32159628524274,97,61.814656891769694
j,13,89.90163373350552,13,59.70597297280412
s,89,16.816690004964506,61,35.22834991323437
b,36,34.61453103218244,78,60.72471993657259
e,99,67.8526173816772,63,49.67589424984884
k,17,64.47907347416597,89,76.36259921671521
f,33,77.54594513335394,36,63.117051028784964
z,45,13.097690643927818,60,95.07214905744266
x,64,25.060509772562533,0,68.16004699024766
e,44,32.755055404198416,25,41.4646867045671
n,40,68.07185190550976,49,15.49260953894681
m,64,90.04759719398632,66,92.44681348325352
p,13,40.06431870571756,58,58.05036172450878
n,50,55.2821537798011,71,28.521956333021116
y,96,94.17002201743111,10,68.08355043745071
r,75,46.44090763308858,86,74.68014282790878
t,22,56.73626356095123,18,4.126587085297839
c,25,27.17317174740964,69,48.070383614324555
h,78,78.17880449740684,11,82.16182317881287
l,68,82.77335563082411,81,19.731019146014194
p,68,79.82584927637049,22,86.31683499530104
i,28,55.659446324976855,71,32.95382691706692
c,68,98.88106590200584,99,21.84741902734103
h,84,29.671482077606303,20,49.6126032016183
f,99,37.10429504801318,9,26.41398173559386
a,97,48.0798643734022,83,4.138992268429808
s,57,91.73883662079076,84,73.63636873011504
f,30,67.80066821271544,73,20.84397998830618
k,45,63.401169479647976,25,27.454376323141084
e,36,16.866772869758705,45,7.034073662202567
l,59,99.06310547582126,60,95.28776156740446
o,50,36.88196445448762,21,91.53199417303567
g,76,44.0573307927478,17,27.520230827110236
q,41,12.782751678739945,34,92.95827504794785
n,46,58.77902426115062,28,87.34954108851906
c,6,88.97428502533215,31,9.969001364848573
v,8,73.41495037876263,4,56.32788181064255
l,73,97.64794436670186,32,92.90400762749249
q,95,3.2747881438313087,91,60.5291709770885
l,98,27.403649151876518,86,97.95031633472287
i,94,76.29857459890943,64,78.46532438178373
h,48,96.90695300198287,35,99.5386496678878
m,85,87.61743946548441,71,37.90900498623005
o,29,40.181604801126255,44,22.331080519010982
v,68,79.91702864743527,18,41.68203130788307
a,86,55.40715132287514,76,62.38704600428473
a,38,53.920166663752376,58,33.95715822109903
q,37,32.547866791724765,100,20.27423186559757
w,43,83.86032077745105,71,76.31487978397715
m,44,78.46000348122854,69,80.02754692515373
n,88,3.532905045354029,41,43.493460986658995
x,23,84.28708667212655,14,79.84903570359717
t,97,9.840493887725943,76,56.19659550892911
d,25,86.23587126708571,89,24.802651660900743
z,81,27.159525626015647,97,68.41509717679986
f,100,45.19830916347127,49,34.780998034363776
f,23,97.1932986129841,18,10.834891887269615
a,60,99.64701147179224,93,51.5557495388467
t,86,3.9297429902527936,62,95.35866958135712
o,45,18.56046640663056,94,39.713340428461066
w,65,18.194276668684562,77,27.01762924968013
t,13,13.645723815097167,58,13.665902155686327
h,92,32.102392788865984,56,28.735657550418658
n,68,56.829550057447854,70,61.72877852511674
m,55,88.71504982142564,57,74.3167895828717
g,23,33.822843665757254,74,64.34739359910101
v,96,42.63913001852367,0,53.894219117366916
h,50,0.6091974849136483,47,44.983776068702696
d,46,46.63976398462616,90,87.92038034146236
e,2,55.825905068586266,3,22.121456822358166
i,84,98.67174246892858,25,78.3220470897709
s,28,57.72414930863411,50,39.200719107234626
e,15,16.406867939348412,31,87.95415336207422
h,42,38.61914864347115,83,59.62213851451806
q,22,87.22858897935288,90,56.17380769464594
b,90,72.91845402465846,80,30.649003264590956
i,98,31.813467971692745,83,17.862550386905475
t,7,87.55317370822783,52,61.28420865795493
v,78,82.37773471862965,100,27.624061559882918
v,89,2.4593024010115094,49,15.780613253211516
j,34,71.96948123514602,4,37.3259834245654
u,3,17.20578253435223,30,85.23360808004544
c,97,88.37810016600963,59,43.605081789466205
z,59,93.94130087173953,50,64.14219188250615
a,89,13.447634438691924,85,54.93347105480091
y,25,22.91949494770157,39,93.14561055647421
b,68,10.23928103628945,7,25.34437179904033
l,16,87.31240504983185,25,83.09061441322497
e,91,30.790637746466576,3,86.14069370168228
e,38,65.5428989541806,67,94.64641836408929
c,29,14.371632282653978,15,55.538565018947985
r,100,27.77815961894453,78,76.03385519388219
g,74,81.19807229120227,56,32.52274049558564
x,100,42.482445553839995,17,40.363965840302875
c,81,66.96344265462724,58,28.621627709442066
p,56,17.71371015270593,86,91.42280652529757
y,29,18.71202429022343,45,86.5865662287938
d,56,79.65360519548263,88,28.281023766218492
h,32,51.12709156993329,91,35.32809323706885
f,43,42.27196455099386,5,71.19548652092845
k,31,26.872000693311506,22,68.23086306235264
x,43,39.32964026594177,60,30.799985836219246
u,82,54.8868542592046,0,14.41674633402743
i,41,36.632087885082285,52,23.064394985058712
q,51,46.010781246085074,70,40.28330205513841
u,32,29.801500879290966,35,54.53874478680182
g,24,89.72528277806728,38,71.66469958668516
m,13,39.08830532630352,8,6.402705937876007
i,89,88.33659407416576,15,31.687406834214194
x,81,33.633966190418754,37,46.502785811922266
c,55,90.22886141242378,6,93.47054278782876
t,31,40.255574607813436,43,62.237251885391856
i,46,66.04505208639378,5,9.910214837108045
p,90,72.732163418461,28,70.0733836412332
i,66,30.924295912921295,94,19.849649925758182
r,22,26.024069199901113,48,44.06909475565843
a,1,6.007435336179567,2,52.924684420354616
s,85,50.362137641597435,42,30.154611369938632
w,18,34.91610734360917,27,54.658059698901575
a,97,5.174858244886648,40,95.70891702838232
w,85,93.32373142994224,21,26.584858441324165
h,40,13.192182441594857,20,90.54464824002751
y,50,18.22572763374084,6,20.01155700461581
d,68,98.23849009987941,54,99.85086309029515
m,2,4.6296061489737745,11,85.38588659054093
y,2,77.20149481080091,55,6.446845822448067
t,67,43.69521120679298,27,86.4031186282613
n,40,49.97788661059881,26,3.2906981818818903
s,42,43.124152687509365,73,23.026600297810695
w,83,80.74868944234612,28,67.44230871166049
l,56,20.854095663369378,77,21.734499029067234
t,18,63.47147639691355,33,46.541109632477095
g,65,13.926967147826597,69,94.40608727926195
v,37,65.85960514398232,62,15.918135708581493
e,23,34.63472641119226,99,98.10455459268593
o,57,46.180027213605825,83,62.02702950754377
y,35,93.43462951591476,19,59.52172237741807
n,87,45.067876032204445,98,20.024825955825666
p,37,15.825008678338548,79,47.208141204161016
f,55,57.09683907281337,78,89.30651210638273
j,34,54.83283419975744,56,75.12768627476888
f,24,51.23764105362972,15,46.433359971832566
n,59,43.000445415198264,81,74.08915680283005
c,91,44.812879608839175,97,22.47880990236657
x,4,25.507059720755365,65,24.471521800573058
m,56,44.48723866443534,86,22.323631406418897
w,24,64.7780084569202,77,83.31325088560136
c,59,98.40763562059644,85,52.01932175613456
d,33,39.93296908527269,26,65.28483463645817
f,95,78.99111425881767,15,7.5227953994042585
u,80,67.92377218375985,39,82.47664119542232
x,84,58.884294760721126,30,10.869800434843068
o,47,35.55911268907593,42,59.53352798604337
v,20,16.447985561882128,38,24.519679873169874
g,25,73.09787253824291,54,78.95945551254798
q,30,48.7055906782917,93,32.57080469466547
p,38,84.84745683194653,94,42.78358483812678
s,47,9.46630094831602,17,95.95939443515216
a,99,29.415538152178687,8,68.59328821583726
n,8,96.12382236953059,99,56.51245467390786
o,0,18.082753679674248,31,81.96441076762426
t,66,60.971896087263346,95,59.98282459392914
r,8,84.98862885559114,5,51.31039377528261
y,92,89.64315255962356,5,1.0591769169864151
m,27,57.49341260838461,97,69.93011707938408
v,16,66.14953338086025,42,79.2358738300434
o,32,43.30135228416032,66,67.24434297206614
v,24,10.94622960386491,14,8.693247155226324
h,18,46.16122972277903,62,30.44459301510809
e,52,23.10027360423933,58,25.878415067832783
m,100,72.00313225000762,47,57.02425025052468
v,37,98.29633933642151,54,50.27755903439244
s,88,13.195050560416533,67,31.448289645901728
h,63,52.52966920554836,71,6.27828462641814
r,15,37.44875633323722,18,99.54854554049176
u,11,5.93612103378992,2,63.68000138540495
g,95,97.35375655379043,85,87.9588795620966
a,63,52.377399340077005,19,24.86224813366613
v,19,3.7595913106949763,71,44.078103326700045
d,100,61.95801400881224,98,16.8031747450879
p,42,60.543915938967444,30,7.2815943432026575
k,9,95.93144944263128,73,98.85157343738055
j,27,67.18614880857484,21,36.207275821994735
o,6,10.431212560347925,14,62.30131838182381
g,72,8.320514789803601,8,54.15640839370715
s,58,89.058511642633,78,9.70347384072332
s,92,37.44823462303428,34,89.2715482335449
m,36,86.1001144203219,7,1.3260613332839344
i,12,50.60311430372685,40,23.93070285074137
l,39,10.141818059060203,13,92.73669510388149
i,70,74.42861045647271,34,89.66131965568381
i,76,26.123886460936085,69,82.55587117949987
w,30,72.69204613635675,30,16.004427435138524
h,88,24.19303572080812,8,60.3352644258891
s,16,27.2264527701495,37,87.02289607972783
m,26,38.93633617236566,50,96.95503480523068
k,64,62.52525231608913,53,41.96708004332934
s,13,78.46206662795353,39,40.695824909417155
x,10,7.053950879923743,8,14.026243254324488
q,75,20.98203123990191,18,74.42740628543689
b,80,30.008151903780643,27,50.38893357662323
x,18,77.54871010017203,13,29.260954587890186
s,51,61.541575983582156,19,63.755108046059696
n,11,82.1567643003005,13,10.067778990192433
z,66,87.9179703254953,1,56.86992240986378
l,19,28.98205729389476,18,15.452261800403999
y,30,52.38044855872559,94,84.05481983533896
q,44,70.47503514894069,10,80.9861725407784
g,36,44.03101794653197,10,51.94877175152679
t,74,69.88526828317333,32,55.34069225100939
b,55,89.26994044764972,64,99.98620570000554
r,21,45.391530814091176,5,50.90355633184761
b,96,58.535226319568935,86,52.60965997107407
w,56,15.363829468057787,67,93.2464687638543
r,59,73.05276484111698,53,74.95276521357097
w,19,11.494212218821943,32,78.91136364627107
v,35,59.411359072320735,1,98.6885118537083
h,94,11.341903185494651,79,54.108006484442214
t,33,80.9814801181098,95,9.684005331941115
o,38,83.54372640360003,10,53.43495662116031
x,93,10.611568979066554,94,18.332371175062956
n,97,11.065394355711156,88,94.63499672392234
z,1,27.129152421384582,23,36.38913618602852
w,15,66.9915980132979,37,32.67274602112191
t,43,21.746034681281444,71,36.29563993378112
u,17,94.12205112940167,45,76.65231486637926
s,65,25.276720266022267,92,36.12048304974632
q,96,50.35525574648475,16,60.0708616903997
n,65,90.2065659211597,34,21.094858650521164
p,98,89.2063242645699,71,65.97865993214563
b,79,19.905251115062395,90,99.26957668850565
j,72,83.34963400489643,89,12.920466399520647
d,73,35.31524849332423,32,68.27320897381804
f,72,95.70426925568977,14,37.90189281206672
w,67,40.80636740245856,27,3.9297813018415617
k,18,64.08317609706744,97,11.112387481931806
o,81,48.47216917317666,90,47.053491798268375
t,72,69.10067371613054,80,84.6480284220945
l,65,58.293893180892745,41,46.401707064369305
w,15,57.11522199589967,24,7.74779572821207
m,14,55.76905604827933,43,89.68985663785995
r,97,2.8414031200474588,39,38.43241970047876
s,49,58.37657739800319,14,5.337847590394318
c,39,18.043901138260132,8,56.21475713883277
n,49,8.772351151670177,14,38.942355892871404
p,48,3.2643439966498655,37,2.8583451548337635
k,6,44.690147979357775,50,48.91912566155485
f,43,54.492626224320716,48,25.737439746702194
c,6,37.875594061114704,55,63.976370883779474
a,36,19.29460746860625,45,20.413165000077203
o,11,65.3966826200843,82,66.66734250507496
z,97,42.874303648509226,23,16.468027134604625
k,19,46.33672213592699,11,3.4039934137988115
o,70,19.043841871872825,26,84.12590546105616
d,9,94.40119157806052,77,21.050338875120154
w,13,56.78812258740692,99,95.17235493689572
u,6,91.24220709651195,6,42.98219274659848
i,84,18.748361448726435,70,71.32709931902163
h,23,97.1973343904868,59,65.70267893413508
j,54,37.15379390846376,32,58.57904124356421
q,35,3.8631410723943826,20,42.74265533977086
i,0,64.11875956682847,5,16.030342367522167
i,91,59.31579581418922,18,6.361938969111714
r,59,32.42356645343023,76,93.7748143119325
r,49,21.947491466548797,69,64.77423199973467
a,21,15.390677419677424,46,93.35353378093768
t,86,76.05006578040893,68,27.381157031903015
m,99,81.58523652197475,4,46.534414894790956
c,98,16.949203818371007,16,35.89099860831707
l,54,89.99321152550203,83,57.97073845576549
p,58,66.9232447687768,87,55.21964285221229
o,41,50.55324421763534,21,58.37803391679628
m,18,66.51681550480873,79,13.152728060239728
v,46,56.658100147496896,95,52.37854727574612
v,61,9.210417924894577,45,82.11453887220372
v,85,57.03890458393115,32,12.121437984998806
o,71,81.5543577696882,11,42.85633801653398
a,13,52.286004380018724,80,55.17781672834442
q,76,96.29689672459754,31,14.517081598460502
g,64,28.954897791003575,40,1.8816098802375114
x,14,88.62858057168653,62,68.06040172320115
m,13,73.25325756381983,58,89.88377670318084
g,58,92.7482030111635,47,6.728913366924449
z,73,52.31643577477653,84,90.58336579216899
n,65,59.75607442679662,39,70.25202580689229
t,8,72.96470748947254,94,74.28344542909396
l,44,28.17056568167484,44,95.54328291783494
v,20,36.72777091196584,61,14.91698330054454
f,90,94.10347368211353,24,21.139092363619362
e,23,75.59420600121338,68,29.89046606128627
y,68,88.77336527133173,81,68.88768915395823
x,80,16.830096103504566,96,53.46052450724819
i,7,79.49290637876402,43,55.5377520041594
u,96,35.65933585951736,6,88.63239250466134
f,93,79.49115000646833,2,88.03287757837667
c,83,81.44293318997657,73,9.232252402793605
f,92,93.92579508768513,65,98.09295309352048
n,35,35.81437400290955,71,64.88826972870203
c,28,29.24458104875355,57,84.73388992127366
u,7,34.76733598692675,27,84.11508726064493
d,0,50.112793269471986,20,89.24005933626134
q,13,16.796213712974616,1,9.083590429709087
s,98,29.047386769288696,2,70.39759407488661
g,70,38.82451692743778,95,48.918632772050266
n,91,73.91037399566147,25,70.48779941222726
a,0,24.94000486056779,1,5.204130598811552
u,52,96.74356512877429,61,1.2642281501559882
k,2,54.115531583873455,6,7.769011808187798
o,8,12.321034528747488,40,81.70364578186937
o,20,91.261499683933,69,54.779846922526396
q,50,41.53287792117435,81,16.272896750793432
k,66,84.41122963035028,70,17.391168611654663
i,51,98.78110167256885,17,62.48759266969516
c,32,86.67279543839743,6,3.4050406462948435
o,26,33.36512659885344,58,35.67298126007664
g,50,55.084105201127585,76,1.4566847481030543
v,17,96.87871368369413,79,23.00037409301281
z,77,37.47861085214783,26,49.290270629733044
d,51,71.83725634185735,26,15.61800116151877
y,59,62.52395372058361,24,77.16054795816018
y,99,47.56942825918219,53,96.74144791670346
v,48,16.45428366705699,49,55.72224185069445
v,94,55.99870764439402,43,24.329775009498057
x,77,5.5571926142311545,62,64.86986655983486
z,43,74.48543550885908,82,41.850940406464886
n,23,5.749002236399637,94,82.94914714347117
o,50,76.77810291078467,37,34.617428121801744
b,85,80.96057094649835,50,75.42619003444136
r,24,68.12937852172828,98,16.03859020876962
f,68,49.40698721266232,32,32.17443603790318
f,96,36.02910129737283,91,56.28211794472473
h,31,32.24883362310164,40,10.924841838432542
h,36,30.301013879386353,93,18.021574941771956
t,14,80.48271071009863,55,46.6130172685166
c,55,97.01569638443586,6,26.89285827850949
i,66,52.79269369616909,61,77.3175018679355
n,21,31.744668264900366,37,5.9268773789238
y,49,84.69848160467538,36,76.00547150536767
g,57,48.324374785200504,37,63.04637829008195
r,27,27.135879286257712,57,27.173982753260162
j,89,85.85072859043056,91,61.47857496373833
c,57,41.639172409384884,55,12.53880452992987
c,95,84.13733288945835,92,75.29894339629068
i,78,43.10729416075845,67,38.768394998834374
a,96,87.3437047112241,88,78.16158739311719
b,43,72.93463818995191,40,91.84209606926603
w,61,44.722576802843605,4,95.96044407529926
k,73,6.981589927566723,35,7.219953383130284
a,52,25.92503195925502,77,96.48136869193539
x,85,41.10490054785666,97,13.43562221782727
m,1,90.71556720218547,89,85.48817445668713
n,58,41.73266031033166,87,37.60750015087638
j,89,78.29419133227778,3,60.3866863835634
j,48,98.5385963143857,43,15.129776942726913
p,76,66.65774248631476,43,45.13064532065621
b,59,67.95813888407116,45,17.49984275713763
y,0,71.69599485902472,27,69.11905793679449
p,21,98.8763968662655,41,56.55037327097981
m,46,96.55927357130595,68,12.942888273149421
l,73,95.84893806288602,64,66.48840771950333
r,46,11.319271548535104,17,41.200135404247504
u,47,44.51501517329975,1,56.85506982204208
s,14,16.071291206743766,60,12.482215115280892
n,57,10.782746140030197,89,28.2220827517912
b,43,33.38060671544491,18,89.89286424905025
u,32,16.797037168440344,18,40.156225963787975
f,20,0.9340864965345141,10,51.571635331084074
g,53,86.88052113803293,77,21.870805800254388
i,46,51.151043843273726,40,4.127760355160848
c,3,84.13623974980905,85,46.281558309182834
y,3,16.732917684407077,42,31.28523915749707
c,49,49.41066920956981,27,88.01868914846368
r,19,2.676749610633533,33,73.97972989346496
y,67,32.99734710792186,97,23.463767996892436
z,92,27.9881857910911,80,89.06253699573519
u,68,59.806453360268776,14,40.82702126354928
r,53,90.96674966924255,72,48.74665717777158
o,49,93.39167714560126,36,75.41149695500016
k,49,43.445248704094816,82,7.241580409234127
v,94,57.623537746351104,1,52.42876452305561
t,70,51.793635858550644,72,72.42689053626101
l,9,62.54656494307801,65,52.74006654692245
h,38,76.15235268673075,67,12.567282742699303
x,87,2.930734587813144,69,32.57727864437127
g,99,22.58466393863775,88,47.30044503554248
j,50,74.09975243019582,72,73.25188038925533
d,31,20.160805419875228,54,67.13216686278169
u,9,36.530070065129216,18,47.69555535156218
j,41,87.17938316629089,60,43.89433654124228
s,83,59.25531252765969,42,14.319767595514744
h,34,56.14404213699754,14,72.99221518731191
h,8,9.312650340609164,14,37.172598729300944
p,8,38.78965300401773,14,25.00130211892927
y,48,30.29061229919381,77,56.630563648359924
p,19,17.297587636169265,67,55.83709480422478
c,85,14.722839080661066,52,60.28471555433872
w,74,32.748374098001264,78,66.23923794464295
a,64,96.65071489834578,88,59.594642053246304
l,80,36.830612023819164,8,27.923726532104077
r,2,26.338614971369935,27,38.045450911424524
m,97,41.62960221910832,71,30.56834789910581
q,84,3.590370122514863,70,66.47286919274208
t,65,13.881680284571551,47,46.53050165861076
p,35,68.77514555027255,93,89.15534005405611
m,18,80.6604193192922,66,73.91059916727195
e,17,21.840441092323072,88,6.850173550927718
e,41,5.502262610444242,69,97.92826981893941
c,44,17.203574203074435,99,88.99107945195082
z,25,62.5238722744472,32,66.53365359828182
j,39,85.73777225929503,13,50.7706989073491
g,6,51.70673452998825,86,45.80891322012389
t,31,27.71434034403082,73,32.49171211581034
o,40,53.51229456757386,88,77.09350827319842
c,46,59.39604748474917,41,75.9096534172487
x,16,53.91003302172648,52,12.025515526140085
m,22,29.492064509569193,51,25.08043049431895
w,63,12.618302332503074,87,75.4277063793869
q,12,46.78425043955576,8,58.11430057718828
a,43,52.71459039210239,40,48.477841996156315
v,48,74.19271946574538,62,56.463057325855296
f,77,12.463131911965963,87,84.50873280254386
l,38,4.8713528709270815,96,26.760540000675135
m,9,49.71221591067979,41,13.714570466858444
z,22,83.12054563963568,37,21.298285462742285
j,73,88.19396107681298,87,26.941862974811613
g,43,97.85413433627528,28,89.7150511882571
u,85,13.408222632309341,89,46.03503840346666
d,60,73.44022033767226,31,34.10396602231685
g,40,95.65624216804893,94,72.3062029022218
h,26,48.69940592732272,26,82.34707093914264
k,70,54.36869026963789,50,36.84608797678799
v,83,47.15044649473805,65,17.076709270442525
k,82,82.44962894974041,23,41.63685035091086
a,14,98.82490904950231,91,94.74227756434396
v,44,2.351493168881358,20,93.93671489161687
u,53,35.5292274546009,55,2.3417488563452826
g,53,93.78311569358459,3,53.42508579402491
b,51,73.56921435645482,47,46.06565510283499
m,94,11.162513141138708,94,53.571092614730546
w,64,70.70131578485966,21,24.983363798564174
p,48,94.71100020193957,25,43.16553701249306
d,30,73.29308753703278,31,4.381672837987571
m,5,22.45596102523124,67,92.48096083172615
f,42,49.01350143828045,13,56.01500202534919
c,52,3.6187491385857307,8,19.683584644298556
a,31,11.644911049507146,16,33.77268657914535
k,75,71.20191301226807,81,10.583764091666758
p,33,33.55199501777841,41,76.85700627085271
o,52,18.787718049287637,43,77.19677380358794
r,88,37.049795679270446,52,29.025074738869904
x,17,36.042609992983586,85,12.411092165904636
f,47,61.53746412259057,4,67.7558930400955
s,74,10.995798571450132,80,23.232611972922857
m,6,9.12165555620863,46,39.987534474434696
k,38,82.7892845614717,2,66.94559353442739
k,59,17.668574508070368,44,39.47743852868483
q,64,72.16143023166875,53,16.98628171001395
z,26,68.1316878966013,11,58.28725242110578
y,52,40.67435193061756,73,9.142979971368238
u,55,65.83626407609353,77,88.14519931839594
y,48,52.32724942304051,69,28.342680723874125
j,69,90.83007538357707,52,25.596939431782328
a,51,51.538300469870244,92,2.3330631937353186
c,28,21.12001546573572,59,21.19767977252828
w,58,94.67959619022896,54,83.9623878702124
p,49,85.22208126148692,51,36.320304136211604
p,63,48.045387146303796,22,51.34179833919655
h,69,59.2186119880881,93,83.16147414574559
e,45,53.63865079506795,52,1.0272450256980092
i,66,54.41010460397679,93,87.2944528662492
g,55,27.389134230111466,70,57.36412057171126
y,100,47.77552261130551,79,85.98081060780999
a,46,89.82151124530937,83,73.62232366421792
f,29,83.56158926432431,78,20.327960148797764
s,46,6.789756637689748,100,73.9469535577035
j,27,31.024570162497657,38,81.84361637861402
b,21,4.9117992301319084,87,36.380200221035594
c,24,69.51449222290995,2,51.9073613595083
k,0,15.755966040616542,30,45.981653262109354
a,99,79.9106091090387,39,14.938629295600837
a,16,40.86260137475705,67,56.90034800868442
i,75,58.556624126411435,54,24.756231377674464
y,79,55.04234037156538,27,89.09659784075687
g,52,27.41713683737663,72,63.47312937933499
x,40,81.85724983910217,29,15.245434105797639
q,17,20.263625404209375,77,13.224100726161714
l,35,25.548924204115774,81,65.19993889963416
k,2,29.44935029475062,2,80.18529095366718
g,19,40.58131400790417,95,78.22072781516154
h,73,86.16641564055023,8,89.8247440745025
s,47,17.559347568492246,81,6.45070622984405
x,46,35.295777304077234,3,40.37408887304553
a,87,71.41660337503217,89,50.18769014774907
k,42,5.994298300524948,74,35.09324281188505
o,50,76.50108889807198,87,62.46233714680507
h,64,82.82620852937335,13,18.819933942358634
p,7,55.14111941859521,73,56.83425653546765
k,32,3.3101602948478748,5,82.95872774783155
h,34,12.434842627375476,79,42.78554030726593
q,1,69.18572333772191,44,11.40906809841823
t,84,77.24552095840671,70,21.86623367902506
c,45,59.73631811767696,64,7.562166263437753
d,28,0.9256032151998106,44,21.297135715599026
v,73,24.366596500031246,51,27.55813424282816
d,78,94.67450168716127,37,35.122958349944156
f,82,33.57842541831037,79,22.9884549681998
t,74,86.63291861324446,78,73.48777249958019
i,56,19.056749358926428,74,32.79840902676906
v,47,95.60115381736153,74,67.18680593026679
e,89,83.41442502501405,90,48.57919941362031
g,27,78.71800943018643,32,47.365708491904535
k,37,42.47488780163282,27,56.856028883442654
o,57,84.67854400994007,82,75.58854501441326
f,5,98.8838663525591,85,89.49814791267752
p,77,78.57214450417328,50,12.67223251211852
v,15,81.7200869418925,99,2.546586054382638
p,45,13.532890833098033,2,57.548913391637456
m,44,80.7552192949167,88,40.81713952598333
e,19,24.97415705143068,54,74.80788751560273
