J,V,H,I,A
u,67,6.455653799562711,84,73.00854972923774
v,98,84.48161192213556,5,65.64682606903992
i,3,5.322508536450465,8,90.10628446857096
p,26,78.38901365028678,16,67.49416125328551
g,15,71.50820225360766,45,25.10436343744332
s,89,80.37047906105742,4,15.487950899582225
a,73,28.548132762304824,99,57.78087684986291
x,92,12.658957346807886,55,40.051516903589935
w,40,0.5554364459896766,9,51.94673548497143
c,6,18.155348134979853,64,23.47110485853634
j,10,2.4348315132253773,69,59.883063340756536
c,22,74.50986795838625,98,16.278353654760647
y,87,52.901099147777884,23,12.71692228872806
y,95,72.20843860073978,12,12.815203177473332
l,13,57.13995657216675,60,60.1947620936391
o,6,22.25945770625367,25,32.713370272770305
i,57,82.91956490148276,9,25.03796713374502
q,56,48.66003240200423,11,1.688764999724468
j,66,45.28090254050316,46,63.27685844952674
c,65,34.360723938055735,26,71.8419019965814
c,86,70.43431101975112,9,24.061466600469107
n,95,84.90269345032425,90,73.25796961615141
k,8,4.713093260658708,78,45.894535414559876
i,32,78.19550011437258,49,88.31283690548261
m,69,34.01123057702938,54,25.744743147343573
f,3,43.56713277906763,18,88.40182528000229
r,2,16.04766895012232,96,74.88278385722468
r,52,80.55465668501716,11,88.04141801135927
s,65,23.94113136419841,48,36.52769581909413
q,78,46.83997267152248,63,24.928526975302713
t,93,61.56709199306002,16,74.76701575894373
d,78,45.33542698981903,67,43.984244010640296
c,89,81.2787007280209,81,7.130833058566177
v,16,17.470825357177667,17,10.747528380896298
a,67,77.72181807585685,62,85.74364806846312
t,86,70.38817400477484,24,78.38635823870267
a,48,20.900868744092715,15,28.170964071982198
e,81,98.7257396137449,50,91.95005441197897
t,8,97.07290675553156,59,65.00373165622406
u,42,0.5477774548266368,65,90.57201800979307
r,62,25.01542138429186,10,45.36487164158639
u,30,65.66368232143628,47,75.97291736784913
u,51,27.12416050693459,27,56.33962292586814
j,79,95.01774532237252,6,86.43564502703993
m,41,87.67294107652684,66,56.56551526431962
l,90,36.38607050305571,82,26.49633149972537
h,93,0.18563734089441786,7,40.287122197307845
g,20,46.988437603297804,8,21.679273617620243
y,74,61.9021622075593,43,65.4081876106729
r,96,12.518688192417427,32,23.532536633041346
n,87,62.43134893865177,95,9.219901762831483
a,55,49.55274050026384,23,29.405759220066873
p,4,81.69641005861065,31,92.8485447018922
u,50,4.936358500252491,71,14.913268636944865
r,16,47.23663993106201,48,23.323411357993418
j,28,32.66694992385021,52,2.1807612135494314
q,95,90.06105482240898,49,85.47685538234997
f,83,45.032562309892555,97,66.77319800032177
k,0,54.674020854612756,66,73.98365097196677
g,81,87.42267013067051,74,36.783654117280996
s,100,83.44997714354612,67,59.59448461017565
r,62,90.68618291932007,66,96.15754930503032
q,46,15.064676542334842,12,7.0582946643626965
w,28,82.17496360699934,28,94.8822701163688
v,92,37.83037038976593,54,57.083894553175995
o,91,55.35475185236828,1,18.120575722385112
m,96,72.08377917758536,49,47.14531232792306
i,90,34.84883432255129,93,11.484604891180028
v,32,34.9454101698678,39,98.45181772956926
e,77,61.44599420956077,37,75.17249252979607
i,8,18.513363709689823,88,57.23141448588033
m,80,99.17481557970702,20,25.66941058180988
c,51,86.17684388762974,59,22.979156912193808
i,7,12.385978546568122,99,53.75605431636505
v,41,98.13387781834192,17,79.78425663238342
n,7,51.740373907949945,11,5.068691229019484
j,9,67.90877280876389,19,28.586125651510063
z,80,80.72247480876958,54,27.267992991654168
u,4,87.99315561604814,38,25.627514548704834
m,16,84.35173603566696,94,33.20163783054383
d,49,46.69401282666663,43,96.34404220005304
v,15,85.91379931584659,52,35.9693568323836
y,9,3.6189710098679995,15,25.524430351670414
i,78,50.51437338054331,89,40.90820679086888
o,49,16.83438463507011,5,70.31794719144963
l,78,67.34891938320719,2,72.45593018101064
b,56,44.1677890044579,27,23.240557374777527
g,54,99.84787934614789,2,9.006551703733079
h,30,17.353529786601907,69,42.35260440400616
y,6,0.5366111824876452,59,27.310833249935385
a,60,55.23159298799239,71,70.26189536237764
q,94,64.89622654315073,20,13.169773293503983
m,43,68.59785136902633,90,8.775021670289696
d,75,67.17101293144898,29,6.820435433659611
h,5,43.943527821666436,86,68.10665333808134
s,75,9.749178695051185,80,55.895983043240435
h,56,42.34131290147099,19,83.03485622926395
a,72,67.55260611836667,35,89.07635794457505
b,5,97.65596022526961,100,66.78210189504611
i,96,68.32100935231618,63,57.048285034217784
w,85,57.42964720680115,32,14.183763159932472
w,31,81.24905595913485,18,66.0737539111749
g,46,32.071738726894154,35,1.1888076956386384
x,98,24.173519611020744,18,21.42323454527767
r,10,17.41670414243831,40,25.37214065116039
a,38,62.64043022038624,100,97.70439307707622
l,53,42.41009180532159,74,77.77444180597229
q,24,35.236041731057846,95,44.904204920111304
b,11,83.12279650130337,51,29.7936798312884
g,74,36.04715568611505,8,43.25550870043608
t,63,75.31279650380621,96,8.978249699151563
o,36,65.91087225489083,59,27.359027307257
q,13,22.692537977072714,86,59.68140423152687
d,52,91.1242633604216,37,62.915188726939896
i,7,88.41335894197785,47,55.120151069230246
w,94,43.351905174496174,80,73.71410467872691
a,33,59.30837854632182,76,28.17965159110659
e,46,40.9857731716446,52,51.341319805196015
y,73,59.9200019995922,14,68.29253232479107
a,93,71.21221980883038,38,0.7726410172629539
d,75,76.74745139557993,74,41.773179825053695
s,54,0.2848785447450153,71,88.32608248625966
w,72,78.17184041880934,25,54.84406526364519
j,50,37.02455994335342,28,65.61265976726371
k,35,10.943389839117955,83,26.24035535102823
t,75,59.366647621943514,46,24.339337470606125
p,31,19.1522584774814,80,39.937655049500066
n,81,46.304630997137906,31,98.6694229960479
o,54,13.49302063145924,8,55.63362393671268
d,39,41.559108876471505,28,93.71681106711361
s,46,15.753593494446294,68,51.91068460984118
o,9,43.56227755986926,76,73.63050738996048
f,63,30.470942399502242,82,35.46814770670272
i,68,96.65007584491839,83,67.90207900772796
a,100,98.58873434837687,71,60.117654093749806
x,4,76.37906652889788,35,33.9622641702638
c,19,47.72244787060055,85,44.65190011832745
m,67,96.13321486664006,51,48.82897823460066
t,54,45.620468894510026,70,7.51944995028071
w,21,87.60376059807479,44,1.838434436475156
w,65,41.56370994813611,49,36.82588506847394
t,4,59.69465694574006,3,84.55660981735846
l,47,8.675419733358325,97,3.5333248747887014
l,90,74.88909430682537,68,7.6843429660087725
k,96,81.73456310956063,28,59.63617052978011
x,38,49.58823457100061,8,50.813627057221424
x,55,18.3073398397686,4,40.09291490260015
e,32,33.62480477779045,64,96.66920803449727
m,32,4.257259894072629,36,10.875193472954114
u,28,74.28190638204684,71,33.37164545754957
t,32,52.965012058726366,18,72.86029097102552
m,59,73.19416471463317,56,34.48938058506814
l,17,82.3683504593589,69,36.698239144924074
z,8,92.99338945354303,72,44.866261678115514
c,53,98.53704109319108,40,90.98901505939766
r,82,69.58340374960817,73,19.35926838106379
y,58,91.11258477403916,37,98.8612644186178
b,59,33.67033363641343,32,62.88624041062363
f,3,39.833954978149166,27,18.337863609976335
l,52,12.888817884472491,77,65.79642704106837
q,63,57.910856811992,45,37.125267068421266
g,23,16.209939571809052,72,19.311681392029424
r,19,21.96909221136647,2,94.59662149181199
s,91,57.583310816392284,61,65.73885933201556
t,40,89.8044290326153,46,99.01633044689821
m,51,93.40592921965201,28,10.979993460004456
v,73,26.542136781384972,16,76.3978053250868
r,99,51.84324633462766,46,95.19300157388616
u,36,45.0947131974157,25,53.412613233066
g,23,50.82047293455584,67,28.44447476573926
v,84,14.213020544381871,24,41.83497841237006
e,46,41.86556713814325,1,16.728843862813658
e,98,56.820722363617946,100,54.14487211211074
j,27,25.725231585007368,39,15.629421144668953
o,53,66.21303961950929,15,94.62667297186385
d,73,36.69628264462407,85,92.48956295259634
g,56,62.70490209159374,43,25.080864008793903
q,17,9.639070821951712,21,89.40911221180463
s,26,60.60252070602184,45,3.9294276374162496
w,41,85.52604310163126,83,1.4943088221339385
r,72,67.11676570276725,4,27.58884463347919
l,52,1.9505278226118916,79,87.84422972463432
u,14,94.38523842275353,81,93.66785934557748
y,80,70.28742608284621,78,16.081520277321083
e,29,38.685468321663606,51,51.74782980092196
b,52,75.52615258726912,82,1.211068602222698
z,95,76.09132928495829,72,46.087613636220695
o,70,16.732775045709182,12,5.6072789339929425
r,1,66.60420723779626,96,62.07018300336049
t,1,79.71316799458775,73,91.53828193757752
c,18,38.4343917073797,7,30.857212231436836
c,23,45.540742468515724,13,41.79153170610612
z,78,79.74557271628868,15,7.4293602787114725
f,55,88.70360883163673,16,40.930004124113886
b,8,45.44249466245237,10,44.403514412981046
z,34,51.67326977879485,62,11.483177754813722
n,82,82.12825889996351,86,42.895271770788746
x,8,59.717144346683924,62,74.1405332746866
s,47,23.676003620201648,71,65.67242997201772
k,17,30.941695448104245,71,2.8220729937948663
x,77,76.17927916010213,63,82.00588567711159
c,31,70.48280782911309,70,23.856435840745448
j,87,58.106604919545845,90,43.32725452033972
g,25,29.89296326444424,38,39.025883681177945
p,84,97.20276163167306,70,33.84447921250896
n,24,70.94586846867362,95,99.38183442897797
u,9,77.31264055692935,73,58.09467869982948
x,54,17.88833895013765,10,70.52855631740006
h,16,14.33223405265891,79,95.77060698578045
g,60,79.04747276008528,52,26.72643800497919
y,39,86.14446018935398,51,11.777021141448474
u,31,84.65781500873686,53,75.62229380958215
h,81,31.695027240869145,93,9.66337391953721
j,14,0.2983293710514645,9,98.50197302932354
q,32,99.18302651697941,80,43.81240152308394
d,0,6.630422592563101,1,88.9603135104454
a,18,25.735332658646016,96,48.36388999864465
n,23,60.681758952452526,96,51.629917143151324
w,14,50.289671012220325,84,68.41153692712138
e,38,12.277651179155956,3,96.07652237551704
z,19,91.8248665459607,68,56.43098288690781
w,71,61.59765207048466,31,9.84758296482855
z,38,54.196689390420495,36,39.81548282576619
b,14,52.08724488851241,57,91.14258412104097
q,66,41.48412869060544,51,79.95596691168606
y,15,96.75441508267903,8,9.692050949114694
a,15,8.839766423553797,12,59.15146249007051
x,70,29.058940124644593,43,91.74133402302942
k,61,7.698155320914369,64,65.31260787733856
j,29,59.39130001502123,68,75.66109134901255
f,13,21.106116763442117,52,69.59155984313196
o,89,10.094590039745876,13,43.93860764629088
f,62,46.39794753419493,25,48.05723319048288
e,28,96.69337126792023,89,15.28354798832664
a,82,33.065405764008645,30,68.65979986214226
f,80,28.096478461458453,14,97.65724934869444
p,33,94.3319095466088,17,80.00742822803446
w,82,25.056289336400962,11,60.49264388880133
r,16,31.72422957915153,67,28.046570665354253
m,8,48.53778947747248,52,65.54606845668896
c,75,91.8629654686719,86,13.623091581311508
f,54,26.41022050744539,17,6.404548586249037
b,91,25.889572016268847,23,51.13153846706857
y,83,17.697707752397285,53,52.8640091156905
l,70,49.34430563566615,28,36.349914533130466
b,98,45.71034276420004,100,34.96295242807892
h,85,71.98828567699648,58,22.06457974675008
y,36,91.66166295282548,5,2.8172406954118823
m,39,29.878582921894846,53,92.23998044922138
t,33,77.29188155715214,2,88.02974140543978
f,83,50.09131208101548,90,56.09081953920274
n,6,19.868601313052793,75,88.87717005957789
i,39,18.713737030356626,68,46.943860405814654
x,49,84.60336307069356,93,21.585115027523717
c,16,35.56714403258149,84,54.124205289869664
u,58,89.70400261601812,86,52.933462228665476
g,3,85.69457992464035,73,10.022630255691013
j,78,72.04801894090667,52,94.52526817950027
j,48,44.3395382433021,15,79.48490205659662
t,64,30.518113807706637,97,34.511261270207974
s,53,96.48532177755638,86,41.48317336065978
k,8,90.4377177635588,91,10.564181317919651
w,54,19.493344622724386,77,45.272750300673245
y,25,99.22040300098193,64,19.93144406238362
j,7,15.649832511787054,14,34.9271973537465
l,96,73.0513879084901,16,45.42200439584128
f,20,42.20089615518583,67,39.521182812940424
h,17,20.858729573910907,77,94.86981030116416
p,88,16.32662081714097,49,89.60784099599772
u,31,59.12106043770587,70,97.86728147450847
l,92,83.38483549781812,74,42.59644485127537
u,2,28.624195488229454,0,45.00136351500403
c,11,15.357881327449396,25,64.38907818094003
z,11,23.207040821148674,87,32.58039741233397
e,40,53.850372026066005,4,51.758326544404746
k,88,68.4389498569701,91,52.840781736267495
j,78,97.80859495436933,96,28.207124374569915
x,100,51.85263743839074,90,57.19954984000961
x,67,97.88258963703169,4,32.03447487713341
h,64,30.31182821523738,5,83.45299713114885
j,90,86.87015459194393,0,91.18336776658312
a,79,93.89991734257545,37,81.65244954318275
j,65,10.512589689336494,32,51.56413488641339
n,65,37.74939540169201,35,99.66722508881622
p,40,20.609027077946774,21,54.67404419150286
u,85,64.50786155470645,25,33.1543733194775
a,97,23.109036175151132,46,43.95893519750267
x,31,36.44877811243692,64,31.294361272040984
o,82,45.358998880792576,76,16.96493000123769
i,39,82.03564163754676,37,11.369748972276328
j,72,95.11901014985953,7,6.143310583519024
r,39,96.25184986136759,9,6.322254711636955
t,60,32.954228924755924,71,15.524091343735124
s,54,40.12714987959154,71,67.91461538348858
l,69,60.77770594815133,25,24.698274008337286
h,85,33.22062539725563,70,2.814126252856375
n,88,68.33197852181358,7,29.525899438309
w,7,59.90812452003368,4,75.865382820928
n,21,72.16145764815745,76,19.15984657053703
x,79,9.153919337439886,85,83.13439294827187
e,43,41.87662264221159,21,89.45757825784308
g,27,30.096724499081738,68,13.715329717406188
v,53,63.782634173017314,48,79.1342141822812
u,1,45.334984796600374,54,98.4858666846547
o,72,86.4225309142894,72,19.42899128680492
y,77,48.55171744251678,29,23.38777701653214
k,15,42.183739745819956,97,23.82491996973517
o,4,56.50759491505768,91,2.676853942496893
k,22,27.792615756350582,32,51.312406295237665
k,46,33.10559135799802,14,44.63202050431278
a,34,54.48500956304243,31,38.61809913197602
t,75,14.172793127433781,86,94.60043141063767
g,92,64.90300479784766,30,80.14931484897599
z,92,89.38753845406741,31,26.470964217570668
s,70,6.544437016828219,38,0.6078470065988162
t,37,36.955430072003146,0,55.17480085495876
o,100,39.138090611878,84,59.744408562986315
o,68,26.338200449790637,69,7.263270873352901
w,54,36.4262194937416,34,13.047306072061415
f,8,89.2473500667876,61,21.71365201095632
c,92,9.00168386188236,55,45.655015495426795
p,25,96.60924093101922,60,87.89561308821524
g,58,75.32317644919868,17,32.9497394364177
s,53,22.842155491047222,21,78.66548664446779
d,56,36.23783241393337,10,43.361595761804125
q,24,65.49414785093923,72,46.27132154410341
y,28,59.29268635432648,4,6.873647210143973
m,82,24.628743939740016,67,94.42801968771121
b,27,32.777014005557845,100,59.520748830411726
u,65,40.03804374228519,29,81.78450297983669
l,81,62.01639871927371,29,41.799851508979714
u,31,99.40329133199762,42,6.187299351966702
r,98,40.33446720032583,62,75.74499044097763
t,62,64.93748240486487,21,80.50962893703313
y,43,66.90173782208058,15,28.363450880892515
u,7,30.19067441855198,21,2.3931491584175957
i,41,18.479399539735486,59,43.01292677488878
y,23,9.121791228510734,73,32.14109985177931
m,63,29.74913964096968,86,7.125783233657179
l,96,82.30474007055288,13,29.562216168232336
g,35,2.791441432866215,95,17.515925775597484
r,93,47.56426503004132,73,20.479699204515068
i,74,41.55324883621687,64,97.41365589338092
e,66,98.05787953026545,94,0.6264466889866149
e,4,48.16034820930225,51,27.091470765057835
d,4,51.08787148891605,24,7.8814549340716855
i,11,44.29056085255396,99,5.923583536595311
i,99,36.061401448988875,93,56.73140050481648
q,77,96.3945782241103,71,2.672557268471276
g,85,84.55852281464892,83,83.42884346325253
q,94,58.6356435446151,70,54.19828495891903
a,11,80.40144863435083,3,65.21218291015889
s,80,1.9943301492688525,16,22.35258231365541
t,43,88.53509648426225,89,65.83477620676666
r,29,11.313533497152095,77,40.69926846910684
w,86,2.2780643576586046,57,82.2095321858874
t,45,27.446058999369406,52,92.0502740446961
t,27,45.68694552346352,23,92.88569880779033
j,62,38.893625414747724,7,45.496022921378945
o,20,61.50784984220296,56,80.2780338556364
g,38,17.252368831919263,63,46.13594289618624
s,38,43.590989293929326,74,67.16606206527636
y,45,4.184859262856611,40,34.76518905212902
h,72,98.48755151590534,55,55.337504459579314
d,55,43.61320760069272,35,81.9965266895109
b,10,9.656961813742427,97,47.73769360407458
x,7,3.416347270338871,84,95.04209265430896
b,35,76.36292035178462,61,5.134561680773341
x,73,83.04972658792445,99,86.08377470699237
f,2,45.2422474008785,43,30.99792205498141
u,87,56.96622389284083,88,86.78561452583918
v,6,13.805372227958735,86,78.21707178400666
r,61,64.76995190052573,34,12.962934506054957
l,21,50.50343544338906,32,62.25686487337296
y,71,26.06849997179558,79,72.86358861010683
v,25,45.06950380738686,13,5.240546003875113
x,38,31.451502009898668,64,67.12256360875209
w,53,35.71253334362159,5,75.14678947572651
i,26,36.847677904988906,47,72.01352718122023
u,65,74.99446079881575,61,67.34990294470248
w,74,71.95096779931983,75,20.504650370766207
h,34,93.79270194162709,63,50.89293236660307
v,11,23.158896011471985,52,74.56484871551503
v,75,8.417967785748415,16,42.35120660115071
r,41,21.46931498176805,6,57.75202942817985
l,24,8.993455388593574,5,19.285246080394803
z,85,19.481625947781957,92,28.84764850427237
l,56,76.58808911255521,45,68.08769493033482
y,52,11.115202921142686,90,66.73954301454687
a,46,41.473811097244806,92,1.9924317741111364
u,60,62.47972958637996,14,19.701721890838474
c,68,96.16192631371486,84,16.044046766534457
q,94,47.77244560681792,95,40.04672134179636
u,16,68.44141666053616,97,28.693611370033555
f,0,42.488382518997035,68,23.413519639595336
l,39,0.06711501709273371,69,22.188152663749015
e,28,53.64453658350609,97,70.34935575883934
r,75,25.20234843209742,82,92.21950064581785
s,63,49.224124051441706,23,33.05300414272979
s,62,28.103224033670283,4,57.48154197644774
k,98,11.10635122593333,71,15.701926268477761
d,100,47.06578732122833,63,9.063035096189086
q,21,40.32000367570136,75,66.5467320375242
w,40,50.209835395637015,6,86.53056333214677
o,91,88.64930034603633,60,36.57327969663457
c,63,81.37700357996899,60,52.35878857687677
h,52,0.3913413081828132,87,88.04779306443133
l,11,13.248591661619669,98,10.407570842210179
b,35,12.898533550259772,72,1.352137259918551
s,29,31.504304297846108,8,67.61642469384167
m,34,64.9479983003174,70,93.00809061903328
p,26,86.60870076192514,65,60.808530455752575
q,21,60.17993688831338,30,65.55340880373002
w,28,6.7798894616196925,33,97.02499274567533
f,9,80.20222406221774,61,60.919076831565256
i,39,25.84285202135871,47,6.70853080226228
d,52,57.61438127294088,36,96.38655402400636
y,65,82.4196877275257,5,83.64179109283978
k,81,49.36527036797153,88,31.282143607706846
i,17,97.94785057497974,22,2.6151009106265
x,32,77.35206321297616,34,77.33019858097747
t,31,24.98766935887553,70,6.878766327751229
t,65,79.8656150944259,23,61.94551201799713
z,94,26.102032378339914,71,8.550777820335897
u,2,97.71032653977858,74,33.35267794658816
w,90,16.861551072771007,51,10.238845553550135
n,50,60.429447889977716,85,52.6264178236327
g,36,46.89554897747438,71,77.8462669936286
d,84,60.27586873466475,32,86.19191716170201
t,91,32.37116680894094,99,71.01090961901629
j,54,54.20735869741223,77,83.06735682384115
n,49,21.155860883639555,80,80.51237236983613
c,30,26.382890752057087,11,48.065471845815146
d,66,90.36953719208447,22,24.45297601880011
e,9,29.57962026920703,77,76.64324179750596
y,76,11.69048492433845,66,37.60045508019051
p,14,9.31645973871552,16,14.732174033669876
z,63,48.21225782648986,70,64.91557576567658
y,31,27.97499917832035,83,77.97792936208798
h,14,4.918305965483816,95,82.21434451914317
u,64,52.03447210297044,62,60.59217306030267
m,52,60.063971605946044,40,32.54142417805904
z,85,58.9699872713676,93,59.54715888891201
o,33,22.278723286894785,84,95.92331009181532
n,82,70.70688715938581,62,60.59445779444241
l,3,32.07172928461931,55,11.528341839980028
k,95,4.597460602238613,57,48.368000907255194
r,18,46.77135488882347,74,52.141501008616174
s,55,51.07263407542546,81,51.581980086564606
y,20,6.130158022489218,56,83.6776265091099
g,75,13.367873869366731,94,9.160026156779855
e,78,5.317253356474227,66,28.549101444926983
t,23,30.912559075078793,2,13.019013663979639
q,25,65.7265242243976,94,88.11828644413691
h,6,99.64548317059003,19,27.000867446350618
d,62,93.90738870277575,41,45.87579239712228
a,83,25.161499151378642,78,27.05335741342384
m,95,29.045608315852956,96,68.45190673765742
l,2,12.657353666039217,25,59.13122635303048
p,87,12.35194387457874,48,39.68542370723587
n,73,66.52953497578407,88,78.41363747520622
d,39,64.65155753519443,16,84.26772024060382
