F,B,Z,S,O
p,14,59.91760905086389,72,55.70131790944559
a,35,88.18730998181029,80,36.09253500446897
p,84,40.74472928937798,14,20.713861538157786
r,94,61.95440532156054,26,4.851239853259182
b,26,30.52067639933318,68,43.34200652841608
q,31,47.44002056121644,47,57.66896864422175
m,76,46.83873881437434,77,84.73061947759003
g,78,37.626190849685685,61,0.20019652963061407
j,40,39.91992226414073,75,82.12784110371952
w,56,7.303018178268728,22,27.846980141054978
s,67,50.467997286182076,50,18.882429156854307
c,9,16.5927383450699,72,44.7140800595592
g,15,23.881280111965207,10,40.11335582791408
x,48,32.094370442273856,24,2.4091853607330904
m,74,55.013796068186984,41,16.54045542257495
i,80,81.50940461527115,60,22.293034256489776
o,88,28.958601587677624,11,59.286267432239136
q,86,80.22345132940498,59,52.44773035863073
r,47,48.30023603523947,92,51.017626247597015
n,98,3.991590876370543,8,86.18679628664184
r,84,4.013014271631221,47,84.17714695273766
r,69,79.78377574764124,16,51.624436385427245
t,10,88.53642095802239,25,16.299028541645054
y,43,13.459245644118633,30,64.2858469012803
x,51,96.4472425245016,40,24.488471472829186
c,21,90.93717199984386,95,26.63511535500369
u,79,85.54908174639102,86,70.06473811425873
d,23,88.19322164567771,24,57.812335867750434
l,62,8.938186247265245,62,0.5908933625383472
f,10,96.81155238225102,72,51.57376704530574
d,11,21.370298826181667,19,43.79293651531273
l,75,98.6597248135401,48,4.903999622682031
f,82,53.84279095717438,85,75.788021745183
k,81,68.00887889217962,71,41.26246865652183
v,65,58.7184396191014,7,29.899753880264324
t,50,74.93157999746595,26,58.90212176854389
f,41,57.81386573655679,50,70.14747918647856
u,59,50.45795359292411,59,0.4124556060334683
c,70,37.27449975010334,20,3.199544907965901
a,47,65.43203266053078,4,69.29716979186405
z,38,4.436393151944151,26,66.1473945463042
l,29,46.33778681921471,61,63.67545590379006
z,70,8.778234191597312,83,52.05999991561083
g,28,83.586263073285,80,0.313028518898828
u,18,34.33146961954875,71,85.089654159792
b,59,19.28089141193271,0,66.58118005885149
a,54,67.17822156019271,22,12.177595531125075
c,20,41.111603137100325,37,35.75715875298098
k,98,49.56331841915759,49,76.36793749836382
i,59,46.34388066809334,15,15.35346676444902
y,58,54.1854165068686,68,33.450879159437775
n,91,74.33877752474305,90,84.92232665934642
p,76,47.15837743003923,30,68.41293588720427
h,75,5.005209930917398,45,79.27713388103405
q,64,15.110355336737147,74,34.39588522381498
p,17,63.49978877252798,18,53.76508726891416
m,3,23.517359426172813,23,1.8031113043337599
s,95,28.6519167664542,46,68.08866825691037
m,52,46.69182457852597,76,97.53609049822836
t,60,73.47016922558892,81,84.5311134122358
n,21,41.13719662594154,77,2.954446181865278
c,12,93.45382423133024,86,78.10911381068654
y,81,53.15977723778991,69,68.94258081354508
v,25,5.34189373681807,81,35.29002771515638
k,81,67.55984574189307,3,37.83012888200518
l,22,39.45897902645974,25,48.245592051904374
e,87,13.85906449344244,71,52.61874631374531
l,7,5.294933048948513,42,91.21342470434243
c,61,35.477881537079426,12,49.58587477633674
j,75,61.699513656300134,36,7.139848074810839
b,40,99.43770313594258,64,79.87275780179138
i,11,41.27923596534383,39,76.7963509081243
a,54,86.20558679475764,14,54.91951194485098
i,78,56.038927103957704,51,92.90498341630877
o,88,6.113819499058892,26,93.13538192709282
a,81,44.73903203712387,83,53.31614989025527
e,88,46.00245983253224,30,76.05883158873202
r,47,65.61796451584205,55,23.339569519866355
w,25,9.20449967251068,23,60.34421265309019
n,85,57.463503109559355,51,24.74615359100696
p,7,18.159204722725498,98,55.35714505696278
l,82,2.1149817025745254,90,57.504321119424276
g,11,35.69277156868939,58,36.696715672049095
f,37,94.67596569245934,16,93.522758456384
e,55,74.67944832712624,33,68.44736661974578
x,67,45.95538551805205,96,26.802414510686134
j,16,14.8400368692738,71,58.99581615498066
k,38,44.074639666794255,90,1.627716473846419
a,59,35.18591500864638,5,46.25442113385596
h,46,43.553063540035566,77,45.95494841522171
s,43,24.553256812389623,60,94.21676686697651
i,52,63.827460723837945,66,16.597752046592706
h,60,55.574271500243256,78,0.25370169542308085
c,70,47.66139075920995,74,16.790906109565007
c,10,75.38360244009364,56,87.45790049016962
s,31,46.22980300989658,93,28.66086330513391
v,0,22.828456217776726,100,63.78667070418401
g,55,44.291144884049515,79,10.26874860081649
z,8,82.09504830181795,18,49.681773732691056
z,99,57.21427924256247,10,98.72345268622598
y,25,72.86217336511615,70,51.419636417976044
n,47,1.012391254166345,90,92.45456134071186
e,47,3.8946605254920774,20,27.58160960821042
r,99,92.04955761641183,14,4.824483732266183
q,91,10.174407333461598,61,50.21224530841416
s,61,32.94621365056949,34,19.118756618239107
u,83,95.12465406952344,40,8.60935085102934
s,34,51.59536388224788,37,55.26513163903647
z,1,57.12909567868918,34,21.604537912604115
t,75,78.70767325672297,34,62.67128232508527
i,65,15.544697054228418,5,71.75980536433461
l,87,77.40583508643417,47,85.16293665005092
h,51,74.02395960671177,79,57.421891920268465
o,77,73.5352900801615,61,98.31549986517555
t,54,16.094011354542648,27,25.7907727676741
s,72,14.639898364159832,68,2.337312422831528
n,42,97.15653483941298,85,28.653418847844534
u,17,28.146229696359214,9,10.94649260198397
e,98,61.31125126795654,88,31.92730431896851
g,17,81.68634471457348,65,71.03615043635641
w,88,77.9902483871668,65,44.99184750281218
d,13,35.101421754815235,58,9.219578443282138
h,42,81.31908225547978,16,42.81811603000132
c,40,85.95850979803738,81,88.47339248251828
e,49,37.34749741449653,79,77.97776055509436
z,27,71.72961624684919,50,6.883555622878124
g,21,35.86847148960649,1,41.09147804888524
z,47,42.29485762409554,77,5.746036580687153
v,33,38.49061085644961,84,92.14705227301859
l,39,36.162850040713835,14,71.85006885321977
q,6,14.161322899347105,2,69.21284816277888
s,77,57.758831329839,18,1.3162921705030861
k,43,2.8674816910917666,98,71.78706814784252
z,0,10.091019343329332,38,39.09862927179836
e,61,9.528037762440512,51,70.44427329248886
g,27,61.289117824415904,71,97.22315916676548
w,18,11.080724135905095,38,99.5482511258784
p,76,92.33475985105886,19,77.2416206933022
e,69,54.16452317731482,83,36.27705233947977
j,39,63.13351662929081,14,94.5249172238401
a,21,33.33997173062082,37,67.63343433164344
a,11,35.88478315452558,23,10.359912377027669
k,44,22.589823398884423,78,47.69209687935603
a,94,67.13834941447723,35,34.62750867737109
k,72,67.50564518747085,16,53.837054133365804
u,65,4.519007352271165,36,82.75901698811366
z,68,93.14122619007921,4,49.692124422764316
r,29,61.928390308873325,7,13.596598789721448
n,65,12.448851751141776,33,4.095123686907998
t,68,63.06007386202349,18,4.712856974964796
q,81,81.73433025329344,59,32.22592807359509
r,17,30.19787215900307,2,62.2111297112578
x,88,43.78053300888543,22,40.79610707615405
m,69,69.0516431953103,88,65.79122176982023
l,20,32.23233048419579,86,19.563460835885714
g,83,38.644006766813035,84,89.9344700121948
r,73,1.7765927888488853,46,44.68260186484895
l,12,3.5791652134792518,80,92.79215704473923
q,70,8.762286919625605,11,7.8082759120919665
o,99,25.639966294096673,66,82.72968842123521
f,56,62.016981592574396,78,29.415415439409166
f,92,47.742079755836954,62,45.589839632291664
w,60,58.82817371276599,13,3.292848561949402
c,33,28.468925192029594,100,31.075560203679853
r,82,65.69305730047704,30,43.078618441433136
u,43,25.266866689064095,1,9.152386754125752
d,15,53.69368083553747,92,18.847933486992407
d,83,14.30455457439177,66,93.35979360329091
a,28,61.920947023300265,44,59.12210512713324
o,17,40.69494071916579,64,84.66608388197837
a,66,74.58241967080959,95,92.35866461545726
p,86,1.9922819584473617,51,8.704570061138062
h,22,34.17657669643807,61,70.4113654914714
c,27,92.79111852934055,51,56.92825481368623
y,61,31.393757407432933,17,10.4631234956564
j,30,12.993249910751514,83,74.44683819855943
v,3,71.39280109934244,9,26.16743891104395
v,21,71.1644868310182,47,2.2298270986094826
d,60,59.8561672964036,49,39.645318716629184
c,69,76.66183089311204,64,88.31737889687007
y,60,85.99855708590886,84,3.0533017160835896
z,98,44.18513486575368,2,11.816215928031315
c,32,83.47606509600669,2,51.768526396704154
t,12,83.8141416755906,31,33.015224853308546
q,96,80.48430432292022,68,68.3409773631005
y,45,47.11196956998168,10,35.68522044538298
e,92,45.71266205628491,4,64.34590083178459
q,76,88.31696935273249,39,6.211683927041256
a,8,74.45387473974428,59,26.968248309861544
f,13,89.33119960856773,38,31.191591407321628
g,0,78.55492409554198,87,32.5750448850617
b,18,22.82720949010172,93,57.78193729898946
g,69,7.6496746993478855,42,91.09655160514549
v,11,64.48700731178863,98,24.57124987402525
q,34,22.485851258020652,99,46.80559403610428
q,83,93.3746428228547,35,60.54521446270957
z,8,6.443535873023709,87,8.683521417840357
g,57,1.2456864665655765,93,3.3500391906796767
o,100,33.81856933549683,63,35.49628031509481
v,76,99.91129427803116,38,27.477820403395025
r,42,62.51035469218523,7,63.11679898285956
g,15,4.597131508833763,19,17.20906993551987
s,48,60.299176971036935,96,26.30558017681519
p,18,7.600848459013287,68,65.844763066272
n,64,80.876300501914,53,34.74094631354566
n,61,36.25236289447703,89,72.71640867141988
v,36,71.77124290377378,59,98.37681191542688
z,21,31.780162661091715,12,78.00091976961795
k,76,37.85605141341832,18,79.7818727545162
b,85,85.33754986853019,44,50.03649297607261
h,41,62.668119954628175,37,66.72608144076288
s,40,1.795304109489615,10,82.86687092512497
h,32,35.218392991344594,50,9.49154187514375
l,6,5.21686211189325,17,72.41074460501201
x,79,28.35676761768878,46,30.940482172804927
d,76,0.5127116306719581,12,80.87371593807103
t,48,46.44625692318234,90,26.203066061295722
x,90,55.55066142866847,70,14.654345085348375
u,49,88.56494022946406,7,5.329290338968007
n,75,14.692910029062734,68,66.87802848792198
s,90,98.5149839624624,64,7.846704637527225
w,93,51.958285340625885,28,39.5420820703446
z,17,54.46624004743492,54,5.99184844614109
t,96,56.2385630281687,15,27.950055858596368
d,81,45.03298876869479,81,11.692097565701953
q,36,86.79682012858537,4,71.17334361275329
z,92,46.347616763565036,7,22.765928864227714
z,42,57.12869754948212,25,18.270240177243213
c,9,77.83779698321955,19,88.71717346456151
j,24,34.316448757020844,65,48.57970797044769
a,46,75.79771388515016,63,2.6636343369957127
p,93,3.5327259984372583,0,36.868996106018095
r,66,4.497173564954304,99,26.30301374222205
e,75,87.0225224779166,50,99.80716633785586
u,49,65.5707901565876,33,77.59818181847803
e,14,90.4480754338108,94,23.7651023540404
g,52,3.653083895994491,52,7.852386529188326
u,67,55.14246083015437,76,25.330092792178547
i,79,87.16524243622221,42,50.71183268238484
v,29,51.77302506777971,38,33.424498502541326
g,86,26.924798603655688,24,9.822408310496378
u,52,86.0032757623384,24,18.147990895882018
a,49,38.58715018308922,19,91.49029296016845
h,70,98.37074630317561,74,82.79085470841497
p,64,68.11847705728944,9,71.38139233095909
x,18,54.773700626868695,23,77.15572332377594
i,7,88.70838475716845,62,97.25031607073207
i,67,20.666354957269284,49,98.5279220940676
a,97,60.208870622728924,69,17.30198196289592
a,88,81.71469606571158,37,4.928937946339696
a,48,92.63565639731158,72,40.7917106666444
l,12,95.11655218993714,28,43.65228209745658
b,59,20.689187447131317,21,64.28008077803234
a,92,92.1120363613191,2,12.57918671774928
s,63,7.620115888661405,88,52.77522542699759
n,81,42.8924955197284,84,17.488560605897707
l,29,61.98058574659312,55,58.923273603096774
j,17,15.146385924935824,83,47.674870994662285
m,3,45.59068686531611,13,37.06061734042583
a,15,63.9646271802945,98,98.07564294401969
p,58,26.953970873224197,49,4.396923304371835
w,82,90.42673080271774,77,72.6072291916155
p,12,45.18886284566579,3,26.520935421300518
n,34,54.29309744601455,21,74.62844303595317
k,10,45.74426962439113,26,20.71315712582531
w,88,23.11092173013347,58,23.932505193176535
h,31,61.00688967938829,11,71.64702941538825
d,79,81.48081173693296,79,45.16623158098583
k,91,10.661295325451036,2,57.30478330318156
j,10,55.89612818512136,27,11.833670041882849
v,45,14.168161952661018,78,19.905841920279766
s,49,94.8752561718324,64,3.0207548221734326
g,3,2.9425251307821143,41,31.032018971995267
n,14,72.55241946851118,98,49.28162543127077
n,25,43.282047952798116,20,44.23695713306177
b,33,78.72889639399497,90,2.9399057784139093
m,38,72.8428823126432,76,36.19360810970401
j,43,79.41626191397619,65,24.450436412756716
o,77,33.51113689681257,4,82.69101790791387
z,17,16.68834716287133,2,45.961200752202316
a,55,52.38881439725658,82,81.60959910312936
d,25,51.0758065920996,5,88.53296771444381
j,96,86.57725326955344,17,25.132585139309416
o,11,59.72034075415738,0,91.39302578562362
h,8,95.99471019468334,14,15.115689283961409
q,25,68.49303470591492,60,89.38692568514855
p,95,52.68578216251504,71,63.93366854614617
r,70,65.02968073105248,80,74.8859715474638
q,8,54.6233194913481,2,52.94054608274163
a,20,58.488298927903195,1,25.366412121438763
i,80,9.646615545370096,99,68.7483108530205
c,80,43.80309566910675,34,41.66094220359972
z,8,87.50163056865311,63,69.37392677389629
x,76,48.388070230904475,23,60.19770234490309
e,30,70.51985503130825,61,66.70650747841268
j,12,24.437687503622485,70,24.34779578512406
b,66,13.944829788048752,32,91.21490980991705
s,75,31.313546573552888,23,67.76760369416411
y,58,2.1840418978219756,28,32.244743576061964
j,28,24.956244510030512,73,25.364683833692492
t,15,18.753785464594618,28,76.96076200462373
u,58,95.66045170580162,25,17.0760047263991
b,4,83.04776419324826,68,29.335789512545485
a,22,1.7439668286426624,43,71.1566700321257
t,29,74.88750042246262,25,5.641105528771073
k,25,53.293326759417624,24,16.412579751294444
w,63,72.61265343850694,81,16.706663825374225
u,88,18.60917188073573,25,54.59888433504756
e,90,87.7907119355987,95,75.76250869471244
d,71,20.93630424606141,96,27.324706325626746
o,17,95.08121256363977,61,32.28608783846425
k,6,61.54914207039399,50,74.01699168383131
q,82,56.496346999455916,56,68.04225953635114
p,44,32.532864888361125,4,81.94460150601314
j,79,85.8235469661603,72,18.54104392068956
j,26,6.7092837393133875,41,38.92204428784174
g,47,5.649882232369974,6,56.24302700092717
h,60,48.13846228735707,20,54.19565728688082
m,57,79.90859037127464,9,48.12586414463363
m,17,15.639085634379024,49,73.15665260026307
q,30,34.50638148795681,89,12.44570198645033
n,90,89.24298016589574,69,51.799951964372845
c,22,26.14726940431591,94,63.93499168741331
h,11,67.49370557048738,61,99.77063008585841
q,34,63.370184550447995,85,93.4662940450312
t,69,45.3437251753408,66,23.934135897782284
k,93,90.20766746153083,45,46.610976628799875
a,29,65.27239980614623,17,52.85707390998022
d,86,85.37781279104289,80,98.49505405261506
t,81,81.10017715217076,97,24.426571746248992
c,73,55.6326547031744,70,17.137357901926798
h,74,21.803096486960072,23,48.57907048913519
n,63,64.12258681822937,32,92.73033532684595
n,32,19.011090688587263,27,53.89830451181831
j,88,5.793260916541665,36,71.315622053055
d,3,51.803406378412966,39,8.232038004688624
o,95,47.4064925800024,0,97.78977148465256
k,70,42.22920124856307,10,22.58571116698119
n,37,99.08955907368193,28,51.70794478292143
u,42,47.47093271254962,62,88.8171019983487
a,40,47.59430366358076,87,14.001760933527585
t,65,27.913281079623896,30,17.35891604940284
a,31,96.93210840312696,40,54.01772559212225
l,96,5.599519927452734,24,94.59614533400128
y,42,96.6061257261715,100,93.84032182114468
u,2,15.722333779437502,44,48.439994906647776
t,16,12.710367441210146,35,67.09113506962258
o,88,57.24317525748184,68,5.911430886815571
o,84,17.57757699409356,89,37.604405377821
x,46,97.74828128469531,8,52.5825465865209
e,91,62.27716033119417,3,91.62755048567502
f,45,30.15449346003195,1,63.30753858094338
g,16,60.808158933647924,14,55.13659557194206
f,55,32.40862505000573,83,19.551218710367714
k,71,26.754065215859224,16,24.35538957414095
h,31,68.5039441612357,66,98.10660415228953
m,44,38.01498378146867,66,2.460635408897782
e,88,56.5763166490971,56,89.49708869434073
f,22,47.88134739899008,82,36.52560799374177
u,68,67.22361195701528,52,36.368302606712845
g,98,32.24595453945227,72,2.2768298234505657
b,6,28.57959431667645,16,68.74754334882599
x,44,95.71715803691364,35,91.53814254937838
e,96,6.524376754872052,88,14.631246881490533
z,38,47.03078935759293,76,46.51518775081856
c,68,32.84284588034735,89,71.56328640272766
w,8,27.079912050056087,95,4.219554063771125
x,63,91.35718687128814,40,61.67000162215106
x,98,7.654159621130496,24,10.432049727696546
b,31,76.82321600534317,43,47.22832481618197
m,25,97.36672408979354,45,37.14117695091178
o,69,98.8737990315434,20,93.87947980838871
v,0,87.14716993294269,6,27.50158765559054
j,43,72.07057802123919,43,24.202883112669436
k,100,59.657162633153725,90,53.88408937734258
r,28,93.0575870240668,41,10.12938910977611
p,15,73.8359597742213,65,23.703533406379297
c,46,53.59171445783092,91,32.97853193687232
x,64,37.064373566364985,22,8.784825199115176
h,41,33.838165432077005,46,30.4216032468121
y,22,8.368396302064184,95,9.973200990129271
j,58,79.86294244707472,96,91.58221896826763
y,59,19.776135908795457,9,16.789128887745786
k,25,37.37195723062586,27,49.68500200134852
c,84,77.19453714542698,69,90.1019909928451
j,22,49.41397865629271,4,44.50101491904142
x,9,15.111525622866163,80,98.0164569330872
a,4,4.925141518603704,42,72.09360815294885
j,95,59.69653985847621,95,54.42060440637787
x,42,34.83398726235094,80,4.247005153160677
w,63,20.82070706659809,38,29.750266442259854
r,12,94.60169687174978,69,63.84177256434127
q,80,43.527707614677624,14,20.12517365953824
n,100,79.17385192436534,74,36.47624554335681
h,44,38.1020695449963,21,8.232566505566119
h,48,33.747184792399054,92,58.89817709348727
b,39,66.08796173560675,48,96.06414717650318
n,58,41.41445880642453,57,88.0817167297765
a,94,99.54903801368651,71,50.78275251341228
d,35,61.05551207190592,34,69.94012635465971
i,60,48.59044180046076,17,71.05354149588726
x,32,98.35414555004857,59,80.76589938451956
