P,L,Q,X,O
l,48,69.72592773545082,72,84.06461257981871
p,90,10.416246004845798,95,64.22848545538041
f,27,66.53305393542219,3,78.87495820730564
i,27,81.42311701861482,14,41.05311865844035
s,60,80.26057196461119,53,96.05462252033598
s,28,96.58069006235002,76,35.950520512840775
y,25,39.886790592154306,52,1.5840347961524226
j,8,56.33891116894423,41,67.7250976690818
p,82,52.78477020017051,86,11.633702628769582
r,76,16.536357978998574,24,58.491038766140036
l,14,76.10903341427418,94,70.46469281242716
n,24,99.90320248304798,67,32.0293976368235
q,55,67.41608989169167,21,30.59885887831104
y,20,18.944569917260434,31,14.518259074974182
k,16,29.05381925742294,80,96.89298667346355
a,73,60.95275122614009,56,56.463511775939864
e,90,59.77069489480197,30,48.70952202932877
x,83,58.170029805000276,62,48.045697873976046
w,16,25.467950246184103,6,68.33852273508222
b,90,44.202529336303684,71,24.935829858077764
o,7,44.003776622596135,0,46.8135265575211
j,11,36.165044015092384,20,93.59720742866915
w,43,87.28205918939427,37,66.10512328057402
a,48,36.65021700812723,41,43.96672380464766
i,56,60.588436818547045,22,13.82312580877051
n,59,12.295085253954918,20,66.05582806913806
d,84,7.189121376018548,78,38.22154279728422
z,3,89.1303336875184,55,17.930851248745704
l,76,13.664262903641989,24,7.9085651526802465
d,19,74.84880758610359,31,49.64899664202625
l,40,16.12709445797329,17,5.109960593200247
r,44,0.9386880525424357,24,79.27781541484293
h,76,81.38419426683447,35,47.36974962847983
t,54,32.459934777933384,41,46.08044224786938
s,19,53.462060419180965,83,41.023999482096954
p,40,24.18144853868046,95,77.07297934003454
b,57,98.26140704910785,100,92.73767136200811
u,36,4.887892761889123,42,75.7567799810268
l,61,23.02300907053121,1,39.918399363077285
h,90,16.3905183929128,16,15.37654654608277
j,64,61.05685867979657,3,39.14799764516034
a,78,48.26167036331769,86,51.30411289897825
f,29,81.87526429025186,24,61.872238592877146
k,85,82.93914678283339,73,65.54436700770258
e,21,42.045135934637244,36,83.37005645558678
l,22,69.44795202200814,88,43.194445523506765
g,34,33.19170778667697,23,73.944074527978
p,75,67.12259081168474,93,5.954139919200319
h,34,14.236384001522751,33,53.61660133498448
l,66,23.79179770062073,98,10.318177836423114
k,22,41.13681954151136,78,29.24502652953348
g,1,98.78460664949985,79,44.615886781749126
d,3,86.78878264345083,25,95.48058619252802
l,63,22.884643808419458,81,31.516686136708373
x,97,71.94505607556643,82,82.2241512098494
n,33,73.5858167090179,79,3.1412617135302967
l,39,81.62959886866571,32,57.58101432102397
k,91,37.423316861305054,94,86.09591783495672
b,19,69.21045873437562,15,53.81046246118086
l,56,37.94240862808156,83,32.790688127016324
g,23,54.16609118017032,35,77.76801311504789
s,37,30.806927154438835,97,1.8905297658208364
s,45,66.80888869017453,60,2.0713534736547023
f,23,16.176980505807094,34,90.26317588343812
d,14,90.82809771284079,16,22.71660086146038
m,83,21.502798717299754,34,35.06320535822029
r,83,6.0315479997102734,89,43.68416541132115
a,64,15.264467324315689,48,97.30094499555331
e,91,80.18104005876968,28,60.35213067698712
h,46,62.095073868171625,8,31.968942591888727
q,6,44.78557255133313,74,37.17800107962952
e,62,15.795657131267637,73,62.2185863599006
q,25,45.384198162192305,84,81.24201242034759
v,42,16.8292748676657,73,30.621312394600466
f,58,20.32616382909889,74,79.74116721314665
u,93,2.927115559018001,92,43.07693906793434
h,49,54.504611501474045,21,10.126781206441926
y,56,74.43886182663417,3,1.9335567943711052
s,9,38.33122222918195,91,55.77334392525412
c,10,29.88146947017718,13,59.77195751187602
d,45,20.50923212400002,6,98.15513896068546
y,73,59.61164072120357,49,1.5384262799686632
y,25,11.782061941423837,23,81.81920214440561
r,81,1.5810348382014783,70,11.022359681418525
b,10,4.438334569184244,5,67.24992758703587
g,40,33.89103653483343,38,32.99660290908594
q,90,11.56668337121991,52,94.53905096476976
f,66,50.849997466306604,95,75.60518826383982
w,54,9.364635157727285,81,27.61762390644361
v,34,11.965745763346847,92,82.37903358158046
k,30,54.14209668734928,38,32.519009497897414
e,97,63.96135921230801,28,90.86130106550257
r,25,45.93297234874324,84,33.806406340274755
p,46,54.66960977394213,61,0.5146737200825036
o,32,91.51497732812979,39,66.49852705896512
m,25,33.89351686930308,37,0.9758836214029065
m,93,57.76583846422364,99,25.562938051309324
a,8,45.99978156698784,11,93.77862931157989
i,69,33.55709834135616,28,13.940823822823845
s,21,29.70327267868441,30,80.46257710396402
a,91,34.48357901653968,35,50.12865353504918
m,18,64.00652306648126,51,86.66677301053309
m,28,11.28550687387131,74,17.647218102174634
p,30,58.208024222549014,29,38.21416076128139
c,22,93.32051379386385,53,98.54918501444855
q,43,56.83195989701867,76,26.199702628293398
v,80,38.433529563888236,92,35.32123993869376
v,85,54.51657989448305,30,92.77078764811924
y,78,17.418253266464923,14,20.8127261855226
r,2,17.27937077391093,75,90.33085087184296
l,49,79.47152324090494,70,83.1824780504905
h,9,31.623914350395697,76,29.84291080945326
k,46,29.02438103498183,29,80.25008077522024
x,57,82.70728310767012,31,83.01218276914076
s,92,55.29554489758708,90,20.87221351861941
p,69,52.51142524003131,52,64.1406276784054
s,15,58.18516952769956,58,75.8577040087726
j,34,73.24369350269855,15,45.61969255526783
b,5,99.25941953991757,87,34.51254772136387
y,33,50.92444161477613,29,87.87717461484954
d,40,24.133643157761064,30,17.36722659682749
d,76,20.656848157021734,37,65.55259181279408
h,91,47.318364877674824,20,41.117305185228595
q,65,57.669920917246166,3,89.7822264601141
c,72,38.97006209479035,20,13.972820434179866
b,49,21.932718418295984,98,12.788379675825535
i,67,30.724810530574775,26,44.09294173613303
v,55,30.899879824845677,89,53.28024114913804
u,41,50.16086036498297,73,45.93533846121066
k,50,5.168676826701368,45,9.2698654305166
e,54,42.9056192057214,85,58.696891612711724
o,44,77.20424385878775,10,94.99167746320977
i,74,15.774483814604956,88,54.06492413876754
g,20,7.869475529903358,10,66.13327779805356
s,77,97.38648031490474,95,93.26352195455782
a,76,56.769916897517724,30,64.4790497259201
c,68,70.17686074178258,8,58.71702676891049
a,87,57.042774407768235,72,65.734878654075
p,14,67.6553672510436,84,9.378559380034545
g,10,73.60072895980105,48,43.19917888791516
m,97,52.13026669873808,60,86.58384065746708
k,57,12.272100380919504,22,27.301401424196825
l,78,5.7204124671200285,57,65.5578358097236
o,51,27.56081671759879,70,96.39626073632482
w,4,91.0545729370865,34,92.41372622320671
j,98,53.6662310646626,60,56.732739160838804
c,99,74.29037423885794,56,45.99941640306272
j,41,67.90739910438538,52,49.622868685514675
z,70,1.2796765268471844,23,31.743011523480057
j,25,97.75741325458674,45,34.79151651219984
t,4,24.343636949149094,69,37.183929919717805
p,44,42.472281629924325,11,51.747673303315665
q,1,13.042472702840257,77,60.529900376887156
c,75,94.64011451587714,88,17.189347744534324
a,57,88.00459568513317,91,47.665963347873586
g,26,33.08104087046274,90,81.37620306517606
h,70,59.52028138458305,54,92.47524354011021
j,95,81.39814138575348,51,11.938381571214329
j,99,72.56503641685528,18,96.51329006214647
z,52,49.39540675648213,1,14.228369857950806
f,92,76.60094306008365,47,47.984247552807076
y,76,35.32037833649384,87,54.4324474616299
g,32,19.204800688013847,40,85.6081791617418
k,46,14.904799818171089,0,95.03193112828814
q,95,55.7085331654975,56,63.407524507518986
s,29,7.646893737857785,55,75.50514429473124
o,56,95.71074103750719,62,35.20160162647276
q,37,40.5015860000485,14,48.77265449088996
d,55,68.51074558122832,2,63.34400700834407
m,77,15.162370084768305,29,46.89179626495411
p,36,50.207611462431124,96,20.167287274026613
i,54,39.23080014468224,12,36.81522047003719
i,15,52.436440892746184,28,51.01238794653591
i,83,91.28346847001585,8,84.87952998308408
b,34,0.8751125272098537,51,84.16805046709759
n,52,47.18622552678522,94,31.11646821944356
h,87,70.40257100094601,39,57.799527706205964
f,37,52.54318423740243,55,76.62907395017064
k,20,10.513605569177741,72,61.669922769114606
o,31,38.1158207351069,85,72.7027099086135
f,84,13.574944399665757,42,43.84988936687999
u,70,19.313497378124712,35,28.627321369790735
x,42,35.770879534295965,66,86.94645230398793
v,30,28.696003310116723,74,70.07472842014627
t,29,1.2918580683230707,79,0.1459303692661451
t,99,32.21643927303596,2,59.53715798978322
y,22,28.990669316928276,48,76.30425645709083
u,33,92.0482592650393,36,4.594621546027011
w,45,95.04822361845206,79,20.52085002644165
l,15,32.06007459752944,85,10.952257796615495
d,84,31.42313517833264,76,65.890551980288
k,93,72.38725608396636,99,46.92607371975296
t,22,41.916210594965605,46,51.56883441272038
g,1,97.92092839813239,5,63.68521620377443
w,57,76.71108451993254,94,24.671374407988488
v,7,86.89677826194523,63,51.62625037846589
r,100,80.29767770743244,1,37.40517387525914
p,100,52.62339686918974,100,36.301857106678995
q,22,62.0151581220257,49,28.433010125203495
u,69,86.86242676770982,59,90.19981244625781
g,98,97.34731517991005,15,55.38702223402792
d,25,86.6761747045183,92,75.37810649713575
l,48,88.21003360368593,43,70.41751970097654
z,80,83.80304946009448,49,62.85305124383312
u,80,81.4744063817507,5,91.8038121770464
p,16,36.80283729380132,79,84.4349930657557
o,77,33.59236194140042,43,59.829517397290985
a,29,97.71765855414209,17,16.219596410387783
p,87,9.385573902347033,56,38.54753648107607
h,80,6.920524870801281,66,51.8305037248711
o,73,19.66869997090579,33,72.08281623506255
c,2,71.65190318542844,73,32.48910380801878
u,63,99.41514126429372,53,51.03435462625252
j,49,60.240380745449805,93,61.351196442940505
c,72,80.19388536187458,60,16.390257759491778
e,92,13.337209530979255,54,44.092394368066564
b,93,9.011908163150316,85,84.6310829128193
j,68,33.69863707920548,6,77.76094546182875
j,71,7.277488510688002,77,93.06438324856538
j,54,60.131781686397666,71,75.6315118553575
w,17,53.087918643773676,79,85.05208023284533
u,85,97.20726527353871,88,2.3492993422434494
l,22,16.196452992904874,49,86.41079738125984
l,2,14.471690982473618,13,18.582271626265033
u,12,3.921406273194006,77,26.56922556502873
a,2,74.01248828679724,30,0.27779195501812515
n,97,62.885358896275456,66,92.69304440963376
y,5,29.852091010786307,96,74.7908609597011
r,43,5.697948588977497,63,17.99328596430765
y,51,21.893822645434447,87,9.35117828588975
n,92,15.578706643836082,46,28.080223124323446
u,18,65.99362376503417,0,17.405946180977406
w,56,67.17125605414422,78,73.89848986467581
h,17,87.57097981419055,1,87.06311499790449
t,75,66.10569580477082,65,67.57029746665107
u,43,53.10334255826524,77,3.143880296226853
p,41,3.4924229000385276,97,9.388335966096385
w,55,30.838352407496128,65,1.6059326772459803
o,53,63.70026670236677,48,44.009034735837226
i,73,80.96055652978723,76,89.22952552867449
n,28,3.218549377963087,35,93.73912661934779
g,81,5.1813877401653325,42,61.669340393496356
k,17,38.36633476430552,33,26.772432857661542
s,5,39.2142711147449,34,18.67273404799642
b,23,92.60143703983984,32,29.720059492709648
s,12,25.308108416364018,98,48.61032631291056
p,62,73.95429374799896,16,38.6630814755804
r,41,1.7183174919925603,26,73.73127576842894
v,79,63.46141595954725,34,96.511723016431
b,39,98.14964339325078,16,45.37342030087329
s,36,70.54545494962163,13,83.13805309872279
z,94,19.78807746486082,33,29.76955462323031
h,17,33.22954146389664,55,62.55712585429107
n,5,57.225486434001525,59,29.880839727148523
v,89,1.1368299032067708,35,77.42418322742023
s,88,92.2543667130229,7,7.360836296566664
r,29,5.406474924232496,41,72.01931077388785
e,9,78.4741435836053,65,50.854113895386774
a,47,61.588881605105485,66,15.355034276339218
a,10,90.40402076310109,11,55.30210718772797
y,2,22.285702659746455,73,37.545475183440544
v,6,31.331019900556566,17,42.01779723139717
b,11,41.45520895161631,22,0.7639174890056832
x,40,53.88253468032958,35,93.78407174380987
u,9,36.92857417697779,98,86.0015973778351
t,53,60.27336574686246,4,11.182218489373996
v,42,10.277239136383843,31,64.15915971650753
b,84,14.05014506190846,20,59.49150203217823
q,90,26.22337239899548,40,69.78020933411206
l,94,94.67938226785331,28,22.92650603081117
d,87,93.29302978689554,90,4.64750025602928
e,5,57.434852467264164,64,25.459735499511183
m,69,87.79754669938387,77,59.24651310802951
f,79,24.36044511318555,97,96.32837022604457
a,72,98.42775114383362,28,90.33715759690887
z,27,97.12062757342248,99,58.97365099796
p,68,3.3263455265756026,54,45.701974761107266
m,59,90.98759120514896,14,51.7336530109982
a,30,92.25212998384215,9,53.84576643659148
h,72,23.177869678612073,67,47.85916508289405
f,35,12.668489788469461,49,66.76652207964496
q,66,49.67481133867769,11,45.65240785195176
i,89,93.56248236597308,4,17.179744396646957
s,14,50.52089085488093,92,70.64205068921798
l,47,38.07997743256264,7,1.8252363464543508
p,20,64.32739266106537,48,27.80328110877923
i,32,52.54538566475052,34,64.94202118080553
e,5,28.26711512187874,64,83.21890184889313
x,100,54.34130796262414,22,11.168442439159232
u,67,59.867874988503665,92,13.547758134572085
v,61,96.73305017887172,69,68.61784011562683
j,51,43.46660756734468,78,51.46779992025441
m,57,85.04300709806715,50,70.85101779494354
k,37,31.597196023587614,54,31.93386760777086
m,70,35.93597737887578,88,98.53384282039384
t,1,56.33753155302035,83,77.69055636071676
s,32,18.10098370103239,81,98.30135084884301
c,52,86.65204415707667,22,69.04886036846575
a,67,72.38445194524306,64,78.16125859483262
e,77,17.525495122152623,97,43.599491621873
v,70,52.403108086838856,40,56.521762675717156
g,22,80.90038103874332,80,22.77590726589822
a,42,72.0197089906314,68,69.65441619932254
z,87,7.566598979130745,8,42.47593008633045
n,97,21.590931677766754,2,33.93941791964333
t,50,83.55508670481795,62,94.09913337170434
t,56,10.259229220919275,98,81.2073748264965
g,84,66.99084275175477,58,49.82149874914187
x,73,54.04718916531009,36,71.09289070789045
e,2,23.89590667270828,2,50.11000626991602
o,77,49.06372840369679,28,16.527114003265986
r,29,5.474746774663586,39,77.66125055960019
n,82,9.539102461827209,77,77.96008842544911
m,55,2.509210747814905,51,97.14115456777417
p,89,17.822371597702602,17,60.14557957456662
m,79,60.126894543164596,29,85.38807818424634
u,64,10.757241473330382,80,21.568094918000426
y,43,38.58252554631745,63,96.27956769788571
w,53,80.12803163677688,75,13.143584519725682
w,32,29.179653728545762,91,29.70278301739593
a,53,0.6069783778694493,11,91.77695403020061
j,12,45.634384514418095,91,46.48124305880849
s,2,16.10183044727147,11,25.921345603771016
z,25,45.25036190082263,51,99.04749017213955
y,87,46.79961535383583,31,98.6863879827867
m,8,33.07218371658377,96,77.1949912149822
q,61,72.84025649206646,14,67.14521395215736
r,25,41.97778617905453,91,98.37254012410907
s,15,97.81580468866268,0,64.58965641976086
c,51,39.362157327908044,62,9.804643653127332
g,89,57.89653451807649,2,31.693438272710207
i,58,34.76565680030392,31,51.913075004335475
i,73,67.17857454571026,59,78.04202171279718
s,29,86.58788640951846,13,18.79269267286644
s,46,15.1050003167429,93,94.42700132691925
h,40,8.485305880185978,22,34.474163329762796
z,38,14.487454098481301,54,71.39796454998752
q,93,14.689800185233814,7,30.863355677485526
w,79,50.377794236224005,48,88.23800716099906
h,79,36.01153795284261,25,4.205567678828725
c,54,27.174529590191476,20,97.13452172152886
l,52,51.36449351632184,58,91.75615889763374
r,76,33.871484488153655,60,66.47336969342375
v,25,41.733052245786354,84,76.01410612883888
o,82,77.35376254205424,97,7.76214408666156
r,91,54.25242556459522,56,4.817378237646919
d,21,25.185319443410435,26,24.736126198768606
w,30,2.7586191445306163,67,2.840038435705705
k,24,29.893380495497933,15,63.26815180910711
w,91,58.55488045693444,76,84.35759832857795
v,25,68.82175990422759,71,81.04833193140406
z,47,64.80327911674763,66,97.55840632243724
e,0,52.95214253085268,3,35.2940909108406
j,26,45.14047638852649,49,16.76538172809415
n,22,76.68936068779237,13,77.38842240704294
z,79,24.052620574454686,69,8.009135889918252
x,56,41.38878299372916,94,4.316971722157669
j,90,7.513486584079709,4,3.3403211906655628
p,94,5.031934451458309,80,79.3714314232812
x,35,27.948214016187258,19,4.5286072953109375
n,28,31.516585656251593,56,51.46405919843161
q,31,70.53914635094326,94,76.53018024947185
e,58,9.197188124915122,83,38.08688543304509
y,23,65.60457993138036,27,0.7404885548920492
g,2,70.85862366581888,73,32.942481058362006
v,14,87.02853009524009,2,35.83546366090331
u,16,69.18418626136419,93,91.98982993527945
p,63,34.3075612123322,97,28.249831964750825
w,25,79.64339731350688,48,89.4428826111143
f,49,83.31225646973925,1,22.364227751790644
h,13,93.88521877115878,60,89.52184442118161
z,90,12.947088026175368,86,22.956979953362676
g,63,83.97050553837038,71,92.76428097350819
p,55,29.78575674183287,81,13.749129127955563
c,82,13.919093498268165,16,89.7953362272353
a,94,93.55465233112112,76,81.976421869342
a,75,99.52379365678853,50,70.47626128239354
z,78,46.33212535198129,65,6.826447329515006
f,55,90.30764058979732,58,17.979068822048795
r,36,73.02661119664937,66,12.863792590982293
a,64,37.619518963640694,44,95.95367353631549
f,95,63.08261983420922,46,62.72948451733406
v,33,52.60145270228267,94,96.70836590697212
e,10,73.96383139446094,29,91.2625407514779
w,52,40.36801688066741,76,69.18618333156275
h,70,88.32170606709043,11,28.827675028486887
i,72,94.39766097378329,97,13.213865048369989
g,77,15.256638335310091,27,94.56991746736843
y,67,31.978608349164915,10,78.35015185745053
z,97,52.638473881724444,53,55.16980438034702
z,48,98.9971556933543,73,87.33932637083878
y,48,11.249048928487015,7,49.17059866613176
u,44,14.975234616272616,56,99.20890907059304
v,90,29.813711764319606,68,44.12905118358451
u,63,0.6457834853267452,3,67.79351641911813
a,19,60.052565078429886,12,59.31239755328309
p,31,24.34337964796791,64,41.51006866950752
s,67,80.57780318472767,46,72.14044001744436
e,45,89.58539268525084,35,18.17884618104728
d,24,36.49787763926932,86,4.283108354677734
f,5,19.097771017107114,94,42.36680503808182
l,17,33.032841445937166,56,37.431415487813084
m,65,69.59132553973811,81,76.2174276056524
d,95,95.79994718015281,42,41.90012638991701
s,89,72.23468907563168,92,7.2288084395348395
r,69,98.63812744779568,48,54.96387077746968
p,28,8.630831239312375,95,75.85273573071078
e,4,75.50865177881441,83,67.98172864695833
i,46,89.92769864355382,14,54.30078154595618
x,40,65.80459399217261,8,14.80262952728465
r,1,41.28104480620441,52,50.040708758170915
i,38,90.18494132159465,100,71.43121482119702
i,20,5.096636374176722,24,27.13030057467809
m,17,48.91586025833288,16,8.058461580419296
w,68,37.44091542285985,72,55.81502856753262
e,96,37.39997392560339,26,59.96328689992338
c,1,26.614640832440273,14,59.14658514195417
x,46,30.816687153463683,55,10.928734350942449
y,33,67.5506544446902,94,54.76575390871521
m,50,80.86352527272322,25,83.03495367602824
q,70,3.4704254808401225,81,42.813932228307
d,51,81.19526403781003,46,83.19129148919676
k,59,26.505141702063252,35,15.311310108913357
b,26,35.701967301949765,63,59.97248011277766
a,94,8.271094754527164,39,52.775769231084105
f,68,83.1060097462778,70,64.90624382764037
r,32,71.84048298351873,75,13.912171563006693
z,41,2.0093417439146943,10,49.71320917214464
e,74,59.620774548417266,24,20.24136002464886
l,47,36.985153754238695,17,5.749448343190966
i,29,29.164014555187713,44,70.07997151066492
w,91,60.05564839605988,4,1.9785462253899988
j,39,46.50997702225849,1,56.81551934997273
m,95,7.920286991129311,39,58.0080177334131
k,66,55.14526520832881,79,64.53545193993467
o,31,53.32873157554121,76,43.324430928582345
b,50,38.21773341093417,86,70.50998132980727
v,20,34.470505742108,43,75.37821489795863
p,59,24.110940924036083,7,38.15485601997201
c,25,16.012659169823007,9,24.78095323020735
i,91,94.15496029349906,45,0.784405338564198
x,87,41.85397933218938,53,16.45079627195061
y,1,26.62487659107088,40,17.049304865258552
q,28,8.162881557394396,54,57.47837344105006
z,51,63.131322411121275,95,74.84484322497825
j,30,55.64428688794607,80,19.469959815934402
f,61,64.72262737967712,84,65.839640279059
f,72,48.20835339483098,15,85.27022037305605
a,71,76.51802360352566,65,63.92998397700168
z,75,45.70201747244014,49,44.26445898610828
l,60,54.97082260203982,84,94.69921609557987
j,33,1.853224972736045,21,92.2702123178354
b,58,97.66260782626028,26,14.27501830436151
e,42,32.83498869263539,40,87.81756180728563
i,56,74.55960253951558,57,37.63876702835112
w,75,30.879066549856294,51,45.31878202947769
f,12,72.35611524750225,68,50.51374522780788
q,27,72.03221255968589,58,86.42006107287136
h,89,90.63166092313502,2,20.876372584628257
l,45,46.66898474731518,86,23.776129043819626
t,72,91.2006034185998,13,15.17513179147063
x,57,32.03765578760475,64,30.733271355907632
x,18,80.15093251095678,58,64.11312718788125
e,86,69.81783487930313,15,24.964497608847825
u,87,70.82020115344004,85,4.880416475107641
k,69,9.634220492851886,73,83.161078127817
c,88,1.126151418684762,61,17.994328989547814
a,74,78.24105971660684,12,5.18618512477288
p,43,62.81223959510031,89,49.80806077820702
w,96,65.08331934482601,37,84.38641685565796
s,11,46.88348874539041,58,89.50962755727025
z,33,90.56280844337368,77,43.41996981033478
j,65,56.136116501382915,64,83.99620406401212
q,63,71.04254323249639,15,81.40815658999988
e,90,98.32119624183537,54,41.693908122431765
f,37,83.05174084056834,47,71.30346867211865
t,84,84.82340983342948,53,14.440970967142498
n,31,30.262557113465462,63,52.3837859836221
g,5,87.56886582083216,85,96.39748776721717
e,23,87.67287787793067,96,98.2604499152312
w,63,55.037481750576156,2,29.57479386555597
h,24,87.48637430565583,44,40.54312474115325
n,76,92.45524508651698,0,73.32276606987708
b,48,58.44491216552154,54,12.535817628299462
s,21,72.60291442585903,17,33.3636924695958
b,41,86.2089130651135,43,64.08865103005442
h,69,98.73214270789946,91,4.746814964850898
h,9,42.10985151347613,35,95.50387494742264
d,8,24.147316920658103,93,57.559940389049125
