D,T,O,G,C
v,72,54.174767705833936,35,80.50941695886192
q,97,32.15696292217083,47,81.94023969865131
p,90,95.87762116747803,75,24.009983746789842
e,66,21.687200439610177,63,31.000580231390508
p,70,45.33305278855426,80,24.788570581581126
n,32,66.24685487981917,0,8.79448363703068
c,68,64.99156284721822,57,9.41337412629194
z,13,53.17024729123667,83,52.75694787401521
h,6,98.4447981422295,8,39.43295763245895
l,52,70.48532726730372,53,65.30377782021239
v,19,98.27160542124155,80,65.86226636340062
p,37,47.68662510207029,91,48.818831805574426
d,85,36.56679911138115,98,31.139001990761894
n,78,50.491149095996114,16,16.420350655485628
r,82,67.36349324139981,43,36.51556878827505
c,18,86.98184904105932,23,59.05988083245065
k,72,36.243476664453,56,16.90848880454434
y,97,29.078671987591697,15,85.61843144640122
l,42,70.39042796599564,6,14.30967042408402
j,98,52.36209784728639,95,35.81139564505554
o,71,93.89644251899877,25,59.42347652822292
r,85,61.6832622144767,86,28.051752802972484
e,89,57.761754241227614,83,90.18591534155577
z,20,56.26884655795769,42,41.04155294160616
i,7,1.9858722786912253,56,11.080284076272495
f,11,3.726207908177104,11,70.60764468390033
o,86,91.51850697413668,97,91.46569722982086
i,2,47.054193713368655,94,4.6129915038410685
p,70,9.619373600549231,34,46.60083426054831
x,30,90.86135769869308,100,2.5576873503772357
t,70,20.955296052687387,60,78.40090263028901
q,32,13.860630412543685,68,24.600494522912776
f,76,25.44971364476779,9,2.672124426122535
d,32,76.40640056253429,98,39.38502509317764
t,0,10.321893002227156,24,83.66055359164278
p,94,9.06105988027679,45,14.435842869177284
h,3,11.840933491041849,41,92.30185220872968
l,93,11.410960164548968,40,19.275005098105723
h,49,17.391007757130705,38,93.10022611299622
y,4,25.733135849273836,53,0.05666366074965623
z,33,9.843792567471965,6,79.36561946400914
g,90,15.463238789872403,89,35.169906507298506
s,24,22.79513699273418,69,26.777273967235626
y,70,38.225266201516675,21,87.54946945810299
w,22,26.291456175110163,52,14.209283298439468
s,79,25.60252149544342,51,27.79016570247389
d,3,58.17672077547802,42,63.49558118834627
m,84,53.99743947362457,35,45.53003480329547
e,0,94.75360651628992,55,59.60446168262212
o,33,71.11225164309914,59,16.47176591220584
y,18,49.07198663408917,24,82.73583357154101
z,18,23.51034262378352,54,86.42651922952673
r,43,21.88985936943021,7,79.80358047581537
z,18,78.87605401178635,79,21.938265709897607
v,76,59.45060926408707,8,37.823967293027785
t,3,57.69832128336591,17,77.31342873068017
q,96,50.66266945243466,9,70.6435396795771
m,3,98.41318704892811,39,26.69968925700863
h,64,28.905016020978092,0,77.53202363449635
u,43,92.41974220238951,63,52.02065686108364
w,85,43.016393664445474,67,88.06048123142037
g,85,6.528490046128188,49,20.4454974116695
l,98,89.75309686792491,40,43.455752872826636
y,91,74.68179674452185,82,60.63148940894916
i,14,9.590250830842596,15,38.856062253240864
x,68,36.57053422374129,27,30.26029196670268
p,77,46.997643554759925,72,10.757520392734165
p,88,84.88881409345885,65,55.09067294930045
d,21,53.559996763071126,65,81.98050415844787
j,82,83.81299054380696,56,71.45416066062738
p,72,88.64506634352381,52,52.27588425489633
s,26,35.87866937371582,68,63.598777119556345
m,45,87.65067079803967,98,78.82434468974068
l,94,64.68459090361489,5,9.554886459210987
n,98,91.5178716209899,57,75.75341796196568
a,30,93.26789020938223,100,97.35141987703318
b,39,14.58361172424163,13,14.885463869812865
n,18,63.35815639925942,64,24.70528241140909
t,56,65.19521115676639,62,76.62624544951427
b,7,14.767121383120308,88,72.38562777197014
v,2,46.415790229154894,96,43.56069456037671
p,12,70.91766485680078,47,36.43346703953372
n,31,54.541140341000926,44,84.10528152085767
u,11,50.72627983711928,45,86.28096564823424
z,98,52.100881562888034,53,16.390115996866193
z,24,89.60384400527676,70,25.692418721906463
w,15,48.330148690585,72,66.12077841256453
k,7,11.797467439112875,89,71.12223115478128
e,48,54.24715147202964,8,26.875192661241098
y,6,20.745036416470995,33,50.2227789020216
v,1,22.994036732172486,37,57.02544215032628
d,86,64.49278561627447,10,15.233609047480778
e,17,43.62336125519316,45,99.20972410952814
u,39,56.8856270196383,43,20.725163194945008
m,60,33.80494906889362,40,54.59923344453376
w,23,49.24697784362755,99,10.355416340286194
b,87,95.6523802132557,34,71.40157329171342
o,32,46.50159691982173,20,53.95079645052778
r,22,83.29533749920544,37,31.283967312125693
a,89,56.00645159627508,27,98.68938482678466
j,4,32.67167437919258,79,52.541639185528574
x,14,10.956723255985668,58,65.93144114592967
w,66,70.58504312765938,53,60.94205363396002
q,28,78.1178635686311,71,95.39731298169364
i,68,17.582039861526255,89,51.52204228656366
k,8,42.55521654102851,54,58.6396420503701
p,99,99.67606747249133,24,70.95507818608992
d,52,8.883307467419655,83,95.86551102537048
d,0,66.95596290900873,88,76.26976804679013
w,47,92.11725659457409,98,38.443806413614
a,97,39.13204000174013,57,47.22801486088288
l,9,38.31906396334828,89,31.69790539417433
z,26,26.426906601559374,83,3.8696606481176787
q,86,86.97850862793238,75,86.6477715691665
l,38,41.86507788971166,52,69.75398561291121
m,78,64.34766973403622,22,2.948289918347624
s,15,19.05475253871034,73,63.92214510122884
j,52,39.53738661432391,38,33.566808384337065
j,37,11.725349464018976,5,44.50736466733579
p,51,69.65879899302118,3,6.419718940969266
k,24,6.642465853979019,26,86.24647086946283
m,6,18.710716240806903,39,38.19049794651489
k,27,24.111287870415943,91,26.482852097195043
i,63,73.7970598537754,80,64.95734126523436
t,81,97.76556928342062,25,45.11932169287317
e,66,92.95328008235454,93,80.98997927916976
d,67,6.5513121883660315,69,35.46594518027708
w,76,26.090828561434243,21,2.469572329743186
o,55,38.674836500400446,100,63.025458056501535
a,55,80.92945919337902,43,96.39304092091578
q,90,25.980070206336624,40,12.288284141199245
p,71,7.068841058241837,71,76.19854681400136
m,27,37.604267736040875,96,2.15000536775547
z,39,88.54933825086994,52,41.59302191831823
c,72,2.55942884917727,41,16.465965317488028
e,57,42.440140990196674,98,32.38172568589507
a,36,45.41804858857489,53,55.032414566049916
a,4,65.37379636364238,37,77.70217299334749
l,5,6.8342072276778465,2,85.16455197696565
h,27,58.47593473357653,57,72.53640922398097
t,70,14.134644673295627,40,92.50115691337552
r,56,70.81973924915408,32,71.10065678860728
t,20,19.825095333211507,66,72.7059246547561
c,67,54.63753940570977,41,89.06353599750668
m,48,39.64782903252425,42,32.150881639183304
m,4,88.59049488476147,89,37.55000474986243
q,12,32.371406611896035,49,33.29511379916531
i,18,51.99256045757076,35,45.21254180454132
u,83,72.89292337016687,11,98.09807723317671
k,68,85.89648302149465,26,81.28429808949087
u,57,85.74292529400421,22,48.7396024074024
f,12,82.70766349881565,72,82.98686590642009
f,100,71.47263511826654,5,53.40295167756229
d,71,41.75322282188853,54,94.41803451794296
e,88,97.67535876568529,87,10.554901843794262
q,25,10.946873056129125,7,44.01961280820935
q,20,36.01102207020874,78,24.37569652735586
z,18,80.13056882006313,76,45.52141281333145
o,38,55.49585535832193,43,34.51498600831627
v,57,77.18153222320517,0,31.506576322832036
u,24,73.48707034052492,79,2.192430035068349
v,94,44.03826711478865,45,19.53743595812193
p,8,41.25363452644035,93,55.05741799032538
x,32,46.9474558245979,87,99.65607257347747
d,60,52.35818652193519,53,99.14344073912696
m,56,81.66577217685523,85,76.27332109885641
v,51,39.75339559713144,4,55.98603910739619
l,85,58.644071498365115,44,14.446449513129323
a,4,7.241895709221091,90,58.52591118225595
k,56,99.46552490439993,13,23.737161213007298
b,30,72.41728918903148,16,99.66163971160711
x,2,89.41063707066151,46,89.66931995616723
j,78,57.319176479295564,24,0.16713653458357847
x,38,59.71090920612077,77,88.63333455998998
v,84,13.032508869644765,69,41.9298973016235
r,91,92.07447901834918,77,87.09842307165519
j,48,57.90784414294424,21,11.751967865082236
s,11,9.54205301404466,90,35.87349709146296
a,73,76.32100667866052,61,96.05761169820043
o,91,42.97881354024761,65,54.77907932372504
u,43,78.20364557447604,7,25.33402714732198
b,55,74.51344234950835,85,72.40784678758556
s,42,32.0412012775653,28,99.74340101103715
g,96,63.00933259909791,11,3.0880755772178525
m,77,96.70946708792182,67,52.69432713760423
k,36,18.66897017879081,100,58.010824870254254
v,100,81.47963126046167,16,31.870499040276457
z,91,67.28573041791613,32,42.408345666763346
i,32,41.78197380977172,96,63.478891459136655
f,15,82.82865805714114,24,85.25485865965211
m,86,1.251947657263186,13,17.689591282829742
q,76,47.013983091731085,57,61.32734131305033
c,67,4.027477246150313,7,7.571194096603429
i,88,63.114568569221476,72,27.919602256400555
i,28,96.36711805651633,85,44.87904271497264
a,67,83.86313928212063,83,99.94289761654743
c,92,74.62231590957266,50,91.88039929071041
d,3,81.07833539304391,0,28.041709818246296
q,91,39.09204329189949,70,94.81177670782915
a,100,15.05826330069543,67,59.02551389957325
s,70,0.8066502174959522,10,30.32315187047674
d,81,38.43132410002599,100,59.90017398782426
v,49,45.78905462879149,83,75.08729880081326
i,76,2.3559069617778094,37,13.230733291740416
n,74,30.432053384491454,84,69.01823808701238
x,86,83.72481765159972,0,69.49873548848726
c,72,1.9166028052792106,95,73.67533896381066
g,84,88.2335861481809,15,62.59991465501753
c,86,85.93064045134979,7,59.4457598395222
z,79,83.70740090206112,4,41.25344046646472
z,97,72.4987963934131,17,67.93988335478386
d,4,4.3148927300673545,1,66.71293262328639
n,56,94.79615362390413,76,99.64958923299275
a,50,21.200487489896858,1,92.64772715152759
f,18,40.754306378933805,72,73.50524099918208
y,4,74.94655802717106,57,46.67759570779264
f,93,65.34784843303242,10,74.15646823725397
z,19,50.138168888577596,52,11.0128927022764
x,42,68.92041282065445,34,78.94818285922595
c,83,85.21116696310477,15,42.8188392019213
m,25,51.56426014654103,58,23.41143142277845
s,67,28.026432087068322,100,9.123780518542313
f,40,99.94716323205014,68,82.67156422114384
l,49,15.790076793124442,47,41.03725618565672
b,22,60.34946594876415,52,50.0894477013373
t,36,48.08550565177069,29,14.469889110290923
y,36,9.557077256102763,12,0.300577936150237
q,31,84.20195025461908,2,21.359036840685576
l,50,30.139371231343258,31,99.9145584312643
o,84,79.75047969514225,27,95.70335720592576
l,100,13.562066216696223,34,1.4202182549158504
d,3,98.6127616251324,55,60.554812327371764
i,52,18.802824099082095,28,84.16225761452662
j,64,98.21099729825424,5,34.93493590978367
u,34,14.471832969199083,57,85.18792619420721
w,15,34.12199765246289,29,74.47600796204502
f,12,47.573578449916965,17,70.78704715144728
s,95,8.821873879105024,42,30.409577190851422
k,95,35.129207357449566,91,27.735767591780245
s,56,91.43987755756208,85,50.98619566728676
o,12,70.40813233936451,36,68.64442134405056
p,43,77.81538094558186,72,0.5962971438094322
u,85,85.99255747041421,31,11.443652308874096
s,6,4.773806185501728,31,23.53424317698781
s,95,77.73568205575087,92,13.58108857654936
r,27,7.727312324300318,56,29.084428620847934
x,30,52.796237319268144,64,72.60570189430722
b,8,69.29703940959594,26,43.97548538639017
d,4,6.367743427117811,37,18.198075799707812
g,87,88.91034698790406,14,81.16724671995449
h,12,24.838675550708867,49,13.409385900468951
o,99,23.10969886196055,37,21.206673178005843
b,90,77.28921425061365,5,59.81448798123136
r,26,5.5231585484056485,80,15.050731306918685
n,82,13.971849667373437,60,34.0523707474751
y,67,70.78077460248865,14,95.43220086028681
v,13,5.212212258017701,0,86.94383155292267
c,60,66.22042927162578,75,89.06692194042465
k,91,72.71527696405916,89,74.2656488546579
w,13,16.774390499737933,55,8.543282399345998
m,72,49.53217997810152,36,19.665227378914686
y,13,21.987690418424332,36,44.7866983553227
p,45,79.90317739316846,82,19.792567397813276
p,55,45.34484411188735,74,41.315418194077736
v,36,36.54777361905835,72,26.230221780611608
z,100,61.124964484959236,14,23.045909703264233
a,46,39.141276487028655,59,84.0288830356128
q,81,83.0173697135934,40,31.633856643604965
u,12,43.65210508206921,40,47.38837499120869
o,56,35.05132920920121,68,8.144140509594667
b,88,19.97000203654903,25,2.3431318750222974
o,69,76.2396408460192,46,50.31631544808154
l,82,18.98819017275143,21,86.72696680941452
r,81,18.682115649721688,67,82.47646523049838
m,99,39.5964530149122,25,78.58218106058531
t,93,66.99987062964642,67,28.744266994460755
o,34,12.27019682108259,17,51.64354469743145
q,6,37.78918003169569,63,52.82328226097647
d,72,78.88078986558999,44,6.983907926904964
k,42,68.213051442819,54,47.482072779389505
f,70,69.48612198725594,59,79.56233181251491
s,20,12.645717798811596,85,63.10900494002855
y,14,39.480692716033936,57,35.72764076056093
x,96,37.97861076747743,30,33.34031940043719
j,40,85.19359558433334,43,75.55993389412357
i,27,10.419696154131097,38,97.51130471207055
r,96,75.90987607089993,87,1.641026033610271
h,36,73.79896617398941,71,9.42416977141417
q,43,45.65937467455484,3,3.935200555755791
z,76,30.694023503757585,98,63.60941129493716
v,6,21.87398979732049,58,79.28704488781794
m,43,94.23897306676591,18,38.34130034698532
u,99,45.31353221433958,41,41.86642202730826
p,81,10.781295487753217,13,75.12019770662192
g,25,92.78510444002643,39,7.976570512835501
u,28,48.32625398333498,28,74.9943298993808
s,5,83.74269770513331,93,59.00221693408613
c,81,65.14813121976294,12,60.9962141920461
d,100,23.051889856816665,91,94.2215222850258
r,71,91.47029760946621,67,95.7187464363126
s,65,98.65835653781143,81,14.639076822724961
j,91,92.15494952139139,32,33.22850757052313
y,75,62.39633787824055,24,81.64532011989736
n,56,48.204097919101976,35,53.490670165333995
h,2,14.734631364431861,33,86.70288766516437
r,80,17.551520646431307,55,23.46953133180213
z,37,70.27181417999428,26,7.733063916979555
e,51,4.805208113899761,66,24.986290699111912
i,56,73.0801711688166,48,72.86933461278444
v,72,50.21799494972509,77,42.02869714094173
v,29,87.2872175379199,47,71.96195188954965
m,61,83.56620516851477,80,12.5832776902576
q,88,26.8263337311898,58,96.42887467472538
w,14,60.97551824112588,35,9.585640122488048
o,86,63.35585756734085,73,5.8525980419828265
h,33,93.97377328072095,48,20.4445367367585
a,33,87.10034119001025,20,67.40195682778203
v,69,93.49882954207465,37,66.3337213683432
t,12,79.63589022458144,16,2.2509993028510866
h,39,22.406814539825938,79,82.44514703962267
y,82,0.7286772385467377,23,39.617510538096276
a,0,74.12500381734694,63,57.12493598853544
r,15,50.321921676377656,26,42.279081730094646
x,82,84.52123258425175,82,68.99246181709321
x,7,77.8932834402796,11,56.44179064345934
l,90,85.45123779452992,51,85.60401921089634
i,87,52.49162130536726,68,56.41760363860022
l,61,19.293469815946796,63,60.19271567465682
v,83,29.876051152906246,90,61.5281888179928
e,35,81.35157941327232,42,0.772633971450154
m,34,40.472500897798994,32,93.02961237875662
v,95,85.37295600320418,95,33.07526669230272
t,7,78.96005646079513,95,23.991686979818194
n,86,49.28342500828779,89,40.41653616488898
k,86,78.31968829153679,30,32.01071823258125
x,94,51.21427714802142,67,66.16596138313734
b,8,54.70939602930872,92,92.24477098082993
a,40,47.80625869362236,36,33.1877457864409
m,31,98.13597678966605,92,59.84191846459235
m,36,57.495759928172916,38,25.411729044873343
d,84,3.8929304177021784,16,66.79484643033948
z,35,87.5389895666005,26,61.64983643082551
j,8,18.676801873135652,9,94.5610730972111
u,22,45.25111779743699,26,4.031495833870835
q,35,98.13989545953908,48,82.7167137759786
s,8,92.6154849021602,57,7.467174881628635
t,92,38.44310028873341,12,58.617464317096136
e,79,54.801045785061596,54,40.94600108755609
s,56,40.760414430390554,77,38.56817158983847
d,4,77.5899736849478,32,13.265916340407324
z,38,86.43425339771444,0,20.18995827897839
i,48,42.41166269754185,42,65.7979443312297
i,79,90.88366229508098,24,34.4869265107097
a,35,62.94764177794263,24,2.9904953853759575
q,32,70.3820603106547,90,56.81360457814382
h,0,45.225177501794434,67,88.74461131705044
z,99,81.78288692667537,34,30.01273179685391
j,20,74.25288016911894,17,86.2126956345639
a,22,92.73867809550916,98,91.19696889966484
y,55,37.04782948707327,13,38.41392137758554
e,26,28.979285114507235,87,86.55619933908739
t,87,66.24249373509613,52,54.5380995989635
u,48,93.19576532526231,22,71.66948624582227
l,72,50.10380983100874,83,28.855569515111668
s,38,95.01571429786922,67,3.2321783298840168
z,75,78.67239541707691,31,34.45631434972434
e,12,45.91186661978701,8,87.8804380455764
t,31,6.212475626146352,25,42.636898067899246
d,100,15.649564517610493,93,84.3463011715714
a,42,26.893031733639173,18,38.83164464605979
l,66,67.43589487685587,61,11.409232052574069
q,78,4.330960665906291,25,41.51873300633877
y,4,27.507066955585202,57,25.89595024497259
p,98,42.150046270004594,84,48.23101706719284
v,24,48.24699094955024,64,41.90155540962359
s,42,56.90559899894042,69,64.19967394049559
t,71,87.07871457818274,91,77.6751639470805
n,36,21.507527707899698,3,64.5249409431311
u,7,20.044607238715162,21,38.58629068053888
r,14,10.13554709251514,19,48.97493193534751
a,28,66.88508539112199,43,59.02513294908933
e,49,73.22501073902825,98,71.61801002319571
x,22,76.70577902329192,93,44.730789825463816
e,99,94.23108953249141,50,67.73561599768317
d,38,80.28069399972799,40,65.10766433665131
x,5,89.84408280752598,99,17.337930589287474
d,4,46.723811993359746,20,8.326993007124827
q,61,4.737448148108204,47,82.01302178371131
v,22,25.557070894217805,56,9.423505314172942
r,85,74.78852595556266,75,7.375177859777137
a,75,85.37281738224077,94,74.2405359044852
n,55,5.528166219583353,73,97.86632926780506
r,1,20.38266025706319,16,15.878289519597677
f,20,89.3221465726606,11,41.00687795846072
l,16,83.42334034742083,43,1.7266010660237474
k,96,88.87127515972296,77,52.14764915048734
a,37,31.403576097176543,12,91.34346337223425
y,12,36.27828902093939,76,57.65439533187829
i,28,4.123838917546918,27,56.0659965103847
e,87,68.04024272979375,22,98.13264719411353
f,53,35.54558618714587,39,20.392109839187
u,93,4.803060442668283,70,62.49588420654778
e,21,49.57832831985285,74,69.29997497540027
m,24,49.89242759955533,81,20.608420261524085
u,54,6.153906907350604,76,12.093918403446413
q,62,87.46053593824034,59,24.83716987768866
q,94,41.559601141110555,83,41.5396378224054
o,42,97.88278695648995,87,62.070782754670475
n,22,14.94768921194053,11,24.5996873103238
r,96,21.675746216329074,47,57.59449281453818
n,11,26.63181787350155,45,1.0592390663137774
l,7,74.75413122278326,48,94.31870270437805
t,50,60.17522189721184,49,80.58054958302989
z,39,95.51577142942803,37,87.67564235863166
d,14,24.46354294760701,7,33.68528974712361
h,94,91.67969892388462,88,4.281287545811785
h,60,32.60040948866353,91,34.571488015874564
j,13,60.108236007231106,94,31.194730527974667
t,39,0.7043689529002473,96,73.94910965068091
v,47,52.870723629650364,94,12.444068479364145
e,94,21.807257610661836,6,56.02360405237818
u,42,52.60244253064749,37,46.54225179471169
h,42,66.13348445581218,57,78.2295001978234
d,28,93.31880321580157,55,40.67240638078826
j,90,22.83610343375826,24,27.98986331154475
z,53,69.74629744325978,63,42.84310988120863
m,39,52.59850606572972,8,86.51041161535873
q,72,16.401428209469028,55,38.02359709283557
u,98,70.16385925874786,72,28.19702296663077
b,45,42.827451072154155,36,51.14470384354261
x,57,74.62840459418632,46,3.197469278063214
w,28,64.78173351116544,86,51.2081634022204
m,57,11.560457372795074,32,81.80728555416553
g,6,59.08996043797789,1,15.805198806214626
c,86,47.82222986107587,98,18.41257057676775
c,39,23.798050538921267,34,45.3225551047282
j,71,15.04910113790795,57,52.754707787071155
r,46,75.34542990270072,3,36.45945009762318
j,18,1.7742327726998575,52,53.66592222831904
o,36,7.762200812758035,22,76.6567700655893
l,58,38.8771866852226,78,55.16364419429328
m,56,30.69135813863455,18,8.966416150924761
v,3,12.75317032337292,98,59.84476193273317
h,73,43.06055578748629,29,6.342170557905202
p,92,54.77778006375458,40,30.42298383908073
w,14,86.84017740980012,74,26.312012591734845
i,61,29.20237407519457,36,98.36115086211386
u,60,33.46539320627044,48,50.01900487891244
s,76,52.722532248924246,80,81.3081314702757
c,98,20.386538463865577,4,31.87369683396416
q,70,68.62351480643711,28,90.09103732356945
v,4,38.884058453985006,4,91.83129490365675
j,82,46.23807521338673,75,59.64383417170951
m,5,12.992898661322538,80,78.5675542504921
g,2,70.17026356633026,58,8.91528303749286
c,43,64.42366020436504,79,58.577048380498475
e,23,46.56709986999634,24,99.44845796702762
a,19,44.31394656439338,60,40.49487757943169
c,20,83.25349177174208,88,22.11232809043683
o,55,18.27787880492312,33,89.53615234796001
a,69,57.63324119779889,86,91.33058879742796
g,54,2.5294852520396094,65,94.23969510563116
b,54,75.71748496566306,32,7.68895080317974
r,19,70.8466997185386,64,6.664398840326536
g,89,81.02077145788942,1,14.693427763959043
f,20,63.230447108288644,46,96.37821754684484
p,33,66.9178789581846,89,28.01229871560402
h,11,87.05349450601247,7,95.26703373912592
z,47,99.28089890626553,78,39.370424370437696
h,84,34.5049812375326,87,43.64392619620402
a,68,70.8757315690476,20,81.41989006800716
z,39,84.63275367918129,51,6.186735521975351
h,90,93.49264088879016,60,43.64943524454743
q,77,44.49685438463102,72,65.99253169446185
l,95,80.41963317742209,66,58.057288763104594
z,50,2.9270297491061914,20,40.95200849372607
h,65,20.649117368323356,32,36.91867394140773
a,39,25.030860484589144,46,41.27304047270454
t,71,59.90935258191988,83,61.69801773783411
s,73,42.67765862412832,35,50.07575194275383
e,28,72.76849892549399,34,51.96713434152637
h,47,15.459806160671597,21,78.48229899831803
q,41,22.45856046009441,76,61.863535578858844
n,27,39.80238562008993,40,49.06997206227312
b,41,17.608471733276453,1,11.761249185623157
f,16,32.94964434162628,69,84.120579366522
x,78,35.55356261881393,71,59.69022583263186
c,78,42.54279382980791,82,89.16708001522096
z,65,89.16536836137044,27,17.809753114713022
d,36,80.77682050140335,9,91.77535965886761
x,99,20.50996616619741,45,12.45053536580485
w,0,3.627951415272679,82,81.40618152062581
s,23,88.12950370048081,37,96.40529347660647
a,42,65.36782545968435,26,83.35471396281996
y,14,8.797029143858836,30,55.29850131748901
s,7,43.99524571924465,69,33.25153488473638
c,41,60.8483641147832,90,59.48974806072914
n,27,66.69152918010298,5,10.921300340785056
e,74,67.58744584117171,59,20.05644528818462
n,67,49.142863224757335,35,7.327513864323354
f,85,32.09451799529547,7,63.53716038712205
x,38,66.94427891350313,78,23.75142837663645
i,67,34.697286284161564,1,82.52928337104039
z,22,41.24443493937526,34,34.31446414037571
v,65,92.11863786200337,39,19.649813878959034
t,32,99.87141695778209,93,74.2887625749684
x,82,1.4453934515211153,77,87.69429690961806
s,96,83.02315876392056,25,72.39753373197509
x,14,29.555585014968187,29,59.21747325709165
r,7,73.76489677655863,92,2.345904289106693
k,94,75.34173867278733,86,11.285642162349973
a,83,8.261841459046494,43,65.30733441725044
x,92,25.411194582405617,32,28.64573358801166
g,96,14.248992774344227,66,29.434661533158966
