J,M,Z,A,I
m,46,68.81243768329793,25,12.72336149841069
e,9,48.34535380092257,40,1.1426337143234822
v,6,56.74013066393784,94,58.89089868593551
s,74,97.78964055340154,41,63.49043131232678
y,81,12.47099947006155,88,46.50358693037485
o,26,59.30388033251934,82,11.126978835272306
o,4,57.45920453071223,37,12.385949530441632
o,22,53.35875685904213,55,9.226745284243233
p,33,44.956414374245966,56,64.86489534460299
m,10,34.1569004765708,37,35.42897277293713
l,99,5.695591879288109,87,26.52509940932628
x,94,15.83608845935538,85,14.635798472266892
k,14,9.736287074757888,44,48.847281741185114
e,15,57.56574354422451,33,20.105952444627782
u,35,27.819535403676355,53,14.782941421087592
p,52,15.539692459180065,12,66.26000273789312
o,40,46.8588164437825,98,42.303487821314626
t,48,3.205816782158666,84,5.327399243734854
u,0,45.54185286755549,75,30.15742668932324
r,23,94.94584205101698,5,4.630090038835921
k,20,64.08135987736343,77,26.118117944895435
s,54,67.68188293709886,93,47.28659962596989
b,96,14.503961408580823,73,63.72311555288215
i,10,5.53173208793829,55,2.261547802820729
i,8,14.07949811617274,37,27.781563760624028
o,5,96.0711376681736,77,66.64995608090032
v,53,76.97946512914393,37,0.6289855124328891
h,96,15.86329841141949,52,64.10914945968932
o,94,55.71309702560803,17,13.575529011429854
o,75,59.55630274736905,69,24.514319614894642
m,98,92.31826305105125,53,77.88507694242382
h,89,24.768864009359948,63,76.1649107545979
g,31,20.26510966835431,60,88.32103652269579
h,20,51.20905984230257,77,51.30318589163721
p,54,22.132878443529314,88,68.06498135658795
m,19,6.559138971031286,59,59.37200527361318
v,94,3.066112826682943,18,91.39147187358827
e,92,23.21093851694236,47,99.93877097266939
z,64,70.74942344468094,48,97.54336525844798
z,69,24.13883421679469,49,76.93237256253849
r,13,28.32115270173241,93,93.2699390138555
r,51,59.08483215268268,64,93.32029884317767
c,13,17.317121204950492,12,69.95059090836392
y,1,77.4197216255284,46,54.92338366661277
w,71,9.230431703559294,29,47.664376066657965
z,14,46.308142283886575,49,17.85476226448621
q,53,51.61594304544186,30,45.61031501929572
k,0,28.734529923994813,72,68.49428438059178
w,97,69.28918266241067,45,97.2397702917789
i,48,85.94039766278004,98,88.34965632867767
q,16,91.12638100877035,89,43.97896215423523
m,66,62.16386342401831,61,96.51187255249843
l,45,36.689497167922305,28,54.192610866228165
k,18,95.49393023336575,98,92.4512537288221
n,75,48.726780046177595,40,51.471478198297035
m,99,10.323009350440838,41,47.644320416258964
e,46,55.636819826455245,59,72.621815985525
b,76,41.066766802994614,82,83.98786688838926
w,45,16.989594679063536,58,28.445648388710044
d,27,24.25128633187382,48,86.46800206554566
a,89,43.3697784053282,24,13.870775069135066
z,13,26.73416786658116,22,12.765389571326935
g,22,23.285070329830216,81,61.881653419439786
n,100,41.356823779272666,60,40.1161502614933
m,97,49.70716252583346,90,52.4073033382486
e,17,95.06347405159804,2,62.572477534767756
n,78,1.3327186614850772,26,73.39854912001854
q,51,63.62305129504568,50,5.204666653627132
x,63,17.02037554410243,43,1.5336982926716924
v,14,47.117492478366884,26,95.87372582239423
g,13,58.5484554377351,33,31.85031342189053
r,44,75.17255592138237,24,86.55332699414842
h,88,43.36949476020023,14,68.29509472182598
k,8,38.98460291302746,88,95.60786714804452
m,10,95.9696528518215,54,50.647843906516776
g,99,36.877367902769265,29,29.71178835026359
g,68,40.37358622425824,7,87.4718988942002
n,15,41.71802839262878,63,7.604223024189471
d,78,72.35465075216997,50,87.03036341764626
k,95,19.30045534288246,42,68.89513509172819
v,60,71.87234273367135,92,84.3125881144547
d,18,0.24745059894263344,81,48.218564051071965
w,89,54.656404334352885,78,12.618081708453344
e,12,93.07735318812028,14,4.1580270298737565
e,32,25.290688397443716,60,72.25403018611792
i,24,15.967818258519262,28,85.89670099115378
m,60,2.537125647309646,62,3.3560361901930236
p,16,37.96219966700536,97,97.81397143358741
d,12,29.860342930194093,96,42.60836322118598
h,21,44.05738040598428,29,82.13511658636874
a,95,73.26536317298165,19,49.49040319009873
z,74,60.1295822872531,6,55.014450539674684
e,85,80.74075369436392,22,70.33288717627121
w,70,47.79318376124253,21,12.988524048220906
x,51,46.24968310751082,41,60.00587040654175
e,95,4.389261853974924,83,54.74316408174016
k,90,31.822791585324318,64,26.943060536343076
m,39,18.5432988629753,77,26.592227424911364
m,7,87.09518461829727,14,19.232678392858272
f,65,4.761952528146873,84,30.452180948448206
r,95,41.29798622294638,16,70.6893877072464
x,69,55.984286413397754,90,80.75081962554987
p,26,83.25511790626551,69,51.60875743652154
e,4,98.87349242662953,42,97.9060887581968
f,48,21.986159853256705,43,21.371164093724914
g,33,75.11896364703301,99,99.851296819628
r,37,66.3813908487952,23,16.08255621518947
b,89,45.4919733534079,39,20.022545667820204
i,56,98.47253745902164,69,95.72503218347897
g,13,78.51172366241705,59,98.80851535288886
j,70,10.990118671298376,65,81.23425621268919
i,18,17.997460088286488,40,31.499177661860212
k,49,92.85870770654768,95,78.10870204607728
v,92,33.70407470653291,71,45.655347123735204
i,78,21.963725828516466,80,64.58866919296943
u,94,35.28716734333368,58,11.475216808616862
r,29,27.851017259214096,98,60.10727632030809
e,67,78.49759332847476,32,9.156280404488726
p,52,20.930954015672953,53,62.17321110392766
n,38,21.65340400675865,85,30.99128448471655
n,68,36.975594084213625,79,23.894779606086956
t,50,18.274625803816047,40,55.63064752566077
v,60,76.88735324257975,39,54.83443713049281
j,26,13.72286703207256,9,21.66157124312771
l,4,13.997652492662683,89,96.38088360254379
a,65,55.172265175798174,0,77.04971314752252
y,79,84.55369683878573,83,14.203045285884775
q,25,40.21433056441136,51,34.852052802895294
i,0,95.41763989809482,96,7.2400671651764
k,57,67.8966312677673,100,89.30454306907988
f,92,22.333835050312413,46,87.16315478467584
f,94,3.5050052730235537,38,61.24540005076757
f,64,85.28878494551299,90,3.340359624274014
f,71,1.5185290618436986,81,75.2261418184543
m,95,98.32805973314375,76,5.941220962965888
i,56,14.2530177730835,51,84.06654651619276
y,85,28.576597904846214,54,8.006076870817258
l,24,93.75805780626317,17,72.33291902243266
l,81,60.46444051351179,81,49.91158623429055
y,63,51.3246890892747,96,31.310376422044182
s,21,70.24019516600488,75,29.332334874855192
w,64,56.40901006891821,2,58.65456169774602
q,37,67.51371863804135,40,99.69338018557858
u,27,82.10547150650189,35,24.23186696573022
n,44,41.397310325993665,38,97.21116979941836
g,81,56.55264756816683,78,6.069818749459232
v,65,51.41747001138641,47,24.665112498469497
v,87,78.46351572968855,92,10.475877266240275
r,75,98.99943296121306,43,47.2374984326285
c,60,28.943987618726496,26,64.31065002943065
w,86,8.80375455184974,93,60.10436157607485
l,0,9.319269568438804,56,77.61934301313622
s,35,54.809065522943456,92,6.429837287588402
f,3,94.66445596958883,2,89.38929187677867
r,71,61.14448231932618,25,86.19492213640409
i,36,85.19574247462326,40,25.987721011592935
e,57,42.98061330460779,19,93.07736277510593
h,72,16.264139811919907,79,67.54526307887586
r,73,40.540194300257326,2,73.23574124862616
z,10,5.895555294196653,73,3.5097392094864177
i,10,60.74238515489267,3,49.33789164093665
f,50,54.114614505519164,6,51.08615166425597
o,35,6.8734731775214275,96,66.8644002155632
d,82,65.04661778438924,58,3.1611383725005715
p,0,28.17876748450224,23,17.41862376553428
z,11,64.8187304663838,54,71.05034856552408
w,45,73.91452155926821,38,36.13566461988225
j,97,14.19478369251963,3,40.18360991817733
f,96,14.52531049384459,60,29.078833839203742
t,56,42.42526789990511,61,66.37276656881345
b,52,73.71499665671858,96,77.0566650303995
b,94,21.101661318059428,35,42.50980091210015
y,31,18.01116349533196,42,91.643963429915
u,18,71.84499891412405,29,95.45371119821073
t,71,86.78132311058074,49,88.5595176281306
i,26,9.332614915050563,78,12.115781760530108
u,79,86.52106432422023,86,47.562477652229916
a,95,33.05866829193933,1,24.635099537169037
m,66,69.0334965388043,4,52.8757893546121
y,19,11.174470571516416,86,94.12508787313958
c,59,77.10387597190196,99,7.5154051101086194
f,76,39.73491316858635,9,7.949894928894308
a,25,9.99989585579495,55,65.07948001365986
h,96,58.27450234703524,83,3.59352100853616
m,39,70.19925165239754,42,74.18359362326851
p,34,23.962326276061585,38,33.35239617337318
w,37,89.89096146759738,1,55.36264668806654
j,2,69.02834129971714,16,28.21298019169308
f,97,45.29326454421591,59,20.794121424330413
y,97,53.659834761870876,27,79.48949393810592
x,72,82.5908423573675,55,27.19618844343332
b,45,39.034425855276375,92,95.90074000826043
c,54,87.69543742497522,93,5.247122168773133
i,69,72.20021547986607,31,41.845494443423306
p,6,91.41028212926288,0,17.190653232790922
v,52,89.16873129649107,55,11.165405286157748
h,96,43.247692310196285,89,77.86134095921213
k,39,17.12586078828884,6,0.4366106698861394
e,57,85.34824802057727,52,3.6081456519993504
d,81,66.44663890449914,75,80.10846947973033
f,13,96.49732104027102,41,66.79802025367815
i,67,43.57332652235849,85,64.51102194705415
j,50,39.24752386920278,3,45.16339635154698
c,11,53.35666788085071,4,63.69099657718306
g,51,58.896301353886805,99,88.82035770538474
f,11,26.07624788413275,72,50.627133893859956
p,71,24.240994288138083,70,78.94493665583391
s,1,12.844360874053296,54,78.79560596396935
i,92,50.526708973468224,44,32.80688365295249
o,12,10.145565020075576,67,74.21287925591955
j,32,50.996134275461976,50,46.474190039776275
a,36,40.089903399050876,26,19.672968401505088
z,30,31.055048388662065,19,49.02808553245488
a,6,80.53572864457401,44,61.142426847460165
z,94,26.624092015109625,66,55.17753255269364
g,52,36.65911331346328,61,54.835090752986495
h,58,44.27019922527292,28,63.838499534428806
t,90,33.261498836773164,14,54.995573948207664
a,10,32.35569505529744,8,44.3219455578957
j,55,5.557570317244743,97,41.541488180644514
v,37,66.14124555421105,98,89.99789225221976
p,71,53.609013510123205,99,97.97055379480473
i,7,47.60292661420388,15,21.988133906024565
e,38,16.671887686625787,4,38.3792726580873
s,71,17.30178516915921,57,96.01989092772023
g,53,17.690405493026685,37,92.74880313069566
i,6,53.862063538688055,73,22.83540963377876
u,73,49.6644787344197,47,41.60327140968549
d,50,31.32025346199063,32,78.55541031928625
i,97,29.964102437129515,51,23.713782216415346
i,98,89.71760836428146,39,89.66348612767536
g,58,9.343622294162868,66,11.499027039864984
p,83,12.163490414310886,83,87.410792078915
s,53,83.58728811957964,40,92.50784263684126
p,84,99.32710000856049,99,45.47688507738295
a,86,56.68207766407137,70,5.722644876900828
r,37,12.814135697069428,44,9.52025517361893
n,28,90.13676724525422,48,23.869331633389244
v,22,20.503996730635844,34,54.075067879480365
i,31,48.494672559323426,40,24.5463897393575
x,62,58.691933669542976,86,92.89277029332702
m,85,93.12433885941543,70,58.71036277774623
s,72,71.60064158755705,61,1.7504930628677973
g,60,95.16857260676237,56,98.25103961330946
b,71,14.19319758423514,0,14.990349021855465
e,33,15.60020483548412,65,31.973459953554528
s,50,44.81061760536625,28,23.355542706353894
d,57,39.57021185257119,23,96.20456240847261
x,22,4.0417692536245164,66,48.8531677148737
g,74,98.73246838248119,51,26.29685622127035
n,48,96.42506169249249,50,72.20331847286093
o,1,26.26288306195065,92,58.74957718379289
a,8,41.543653657079496,87,69.37953510394031
e,3,26.832305789681666,67,48.3898611310334
i,78,49.004903551359355,28,8.518472195276082
o,52,9.718046300076754,52,74.47596745194622
c,4,70.39365589066001,83,72.90867965700143
n,53,11.65599063065834,17,94.7940683123416
g,76,14.888978835614598,23,17.010695302693247
q,31,45.866632479444235,96,72.26187140328862
m,70,65.55699816588175,81,92.88046445056699
y,6,81.72053142724737,84,57.9689923065053
d,76,83.9688984847314,37,10.159329275136663
r,93,18.153661841935943,36,39.624993796218234
r,30,67.6194180505724,39,69.92197274349348
t,14,87.79280298005663,99,60.6766813916353
h,4,73.21861173851654,56,13.042382871696056
c,16,33.21158328007945,80,35.31699391577837
h,68,39.339332343721736,46,12.980806485520402
w,49,7.6705752293680485,20,35.71190880621005
b,58,87.64380089732371,32,12.471480976956029
a,70,18.164717124384666,26,1.687381032632962
w,31,27.65234803777886,100,69.9888418598521
a,57,14.179185330429522,19,28.139122192421784
z,87,2.9704587813281558,94,65.00645462299465
n,35,82.35977391620578,71,46.10766315105136
s,99,60.11907800720589,55,77.17530516707612
j,90,76.69386526413537,19,3.8147820182328096
u,45,54.479850044160294,26,92.74761595031075
g,84,30.49065327731534,78,22.569262212684304
n,74,51.78187851765107,6,48.584478187520595
g,13,25.411955028311795,46,40.635061652697836
t,47,30.484814105645974,93,31.730649249723374
w,45,6.385761586139549,52,33.50370978967637
k,12,71.32757182944793,86,45.12163374534983
m,12,22.733527802930166,2,19.354068461369266
d,2,98.03599605362498,77,68.58430299821467
y,95,88.35335714505828,2,38.60958112235227
h,4,92.6828212048124,47,74.39842170003442
v,36,98.43512357983768,38,59.46163482431004
o,26,13.524958540259702,45,43.71958629619731
v,62,63.80660725415551,17,5.391168383245059
h,90,64.86048375137466,51,87.92806911230629
w,53,30.719752486527497,36,32.217224802778475
b,54,39.77887207249145,89,55.933502550559155
o,54,69.85912961389407,93,91.52836653248625
l,9,38.984590683004924,34,45.172922002637385
r,9,85.59861383887528,86,78.56692369769907
v,1,33.72464657758838,70,43.80372727640035
d,47,27.517316256480097,87,35.31154445420148
w,51,74.31636246812289,0,24.82342814966647
u,14,89.01019998995854,18,23.925002819707075
r,5,63.55544892818865,35,10.120792669897815
t,19,85.22935559506773,57,23.81591877708261
w,79,83.27194304246534,73,30.71083243870073
l,13,76.93896030150584,92,25.2550665965073
f,59,47.59437719885796,57,77.03752387600578
o,46,45.042889907506954,17,32.48501820527401
s,1,70.8248032081248,97,0.7540636448246318
f,95,8.493323703265332,65,30.299824203612445
b,32,3.4351650960123825,67,23.302935069758533
g,67,94.42185215435381,18,38.953166008649184
o,85,95.18046986263484,84,72.63641416281108
c,31,11.252227000592796,44,76.65714862850322
j,21,39.42090015636749,8,26.00023895884559
n,4,99.72253088707424,14,10.090614139970066
w,95,29.868605282923422,15,48.16515319281381
q,64,67.64201596956106,86,51.57861202666444
j,39,64.53415197285163,69,70.47348453785024
z,27,46.69716779154037,82,87.54301896743176
u,37,28.827362402473568,50,1.7596024091831142
a,32,21.763726039407373,48,82.79622044543727
n,33,0.9279637278720054,63,6.49282948253086
c,41,40.98732912215323,91,55.37321386170839
x,88,37.89856693229714,10,46.87139900013057
h,91,35.95648066483231,21,13.776573835303186
y,20,42.519967788033874,10,80.30476062594643
f,76,12.182277024841081,14,66.54522595495713
a,20,57.15272785659753,37,10.013380242501924
n,7,0.8035367153883421,2,77.00985864082558
t,45,86.05446925968252,98,93.56044573179393
g,66,58.90981624910818,19,8.895674133838238
n,22,88.91735022727939,36,28.02227695746048
q,20,9.265227271321608,14,87.98465967727573
u,99,7.091114488595984,87,50.88990774296849
w,8,69.94250989629866,52,9.018914676404444
g,97,0.6257845724560007,92,10.19723981091456
q,82,37.738342376793135,43,81.78203116811858
c,4,25.104922464222412,90,21.53935541839138
k,99,31.55686704594247,100,5.358302877433063
b,60,44.90484587563811,35,2.503241070577089
w,27,18.56953620773765,39,41.40684949005225
k,37,86.47517730385069,91,21.353129988073572
f,21,24.537011226652915,36,4.122237908742077
m,28,57.80496197173428,51,43.90130213955976
y,63,46.78306730212179,90,1.3223825257382082
r,44,63.83642241356562,77,89.83943930608368
s,76,42.27488606111529,68,71.72595462412995
r,57,20.856331453526533,76,4.463134665263812
o,14,12.44091167414817,45,8.663992447438307
l,63,52.197091649846975,37,12.969672349804517
s,62,8.07203747754347,14,4.174962090584511
i,10,20.85738124780825,63,92.01602744668524
j,37,80.49246535655541,64,20.68182043234256
j,64,8.751022509111639,59,55.3802566745693
l,9,77.63830020495878,71,66.8212564044125
y,34,19.157938205179505,62,96.26420768405546
x,86,73.20432935781271,5,41.71741151620956
r,24,67.40501984455115,12,2.6380514876797823
o,35,38.05263118706551,3,69.41592783339404
t,32,94.98506700949103,28,58.6281996729993
l,72,27.4605022407852,38,41.10929504704248
i,84,62.148806518384106,57,74.18496501441005
i,29,34.60434156597082,24,57.43717035566116
m,51,48.247575367859795,81,74.94885270347447
v,77,89.50628776326441,92,50.381572700961954
r,75,75.24703573658532,42,85.5827084981142
j,31,57.22844076211487,49,27.32186289650397
q,70,59.010848857181166,80,8.404350263823467
m,15,46.42497994241429,56,6.6430693818703705
g,50,2.9965239885900163,2,88.69919201313135
u,60,64.40684523360214,72,81.19440561037912
w,51,72.87354197633796,52,31.604038869173255
w,73,50.84767444763857,52,43.494657459754634
z,20,46.036209849432396,49,6.834874204348473
c,68,90.35368364621718,87,37.21316609581192
e,77,68.0120809408403,69,26.69135328949267
m,0,9.977525369205475,76,35.361044855555775
c,65,43.104837512454544,1,39.519744973830804
m,44,77.99614923488629,54,78.41747439160385
k,38,59.801997338853575,12,53.081511504472836
j,62,8.565764158390143,78,54.56727269330397
k,95,19.054798091090277,90,40.41047168556915
p,10,95.67181853895276,82,42.36549854603291
t,46,31.93915948084135,53,64.81000575620713
q,85,56.74390803163877,94,85.09516926863444
y,49,98.12263567306057,75,24.508844195268033
t,41,66.59054420227473,9,80.20331578423293
m,17,96.88562006682821,98,63.165390510166034
d,66,30.1133640369435,67,23.00817642528541
f,95,48.80016568570992,24,74.52720939194496
c,48,18.73232401541699,90,82.74298225716852
h,19,28.06762007557253,24,63.89830308839415
p,98,2.174521079139846,34,71.16529477628039
y,54,10.943855255331336,11,29.284945497762916
o,10,9.230920370806661,23,60.50163451464247
n,47,44.69301902554361,84,47.48043393420191
r,93,42.82116218726754,0,66.23410794171518
y,66,82.31477280847362,8,65.17240345219962
b,89,98.4653252756957,41,6.860752079369181
u,81,65.32526194678904,66,7.127922709003354
p,12,8.470084670592737,86,57.58222966880285
m,45,58.36733624851578,70,34.60075268446795
c,67,3.485225694257854,53,12.941631147682964
a,97,41.37782953298157,5,83.1983501599708
z,80,19.93799240958293,28,64.27305889153493
n,83,27.43992153271376,4,66.05338415504912
b,60,22.995761320310336,63,28.762928521458665
m,91,84.28808138787757,76,35.592700461925
e,27,55.78438126508465,62,99.401914410581
g,54,57.029939278746475,30,27.295515654097724
n,19,48.1488553764496,63,67.37938974040208
f,44,80.8299793021013,46,43.205745469199485
p,72,53.6416914326431,54,95.92834027528696
u,26,94.62217649196714,50,68.97490120183264
n,66,77.46592522900124,0,55.34518045038046
j,46,81.12343707554048,63,95.05877512235512
q,61,6.769261012720939,35,3.1006392166689545
r,74,17.099025898722942,68,37.498630052054374
v,31,87.08322011323915,70,91.71978116752287
o,47,43.97162000004501,43,38.79333867139471
x,35,71.99962192764062,97,51.085465774924735
m,83,28.35579428203995,11,41.86300437638476
m,82,83.99547611992126,12,84.56042572472933
d,53,9.420858993903646,40,35.14323870976709
g,33,52.16725829560009,7,70.28771288060379
c,92,37.65373363111188,38,29.853493680267228
c,40,10.341981366360232,67,89.73971728448247
d,0,68.13528664543762,57,4.621336909471896
c,99,90.29085983916767,36,83.65799871211905
f,84,29.23847364081511,0,99.01575013455654
x,63,57.70726512845372,42,87.17519092598567
t,34,35.89620986530632,16,53.36527016635746
z,97,97.97071363930885,50,47.62008350563606
x,76,57.2079495796993,28,57.19757256544504
r,39,85.15768942118497,72,72.77685926698078
f,85,58.17670659871983,77,57.476462257942316
s,29,15.611644192390795,3,30.062257880878185
a,35,85.90400539697148,43,39.835190236010234
f,10,11.91425652035324,41,78.28907033252922
u,45,23.150176688120283,38,20.77865359696126
d,7,50.93653731963784,45,20.053997819899383
e,37,58.85989217586576,20,67.05853556325067
v,84,28.44352370780673,63,98.66722621937288
o,22,99.77057777202046,74,15.55779384491035
b,26,79.02384087664583,66,27.1058229820755
t,37,19.31230010268934,1,89.7192186074875
v,14,47.35237790676198,71,62.758244184044955
k,64,62.20417450185513,27,14.766662029870803
m,78,33.27168517958262,75,55.36865990827469
z,98,40.54786306218061,10,28.861053982999398
c,24,70.6696690423007,50,59.63596105494605
l,68,40.72410853991738,26,56.727189467389664
g,88,6.369919235096056,60,89.41739632876072
h,95,54.41224339405214,45,49.67152057698346
u,6,82.99117528122198,9,30.523585717050004
v,86,55.69103596373506,12,59.99017151608099
h,40,64.12364049464654,58,90.13456528254255
o,8,60.13692980242832,35,84.47864472937508
d,68,82.99708961895179,49,96.65046849087263
s,15,6.05282334685544,95,57.88811660111294
o,2,2.557768527799198,12,59.287495529743026
p,78,27.723198248348414,63,42.245230100119414
g,56,69.34740754877011,74,11.253568396852586
o,95,10.817395388112317,70,44.03637992981739
m,87,2.922088035749504,42,49.85267664760262
x,65,46.05217983135365,47,52.139623899885734
u,75,33.12483741403065,55,57.368064756813965
b,99,98.92078847913972,52,73.27373785842846
r,55,8.569083029041147,8,8.404444626559904
r,32,89.48428957154883,14,87.42166514693656
n,38,10.173189770988866,35,7.7297482392952315
r,86,94.43102202150972,14,26.655511234825326
s,60,48.705891483367814,75,24.692642688612075
b,92,49.17921704913949,6,14.197816804491115
s,57,8.360394113409942,29,34.53409001811158
o,0,5.309980156907567,56,63.12274781252057
v,64,8.75931914437922,2,80.35824245185619
n,11,58.071799339176245,30,89.81942004384858
v,16,66.31233058703768,18,11.45281145027579
h,87,79.76576814301659,31,15.856875119394132
i,63,49.1831955483711,64,0.5655597830007131
l,56,65.25775820600673,38,82.31697908600485
c,36,7.365318067204218,50,99.83923929119032
g,31,70.63953905829568,54,32.7381622079954
v,99,70.01605557266573,8,30.231664787098445
x,11,20.849494733889806,20,40.62177171186846
a,55,76.39155253031551,48,15.285043520658048
j,85,0.6485251834677186,53,10.383149697730543
i,80,30.56707914116642,100,94.38878640473594
e,42,2.824545771491671,51,45.307051466912775
a,16,1.9603590205408694,98,57.56728542694803
y,2,84.67707196917392,86,42.457474975148244
z,73,74.09291978595454,16,0.571241674170675
s,79,5.861297221644756,88,35.41070622156778
o,98,70.6467190538141,99,40.24972800752161
r,24,84.27571507986269,39,26.623216450426458
x,48,18.08235137992269,100,65.70354953040176
z,78,48.28954974385478,95,12.435039776675993
h,32,43.85918169706014,8,34.44223179353807
z,9,85.5928079510155,99,35.71741300223824
v,44,47.75414769790991,72,78.40281954762428
u,96,17.750339554319904,64,1.7334616347880027
h,84,99.75550649677454,14,30.43642306008185
h,47,68.871975122722,18,23.53060256324343
i,81,15.791013089594951,34,43.480812907322985
g,23,32.934601659930806,95,38.74143408965763
d,81,73.33085456696926,39,68.34385470558883
k,0,95.08075620974485,93,90.78036875904147
w,20,97.37824097672782,54,45.477910691794385
i,75,90.28155401226627,26,79.90449538569113
j,4,31.783264414284794,37,79.62995738041283
d,100,49.98895243586814,13,74.02086838938168
a,27,86.11988949858075,81,93.17506775459373
b,83,38.36377490126709,24,59.98514498374347
g,7,17.24283764036859,99,31.37214819495614
u,28,31.26153400270022,3,90.56284439729035
t,97,1.8476176294974112,19,59.14231409850347
g,46,51.51815701843613,44,63.21051323869455
t,24,81.35550207460888,98,67.44367114738432
b,62,7.977587411317277,62,49.61065771987673
f,7,3.0476054692703314,88,22.635506536690244
v,13,35.20162363759092,44,66.51081833981394
b,7,15.52405203419186,97,13.750865235260246
d,39,21.22335888253596,70,40.82556228782427
l,76,0.6049993163485756,15,3.489405717827887
w,93,17.899128887041414,36,30.669665311980488
m,89,38.79344579016595,44,96.51228406473871
l,91,6.439397982208117,31,38.10190496318435
n,54,55.75516499912864,76,17.13381013121449
a,2,34.185807684218915,63,87.45552515172915
b,44,22.90447392097914,93,46.352875226371594
g,39,28.988054432615982,41,98.76512412803557
w,72,26.349965988470014,44,55.43808169719161
m,31,88.62904625161812,83,89.52242007977748
i,45,19.401090428526736,75,92.57824764064651
e,87,88.70824894926996,54,40.130174145479636
r,66,99.70376971964492,65,96.1862322159995
v,51,51.448654558241216,52,17.224559677491314
o,96,87.30180961851411,34,9.715219391602902
o,39,90.4798993658975,88,45.586603589779585
h,1,94.23590537077196,68,52.89443899854594
n,43,8.563498035771723,95,63.129767913265965
y,27,38.06524213332514,38,76.49963568039942
f,6,52.68937219364271,25,26.26811865620422
h,24,37.355383853451684,35,74.8586133326985
l,93,84.99953849893343,39,27.13463226640117
z,90,74.81633675721928,34,41.639841740350406
q,88,24.653207829127677,52,36.35179594814891
b,14,60.66094629480521,57,21.234667324282654
b,73,87.26518210503616,66,38.40027028902961
l,55,95.43959025172097,67,62.32709205835359
l,59,86.87882622098792,68,14.751551116285865
e,9,75.79412090603257,9,4.270073187156442
j,88,46.49146673520556,20,62.91794012994853
m,69,1.2782478183745116,86,68.68879534975234
g,54,47.14730217150278,2,27.202302079472098
q,66,24.525050011337157,64,82.7941342197819
f,84,41.48795524209553,34,69.01774714604217
s,24,49.779618965119134,4,13.61514280382986
t,24,45.77123831104159,34,94.2062817684793
v,43,75.64835667228047,49,40.762653970695695
j,11,85.87620535015078,99,19.583264347264706
b,63,47.74970968294709,60,75.2042789566536
e,57,41.20420235173601,25,61.06253545567319
n,61,56.12917894730695,21,68.51850918134446
y,4,57.7381294414163,52,9.775181356328744
l,12,77.95344301535656,23,99.74519999891224
a,16,17.601847225199418,67,43.36327515292919
j,96,16.16161351949691,43,25.805333333156423
q,68,72.70142421498748,56,79.60205662213853
p,39,75.32908215935744,27,51.185881271371414
b,91,24.41471852046808,55,98.33362563777558
s,30,80.4264487343971,0,25.569369984363387
z,13,23.67588571336887,28,10.16173837296639
f,46,28.063520097369388,27,17.18228378708454
t,97,22.226774492614197,87,34.61716336303902
l,38,3.0609464468288716,32,81.26034543595671
