T,F,V,B,H
n,15,48.081641127696294,86,23.803492089343912
r,30,38.955522009225774,42,46.93704457311587
k,54,67.98359973430205,37,13.372621416925167
u,12,23.692320897507567,64,80.37179715688885
m,8,84.32828630421679,5,45.341304279133354
g,51,68.62878366902694,62,77.95415159764076
r,19,85.71562638872605,29,14.756895923087932
p,21,62.97136521881125,60,41.877154013527004
c,65,5.333933636935095,4,14.810139397775279
q,68,38.92363688027386,54,88.4043391239118
y,62,54.69038888571111,50,12.914016795321903
j,51,80.2949968273717,0,38.12075780264033
m,6,49.70811928298482,35,84.53657768214124
w,29,82.506261237849,19,98.23809494564088
l,72,13.35828940632312,50,20.30202652010341
s,0,68.205355823683,27,36.77189726143099
o,91,51.60992007997665,3,97.09625649124098
n,3,59.37890469558674,84,31.549488472371433
s,79,98.38290682080168,2,88.69189397475074
g,32,25.810209013497253,35,24.05688518544413
y,74,63.69395439513409,61,22.24570708693152
l,27,92.69770011303363,87,8.008148903094604
u,24,70.00533206229923,65,81.83287330832829
r,21,81.19474332502426,42,86.23417230768837
t,96,55.24072388041517,30,1.6489517158759792
o,54,75.61316431832338,75,97.78186130531982
a,3,25.457945137777426,39,36.635676666298046
d,33,45.85689912558922,60,19.46021811557037
e,93,33.18860507481831,41,27.53185574726932
a,43,60.69731152346832,63,63.949698345958716
x,91,11.269832211028207,67,95.8658821062107
e,52,58.11339384554949,89,8.063309069144264
i,89,77.0782118087864,81,12.50910304805366
c,32,80.17438598211605,72,32.28207831408307
u,44,25.16311133021858,72,32.885309160657016
r,75,61.80069170052025,40,17.48882153679365
z,28,80.91163241005927,83,66.84673882422207
q,9,97.11402733779005,31,53.85770765917107
m,41,61.09017427212724,1,98.77828160780074
m,51,24.03734549198583,20,64.43640569304692
s,48,65.67015757569642,64,0.8071942935072851
h,69,18.333469710437058,88,2.7963378852974285
n,63,29.79640799804847,6,68.07401348233657
j,35,56.800481617399456,16,32.16533877053339
v,30,7.35692087887545,41,47.870044707881846
e,71,12.145080835796696,41,82.02885532930006
c,83,93.05245396987947,76,61.537353692129074
t,62,63.72089814459388,32,76.7994147454382
j,55,91.42547559852177,74,51.12612543386889
y,35,91.55168721218283,99,28.076785014253215
j,75,71.79228550229875,17,73.60238545454423
c,60,15.699159524406959,76,49.468212484952986
k,50,13.778018737359066,98,46.218682531824214
x,18,54.06820624407618,9,59.397156136329954
m,48,26.371406191369353,59,43.53230824538874
p,72,90.93755920043827,12,37.32234355888665
u,24,27.080526617874312,59,2.22964426791995
v,9,25.492203110719704,100,90.89544561409657
i,11,33.9796974696388,31,53.37362585287342
l,59,44.222331504948066,1,24.52162692963179
z,4,65.66151326320619,71,93.65491762629131
s,78,8.577111638320956,8,71.20026603233791
d,55,90.14651848686105,40,81.72608134769904
p,22,39.81076825039589,6,9.38913121616517
u,54,86.49220990740714,98,83.93793679504277
w,14,90.3995065031214,35,97.80244619501956
z,64,44.58648622429864,65,88.58946164254584
t,4,5.2643297082965335,70,78.29355630553766
h,79,53.68540332901662,87,63.12177579902083
c,31,44.20936029578614,95,66.14283883883667
b,34,88.22964749494423,80,9.616067217553825
j,25,56.78445418089784,75,6.922517090174352
i,91,38.66682639595991,21,99.93822289738031
n,74,77.24643281342694,76,36.32453165834889
y,53,73.8620989944141,12,80.17472438989137
c,19,97.72347386522492,0,47.19951966692073
l,92,80.41196155046433,14,65.26145722445172
w,30,70.3186626229867,96,53.08650053869643
v,71,57.25758470677419,10,6.825760181381968
g,32,30.782526996502757,96,42.22138798896273
c,40,50.04473241193964,65,13.977277773915798
v,17,0.7589075146728574,88,83.45648928733267
u,0,78.64189931303467,96,23.731847551304664
y,39,61.54255604363097,98,4.737924214148315
j,92,93.83310625103641,95,69.99451680300399
u,96,46.292821957504536,66,50.628387755511305
h,12,65.0740911354842,70,34.83393156983241
g,8,54.87544158206569,15,13.345281907855933
q,39,9.655611732956427,88,38.264197525594845
z,43,17.424803301160086,64,36.02015501145913
s,97,88.88010717109913,81,44.303803516262285
q,79,20.653230231409026,7,81.27861998895426
f,65,24.611299650724316,23,99.46381082524066
x,82,72.11761124989815,84,96.64946337911377
s,71,46.55348111506294,62,94.49360749912003
h,6,32.465786643829595,3,3.840495938050459
p,17,95.71144313620538,75,82.57802187122513
n,78,44.11605813477699,46,20.381521437474113
k,57,87.95853765052092,89,64.57149963267808
c,1,71.73903155600667,95,57.355692488208085
f,1,40.07018334778605,64,71.00797173554463
x,85,69.84520334329393,44,94.3119954287549
g,100,69.99503333587879,73,68.40962370124595
i,34,81.61016416073237,80,64.44888234888595
t,91,55.57470967809108,50,19.595743044008852
e,62,37.500003188511954,13,39.63891596528715
e,43,91.20961069285663,89,60.70593496187252
o,99,62.199078002262176,84,89.32892422872918
w,18,91.04788310001257,33,34.53547731903307
h,65,36.866901833873754,29,1.3966532900505424
t,89,28.24206889677403,7,20.294359759411574
n,31,52.23960451811831,39,53.69928839386936
r,15,36.67986363579521,63,46.80874263599346
c,74,35.330469075954205,8,7.920342081077846
q,43,98.8810110914023,60,10.004854503342308
t,41,76.73363378055775,51,68.29641199829688
r,82,74.75388674026068,48,57.13953998605126
p,65,56.08268775774914,32,40.341629878184634
a,71,21.350832561444978,91,29.870870632404646
z,50,29.88203466741799,25,89.80307539156593
f,93,74.71029221486091,92,28.44473078317309
i,51,2.7659495827454195,85,78.56277909023252
l,6,1.9948456637969292,75,79.6163017942226
i,14,17.703499121111832,15,27.359386605946277
q,16,70.55167267389606,15,54.16940173553721
b,13,93.48619785464334,40,33.69292955340358
c,100,33.80540947906331,28,65.45338890310158
u,93,4.505654726537179,84,64.6685925971773
n,26,64.20311602427434,12,44.867338864643855
e,92,99.9116170592432,21,53.98348030564036
j,64,49.562049436118315,100,55.66753021314216
u,82,4.112122423002984,28,23.94217452301025
l,15,36.54289171309978,44,18.3581981554932
a,97,27.848093172010092,77,41.52637809293189
q,2,28.119006486302922,96,50.19114200001603
z,65,47.26038491137585,5,95.32785850132755
q,62,85.38619669304771,5,57.19636274261685
v,46,15.469129603408394,91,7.986828196527041
u,57,30.848928871808045,28,38.6765823366229
t,65,75.71978857569061,76,11.496798738487978
h,82,87.35702571262232,65,39.72325434349728
c,13,33.94580709132657,88,57.31958579356804
y,40,99.07144071952472,61,15.080139966298578
v,11,52.892873594199884,35,47.75204110601705
c,44,96.41890622198137,91,66.329178205099
b,52,95.2500765897622,65,71.09734310332692
v,89,76.34593350401616,38,34.402638728621746
s,42,86.99566117273818,51,82.62140843384412
j,70,1.9723216139134414,45,93.98892813642703
t,39,65.78073374828581,89,93.08702005315921
d,59,59.78780194708783,90,17.793532399125844
j,66,43.951162335825025,61,12.730088946336659
c,86,50.95816844281153,92,69.22319753719141
z,3,71.47495628597912,82,1.074418642710251
b,35,44.34096796415863,40,23.012039556296404
s,34,95.03990768290821,54,19.5379892679601
z,37,48.35830788120848,64,39.41632294738281
n,44,12.200965164613564,8,81.06289311936585
o,9,16.505967233142947,16,29.899393410743713
d,76,60.28142348297204,21,75.4788686233546
z,68,55.3676628717123,82,31.571804157689098
d,66,92.05839599878797,33,65.80259995197247
s,24,9.753331059802283,55,93.33015045247872
l,58,62.25204866423552,38,50.65694580488511
y,41,7.0280717337158904,15,62.5972612198783
t,68,51.96601336117248,91,2.256344026306889
m,76,84.3254006835156,54,35.85882007744294
c,35,34.9895838681781,22,46.17537698219686
k,82,72.25838114174923,97,30.7101576337094
d,25,24.979156002637794,90,68.34147525708984
u,18,8.639655210507557,20,89.21892531039846
h,52,78.27911614715775,88,29.904864658552366
v,75,83.93850603248313,35,42.2666799708654
a,85,60.56199972339257,2,23.591327086668766
v,97,18.33536696521835,17,95.25013036356043
w,40,47.13690378089552,4,7.314283051448244
i,60,48.24318442141124,43,90.66905374252354
f,28,11.375078781897708,64,45.359152647216725
o,48,28.83814392672933,60,86.71338587089393
f,83,47.01877653056705,52,94.97021315068343
u,27,5.824486681716001,48,20.03287031729316
b,50,12.476674527048637,43,58.03538631702568
f,82,10.098442514812634,69,93.07920931128986
v,98,15.37621983002725,55,68.29884037380313
d,95,77.88866891785578,72,5.738228588442251
g,62,29.935665918001853,80,66.71893223197628
g,23,17.39927069436824,67,70.75454781832205
n,42,16.41472324340456,68,9.094140853033473
n,5,85.14169620186836,52,75.24739936914094
h,41,34.89529816266218,39,6.282979173393244
c,31,17.25804813146069,41,90.75289770971821
e,62,79.37232652094397,23,87.03618782957957
d,99,3.390490187076478,65,41.66209771844156
s,59,84.55625066993072,47,66.39537645035406
v,9,42.433904149255376,85,39.96184238253308
v,51,41.77471421261496,68,3.7353004897250797
j,35,84.09321828163219,54,59.39283578933203
p,33,47.6151891561466,82,32.48389317691676
f,46,81.06881114663433,72,24.55332109322298
t,62,15.305109593721921,82,41.39800933025629
a,60,28.848192175144494,83,53.64792939325417
c,33,63.603525506137345,32,25.79484343752125
g,2,90.07525788067092,65,48.91531223843993
r,96,87.66141965797624,39,21.582296722452764
d,57,29.744973652037586,13,64.04072042871564
n,14,98.60340251470375,36,59.0167055699228
s,37,36.58436001099007,88,52.86770905098523
g,55,67.16707836369415,2,73.38806808361863
u,78,59.741416697602645,92,31.275920212966348
e,60,31.451663931241626,92,52.99907499269073
a,17,11.605843740001164,90,27.347783449756747
h,60,23.568640658554607,53,59.674962566897015
y,98,49.68630110804941,80,19.27702348093996
s,54,38.05759492977233,67,45.9655316768987
b,55,95.65551523223508,77,88.9043781651265
i,45,55.83603084477029,99,33.491625115397795
s,92,45.35953219009466,69,45.29335843613287
q,0,99.85799113265492,3,38.08167382754287
x,94,26.26631289965036,74,1.3656231056880075
p,78,59.95271550825842,35,99.83427326319692
p,87,94.48223395943332,70,42.40999293567731
z,69,41.072113792446416,85,43.97019239371728
e,43,62.3151269895599,30,10.779105837613024
g,70,39.99526615825951,30,77.03717621376254
s,63,17.841976374234658,0,85.03215675689827
a,86,80.06898180056935,64,85.36431373294772
i,4,72.77090640094296,81,23.660528755088283
l,44,15.961170095850974,37,44.42209719352811
a,74,43.14719073824328,89,46.182324115860304
q,7,72.70761538488551,24,14.545294600108182
f,5,91.7587440075037,58,50.07878495360778
l,30,11.29564936644324,85,66.00046771351565
z,11,66.1453754692443,62,76.81710237798434
l,77,76.0414253426675,5,53.744024114202695
d,5,67.9022349824244,7,97.60135634813238
s,40,72.45159394457725,98,61.270676214810706
o,79,96.50746662587815,71,45.599173290340666
y,40,70.81856304504585,53,63.45539293152993
n,56,40.74063380055005,35,49.94475570578116
n,52,84.02224941474644,4,81.95173142075883
l,65,45.66850117618434,22,71.74250601912219
c,51,34.83094242058916,92,13.142437033302768
p,4,31.0657508211033,6,6.79460168688264
f,86,30.672756531508316,81,60.59953565537145
x,10,22.978746014665784,92,40.018484436924005
e,22,51.30751341060061,20,3.0656128531014515
j,11,37.4604594096864,83,30.858120667754672
n,10,99.25455584057774,22,56.51797112123944
j,85,59.750544642044815,89,40.20008343764666
n,93,88.1448902345177,25,30.755800181656923
g,5,27.80518328020377,15,81.57072861369787
o,7,94.5009505353513,8,27.5534928478113
j,20,80.45028445686208,23,73.76548193243737
j,8,87.55188966970124,53,40.166373432818915
q,6,64.06798218477034,29,76.35139939672295
h,39,3.7780455494724308,80,65.71971303142324
u,42,93.22579144268589,88,81.73880640222089
r,9,85.39543447318418,37,16.586337661011108
v,59,65.76495171508982,32,93.08510530347698
h,50,26.76924394914395,57,31.50904016750632
e,88,35.17857064889193,78,43.98205141060909
t,87,35.56169860742213,4,79.94112679434896
f,6,12.90616132995046,61,8.790342093611248
w,32,51.64589864109996,52,35.153736809127125
o,99,98.15964600044525,52,68.01272161222612
m,61,11.48138942332505,13,71.65622102580902
s,50,0.0785697202177249,46,5.427750208420101
s,66,73.04853458244366,31,69.59743556110162
k,60,92.01195433951737,5,60.646382523179454
a,91,20.4565845145005,49,21.935072403116397
d,52,42.767124778270414,3,74.11955666078846
n,56,36.4337711406514,7,85.7778951335063
b,27,44.76290481144479,11,31.691646623356817
t,46,63.146744352057695,62,80.34285577347421
r,100,31.75006757177178,99,55.966817435806185
n,12,9.624531701281846,98,36.052023922946866
a,62,44.3986946584376,8,95.39889866322878
o,55,48.59164819763453,61,50.612574762804655
a,40,5.295949687592094,67,77.21019123740649
i,67,83.6954742157842,93,2.7462446416358532
k,21,94.34201722805973,49,12.470853271203119
d,88,79.15431045626242,35,64.51545404039973
d,44,57.22772647145402,3,35.36258489226972
o,9,35.09751224005315,61,23.58197236101651
g,24,60.09857845644927,68,11.380452614828862
g,93,7.643391335345672,44,40.59198636432551
e,91,89.49289011415172,52,63.83778552668215
q,20,68.28429124378816,35,20.372552633610887
k,46,74.57243929493093,64,27.455789008023057
e,52,91.37820232706828,38,86.96684869170504
a,1,39.43773358920474,98,97.45499486556488
t,47,26.728157971105524,0,56.389576915890906
b,75,71.83994193097992,26,33.00881405824892
i,84,78.92099178039534,24,45.28435173717719
q,51,71.8459479744336,86,49.442736661034424
z,66,58.44535552306762,61,99.0531634958202
u,79,56.05893449327476,31,5.139984332057857
c,7,77.80412948800208,26,87.57416291078668
u,100,65.3906227183536,39,46.68496039966652
u,69,19.781689920619982,96,22.750473802808713
s,2,14.677063336363272,1,49.186664246235324
g,55,24.525074383006118,94,63.474599391753706
e,7,63.80360077495174,67,64.67806069611152
n,43,95.86886641007159,72,30.054159521802625
e,72,74.6832173597969,6,96.35304780786514
m,24,60.745983807350626,72,68.09846710596867
t,23,6.617478429928136,98,40.659340813757126
c,44,83.73799724093274,21,53.19693941388833
m,67,15.060235797987719,36,71.91068260563415
c,69,78.35880093531107,8,96.60751104630283
a,62,49.314579442484195,42,63.78938580962185
p,66,47.72444528170973,90,25.191880818319177
n,57,71.6442635886034,17,22.75006603875458
a,25,86.87964050674283,22,52.082255152396804
m,96,17.56002160745992,31,24.413956944563665
o,5,20.422578725775743,21,84.91494429353736
t,0,12.963259144257266,89,23.45111852578109
y,94,98.55901247391935,16,4.428539558537792
v,37,58.550764303970006,3,37.38212919702709
n,0,20.757511733201095,17,59.75730525988263
g,34,32.94625973805157,71,86.1308910274607
l,64,93.66419035451877,89,71.32262837435859
d,98,49.282334138737305,32,54.676102424894054
t,23,74.46136478149316,1,17.913533498258083
l,97,52.79610596607589,39,53.66630721898032
g,58,14.89078226942121,29,65.21603222093955
e,64,10.83257108092358,59,74.84252659946333
r,8,67.37380553282748,89,30.90510162407053
o,39,58.816203392508726,43,43.72721430024931
w,67,58.8321930126548,84,80.24625254853936
e,89,24.69524605392901,53,70.29619635845393
j,75,51.06269222506585,1,13.994848913345814
p,68,25.710347256061095,50,53.25884649705631
z,86,31.487507044749087,3,93.27304769523238
z,43,35.623762560368434,89,3.4429626737856767
x,93,25.227131635886636,27,11.650000430073892
g,79,66.33217078437215,55,28.236267989130347
t,43,48.6915849381949,11,37.193686229253565
w,57,45.49740066942941,100,23.44879653996863
h,1,47.718229716202195,17,34.108722586526405
d,11,54.408920002994975,22,25.94682976972824
j,47,62.32449672404952,25,5.190994785604019
b,71,62.090212969798706,5,89.15976986487118
l,20,9.97696200085344,68,72.156230014473
f,36,86.26788379464546,9,79.88775273586324
s,13,22.66429987351275,23,34.310397675066376
r,87,85.3720092535874,100,46.67745640783896
l,30,97.26615404492064,34,79.95346956819145
p,22,90.18569988914987,47,53.35611847421975
p,33,78.72692525607377,20,62.616814436264065
y,87,26.778998241619124,81,10.738644411305199
e,98,10.955841911016384,10,14.176176309513622
w,11,36.56238962962163,41,0.9658108278186139
w,69,50.435734399006684,7,48.94880253243872
g,38,48.696440864309544,59,16.89745374633119
v,33,50.38491087902356,19,79.14591477659357
z,44,2.517013074818397,100,73.01759692450393
y,14,72.39009605933465,84,28.493392241898153
p,13,97.81811404604845,35,31.66864877291834
o,67,87.04152729057482,9,80.08472323563046
y,81,54.99026143395744,39,3.8272214009999805
j,44,67.07097888154195,40,47.21215022857703
x,6,43.94467937668214,73,61.20493122540488
r,80,47.263488998253436,64,16.27970686782524
o,73,11.488238399172413,51,10.30257341715245
c,66,28.089307421466614,97,95.35505591129777
o,96,72.08592772004599,78,53.41913245087737
l,9,80.33720165769654,85,1.6812811019670248
a,39,7.332646532675247,91,62.26764700769103
i,85,60.432447907155826,46,0.210291419241182
n,29,70.99157351871753,40,25.90594390578046
b,76,88.22700327959093,12,62.980348844350296
s,60,29.766717315536628,2,94.6074101061713
i,5,79.65214436906447,74,28.658539113418293
m,10,15.215399788633711,57,13.79107636775988
w,89,78.970594932832,13,87.73124050304581
c,78,65.58934104926021,48,43.548863168430096
z,14,81.47364761884248,4,6.2544267845091595
x,92,74.40093397185127,7,2.55707567576845
y,69,24.55368466366451,97,33.608640396450305
w,23,79.68957205172558,44,20.896026854809
d,61,12.189551841466562,4,67.65871619224116
x,51,28.473817917647104,63,9.823991233858177
e,23,77.31880219711576,62,50.77967364348708
e,42,3.8316085939490874,49,24.392127237187232
p,54,12.150413439520902,19,17.439152054792817
s,47,91.47758594322418,68,22.692175985917263
r,54,9.6043838199939,84,21.3870752936396
f,64,5.5918324477025605,99,28.451468279077453
d,58,93.8115553311326,75,52.70142197038321
r,95,63.646538442286484,29,17.130055939721178
g,5,44.29551449885511,99,37.420202710901506
t,85,20.313094851397317,41,96.86162047257754
l,64,1.2295523755624038,34,18.306865783364124
o,10,82.88909921602367,90,82.45712554587551
r,29,83.18717068032522,53,5.3450934309037805
q,35,89.11624349397752,34,48.94193062957722
f,78,24.396374975235148,93,15.049430585331425
u,97,79.28693872747043,92,53.502288514676735
s,96,24.70577648191349,25,0.9893789956603172
g,1,11.591544908503003,40,32.84667707503542
y,32,69.01459320765485,5,48.27183508145042
f,7,24.48719029529166,97,66.01240523702742
s,7,74.41265117101122,6,36.248274437019255
k,89,14.962819609982747,75,52.24240446980093
x,25,25.419109039984832,54,94.21583123241126
r,72,0.4717167811821188,81,46.77692940173955
x,13,76.1421703634708,13,19.698326810646805
x,96,18.947040671278238,7,75.54909221445075
f,61,94.82228919409414,4,57.81898093565102
m,4,59.657111622181006,82,83.83481160250662
y,55,10.933377701588832,55,24.3497207031515
k,100,80.99871702014433,47,43.27405980524128
c,51,15.97956665874264,47,69.22598948482292
z,98,48.665203368669495,14,1.8465181856610169
w,52,8.125343721096412,96,83.4787841730133
o,56,50.74431938721408,98,61.1819511299909
e,81,39.8425303453014,48,80.05443798832607
g,98,37.81115800831565,95,30.267524683138515
a,36,47.610439879213665,0,82.88837879783095
u,2,46.597498462622625,21,25.86924968286244
s,92,51.25910369446064,22,11.446017836641975
h,99,19.027785739402216,79,96.7443327601235
p,5,61.790400827154144,47,33.1795345795166
w,2,62.37929382366215,38,78.17867794223717
r,95,96.26203210619639,16,70.73673471548456
r,10,10.617204914837208,36,76.65637863803285
j,75,21.021654179399206,1,27.679140285623426
x,5,81.4880139817321,14,60.24347235443823
o,15,42.46566765006384,60,98.5580315832184
x,24,36.39816864757754,27,5.89132794752798
i,22,18.832643513973245,61,59.126457373574716
r,30,52.99858342969983,42,95.63104475519077
t,65,74.91555937718589,74,9.50344909872789
c,7,13.22078444771032,61,3.476558581843603
n,24,68.82796113548775,1,90.40277923566431
l,77,80.17366461167755,7,46.47797687829046
d,94,43.49203116020695,66,3.4346800532812027
m,81,16.157473461595984,22,88.90777708677028
p,74,28.65106225862669,36,86.76693008697846
o,74,97.86340341907005,84,44.90193295209098
n,33,83.42827762861808,39,13.720766176951837
o,72,50.16721307371923,77,54.89598334587692
y,35,73.85125602587993,98,24.348319947330353
g,58,74.56098627411764,16,29.05974413283777
p,33,49.148271247440846,79,74.05140574767867
o,0,76.65568781538195,57,75.00858277581477
r,80,49.032953919263136,31,33.44008269250326
k,53,94.1616948342349,17,63.07729178242568
s,39,71.63153342417598,72,81.16109770857715
r,74,12.929596915883323,61,33.47067902938326
k,47,7.065428703599997,58,65.71415584368768
o,72,32.31861504467106,64,5.92741876300753
b,61,45.9622163959271,50,87.42098635885267
j,26,39.38960483819396,98,79.32983528739015
y,39,97.61220114902969,57,74.24293901938874
z,99,38.015941380813075,39,70.35687552290058
r,0,84.17439465527471,69,35.64973147249655
f,95,71.21325433333384,75,7.559945373379162
e,44,23.223776016236965,48,3.301382681179421
n,28,50.05321468553594,89,80.56971168410801
k,34,3.282407994751424,7,3.545687148835097
b,20,6.656015452786923,40,65.07403650134125
n,12,60.6081150579725,39,80.42389864745768
o,65,12.222721178786589,14,99.62254424019737
g,56,48.44457910406001,100,6.641035071315359
c,99,43.796711608341546,44,4.080336116069394
e,77,55.47289102951963,94,66.57043711895062
g,23,85.11289901675107,21,82.3703023468991
z,15,26.96105867886661,27,67.32626595636798
x,72,10.8692636920383,65,36.378592717846935
x,25,3.8105766183143097,15,83.11927466639449
c,10,78.35563360531934,43,67.94066278169147
k,69,51.88686550673675,76,34.05307279020121
w,95,67.40876081973936,68,18.79714477633273
a,89,12.879710273198253,45,3.3650493198422726
l,53,75.23509117486266,42,71.89075196888116
v,32,91.45875326704204,49,36.7665915320464
v,32,97.12802512615568,38,80.36325875565771
y,70,11.818010977921055,89,90.06613881515881
f,67,10.761342961257004,70,55.16069798960418
d,99,86.73341411813948,73,43.47076725560643
m,41,99.39912087403427,16,75.01182842242528
t,25,27.623956679792283,27,84.92759049459073
w,84,38.783975539612705,48,79.39243342694421
a,95,21.014430712816846,41,20.508942073133984
x,61,91.20527372715648,42,87.4771680453911
q,58,12.736607294560665,41,43.37182144070233
h,36,96.47988443161661,12,5.298612871515318
f,22,71.13395098945779,65,99.06151615213199
o,88,29.553577360050333,92,94.79479934057797
x,67,54.58376978195953,46,51.806402641118275
h,26,80.92615563299493,44,53.11779721978841
u,68,19.360353462948645,16,66.17976593215374
n,87,97.81623373387829,86,37.41159034351564
f,89,13.910731047773407,41,27.576481589336368
a,30,87.25342934902379,78,98.41691688936915
f,72,1.4080362587211348,14,41.7644048685977
d,66,97.66568792770262,63,17.005575631633484
h,25,89.96452153274446,81,51.159010762689796
v,30,18.43070554688151,31,80.02394692555788
j,99,67.57510359168636,67,24.918154276946748
e,33,82.5331821128345,87,34.08419536401824
j,62,63.178245734496386,29,33.4865675407398
h,82,60.971505392302674,71,3.6737471051998427
i,32,23.608178965142102,96,26.910271886907843
s,73,57.752289984611316,53,1.4767195702656721
r,31,62.92405895569071,2,19.74510411168131
q,6,51.50277677481113,86,83.2910570486906
q,76,97.22838666670182,22,70.48708455797052
i,83,96.52726251077107,33,30.96043863139759
j,5,5.3668661734763035,24,11.48929027547867
g,60,96.18626557122819,55,46.410967933787184
o,72,25.68447664407304,26,56.841337794625865
w,39,16.354447028245687,86,7.741614736310387
m,48,25.94546246345596,82,67.628604161912
a,65,73.21965736322473,25,33.79317819045541
b,17,70.00630029153082,7,33.12518029371914
q,51,41.20180957295935,2,92.424023882651
c,58,41.41344647746313,79,58.85416540360484
z,6,21.633323977171937,48,14.907990415690552
l,19,13.029196963850342,54,1.942265780335517
