P,O,A,S,C
x,17,91.3474655027472,56,99.98581183443325
m,40,44.28644363307605,70,47.3183153398558
s,96,91.01247505838417,93,6.122462151735664
w,94,97.56875029317186,44,54.48624916511454
b,23,25.840318089756988,18,45.82940332187857
b,24,73.23755287392291,94,59.39514424939469
r,2,18.95683868649536,9,1.9786578490605056
r,17,9.669825630297236,35,75.83350995688092
r,48,62.49475532240469,86,11.071562769409116
b,1,26.501951918429956,5,13.004761678600163
z,6,85.19791493193026,43,60.102915295892515
k,62,3.33294079389721,81,17.891110636077954
g,12,99.22022996567605,28,95.24188735479314
b,7,62.043650884161394,83,3.1529625535029138
p,91,74.97467128214691,1,99.72530385241352
b,59,66.19354996119178,17,42.66125609613459
w,19,57.07689997736086,20,77.12984875916582
h,18,61.15511508504515,74,74.53984475078832
i,20,91.24894257712512,58,54.36087746801454
k,21,27.229314892901858,5,10.857559377515635
s,52,66.3076974971031,36,88.15138410755337
n,18,65.70818525274404,54,2.321224743595507
c,17,13.433068697987594,92,3.7505029959107206
c,44,98.2325059834242,5,44.94251003534501
c,17,45.87082810767236,8,82.15289918808969
x,89,51.936008910863364,21,98.88999831471563
j,76,46.725045890597514,50,5.2683607892810125
y,60,52.310220159355346,78,80.30999500373267
n,25,60.01610421313926,63,38.04355219096698
q,3,31.476257566343648,35,15.243367350902515
i,12,59.790927604069275,20,81.1990543712435
o,4,37.4799867404786,17,36.126062776360534
z,84,42.801806711002335,10,2.763313092316455
k,64,6.543849759054399,7,1.3563507042032574
n,31,92.87373422202181,91,20.574272647383097
w,18,77.03398156955998,93,25.279396753702866
h,72,20.28677825891836,3,12.159757154095807
v,60,11.707788326274237,98,41.45455207093589
i,49,76.8056697376024,98,83.11549760054581
v,60,48.36265446557684,50,67.78748643624202
s,18,89.77567499995072,84,96.37512686061835
f,68,57.39131713778912,76,90.96078072580407
g,68,71.84813107903163,34,91.52442358812468
p,95,68.56971485035756,31,90.45392394965296
i,29,1.2225967538215365,26,95.82506121441531
t,54,21.955588907277203,4,91.11051006246677
g,50,80.31325018723514,92,97.58401071078076
j,64,85.66272434119996,85,42.72053019558233
u,12,19.79202848652031,17,7.738444834410285
b,57,34.08708989425582,78,86.35806912808881
g,23,86.90092026984608,23,38.873073828270655
h,32,31.92423216572856,45,59.68970107640834
r,28,73.34443811041659,100,48.246504893759834
s,21,0.31770544024892766,4,74.53763563381824
v,13,37.14632098791931,28,15.448199560374254
g,97,22.918684499084364,72,66.22260695545404
o,89,5.670968957654932,52,4.82872176702519
k,78,13.430198366341461,65,79.83749058339743
m,10,82.34409386067765,56,63.34389053870635
s,1,72.25320202335284,77,45.5265238587126
h,34,39.49601481449091,28,53.79007471103969
k,97,43.12602181811117,51,21.773435583062174
f,72,42.315667248198196,91,54.95001731098594
l,59,98.02351828574682,49,59.31973858291981
j,30,66.03328348642417,62,3.8032408001127727
w,24,90.15121669632839,76,67.27430267764355
p,39,2.179785357703412,24,72.61483518211787
g,35,35.011182093464924,46,16.960106092711612
x,0,46.90207972322704,56,48.34413923739932
c,93,95.7835920507587,7,41.633846545998544
h,90,58.75224915282058,30,41.11738576744307
k,43,41.33127768580057,31,90.3772156425659
i,11,79.51889346179433,40,83.97889755048735
q,71,52.53226342778924,62,30.75927674588138
p,15,34.05363554462585,43,29.118515424641757
w,95,52.18883982072293,82,93.72881978010173
i,21,54.11115078203564,95,23.95984097538191
n,52,68.62692795846142,65,51.73690997206829
h,77,45.3150095577029,48,60.553967935587394
p,17,55.862335364331315,99,61.83522310568925
f,32,22.488148233255277,51,75.71904785535513
y,31,92.20034308997974,48,28.774749740705197
q,94,82.79997729643632,57,43.97252772019279
m,2,34.66712465966898,35,17.104863248281255
a,44,12.25595964257742,84,59.101979316148345
b,80,49.55690917633798,10,21.65349838723745
i,90,73.01856783181607,37,92.76877574054619
h,44,5.647507334119939,67,77.13214149464515
g,0,71.84697068480261,48,17.61314440674948
l,79,98.72304797043392,15,85.84193174586031
a,98,33.442508363762435,58,63.59408072493798
j,22,30.077215451792604,29,65.75439346010074
h,41,58.134770531580536,34,96.62429837894793
c,9,79.4709730541665,98,51.42627849654636
s,0,12.18398020819792,8,68.51672065557108
i,69,67.09957599669806,58,22.82788955372861
f,98,28.478870469218176,93,24.456072206523537
y,19,28.314134866605343,75,97.28170924720258
w,88,0.9585855354398598,38,75.35792990036391
x,4,41.81387618145966,58,97.63901794950883
h,80,51.262929717816085,88,0.4939306572899649
b,0,3.236356318231415,14,90.45734413117155
b,41,29.429554968007032,46,71.57686809865204
r,8,33.60571004848397,73,72.48311087362606
j,71,21.955151893760416,39,86.74207115179544
d,9,19.760586283921754,89,13.619630494361557
p,67,0.4287540793330269,68,49.430345790959215
v,25,24.475032263005147,33,56.46143621427642
v,68,82.23323779498358,75,53.44276978058946
h,51,18.388886405901516,15,36.59358723724521
t,54,5.150410838628661,24,88.13367976329168
v,35,64.20022597333406,96,70.38986127052395
w,31,80.09180941472799,35,78.21327372215534
i,10,93.7893092283477,64,6.8027948723251015
q,90,6.376984382384798,65,31.319064281322873
p,81,38.97807110440237,28,38.42149131738694
b,7,47.30761264731319,65,57.153432447732364
l,57,7.36887175227584,38,51.84839689919539
c,41,80.0293908271448,55,32.05577068469321
p,40,90.74580448118284,23,0.9549369489454396
n,79,96.69456972806337,23,28.58635418514426
b,31,43.77713062669631,55,10.552121855424602
k,70,49.22602328004055,78,6.432543874722385
z,4,91.17034790090227,43,52.72427497903786
j,29,70.45538522316657,6,53.13842896207043
b,39,46.42656350822314,24,86.57366372016793
a,19,61.39106688402679,69,35.197659262433554
x,81,18.97778130386837,12,43.91773858547777
r,30,96.70141298225954,10,54.89379233426386
x,23,48.295720585281224,85,10.041049699368376
g,44,94.19139456921879,49,44.06294433309753
n,50,45.5982945879917,71,52.997411726099074
h,27,17.10334415316965,41,33.12034293737462
e,2,28.454017388976695,9,80.46022782153884
i,94,34.12103854135226,14,57.784258139718304
i,93,98.51205848308993,22,70.02230595270078
d,51,23.97944281279849,99,0.9650810471323878
j,14,73.40307620437497,65,95.02594450626852
l,51,45.60226435076813,97,65.80020673046764
q,75,28.98283634602241,88,3.592304926125278
v,71,58.8594864333745,23,6.696420065991527
i,72,19.351866757026126,10,8.608943011118287
o,77,21.893523394325875,39,1.132988552311387
v,64,29.90326170293566,49,3.6790928874918416
s,16,86.27499720883478,5,10.01726602750196
q,84,35.861712770162754,92,50.707674463279616
i,66,73.33591618398783,18,44.753422659334
i,52,76.47663078502408,7,19.814659128729616
v,100,71.18420821302334,30,2.1464367166144194
y,100,53.514977621871665,39,92.9975703099202
a,99,63.604694111962104,8,57.24881959316649
t,60,8.934920465700502,96,74.26856123153003
i,58,80.14229344920038,64,55.82973927243559
k,27,70.22338120213651,28,33.74777279471349
x,99,67.31258577280607,48,54.67405816316309
h,32,9.253038189492212,26,16.798174217422435
q,77,46.21349806669204,11,99.01203138054743
i,25,51.09373971499812,54,83.16921978462395
v,22,22.296844272546736,22,88.57130044070212
p,80,6.448631767530799,59,3.3595273254513836
n,2,54.39086327355624,58,69.5312334263019
q,12,64.82458235386855,5,47.21600914642151
o,95,83.1878957095577,93,63.17732438551688
d,53,90.81482857354605,72,15.019793080781874
u,47,49.5287930491484,34,18.912120050487225
b,0,15.318498541451476,33,38.562255107749706
e,65,58.486645910888434,5,69.74706060608
z,24,71.05823344768278,85,29.528615247482072
b,2,47.02025184451669,16,76.61669257309937
a,59,61.349888241685356,26,28.64702282703909
b,19,73.58336047407117,85,4.410168425403227
x,14,14.415061368558991,0,73.65661553032041
k,85,11.14683940517307,4,71.92958533209298
c,70,96.65952584417263,41,37.4031248585744
f,2,81.6546504537847,44,44.76313656469325
t,46,89.78477129383305,11,17.991311868479077
l,20,57.546052247339986,30,12.661443599613664
b,100,75.45696327392584,52,45.693294025418126
d,25,96.0355750805134,9,50.59328279231573
n,90,54.69004986656042,8,89.31541244328078
k,27,47.565133878165575,94,74.99247742621488
a,66,75.94753792801828,79,32.64368514784108
b,39,1.8468771179267152,98,77.50092354883424
s,11,33.091418780809114,7,73.27544576300927
w,40,0.5728323261051216,20,33.40430910088291
c,38,94.99305052902949,65,2.725211168302033
v,49,82.2062449703766,73,65.29650490071988
s,86,20.23912054142447,49,64.2489795134535
h,22,21.347526476873867,94,45.273905771175095
a,80,30.75327977648328,36,90.07335940358735
k,11,73.86581957825126,17,86.67956107344644
u,28,21.513074456066683,52,56.05692119458716
h,83,46.914463967947015,38,38.42845461337385
y,25,22.39639239334639,72,41.99108843454399
r,14,64.13312938772243,41,44.22554940089337
d,100,66.19302346760219,31,28.84130466866178
s,19,73.87746740264129,14,88.71629521641925
w,34,37.28605894670343,91,58.21036555557064
x,42,13.889069253777752,45,93.61214158458195
x,70,83.44327328518456,68,31.422879262822445
g,54,75.68779929223723,98,87.27763582265858
c,52,16.24327477418408,15,88.06606827596481
q,11,43.883551853478565,93,31.74109166744554
a,8,57.9265751043445,4,72.9848203903734
t,32,50.15154390480197,97,86.17229760900533
b,75,70.88526293213313,34,61.388374007303305
m,100,49.79811186410078,56,34.41040277386226
v,91,91.98164804252464,71,81.13629045474234
v,9,13.498759624018641,25,28.973795036109728
o,96,60.5236201714587,8,6.127960724901871
n,22,42.113635878177625,9,73.73261769895731
n,64,70.73423017033184,68,57.74837405191895
r,68,21.793920656701072,60,99.64272265827016
q,23,59.20482366934786,91,12.668173289128937
v,94,97.24674456974127,49,3.1821310174248496
t,57,48.76461621238566,94,79.01163916277987
j,35,26.959087371783685,74,23.384788265625644
l,90,89.35214437646276,22,39.03032015963779
w,75,81.7663252374713,56,21.12835737272555
x,0,60.84768093771182,56,80.41555131337455
c,89,84.78471898445501,75,5.847263549216885
i,15,24.33617696981597,48,79.87429001632624
c,27,89.21243305574981,88,97.77126229223822
m,93,27.445536334370313,93,85.98048755909413
q,30,43.1846414980668,91,3.4127496563859716
t,53,96.51478355046997,82,4.22858457087516
m,43,67.3917034359502,78,94.21032302863091
n,26,53.983987553134504,64,28.72750129582695
u,52,8.4324786389819,87,7.501406805233013
v,53,53.92236981353091,79,60.64000284913372
e,74,24.889307256785642,75,8.686028168216653
b,46,50.401279820806835,15,84.31814531721096
f,89,69.40669867898252,10,87.06854329781208
b,96,11.978453379260811,22,67.90805347809079
n,36,85.87800011379427,3,90.30462372678474
c,94,31.294255547290607,4,85.39594197011557
t,55,0.9775210582057436,28,18.2234561451577
p,93,25.752316710131307,1,44.52202644270354
m,21,31.16307565951797,6,20.069363059931867
u,48,63.76984308875054,20,74.82030974516958
e,4,84.76107131454762,62,32.13442753791267
m,26,81.29880156599569,100,37.37786688910004
w,55,50.56646460132826,29,39.28601525891883
c,20,62.150033107315394,14,42.803024154173976
s,91,43.221804541676256,100,97.38274650065564
o,13,82.20565773289113,83,86.48667290534578
f,3,53.07997400613483,97,59.66077617048609
s,6,86.68414694661749,13,35.1223564611639
e,9,48.63484588122118,68,56.7549879719513
q,2,30.3531010428588,20,14.655674582168398
n,5,41.44324314071787,74,57.29989755172159
j,21,95.13540378790407,82,26.22082682324787
u,79,40.09365633582181,82,44.64949151181511
y,48,71.98441441174025,10,16.605055948603777
z,97,63.33796151610224,96,90.43655149378716
j,44,69.40713032373851,49,9.231097489056816
t,6,66.69956628453554,28,45.28707124735486
w,6,97.03689731972624,32,88.1612864473771
r,67,10.278159228603844,76,42.963564913922184
z,72,46.05720350822927,64,24.439390739869115
b,34,80.43809826220406,56,5.918058453073516
k,16,75.08745625194338,9,17.470559638587325
n,81,57.12482696854282,80,88.27521432891406
k,7,55.00108974620309,55,4.353443735559925
j,1,63.626953741009494,5,24.427699901250723
s,26,94.18700495233473,67,86.41754359899046
u,82,67.3203127476258,29,54.747973031786145
r,16,10.371865673952996,37,87.2743968380653
c,95,8.300478020391377,26,38.06135217186283
n,44,48.25675845245897,11,19.631947702609875
j,57,69.17578950738374,74,99.43662755632369
z,3,56.98440310856972,27,19.942148449499896
u,7,71.19912641230806,76,84.4699080724675
i,86,64.87897551431494,88,19.9358945900469
h,41,0.7063327900034833,48,11.65505460319325
p,45,98.4565150779171,68,45.868506841863656
c,47,37.569607773045824,9,33.44462578235529
j,58,70.86402071745596,72,20.653838793052103
q,72,15.307309934320967,16,85.10408110122658
v,15,67.85475933907185,88,67.20325153816226
q,69,21.06453508319852,31,67.61572197796218
j,95,6.914961339946791,46,95.35962457897124
d,8,48.29029785784039,69,21.8741702128607
f,65,87.18230620179246,80,84.53790673877258
y,32,36.914554471156514,92,24.944642793684846
x,60,51.467098100690166,21,50.3275993887617
w,11,62.75935129495357,8,93.96619991098014
a,97,92.02920433261468,63,5.405231307357372
u,46,81.56406466039398,18,96.0803175285781
i,72,30.293976013071187,58,87.7478508433369
a,64,1.5598379244975091,12,33.01570113461312
p,34,13.311108563469665,0,70.34194833222242
m,18,59.59326334850734,30,95.0152567823854
o,13,18.833572314739733,96,92.27536452967159
f,36,94.69660466106808,76,31.4334018156886
b,74,74.36809848020206,95,99.90214554737237
c,38,89.91863845913285,99,25.135120820934276
t,77,25.657008945665105,60,23.950843247605558
m,1,26.196706042881978,53,34.05214851873235
b,93,28.478714308590312,0,38.30947158356801
a,83,80.69883387855388,42,71.89569881670586
j,55,12.71447198503427,76,88.32905403824161
d,57,77.29560223693005,14,1.8806020159422787
f,86,12.300359654035631,70,74.59383032090103
g,12,33.6449206875462,30,51.59452133780784
s,93,35.24906040163187,63,94.51960576676248
x,56,4.090885678100509,48,33.63412043624779
f,51,44.53008819542027,62,20.489554922055675
w,22,62.17149177778706,26,34.01902570847769
v,83,37.18614101712424,21,32.04009545776643
g,63,83.36173753652265,28,14.422458842424291
v,83,53.418554843164266,95,1.6828450358777225
j,56,35.594240862205176,83,96.35282179951335
z,33,21.329919626203264,80,64.11825049516183
h,98,70.87593246351678,8,60.44523596030062
w,64,32.735852740417016,72,12.4755857389521
d,71,46.7067934620864,75,67.93446606221652
z,100,68.64400411318046,80,16.233108729735036
i,97,92.42850234447114,74,69.83143568424944
g,35,99.19111504714861,12,47.63524374249077
p,27,9.682461607178606,59,38.1176591998076
h,85,45.761447105744445,10,49.26019460775365
v,36,53.043525734843946,71,11.43200773274311
a,53,37.524066325583746,83,84.2147384883294
k,76,24.267855151558315,64,0.0763795875154738
g,83,1.2065067176974975,45,38.84123247978025
s,1,4.297082120109874,35,94.05903591306026
g,72,95.88693660998663,18,9.884282600958215
w,26,19.208160685071775,18,36.57555895977696
x,24,3.295263290210293,34,1.335329548588804
s,65,48.56774807919001,49,26.517457562667158
y,34,61.39553813138837,57,99.41792431241826
r,3,83.52652231972775,29,18.869318672088465
b,97,10.01669767770238,4,56.76818541760083
e,54,36.697338731145756,1,80.52364560666119
y,15,18.167856549299778,59,81.91949905617552
q,100,98.19507080074173,4,11.098626611582684
v,57,46.284292961855996,9,66.90905949325001
e,74,32.20365654974806,23,14.237311821653197
z,64,81.97749839883477,2,15.650198130958437
m,73,11.239642292697294,73,25.180160233514993
l,21,71.93513342533274,30,80.89259263174017
s,33,0.45594911518471726,65,17.26516043516583
v,76,45.98853544564345,30,39.49465094664798
u,19,94.26396958182609,59,64.64697082599561
m,51,81.10715449863454,14,49.21483830364662
l,51,39.605194700566805,6,83.52758463161064
y,7,43.05812233263309,35,9.149900436993196
s,10,29.702535606171022,100,12.555674772140035
h,4,56.87369859879331,54,65.74405438263695
u,28,30.23516793044354,83,23.03703078344823
q,33,72.05271494762052,5,9.560588322761276
b,46,93.52283514592614,24,48.63065138814977
w,17,64.91877835684697,91,23.489571148712773
q,75,83.55930486219168,99,0.9350005557935748
x,0,11.84777763288981,37,15.615967467018354
x,77,35.650211346535166,0,98.59202423322907
f,39,83.91615201745333,44,71.05375779954335
o,80,93.19550792186018,33,7.455315170605637
n,30,72.3036332870295,67,69.99854735396478
x,84,87.84864682857446,65,2.030432054700726
c,8,6.7378940899653355,77,65.80901741418157
a,48,78.69810748344224,42,39.7441494814301
k,63,45.29415488755425,92,63.184361362847206
w,13,76.28332861240096,9,70.06360747596274
n,3,93.57695424002237,4,76.7494833165639
n,73,79.41993472616771,89,84.85824889836273
f,67,63.34176464781653,49,37.11030870474702
m,44,22.794928353690793,78,75.49312494420514
t,15,92.76022444703533,14,72.65428879962502
s,36,14.025905979356212,9,46.072586041785755
p,61,57.62122859124354,39,12.336964157104124
a,46,32.5604707189578,61,28.933657107314513
t,11,84.93388037435436,10,92.9281817323115
f,8,2.0001165453931713,40,62.78704482738997
r,41,25.973309604943207,18,70.94746805403511
s,25,99.23905865839727,8,93.17987307230162
g,43,56.40400112723043,15,80.32011735899118
b,97,21.78817907654397,58,5.0282550183868295
v,75,73.70503959089557,27,98.62598433540687
d,73,54.923075288064815,98,12.546117004647982
l,26,30.261759168910185,2,2.746935529519068
i,7,88.918292405357,66,75.4259881421526
e,49,97.51451751297961,87,58.09033935571409
p,81,31.573673031649328,9,89.8866603460488
k,78,3.1476789844428255,7,91.4350047995656
b,0,44.12530292458641,8,74.47440482192793
v,11,39.154535267594504,84,8.290470862562305
i,10,41.494145327748534,67,93.71487162977516
n,6,48.46296365769,98,20.986360973525986
g,37,63.11485315966937,66,12.424471653089642
x,91,77.1830977826967,89,80.36287444721066
z,55,18.348241975947634,67,74.67313426779175
i,100,65.56209481080002,62,62.362094681648415
f,50,24.94449019178855,91,45.90863823727226
w,48,92.17098650460734,49,95.45600381253122
n,1,32.46562201164647,4,88.65309541355441
z,34,23.15464376523093,45,27.061103360220894
c,34,42.96451382936601,68,3.5953102249647984
e,80,95.57252028534758,40,98.02368716151648
y,23,21.817709486334145,76,31.975965172100697
z,82,63.368988286605955,77,91.43548543505095
w,25,47.364678627834344,84,94.80481238260865
o,22,47.69468661380074,80,64.77113483624468
e,7,70.49799132424081,5,15.26203746343996
a,33,40.76903923121665,80,21.74798885954572
u,10,55.45308961067498,69,27.25788034636667
c,50,99.87347863030465,10,41.29218618159799
z,22,97.70082044396527,17,63.05207261562815
p,62,22.170673014754026,55,2.271850664363617
u,99,8.426197713624662,51,89.19887373852261
v,31,4.986954479634253,20,34.33626410766153
i,57,32.39091063293008,56,47.38239303320103
p,88,47.654876018822456,27,42.535850122966345
i,87,27.00705944902394,75,74.36138619132113
z,88,48.355377896994426,34,58.860177944185786
l,39,90.4167860823233,0,29.407992952555638
e,77,42.348595856136164,0,71.2229135908302
u,97,46.038981243269816,21,2.5568917009222814
m,61,84.69633105061631,38,10.009385869441779
o,79,38.0195318981279,91,72.48227179770775
p,23,8.400053609022107,8,51.23925739423461
e,29,87.33530265648525,1,59.98254122149167
b,14,67.09060089607242,42,71.66356691899371
d,74,84.15246986634337,14,45.460606087679686
e,65,30.612284130383603,5,20.473690603404084
e,95,42.38818452522004,19,61.54605755292097
w,85,19.253348407241422,0,35.966352795447854
u,88,75.88802781379971,94,69.09911053337683
w,14,11.17091583438572,29,39.18318920766285
v,27,55.57206599669991,100,66.13322363492053
o,31,81.75916945215732,43,61.743688175380484
p,29,99.5243743557932,18,34.77307669431895
w,90,63.26794182720715,21,23.932711842573628
g,27,52.398835582159364,35,25.394907258159527
w,85,53.65186076842065,23,36.78746247740586
y,65,49.61524640636016,4,20.831088202156977
y,55,20.43598945733932,91,58.95440795288511
n,41,61.1956379238617,22,21.161472576394324
t,61,79.39739255045023,47,93.2060233966944
w,21,83.04603808819725,54,32.02859261724888
h,75,57.82239817067095,3,10.276864419419585
o,56,6.736902080366525,73,16.175170310606845
a,15,92.48326650300564,40,82.01342459817559
x,68,45.54751515046153,16,40.20208503032201
v,16,0.556629537478559,46,41.91201515719233
j,94,48.46491124412671,49,39.56281880917647
m,97,33.284556625382265,49,39.812351353499295
s,39,19.00422669112115,7,77.570678771528
y,42,31.929954332979683,76,18.17369117829639
x,47,97.4932160142285,29,88.25591168274651
q,21,0.6990485260168655,18,41.17317675017686
m,44,63.505002285009496,49,58.45406950926119
n,47,96.16134049769238,92,90.88245363683713
k,84,8.263045957108229,7,51.366583258554776
y,1,91.97512484989124,83,21.43285627242283
u,75,2.7844628265331184,11,17.63831402486028
h,94,15.846178539001476,84,7.714732589652518
z,19,2.0585740600930547,67,87.89374092464422
p,97,79.80299848426775,53,34.08972308014945
e,21,30.735800383773316,77,50.12799670405453
m,11,33.25123598102662,93,36.80666305073059
e,87,55.283220002604516,74,5.526953781966448
d,91,61.417218295608244,91,11.03159992289534
y,86,82.299770434251,46,98.29869690976034
s,76,2.5445436645739172,47,42.26691001920436
e,46,63.1020663374309,1,56.85539391013437
h,9,71.82364997186588,0,72.72309046299755
w,68,1.6495842148710138,17,88.88637928995254
n,94,35.995020371702445,72,98.50581748768239
o,35,67.82693138049224,39,53.086213229314396
c,71,46.527255524378965,18,1.1027534158532637
x,89,25.174123947290962,69,62.331001902916015
h,14,91.16577434609124,24,5.825458668386907
a,71,62.04868642926469,78,25.39460488829024
a,6,77.60577994480927,6,17.01315575926915
j,96,35.692327972589645,2,36.83153487878813
v,54,47.32476962608595,11,70.57245839092467
d,22,37.389664263920096,72,47.18510594273769
p,49,22.859379429699068,2,84.92040155924066
c,34,64.2963027274029,30,95.50624896836503
j,5,93.79579004202682,4,17.743388781060876
m,81,25.880126555622052,4,10.867868476734422
u,17,63.29234920241438,59,19.126563013919796
c,47,43.63509572878714,2,80.91966158124124
f,51,94.48128612565763,44,59.150671178160316
q,3,76.7223871146219,91,22.47059262725345
f,11,82.03102513919178,34,95.69514966778489
o,17,10.072478143832232,17,31.035634970363013
h,10,33.048682813570586,68,86.93608841781474
x,1,59.392252387853205,50,32.685220200682316
s,53,97.82005231555212,1,48.90824961132875
