I,U,Y,C,J
m,24,31.394297305987674,78,69.42832651414601
g,52,39.48208336645933,17,56.36894838680215
w,59,78.82959574805263,69,83.10227509335986
g,62,24.194939153014484,41,91.01898843385948
z,93,1.7107513792968043,0,4.6872140984954624
i,23,91.15113154331233,32,29.991530695750114
l,69,21.912696571392054,7,86.84258140311643
h,40,22.645434799017828,70,32.228801809096055
e,27,80.13261070684892,47,29.246714176648346
c,0,60.269129466755736,98,26.175581061186136
d,9,27.714768012441084,1,69.51324345666538
m,80,10.032847738898354,71,51.74412211626065
s,4,75.12595598740188,68,66.6006581778291
w,13,21.109885702226848,43,38.207956454186366
f,74,66.51252429435526,30,4.095984892335158
r,4,15.693598264907582,7,66.86148798973723
m,87,49.143288902045924,66,76.27327540405037
a,87,27.629605497066358,0,79.05212744711187
m,77,73.36993457040776,43,59.61506454745297
f,18,33.87797047264443,95,76.4629157075285
z,0,93.27394813852882,85,75.48239339300946
v,60,0.6951090796746162,12,45.721826438125525
v,95,97.40690603404096,100,46.45363518858983
e,70,36.173540436112326,90,92.02935121868148
e,87,53.90843394383595,36,95.07301277794893
u,27,42.28488711134939,27,33.91065442903803
z,19,85.7737043115795,86,83.1367422460394
c,98,31.621544446757554,31,97.04291585084293
m,67,17.229871375349592,47,74.85757653032252
w,12,76.5053329877371,76,57.70457513136063
l,100,59.551338735826995,68,30.430852568663592
r,16,21.813884190313782,55,88.80292551119638
d,37,96.40018437295497,79,82.64018193283569
j,16,62.897222807219876,38,49.013948786515535
j,84,26.50831220479327,27,44.61619069140749
p,100,38.36542260648243,45,44.80400573269422
z,21,16.277968165241607,94,4.801279946604986
y,86,47.74322356272993,49,47.530485293004496
j,61,70.91379681619526,59,97.06095995164301
u,1,87.23127508491876,62,61.022215572236185
b,59,55.536886929978266,63,78.27125943853594
q,45,50.716594155543234,81,36.27122908816012
r,24,46.88638563315474,53,1.0264001748902962
l,52,80.21870682870482,75,16.64325215904805
m,20,57.39398798874393,79,62.17500427751327
r,63,23.26620975382181,2,46.23374766727181
h,99,53.558536384790514,36,36.85545704565435
o,93,7.8376104847462935,28,61.20872596909902
w,38,26.08020231465471,32,93.99496349243185
v,3,68.51924257464474,69,18.84481210596942
p,74,41.49945647251394,27,17.297453525377048
d,98,37.33293021910444,12,59.64404183243472
i,71,39.07267969810658,15,88.3500276229842
e,11,76.70689159865738,78,30.13186455641852
a,16,29.801729499698748,48,10.428445394397112
e,34,5.118032638402048,85,34.977299651782566
o,70,31.80495777941631,52,29.329223259397953
e,17,71.83956134502118,18,36.32789252321397
o,1,75.28624155484184,11,25.624777496843663
p,60,6.061443971609249,43,81.997675968139
h,80,4.38590377891469,82,99.04125828990216
l,9,40.87431215337256,25,72.61089537578287
s,44,46.754466231742555,52,59.60392722514657
w,82,83.92012400659445,27,93.10671918181637
t,11,5.165401170038752,94,5.548610604860304
j,76,42.40735957862475,50,53.625019273325925
a,81,57.861534590238215,83,38.73764126693481
x,24,67.00025670380758,96,28.49621069821732
h,21,36.422694187248275,21,72.03756100557997
m,56,39.453418936686866,6,80.81820855445979
v,36,16.22654084775812,52,45.54272274729865
c,21,19.061428415720084,99,38.0424596533496
a,15,79.13724413149667,25,3.4998566373965034
l,64,66.51115415913746,80,49.811651665340904
v,18,7.641448036634191,38,44.28860036499823
r,30,52.72961289411797,81,22.25388892948963
i,76,23.044844491337123,12,74.52400575407847
t,35,65.92536917673164,59,31.576118658062057
h,20,27.772547981784403,47,57.77634013531225
w,89,30.708966077404565,4,92.20250087696232
v,74,90.38256097461168,84,16.656716275232263
u,11,7.499652195554596,85,5.6216101311607485
d,49,35.36914247883218,62,41.18606670765562
i,43,77.8156252652613,70,24.895721939668427
p,0,24.796195398787003,94,5.861069977176037
q,14,99.2541236243871,72,86.50129933101287
c,20,89.37669920913038,3,49.60448949768096
c,31,71.71717363648085,78,18.48936608771793
l,6,5.880996248364612,86,70.75678234594578
v,39,79.54591117752202,77,46.4325864459583
f,16,62.320072781020805,37,99.59612248339413
b,8,76.59092357227291,35,18.084356538725565
p,34,0.8839549247161349,52,94.41333998377795
e,24,92.57707099287602,83,21.99432378557117
t,61,60.79411318845991,95,97.82869922066595
t,69,27.198203760173023,97,41.56032004519059
m,17,1.0932016971766711,32,81.39291411051371
x,49,25.283819120413042,42,11.345330666232567
e,75,41.64144158266302,94,58.07269171595533
l,30,73.74901517640872,75,39.999982420246425
g,67,87.09296765663117,54,99.37597086617428
d,26,34.15897688910681,35,79.67609743975484
w,21,78.17581232674608,18,50.09717287781037
v,80,76.73503857320178,50,11.12270977925668
u,49,82.45964736192775,43,70.18749499535542
m,12,27.93640007897484,68,57.919967847749454
k,72,4.230483410419483,91,27.24855398584306
b,62,51.582390886149035,100,50.222502838682395
g,22,58.41596788325577,18,89.78762024026224
k,57,8.230189385330423,64,5.164640685265476
f,87,73.49525203206608,63,17.845197321193453
u,54,65.660799725424,5,64.64586654937553
o,38,46.91832678163974,75,53.05037018536356
c,23,21.062272724173848,65,4.3033736413801265
c,98,34.37416943336701,37,86.14680864035869
b,41,81.98292442198543,12,51.227580510639214
j,30,94.44894812199264,96,44.29633078457833
i,85,12.797909627072556,8,67.48533724275539
u,21,53.259915863782304,55,56.57167179435281
z,70,27.52360651869228,68,40.50347082430294
i,85,74.87954846951386,22,75.98289968229469
t,85,79.86917836791257,29,44.534241009234734
t,96,45.04194432799413,99,95.26836327427915
h,57,94.9427865691575,33,80.41710615852351
v,41,63.27737811101436,57,85.80830489362134
s,92,49.29800124390884,86,67.26279998808266
m,27,42.36017171421079,63,60.05578837650221
e,47,89.06248454193334,62,62.24130565032442
q,41,87.91181827639413,87,64.22486311646193
d,63,55.27012508395234,6,60.32662165529117
n,31,82.49941144578673,52,90.24804743922957
h,51,69.94130245964588,41,7.842968633358527
d,84,28.708707676897095,32,38.55478123913241
o,9,21.989268166149245,74,48.963169404991305
x,75,52.764431876053365,32,68.01779602973154
l,12,24.020419840034446,15,9.84230130213195
g,60,47.15210840872711,22,39.82795442592544
k,57,13.488764620418635,24,62.67002315233764
v,75,96.73587925621494,99,55.168549335906455
x,16,0.07196421761347382,45,97.23113484521103
e,95,20.02475786172725,87,77.07802495465803
q,73,38.80007140721533,38,10.5047819632484
a,54,88.99196046800465,29,18.426712301816483
l,17,9.113255661490772,77,58.19600817959436
r,29,17.262063806192007,52,26.590602816210883
r,61,71.4434314606666,52,54.537598360659025
j,98,4.820816901266611,76,5.214619454562608
r,14,0.9061961476264369,13,8.8938621106315
i,97,45.02971271294559,91,64.0409308108567
p,50,75.51027464848359,64,71.91384952861202
g,65,36.26185446411155,87,8.31007344681478
v,15,10.42429350754509,48,67.0064141136308
e,71,6.1202891528921,95,9.640196203785933
s,89,44.33367661343226,90,50.76435948960114
c,85,23.21613143553374,90,85.76321710370634
r,67,22.293284083945686,90,5.288255255549146
n,67,60.242780257555516,40,76.59763635491692
s,24,85.88690905633337,94,81.23527016770986
d,17,73.87254625978181,52,77.95934836148007
x,70,16.337720263280197,89,39.59978658481958
e,96,68.15234196040768,0,0.9945500460120993
b,78,51.5617987450531,44,28.112229664207465
l,83,55.9948173610053,60,22.43460986016359
i,67,5.511936240395022,4,46.183506347698135
g,12,98.5428425285209,23,44.52959285879475
d,68,84.75849135852285,47,25.15023892555648
k,54,24.202003275459326,3,79.83988205264865
l,83,97.11174647357245,46,97.73970615313733
y,50,17.240405408519088,76,5.550909055727782
f,18,89.443433938946,76,11.998045827772497
o,95,22.58242067002708,74,13.18244530903645
z,20,61.00067627624172,34,9.770363497585787
r,91,72.80799505667956,85,93.7771078017791
i,82,68.44213804130776,76,65.12959339964509
n,5,9.34466161638927,49,4.1959708598534595
g,100,97.77637368308962,24,17.289182801670645
l,30,0.3596547628209379,57,26.426084191169043
v,66,65.98058481960932,62,2.097788243930865
p,44,41.751537345065046,61,0.4693026276413992
n,87,77.81451549704315,83,13.70680532372399
m,28,4.322075257734714,8,19.27203509201558
i,21,80.30754705484917,61,94.05794210543422
p,13,74.46829581337659,85,71.54767184420072
i,76,90.04891085522121,62,79.28441479686225
n,77,41.09048148429818,74,9.510377600277376
x,75,44.72289443256556,19,31.216591789399384
s,93,55.35434105230499,95,7.932710499540663
i,25,32.12430783196659,74,37.039357331224835
o,54,49.53132891135119,94,19.68285891097741
d,36,93.40221729590698,27,68.25240201343917
z,46,37.89693673483444,93,58.6921673359509
s,94,13.197227799499633,34,79.26860061793447
p,18,81.47874607592851,81,10.87518529855509
f,42,17.7414280902521,96,44.901530352952044
n,46,51.811307694822204,42,85.23200456194691
e,14,79.06476876355549,49,86.66653975370502
j,69,98.37032866105667,41,49.4651732439118
q,63,55.82703227434005,40,42.746069976661275
o,32,45.57045025226502,96,32.100019516951626
d,43,62.207753591730054,95,86.03766711277616
r,96,89.48203729662633,10,0.5326739508546896
s,16,29.3186996645001,14,78.65120435539113
z,88,16.19709312471034,86,14.34781740565384
l,82,50.192699640259406,22,34.59393414756171
u,35,89.3055664687186,17,86.54694971808496
d,27,86.59067801497727,83,89.55455187908422
f,79,11.02862109422491,26,12.186579448533074
a,92,76.54389110648943,27,83.06668957058967
k,50,23.56750600791271,52,93.88830678045245
x,20,79.33522524766462,66,2.455382983439347
a,61,7.024884219824323,32,39.09988765883826
y,42,94.42813547240154,3,76.5720107876309
x,73,63.39959308634037,67,2.809194788080782
l,38,6.986540595105062,100,51.43380537424179
x,68,54.07789043199234,17,10.257717835497903
s,10,78.12119194364232,19,64.12890538154963
o,25,63.84665777587873,42,26.637086206313143
x,10,14.03896495123832,68,90.80375662559852
p,22,63.76965459650307,25,60.60360661813191
f,37,37.12419558247832,30,95.4025498668186
x,33,95.39257080897909,4,55.8828527006186
l,33,94.69208513202894,98,91.44650762465155
h,17,69.67961403635373,17,86.657648824584
h,49,98.80388122537379,5,16.21938926980373
s,12,50.59333537689151,5,75.01693117028393
i,6,73.7677639239172,10,82.37060821242888
k,21,82.98194196160102,8,42.41444431011264
w,81,65.5219344355806,61,57.050525831768695
z,40,77.19988761484046,39,23.99601957050006
r,66,85.6203874139866,8,54.54862793881413
u,39,77.74990843803262,96,96.11195166976245
e,19,28.11556588396509,86,47.71964870414539
l,68,21.8337364047374,48,63.33021650799871
u,94,72.88591885102335,54,59.90117961094107
b,52,32.713789203291924,22,80.18780274643069
y,32,60.88053036414064,81,52.367888406676556
v,45,73.94652454766083,97,69.1336986867395
d,91,95.11531221262408,70,49.889572332447315
c,95,38.92857648027537,92,66.2132154460012
k,9,37.987936718464056,0,81.9081517384741
u,8,3.2483409567536703,40,22.046823712092856
c,66,11.829555412636662,78,8.23559744408463
b,40,89.00446937032979,50,18.665444894518934
r,51,31.803493782261793,57,71.29955396711924
p,53,49.617784474541295,62,38.268041851562785
t,47,73.88336825276126,33,32.080150801135645
g,55,96.08230062992423,7,31.204545118824235
x,74,95.44285935619638,76,76.61006750546537
k,70,8.876244582654003,48,1.5887969898896404
g,53,9.388550115032668,34,77.99810738305804
y,77,25.89586158525251,90,3.622588048344677
j,53,93.54215647584444,84,86.58791826407686
f,76,39.72410746360102,69,58.59810329066796
j,81,12.169364245382885,38,61.83555989518492
q,69,74.30186598304664,10,70.24906134687708
g,93,99.06099845188405,56,76.26398937594409
u,12,61.28442594286454,38,18.08099490568781
w,17,8.27253603726248,37,82.24380746227723
s,65,91.12660729165232,39,47.026949695900115
j,7,27.86214319541347,58,60.56396915397111
x,43,16.698829694222937,44,0.8914909027738172
i,40,34.79404447745906,66,87.03418915122808
o,56,30.292149539424397,51,62.15241043687133
z,46,61.37678450218244,4,39.73509256655955
x,7,5.503217678962036,82,99.56292119535648
i,95,11.070498987124179,51,67.40418989703275
k,11,96.77384009465354,5,4.402235399957077
t,15,93.38863607373438,25,84.67389972360321
u,20,82.74684308535416,53,14.692906851911602
m,48,31.384405995316044,51,35.9333134179224
b,88,36.71256614520543,91,86.2423155809245
i,43,48.94269025223773,93,98.63446205673438
b,64,73.98984529454245,67,34.65071434412319
p,76,2.6361427683254,60,17.52368466227463
a,8,6.012516776664745,55,71.03098866148571
i,49,70.63182517460928,12,27.051949220005156
h,45,29.35067570936949,47,26.511783754396767
l,42,20.497805538518076,26,56.551897608272505
m,75,15.160311364007484,47,39.71891613197732
g,97,79.46687595582857,66,58.82323363046195
g,86,3.1484722288344535,77,2.0079615879425194
d,37,21.46861905836891,49,64.97221106475011
v,49,58.74810508988163,73,5.514313873923637
c,11,98.80560687843123,58,14.991480073452458
x,55,84.30740310928833,5,21.099710851432274
y,86,71.39382306609897,56,52.35842842675137
r,29,90.97604818167116,21,79.79707015117559
l,85,35.3067155844773,75,22.41310215646717
y,93,34.90419570097203,0,91.54564977400157
m,0,2.6409490449135653,42,74.77283247668008
j,55,11.064317030632342,53,60.81895222562596
v,62,58.16166624729383,44,70.51416642021252
r,81,35.42085674062294,69,12.157727345439973
h,65,47.60962791143189,18,79.36862620224234
p,81,94.61051910198172,54,5.091013373470055
e,98,27.96520263493598,65,51.12624484478295
w,73,51.83834521216419,88,30.20841910356139
i,27,19.25597300366495,20,94.1975094935792
d,57,17.67761575443195,27,7.750688523185589
p,36,30.815497607893672,66,83.01973771113572
u,3,87.60429544713054,80,12.773686867637846
w,86,56.93967441855394,19,79.37891345568751
w,60,9.602657707781548,9,53.08523441027979
a,46,30.702602051354276,88,33.67819805800817
h,84,49.43012169607444,68,5.930109074732936
u,93,47.28578288488969,93,3.593128869728368
l,6,69.63844930018217,22,54.89513157778285
g,73,85.54965355906384,19,82.13014900322294
s,85,78.57934503847108,3,65.04815156080296
y,34,41.05921328911315,24,12.724829782689739
m,43,63.49946452584102,83,12.144011464778403
b,100,61.86844745268694,94,8.567610066578169
b,75,16.612270809294394,14,84.10413304643507
l,99,3.4889344201141093,36,76.71136714512261
f,1,51.919174275391136,39,34.5065407576087
q,71,86.1708336683784,43,12.941110693575176
g,31,76.3602318088016,74,8.712148035663759
a,57,92.15739730711438,44,3.820669661780718
f,69,62.42382895080391,96,43.70335237952393
w,40,86.85275043713537,68,8.810028554606752
b,15,2.122070724137004,55,58.032100505036176
y,100,96.4312034001649,97,64.05966859649398
l,10,39.19062232921273,16,41.054003971393705
b,58,47.52143914155855,77,96.76435704081045
h,31,37.37000571483134,7,41.94518467336379
v,3,3.784031274859112,4,42.49404221577239
l,33,18.50240395877547,76,82.99683079449925
k,62,85.96934811636125,48,86.46625808335142
b,37,65.39093213576642,51,62.53250679120579
h,24,70.26855772731653,47,82.17154828102176
p,55,54.46729762532685,60,27.570143672126513
y,63,69.54654547832031,30,18.128233004559966
f,61,85.05940605062581,70,79.46917621383976
z,93,71.93176146427133,92,6.6913963478327565
d,22,1.6198399947003228,14,34.31108975059294
o,68,64.61507396685488,6,45.65587436757529
o,37,87.41096799055936,4,63.50264366379466
c,15,14.11532682089307,43,54.443085478980976
c,39,88.777243479351,58,37.13673073940031
v,75,45.08786464968125,90,26.0841361609107
f,83,72.96175974537952,21,19.862623822815706
g,25,20.15437920768163,99,91.55282952619352
k,26,75.09074158570542,60,26.63599189666569
q,54,93.22022230371267,16,22.60139322476231
z,97,39.20671513249765,82,25.418171275814995
a,20,32.307148406807116,43,43.858154543003415
a,24,92.04643383901994,41,85.4388620988938
a,63,98.04379943746304,58,84.58912122699542
q,47,88.42506244763308,40,66.31680303977292
j,85,21.754985402406824,30,34.3513930383524
j,34,71.71348129987396,80,63.466534606154525
d,22,43.2441640570704,27,77.97485056961779
d,87,25.8505273023134,23,70.99420657972624
f,29,72.40740251569639,12,13.816270034762578
t,31,13.900411234578325,90,0.7139462843083533
r,93,60.82415413168469,51,62.28092705473489
h,52,23.180751674730715,100,95.97549104346562
t,3,54.370687671657,92,19.538743129316348
h,30,50.749487794965184,85,39.73548508027971
w,20,43.419223019147616,73,89.55556526037626
p,5,5.85609748769893,28,36.34394151940696
h,74,71.76155110501554,96,50.493938419239385
w,45,4.693361355418113,96,39.53882885641292
h,63,96.12399577877652,60,80.69838331966388
v,88,56.58947093142106,16,92.27837361313617
n,80,33.28606488019168,75,80.7020136853653
f,85,99.4773468534476,92,22.74060528671352
s,72,75.18785301099471,92,86.76616456325522
v,94,9.095609628439117,96,93.64696105426884
a,62,31.242191759000438,30,81.63131478241732
t,70,64.17456371379774,5,12.380877216633923
c,42,15.990563232527622,42,38.65087172754639
t,52,33.866974591268765,15,91.55386111072741
c,56,93.40994982299044,71,67.75160057204508
u,8,90.00662832967264,0,47.84906905413296
i,90,27.711976443495743,64,3.1041255074062524
t,34,54.28653423330404,84,71.13200260145163
d,3,26.712641307326013,39,21.369460913386863
b,17,86.85315762420223,57,48.82267947842022
u,1,78.0227654804096,73,93.55566641835703
f,66,93.84632163467282,88,38.0660568770201
h,74,63.707491738519,9,13.293762644160068
a,6,77.46823691343025,90,80.4955480260269
m,75,84.48206245392052,75,95.39312588100131
z,46,1.5820608282226312,5,96.32589087245303
r,33,89.06628038667907,49,98.6273966610914
n,45,77.00021957237401,54,88.71001324268191
m,30,14.598025753869127,55,97.96767088602685
u,74,21.72904022479416,70,12.844416698120542
x,39,33.6612023802809,46,0.016192057393327186
a,61,10.111426968883286,30,63.79260095741309
x,66,76.89473330781567,43,94.6100997051061
a,38,34.09280081444193,38,64.1642977911574
x,48,21.42665495575241,27,49.926317091712434
p,39,73.05363899488422,19,72.15574092458819
j,49,33.09206309531654,54,72.52596266378478
b,24,58.81296423419049,57,85.66172760554466
u,77,51.09879718238939,46,70.59345674258233
c,56,65.02073322038517,7,48.59303296126642
h,41,88.38395931470815,11,97.2736396323442
g,85,83.21822868013811,8,22.734085852364604
g,90,76.44266848357461,55,61.46699009066571
l,3,7.6521048854560565,28,45.44174411335441
q,31,98.45955942452261,17,82.08339008384226
g,87,17.576478049280595,61,80.34581596435254
j,40,63.62866404967175,76,47.814256407251165
k,73,54.83752438266275,80,76.54845657258228
d,30,80.67487963733667,82,16.959409437296635
f,68,17.295473802158924,54,90.51669329884415
x,55,32.703993201173084,9,19.14482623244086
f,100,69.0404743272792,34,95.17574178579248
x,3,46.996034572943444,43,16.092600710170103
o,67,15.77327538161416,37,82.10673307106929
h,74,13.079222775324673,30,42.43953105206217
d,13,92.80966981183239,6,20.633281123793967
v,90,24.949091466091154,63,47.066070290353025
v,41,86.36010930124328,60,84.33433074770164
t,31,36.92796887124864,84,87.27862610272138
r,71,9.449564995597958,25,21.65309042956258
a,33,98.80906795543744,6,87.95503396169975
b,58,86.85394409692125,35,65.18263080861522
f,57,49.77212916187167,7,20.12465496240511
q,23,65.47628406508895,63,12.84265478777986
a,90,28.432640190674096,71,92.51349197878169
g,40,88.25524707791075,64,59.06809858193262
q,28,94.51733992137711,17,43.66825537025682
r,58,84.02575957789385,36,88.75741464557514
h,53,39.31653163906058,61,29.454636865002858
m,81,43.90932549267868,63,86.48579250572826
c,99,25.148475264745407,65,74.84483465412423
p,19,36.4239202786727,45,3.6236518215780444
x,62,16.069846032101143,5,77.29649517826381
w,71,32.1468917721996,72,21.045875770161192
w,71,10.850036241411221,50,6.668530293347185
v,82,76.75413646721626,7,39.31188491353037
u,1,42.92105818107624,81,44.48972227297428
y,0,45.49967604880967,3,89.44817129578277
i,84,72.64279173112473,94,12.76587511251196
c,63,38.39422620579395,91,89.11276330326609
a,57,49.183010438188845,11,22.951512944155226
f,42,11.47773855711256,87,52.12649833245436
m,65,87.92286897313757,44,51.37552586183318
q,13,17.23529475927782,68,52.99809052367009
w,45,33.608434546015445,34,13.970730980848888
s,46,22.89246669785814,59,49.21986689157909
y,81,3.6251789954597435,86,58.190780840858224
d,36,83.21496586568391,10,4.450089354728403
j,50,43.549903545028,59,53.77297128007601
u,17,83.62073649030707,59,53.44947506081914
l,82,45.32222643255359,1,89.60331272134474
h,44,48.531050475709705,23,23.207993440011265
u,92,28.167916936935335,82,92.05966106202871
w,48,39.164167159137776,98,4.295800249575732
p,58,9.381041431721304,74,87.92567087547569
v,78,15.819785372452355,75,83.16768081184297
w,87,77.87801366539976,41,63.02377713012455
g,86,23.187609786628983,79,40.398356599638355
u,40,12.031729326909568,39,34.74766694048655
f,70,22.484019021515966,9,43.48899438352165
e,73,2.7335782634467787,58,76.94813237806373
y,86,48.33767485783829,33,84.41342946818465
s,93,31.01955108257294,35,58.54403084102765
o,24,14.517794540276585,19,55.10046711449586
a,65,51.043333503485975,55,25.18890690123784
b,50,87.45755905543328,28,85.25894696712689
h,2,25.54816630272727,88,10.129111824881532
p,75,28.000444268146662,75,90.02319464738329
g,13,55.529325784036644,88,16.910108361224186
p,10,30.59502733331817,3,15.285123637790388
n,82,63.91294109619626,57,8.58130679735467
k,30,36.24271879906852,96,44.672026586543545
j,15,40.67946573623278,87,99.01390061422607
n,89,12.141266969438702,67,51.903643785757104
k,67,19.822027752433613,91,8.196469927690098
d,86,68.15802731473298,82,79.37193675003003
c,29,63.63859461511237,97,82.55607328993494
g,47,59.11424305129059,59,15.434957084608259
r,95,93.5074491589282,23,39.2356453050102
j,95,60.48216752643768,41,31.397017149743444
e,32,39.51639538152778,91,61.747170210993914
p,42,55.52347749428619,79,14.972560477620467
b,80,31.367944555621506,6,61.372215333400334
c,29,12.487002506122835,73,27.35750501089568
l,53,87.17178016249005,54,93.17629028460911
p,15,39.50582196499223,72,97.82093754569459
s,62,46.84232283294387,78,85.82310271691634
u,7,11.336488638256858,63,28.269053324794868
e,52,68.32997563303348,67,95.7032918066808
z,12,56.55474923665277,42,64.82653012660448
g,83,75.37349026524404,47,34.85725459531477
n,23,16.10241287695866,64,25.38659380120407
t,53,20.652475557987028,76,20.86705304775839
u,8,76.28865226957366,48,32.86871883509139
b,83,20.701645161475103,59,2.2159388384513146
g,65,13.33925174781484,64,1.4370025339861092
h,29,25.846155430031846,100,86.30015726914553
b,15,36.6617235252012,79,59.468257890084075
g,55,36.83831382070406,63,75.54953575613695
s,84,82.22728002977233,43,58.92569052563824
e,18,3.3386997719537903,81,58.83908202826456
g,95,31.425847642787474,75,63.001091836011845
u,4,22.59996813878129,31,38.61802587428864
s,43,32.856597837974256,38,49.28683480790214
j,75,8.823333362163687,47,17.527960163342946
b,11,36.20142329840228,14,19.966066657111025
h,52,31.979499692573622,25,46.54398871384039
l,31,18.06565548876724,67,17.903747921164015
s,66,71.34057656337454,16,88.82092412339257
m,15,24.54672499580266,43,44.86824629880276
u,11,13.077233594796745,35,79.2162462537631
d,48,43.50371874639958,5,68.81023354884775
m,93,8.689572527962053,45,21.9165432856016
x,93,22.617504210170836,90,24.740578526203972
b,47,98.33456826475133,52,81.13765834940637
s,5,65.99391332156122,87,84.221956288228
k,18,92.93144813324061,31,29.89948373366863
u,91,86.23426223494866,63,46.94991206923389
s,41,19.56773394685968,38,66.55939529559937
b,56,32.19146822967376,81,19.259427134028996
u,23,88.68545342730945,66,46.41329072769085
a,97,75.07368094048698,9,4.910082421450889
n,9,13.07109857562352,25,98.58972908706143
g,24,29.26776188186845,32,54.94157175570725
b,11,99.40003336880574,50,58.228789054542816
t,0,47.30099030157863,90,55.93838857206968
c,41,60.23676573517089,87,32.898640658622845
o,3,35.121401746458126,45,87.92271945684477
k,81,98.36929607112445,34,18.462150494575337
c,40,38.63428100122762,66,2.6557085569284045
c,78,69.01488189290889,58,48.24664410968812
s,18,66.41369659996018,35,91.71227310236925
d,42,39.202612712192874,71,9.230803639023776
d,48,2.62579025578481,65,23.317411626398833
x,20,27.1906305923711,96,47.805467399696724
r,88,40.83185362529799,55,46.96425435945041
l,34,2.860569877962349,23,36.76941041449613
f,29,84.29700867086814,11,91.18342163296896
a,64,62.203475792012256,30,42.29140692974455
a,85,81.47910415899004,58,72.56992674177137
n,44,85.57485243793963,34,70.71012511471106
b,35,93.59192238371442,80,61.792150717173776
r,8,22.151248023490044,46,60.15723335806761
n,17,12.319374970721963,14,5.796863065036728
g,41,2.534220100561424,71,53.435054341506806
t,49,78.92578909171601,90,91.89574296774776
k,13,96.69170122293275,2,16.340649734681623
y,7,74.05470884871113,36,3.547170462167626
n,68,43.95576971603133,0,24.313483373031552
q,29,34.05721357077224,18,50.00289853155885
r,94,19.845187808151532,23,36.45200691246555
f,100,88.64139864991434,30,30.90641529878756
c,66,28.401528485068216,88,3.284066406114794
i,53,13.46895235277863,6,33.71889249636675
v,20,82.72775817065047,69,8.707039289398399
x,48,25.869898181508667,27,5.385468187547349
v,90,23.08872575862435,1,58.53788839818333
