A,Z,W,J,K
v,73,50.87926057473522,13,30.228909775297875
t,7,82.2632048602631,51,80.63731533353477
z,9,61.500842393373944,98,94.77017491808022
i,21,92.57362969162462,3,21.952889938421517
e,25,85.92486242867247,24,11.167004263622381
m,31,9.375715745390279,36,24.96650204352645
q,7,25.852480245801026,12,99.99846182968659
w,51,85.35987527849109,52,60.06736156597877
f,8,44.68268268945601,15,15.439236211413265
d,91,32.3929402408716,75,81.76526473186424
m,5,51.04434012930642,77,43.383475754820864
t,67,2.806322217204693,62,54.67235186686865
h,34,68.8770232537202,15,58.22583235053516
y,78,58.85193671875233,48,38.68090665407359
q,34,92.84030502256488,67,88.10782006091821
a,81,44.30012018764404,5,87.00918852088154
n,84,96.95268297488427,92,29.091960555011564
m,35,82.34152715590342,54,4.157450556000974
t,13,25.982036562599987,85,76.46369583292949
f,58,70.95854392618239,73,78.55114839902744
v,74,24.032779369434987,84,64.24688744134373
d,22,81.4681427972807,91,12.816921756160705
k,77,9.005647418043573,51,5.608591142591768
x,87,64.91563739990283,82,83.30839504027277
k,78,76.02270614103048,11,34.32550472682204
f,34,91.18776180853921,24,66.6925258761754
n,94,54.82461883419268,56,44.07737982538952
i,36,18.974969327654446,4,26.070357731391336
u,36,76.01010198207806,4,45.93236059254371
m,78,18.216537068805426,97,26.85929356194523
l,38,39.68066119570008,28,57.93833504153303
i,59,63.789704943804196,44,61.80258142482351
v,81,38.032764313523515,0,16.653328739964557
v,84,64.37490783477202,41,17.888170283931125
x,10,68.9195606308845,73,10.53187798887728
l,93,4.952147534865303,31,76.67803357095643
p,13,42.66639469430221,19,49.42193211017917
u,96,49.02777900989192,26,61.31904689603067
y,39,38.788319654498174,58,42.1310623548022
c,9,72.95194721917606,97,64.06103426053826
h,89,75.8477793018994,79,82.3805553090039
a,80,26.655584729305136,63,92.67035955979777
s,50,65.81296657872177,51,67.1455864797588
i,93,88.02625145951194,65,76.03294117301816
g,61,17.35521644928545,100,28.10675085412493
w,72,62.146642661051075,90,36.78087063117421
n,15,28.949769913184163,85,61.79484209127344
y,81,88.61643350184931,76,50.726305826406936
n,34,61.12492625001289,96,11.221632353737121
i,73,72.00216926416732,60,64.62410117378876
x,43,11.223680858921792,76,83.72633934250588
u,93,35.540104973663254,13,92.66411444270136
t,25,23.088086660974973,68,55.09129743160216
o,49,77.61482080449137,28,85.05097745779081
m,30,85.89001330928485,13,40.98812407804107
s,81,3.0808861158319156,17,75.76347739421928
x,54,56.69845063454624,74,82.80599595856269
a,45,94.08597132069293,27,70.63003042576672
g,16,2.498494820738051,100,92.49541491339363
m,59,62.09597665559715,11,72.38775483780479
x,46,4.871047399980622,41,19.21018510880662
y,94,38.058453120854374,100,48.80657223422884
k,97,26.30338134399374,32,61.07496766243477
f,94,26.763687577830233,58,36.4086115223732
h,86,0.6841551333613527,50,53.54878685391762
a,91,11.242288808377655,24,6.165248872084838
l,88,46.62711825007354,1,57.31122364001786
k,26,73.82353640132074,80,51.45761373522974
o,83,98.36633542617463,96,50.11046262019392
g,72,19.57814103167984,42,47.62703682655063
e,43,9.160842362678423,4,39.94733509557313
m,0,94.2844664283924,91,32.168830297377504
j,80,2.160197789220808,60,92.94212056208836
y,60,60.790268161437886,86,40.05280935320774
p,92,66.08662538711833,43,6.306550315873594
c,51,66.58923267879943,16,37.65291643807767
z,74,7.346668919437349,88,17.421759929723045
f,58,98.40614181617346,99,17.097448550877203
h,33,77.67253325274743,15,37.67585081399445
y,64,8.732522110553065,6,97.7252055406518
x,40,15.982563300199704,95,43.61331964167876
n,27,74.8605064271593,6,71.89747267062626
r,52,42.57104262395146,2,87.98657987986317
u,2,18.265786810550576,13,35.25032098902416
v,35,65.73269466386951,35,55.0053636098456
v,57,72.03959605469977,2,74.16902891833415
v,24,64.28426990152111,71,42.24977040497551
s,16,61.69425555201185,83,49.61757124229749
o,44,4.219857439585506,59,7.854488891125699
x,46,82.53568969904211,65,72.34335944318897
l,72,51.71446036293107,77,21.18193301810586
i,23,34.7596918212311,21,13.542371259159014
w,91,72.16394414153304,38,55.73008837911876
w,91,9.67944813576791,32,5.976241857250142
x,73,60.80843709440149,60,67.44822271142047
i,73,44.6087976417462,63,31.43209711010807
s,38,28.768708395248865,65,49.83629611456336
z,63,65.97648699234547,63,54.89573534417057
k,68,39.24459267098507,54,46.348735276389476
n,70,62.738546072470946,16,30.34569698012104
z,31,85.49513638630685,2,56.82161963814202
k,12,32.468321554649094,74,83.10266534427174
m,78,23.605487539512815,88,61.06921972168588
f,7,76.3046085315074,64,77.46918334697375
v,50,98.20375435845314,62,61.57894275652591
a,52,71.51472514355088,48,64.94995658682782
h,95,75.4115797255483,37,86.40249680173042
s,40,94.85006759399936,47,23.027784230583002
p,40,38.334180711014895,6,90.29705590753153
k,70,20.141000402153107,95,3.470622897322584
t,2,10.149358422490252,24,16.102241215286885
p,15,65.1396908809965,86,71.28848668084466
b,83,47.11295681248902,53,46.06319601104899
s,0,19.692334869702854,8,90.1985087108992
l,6,45.23525819289327,4,13.28613683504959
g,27,59.523650676868776,81,98.07548596224093
m,53,58.038715582597376,83,21.40703669835442
i,10,67.6030682754633,30,12.139856659823945
f,5,77.77078368955264,15,14.293254300684744
p,33,83.88379229324612,60,42.719609745681694
a,18,89.06671521237575,47,32.3517335766658
g,87,19.264078506233705,39,61.34408295421918
f,88,29.387534473308506,71,22.064403411405664
c,8,57.88975011288068,12,24.0256058783053
t,41,85.27105547589386,8,76.66793922790185
o,32,52.952699592896025,73,76.97221259202254
y,75,72.2351567305256,23,14.429418387701709
o,71,15.805511043526588,36,53.37851748226004
r,14,87.42357362743661,88,7.634458057305348
o,23,24.71047397126922,2,25.00976578096248
f,15,44.02904404600195,98,54.63930608368649
z,51,8.376852649011834,73,47.146511795057414
d,85,48.477645777081925,8,74.51028845161973
s,24,85.94174254100204,82,67.30941087460874
n,36,99.8932573204,96,50.5307956736285
q,39,39.23488526742459,50,62.58050663701981
c,40,73.78625353936177,34,63.22504176169759
w,73,7.42957305946379,4,56.0507184350021
p,83,13.724417141145207,95,59.29512477783672
o,30,36.34932512263188,85,40.426335684687984
y,29,83.08436222771955,50,34.37779855968445
l,69,0.7660287696211632,41,60.49831683405485
l,0,39.34001876114238,51,74.82468061047712
g,8,16.211956784549752,76,19.575646396628677
f,92,35.654588260981654,78,55.97794514618191
t,30,80.00801768619738,12,20.87252201935812
u,85,60.50948302943089,89,60.94808415431415
t,29,72.56877527311607,60,29.078748782451147
u,40,78.47563540575436,94,63.165085439873124
g,14,79.49635530913002,10,7.7843735487462045
r,97,4.236597317370405,12,50.8775639449392
n,15,15.01821303654134,11,25.58754512257839
s,68,98.55054897517313,98,38.001486484576766
h,73,7.180267804063522,30,26.04324463999459
i,54,38.04745303838574,25,98.60987288114336
d,27,5.427114790705989,67,20.18627382738395
k,70,83.01684607749506,39,27.526974444581686
i,92,4.3639193771545015,91,69.46003465075077
r,41,20.267029410564362,78,13.548123769121123
s,67,89.09422738898725,62,86.29516120354054
y,86,85.76223058130395,45,31.914992104979945
z,76,1.5693434156772157,46,25.225738602815674
g,95,93.87020184241098,80,11.136516741321234
z,0,53.094322608011026,97,55.028688261807744
o,60,43.859678554395934,22,27.609619954301145
a,32,47.43230175755498,37,31.387693482003055
o,45,34.974413834287155,37,51.01185264022243
a,47,85.62239222921468,46,34.761660070458625
u,18,18.610659283305598,91,35.838182950111076
y,33,65.33640735418128,99,5.51471346390594
w,36,38.50385775974969,68,53.74468257080361
p,58,76.14222213674599,60,54.218823218572375
o,85,14.190252630053612,10,3.012877388483548
h,0,69.42943285221209,76,67.61547422134568
z,13,2.080065970982936,21,31.277796273990923
k,85,4.543305238823425,91,47.50746728616646
r,67,47.05182296852352,83,6.123888947968082
k,67,16.260383044995052,4,73.58765896540493
b,26,38.981126618808425,43,70.31182943731228
d,78,44.39860858086034,100,40.51831637672825
j,36,5.759592976854133,66,9.040379510015539
i,44,86.68253060488006,36,51.352794439451266
j,74,71.88637371737713,55,47.39286450153061
x,65,22.064862080781765,17,57.11603635987075
s,40,78.9602081512768,16,98.16259724343384
g,54,44.870500168153846,54,48.371976669262395
c,8,98.48634021994734,5,15.426422011143936
c,100,86.32840600619348,37,89.67001934266831
p,43,32.67934509648688,53,55.39150545052175
m,89,72.58063926233439,43,40.45553835063161
z,15,62.40224494710933,39,41.89029828601121
i,16,42.32274233832744,58,0.1324066115686806
q,68,57.7776832143578,32,49.28283103754518
z,55,60.80452300899073,50,29.16240441662111
v,66,96.11423634712838,69,99.65370941122399
w,83,66.51730252079567,25,86.39799117886177
o,35,17.813418331656784,9,84.83556006400042
s,13,47.206014700163756,20,71.67616694776511
a,25,52.11805622883563,6,53.582119542518505
a,26,87.77109602046188,43,87.00539909119934
c,19,34.18532928221138,92,92.40837960833395
r,78,55.02722830638156,88,69.80053982682996
w,89,65.4155807949912,87,37.25410125100632
r,6,68.03966775305686,98,94.63301631403608
s,37,92.75459403579937,39,43.8195689478318
e,86,42.49671787277776,7,72.71109973804766
u,59,66.03916500290605,51,58.98998630187013
z,96,47.72640168515977,99,46.169004789804525
z,28,35.95458089140282,92,51.30086120924485
i,81,91.6228583904033,84,6.9272347927133655
j,63,47.00516726511825,21,52.57129088898944
q,31,17.605948027487585,54,27.665877094311497
k,42,59.21893792858178,85,89.05882889949773
b,60,56.154629815348144,61,17.59630255330171
b,11,10.71915402981196,25,18.034258401961633
j,4,36.25186677944671,32,5.829565991116881
a,93,10.525600087057995,63,73.2605364102591
i,17,64.05849887511489,60,92.69729823550097
b,21,79.91282345230367,92,40.95040894442777
w,55,67.67479896456166,66,41.599387236979545
t,81,98.03443413382111,57,49.81771639514396
i,9,95.6214608432859,63,77.15505318123587
x,43,49.28465527328091,34,33.297976825417905
h,56,81.18018673960182,90,13.880099245453415
r,33,88.60521353737067,69,12.171187605827892
e,6,83.71460377804267,30,71.02743125631284
w,58,9.026738504159315,100,11.284205620222298
o,46,74.17240499471767,13,13.627367299025984
f,64,71.6825367892704,71,41.34027088427183
y,18,33.1612558889651,28,48.43476307032666
v,94,65.45293651642746,49,27.709443288550528
y,32,34.11238084116237,8,94.00087239401232
o,29,72.94429911328051,73,44.97744161112698
h,20,26.80453529405147,82,6.234103464530072
m,57,46.50243528119715,62,81.87189718014741
j,45,98.14769339955889,88,79.88324627280501
i,31,12.069610526083551,86,30.342692082423795
z,24,44.38960340805165,87,51.44603151087976
e,9,83.36712796927142,74,14.289787799624643
g,0,53.64100771528433,41,18.702420408028498
q,58,20.511439494846194,50,14.934732737515588
s,93,95.04091658613467,62,70.73579161948705
o,33,59.28422654744635,52,16.15089701895417
m,40,61.58589074663238,52,85.43554121088896
q,78,97.71820074317993,33,57.23829482822131
t,4,77.20618081741742,34,0.6726031606261618
o,54,36.36706806041069,7,25.6668246644842
n,28,26.068647382727196,57,48.094471580110365
y,48,94.1585492782122,55,32.37001004152012
d,13,67.06707733256438,69,70.67228111703454
y,63,41.076024003995656,21,0.3373594010138037
t,84,11.158378563041715,16,27.341149112932484
q,22,92.16466040044004,1,2.783156334946957
d,22,86.14629193950981,31,60.50484107620174
q,10,21.793203627558345,8,21.627302541318805
d,63,81.32469085249781,50,68.60456165111185
t,22,10.85192191935076,51,52.2402888300185
f,18,22.406129565358192,90,17.599667877780156
w,54,86.04992679222097,18,19.457890745935646
a,37,85.65166777894113,43,15.038794944081468
u,3,74.93314504414728,9,41.351763751722245
q,11,54.9367892245107,48,87.67948313103209
t,6,23.03866577798862,44,43.9880907672774
p,52,69.00304376088398,1,18.756335069144313
t,7,57.67850425314573,6,96.30299162922142
f,35,74.91728104052153,56,23.471193446703143
w,81,61.57810975018616,64,12.376871736541794
y,7,55.28318218657324,77,85.81962585348015
o,40,86.22777654098766,96,94.03454514841563
c,38,55.86771331939479,22,79.84876996050396
h,40,22.41569863086943,13,62.20083089588625
e,23,22.600048901592974,54,2.6503806178620692
w,45,34.47112458192952,28,82.01461522302267
f,2,19.465599960663514,10,27.85773291894391
b,42,41.67599607134971,10,68.0339837730102
u,61,4.286806332695791,3,96.97188348516826
w,27,21.982074756347437,32,51.91966671925733
y,52,44.19049273176361,48,80.45174331064489
n,63,84.24103931848501,6,35.194882111317625
d,82,26.060550044003016,9,15.837293955785725
w,16,81.71200151008368,87,17.445166705756378
o,45,36.291133682429276,65,20.972998225471283
o,14,64.14587614725572,23,93.28993833120894
m,29,84.07209998840138,72,84.94226269329546
j,88,62.69418553968692,79,55.84050644083077
p,47,81.77059048794096,20,7.306144096048617
n,62,90.2653633832124,54,80.54777574162503
r,69,59.668574664899076,86,59.092112108261475
q,15,9.033276660496703,7,21.65260581488172
z,99,87.660762851688,20,88.19272809396709
n,92,88.2788048542329,21,64.68738679237403
u,23,66.39566418688086,58,77.7390570263678
u,4,9.116360550487057,40,32.83347863865615
m,49,54.09367350001485,68,79.82756693682532
g,80,81.94065058419457,21,75.06974331885135
g,8,56.30698739013754,63,53.163586137672056
a,70,52.444591989642895,83,14.86036213790971
f,72,57.51579664597152,52,33.81972240667513
u,7,77.1178352243721,43,29.859961109388024
w,44,28.88547853523109,30,6.360982633447021
m,17,47.131119364027306,13,29.498545438652222
y,92,30.508764927477785,14,52.5685939316766
n,73,12.173937921646205,65,4.416746094039614
i,58,62.21037919834668,43,50.19180441342672
g,19,36.492461084437544,25,2.205601770723886
v,33,95.11502326855967,66,65.40612019110905
s,79,76.03875388943382,30,71.41277624869758
o,66,79.68912011558211,5,96.90405969935104
h,81,55.44766159909339,65,16.983483807594425
t,27,53.31585976266019,59,68.13383225401452
s,44,24.926889256454754,10,78.42141216976624
z,67,48.708791112864816,14,9.272937366043632
u,29,21.224008064648082,73,30.10420761251319
e,20,11.523362027012308,23,61.788054870670585
i,7,15.464642890102741,63,31.92885691937587
i,32,82.54978537681929,81,42.3751735624309
d,94,24.087459833841418,92,54.584115133699605
h,24,15.995661792332383,23,92.50342397405127
u,91,35.515630663111565,48,49.53540120469753
h,66,45.21538003673571,21,5.054220236786833
a,85,81.19277334156595,13,11.890811341451247
w,32,75.76762495028107,18,30.83038452240817
o,27,65.1247946908958,22,43.04700680238356
a,51,61.454445836786576,7,88.21683126865081
a,32,44.453598655948745,76,13.01757984093298
n,89,19.4028535791101,5,87.01375307550168
v,80,5.98663077122592,95,86.51651395733938
m,48,80.98633483435913,27,4.284311263644502
q,53,22.44551711702797,46,25.262987492976396
b,6,51.2163666307488,39,63.98178434022406
r,58,69.6063105800761,52,1.6279758923994692
a,4,0.10399552810845814,90,53.77144431539121
b,40,81.93492255546374,97,45.9043499854883
p,94,94.59153499890924,92,2.4930841418811966
c,63,83.58450292384546,19,6.074709059073524
u,63,48.42626026097987,58,3.1420113804380256
o,38,59.95486976416645,56,84.77786188823518
h,25,63.83964475060001,39,67.290336330869
m,61,15.212952713482963,27,89.20722009815088
q,10,61.59439798781429,15,97.16312791529027
q,72,12.064747977704492,10,56.15075646176339
t,29,0.9586641152848352,43,27.196236446928946
t,54,50.23515633403384,79,57.71077936763476
s,54,27.117266723070475,99,40.405482619136194
w,95,98.05690042442016,93,14.117387692066307
u,49,96.58953569617826,12,72.59606652164823
i,30,9.492352310756091,67,55.44656755622306
i,58,68.62513115977434,48,84.14950596238222
j,99,94.21256527369518,83,39.99753451519684
e,40,63.690054249744776,10,63.97629388356548
j,80,63.78745895513289,45,85.12798761248808
k,88,44.88404709785866,37,2.0029701315038784
r,32,82.3616549061952,30,26.496714629081765
v,19,81.86599153815898,94,98.38447912087486
m,61,69.52129297983163,5,64.5434729359039
n,56,37.394707581972966,10,47.929527778941015
y,36,3.106441793868242,21,71.44050743761467
d,76,65.4196596575961,81,54.52661230746985
r,79,19.28337440586967,28,7.5574768209787475
f,13,3.177650721715375,78,40.41940482136725
o,55,74.28407979211646,81,51.551131796356906
l,46,1.4743025122308295,14,27.524059367104726
n,46,16.863217751569515,26,1.715262511998672
d,16,99.58292705458425,3,65.7525040243121
v,8,15.847950725658455,29,66.73404799463472
w,52,97.96009361049573,14,40.487766546544414
s,36,85.19654238730332,92,62.68669334068338
c,1,98.73702600999773,91,63.03869885188432
k,10,83.47328868171425,27,49.11226485293384
u,76,68.5203235423107,79,91.60315117250045
g,91,43.60062945634918,64,69.52299964964344
