X,Y,M,T,B
z,12,69.97981888167672,11,37.71410387402289
o,18,34.37382023301138,88,20.47871600280431
c,15,37.366753179206526,61,92.45572033953906
x,19,28.411908736068657,19,11.886487358348774
u,23,13.37366008239077,20,7.73311434007784
h,1,59.1670487327439,92,12.936243535955217
z,15,32.85609177893183,1,52.1948391118354
g,37,1.2003669603398937,49,79.7288124352776
e,37,67.7434956777279,12,26.863744729439652
k,21,85.19292855022194,45,21.783949439438246
y,51,0.8038246303230134,82,50.0313247841818
x,32,61.122994192850776,29,43.150491581951734
f,46,62.47902652964853,22,7.422355498078148
f,34,87.75068228778109,66,92.36999608304757
p,66,77.46355183403735,80,88.55398962947449
w,8,92.50392434129459,25,93.41240405573579
i,1,10.595888200778736,69,2.8908865409180695
n,55,24.14675253630312,69,23.649350762702248
x,31,66.62368367041131,48,78.87213397697253
x,21,91.9671526254144,25,29.611578643759838
c,76,96.89254553291812,100,69.0733683473449
w,37,44.49788005453029,4,43.53456046874441
n,21,94.2528196503823,26,11.211499531283964
z,2,67.04409711289284,53,58.497144758648034
o,24,12.360197146012242,21,31.866868042438224
u,21,20.16626949139396,37,2.3799338981893126
c,28,31.55602621936726,40,47.664789556924106
g,20,0.24836948998238073,52,3.7335732907985086
h,16,19.544714794132457,16,12.849464407451716
m,38,39.74852793900043,36,88.60424025696139
c,41,16.704486800650496,75,42.49623119440737
c,25,1.7194194862770074,13,97.95806196939272
f,6,35.521756388697966,46,90.22928471629311
j,30,96.06812602689605,99,71.82766043127911
u,33,34.08603838643164,36,81.95782777650578
m,51,75.35171921074529,64,42.78282900609437
r,81,35.9821121721409,95,57.63859319653143
e,51,61.13094160888909,44,23.706595896058214
q,75,95.08170925539386,84,49.4912200339093
o,98,64.71008053362132,28,97.68806768389119
b,5,30.857122065261354,57,4.288375679895228
h,75,80.16579726043217,37,31.792463497121492
i,23,53.22271873206641,81,54.178374536603926
q,32,15.164311629839599,20,98.96813064870734
t,28,61.2647172205817,32,43.39437358366165
g,22,39.2440782539007,18,10.861356786282418
x,24,65.44939242669355,35,58.83647685467231
l,59,89.30127036781847,9,22.435132022781566
n,18,3.5319491799086777,95,70.0734386500257
k,63,70.9043286055047,6,16.408362460083424
x,94,51.76070165225345,6,60.78817054722778
j,64,51.25697384740773,35,9.477591436034672
h,68,25.731114508551368,3,18.95633315375579
f,62,87.15195224854762,43,64.51587458013893
y,60,79.04516754027668,82,1.8404774569136695
w,37,77.37565338947493,96,52.63689988636996
a,62,22.241161290134215,86,39.12312634367105
p,5,28.690629776404975,9,15.761850035563329
o,76,76.02495023129492,57,41.65320779611129
t,11,10.033263863205534,2,93.60208714187365
t,14,33.82817066735927,64,73.23891954576061
t,85,22.824933596222298,53,92.58036578233845
o,9,94.50049330150327,99,68.79982825119762
i,30,6.239790160615099,73,55.79668851638209
s,79,18.757453655024946,81,65.6587636604857
i,100,13.822035229621276,45,49.947549931253334
g,1,91.61398136077288,11,28.107376805122065
a,46,66.03910001327,84,47.768866607308404
s,89,29.28625971961957,40,24.29684233631021
g,85,60.21999943749569,78,55.18014756387781
w,84,22.4576075910626,96,61.84378053987476
k,78,45.192326824392595,4,78.67586520634133
i,65,12.87227380418493,4,23.956856493422386
q,85,99.31473664737386,8,83.09495161176203
q,9,71.55189102870114,36,27.197099817582625
v,12,32.060345950589245,13,26.492607191571395
d,89,35.35744882136305,63,95.43879501542747
k,26,27.144532143559108,95,12.845949450750705
l,96,21.5759108044561,76,97.34129701542366
e,67,42.371642060695905,36,9.842201714991027
g,70,43.488596938050094,69,8.821761610198052
w,48,28.633421675583925,33,3.913985723689961
k,70,81.83377062102798,4,96.82281766620112
i,36,50.325663611619674,93,46.272997186558605
x,56,79.55181533488752,75,76.67120077287679
l,8,23.62269885644728,68,15.385265515138414
v,52,9.774951756992856,85,93.97105263816351
z,21,17.71074339726393,72,65.56383504693997
h,59,24.659073602519477,91,52.998875205697956
b,1,40.47206006180269,26,4.957730384553905
c,77,91.59124170885191,42,45.6020015795185
w,45,83.6236647573109,89,35.92454006151735
t,44,59.38150135561503,56,34.2121609647537
m,21,67.15587700987085,36,39.49428875352281
t,21,23.91547683077081,65,83.81615040313561
x,49,98.64789448449203,88,53.18995308267891
f,39,12.340305788589411,21,93.59532403401104
o,79,78.69002057035473,92,65.01773430269462
q,27,57.04555947177891,11,86.5301232045183
m,35,16.805660304450843,38,25.868017958090928
t,49,73.40853112833447,78,49.71073838866291
r,37,35.656235012970846,47,54.99217804105798
h,9,41.30884202124783,29,96.49738592010732
l,89,4.990786412002423,94,48.53436597080071
z,62,41.987116806572445,44,19.39516256509638
z,13,3.9935219578499437,12,73.05334209410633
f,82,69.53336600505956,59,1.415276496185791
j,17,23.153757217834748,40,21.247654444886678
a,27,54.71522289199483,72,76.86319976391522
g,69,33.88224445731763,14,74.6645443460679
u,53,78.24770742231203,56,90.07191821949802
e,3,37.71692291927741,71,31.69690661508361
w,62,38.027432024932885,12,50.30572062947473
o,1,16.427336753473874,46,12.936277966374266
l,100,78.01135563297952,30,97.80921840761481
d,2,97.88678505797603,27,82.01000378354875
p,49,49.907164275711544,24,62.10743033062377
v,15,93.07429563334382,70,60.72200537183847
v,2,40.10926146859347,74,94.7312716891599
m,6,14.063648019752462,24,54.54469882438053
c,46,69.64264169242927,34,43.588669825144486
t,24,71.76864264579798,99,38.37466425551429
l,75,22.45825848570444,80,48.385002073444724
y,87,79.0864577650554,56,92.76448460342218
d,46,16.338347438129265,76,14.057248934000688
g,76,12.672092092857168,14,11.733962452364343
q,19,30.774854431077703,46,29.510079143142242
q,35,47.71718856066571,64,11.50395574620381
o,28,41.259627677802854,34,12.536306993332158
c,69,9.91117985921729,72,88.43034157594985
f,23,38.272256781526195,93,84.99275628204656
l,57,66.55218155577877,37,48.02411107097186
z,74,90.94744376853683,48,21.6943508089405
l,82,77.14823839522033,61,13.062814639351771
e,85,19.198647032551285,20,43.49146302244272
e,17,75.52568224917637,72,30.018379342353263
e,96,76.87071268697096,26,54.52699231073036
h,7,41.20315010733945,60,59.69591092425812
o,79,63.85657566398206,19,32.04871039313614
o,45,70.11630726792289,76,1.310142608954068
t,52,69.07385502413736,70,92.37789356869614
z,9,30.22092288599365,35,93.65772164647545
s,88,13.695151230533408,4,10.584380730107512
r,31,52.61538960410267,47,15.633583285909314
s,3,35.87107167184913,10,99.54913414779327
m,83,36.32113274696529,19,67.24664268730972
b,3,46.365740797548646,78,54.08691945045846
o,79,13.223002619441482,48,26.590096659526562
e,99,86.00033523365839,63,28.747290980730355
a,75,19.4728291849809,48,61.26329110740816
v,44,64.71650508158355,15,88.48563798381068
z,12,26.571047436209703,0,89.67323401896785
q,49,34.911755162537894,25,66.49351116570935
j,41,3.232342508051622,92,16.999702379847058
q,9,76.97707026552044,84,32.017345848025734
w,71,14.81424559471478,80,15.762120810256864
t,97,21.90050285786045,27,72.47052453451956
a,90,13.926000364832646,90,90.22749479486481
y,54,74.93491501385971,4,67.54614245610581
w,78,67.57178229309066,83,30.031374189020156
h,23,88.88420776471555,19,38.691065930451515
a,28,34.942385527003914,68,61.95298318507149
e,59,50.92676089151193,65,37.694385394441454
w,27,77.24304208081536,90,94.19729220277641
d,35,47.406991161768296,35,81.80887140964323
s,27,56.66298942066409,80,83.45697230771303
e,11,38.612502116530166,58,41.12412017400907
n,71,81.08724575220148,54,33.16369541859281
v,89,88.96933564224537,98,46.956314705453806
r,62,57.041517092055884,58,71.1165143110594
k,53,20.891452717448246,73,25.86066416021161
w,86,64.08040923393521,30,66.24830099145528
f,87,85.59703619564264,37,81.10798275611758
z,31,32.35153924360071,62,14.217092054953762
s,9,58.11723275121447,66,51.59550310095034
v,29,74.9464161994568,78,14.772884899976479
k,0,82.8568480341293,42,22.926749023130434
e,80,48.51422515246274,1,2.958967291643788
s,23,2.4930111830987367,33,73.68411552070023
r,14,48.387310017020255,4,23.05083213223148
a,70,22.575883579612054,65,28.929428640005117
g,69,13.866440447874794,11,97.55389063394402
s,94,9.929838092329968,75,3.5230611372948584
j,64,90.61991637959436,15,96.61052461615387
b,69,59.59305752021529,44,43.73140432940305
f,46,64.48878091615686,6,55.81976353979188
v,67,8.542130890631539,42,89.5235111087784
u,46,84.76707444535758,41,76.91536538630574
t,92,1.8493129208366876,14,88.44724001500511
b,15,77.66512851252585,73,93.8475471541181
b,63,17.243166343797057,41,34.63620543929357
q,63,56.01628058301304,82,57.39011275891386
c,67,88.76827594935807,94,39.963605860451715
y,7,10.56462899488988,23,65.41556590199993
h,90,58.288167268838876,76,26.60676764695663
b,55,46.625103938728884,38,32.246509842820714
g,74,59.39782874403557,38,37.5942659414648
f,62,88.45455021664105,5,29.223590827436297
k,8,50.83474876540276,83,6.187369888324468
g,65,75.23748827085713,96,92.1435042539537
u,60,54.44673492078004,93,95.1293362359089
f,69,92.50477074531406,15,62.32603955129606
u,13,8.848460972608475,49,46.374394792074334
o,75,54.25544356097524,3,82.56877315406653
l,93,54.09573656240724,44,52.256145084260254
m,28,11.294954405470236,13,70.08945171886755
e,20,42.629291016304116,6,35.019044982920086
c,39,74.86251281846685,23,51.78279980074354
y,4,93.12389738315176,61,15.62656645141458
j,88,62.180583600825635,71,69.97709060495451
h,48,18.602192077459534,42,60.79850468700013
g,66,57.50096510633465,5,49.796942450513214
v,30,45.524726931909,71,26.937355627305205
c,65,83.81379328720753,27,43.188904174513496
s,55,95.56124267427334,80,53.614067582904646
e,67,27.53862336917673,1,88.59204251879868
r,19,66.82931071394185,38,97.23711980212103
l,48,52.09681988349379,1,5.515199132733272
t,83,0.5087417420323592,9,18.92218418441144
x,1,58.32960702813329,34,26.190045475014912
q,15,57.98468320523909,81,77.30915460933745
b,0,49.86032792350456,38,14.124202534074481
i,0,77.45143816605017,18,78.6443530269355
f,15,6.412892798497172,75,49.53778762085873
b,28,58.42024859580476,18,37.18714260570021
m,57,83.68213745564739,77,20.0288327732967
h,84,35.620353093495815,29,69.38356044463697
q,67,66.32693431065094,77,50.142578010823904
r,5,76.06404826873792,77,54.113368568743034
n,24,54.06780639275447,52,35.3649613806433
n,82,59.06412930522762,100,31.142293613508954
s,18,94.30051027795085,73,47.51761158936127
p,15,84.22968969297338,47,86.75586889574652
i,93,50.00161477482775,72,50.9981957591608
q,72,42.95170555852768,30,58.25111741922095
k,42,69.74896298791418,92,58.41384801983995
s,28,8.61911164949315,73,86.30709974371247
b,83,24.96130131214639,72,84.38342944219896
a,83,35.86009667687564,27,62.269921435086786
l,35,46.673664680806105,0,0.07179548024663918
b,60,49.77351530367579,73,59.12258347831197
g,80,91.18281087999608,32,33.25003454390458
e,72,91.1363688664079,23,45.03639436336964
b,42,21.874198653729447,41,68.86230897319324
g,52,63.304842216029186,31,16.874716641149202
t,7,54.89575539854151,2,54.9157447067595
p,95,20.58685425804573,19,82.0266770681918
m,14,58.27077089549106,4,84.25713267034078
q,77,38.96182222872554,75,12.65906245589158
i,79,96.46231041242962,20,12.101419204313913
u,0,42.92799559740015,78,86.19113390953683
l,42,80.96150633326806,100,33.45345921279166
r,7,10.095354578996496,91,10.44498108915305
n,47,85.2495284723899,62,39.81295410978828
q,20,80.31701659693941,16,25.967636759432423
p,74,53.22232543341766,100,74.14957108404052
b,8,93.00367232160845,76,4.59021437971443
v,14,8.012733959889228,13,66.67060289896058
z,75,19.39844746656477,83,85.38819181854026
k,74,9.438566665110548,36,83.1547402205901
n,21,89.16838819472076,95,54.195798136830874
a,21,97.42239383103421,44,94.91314658275137
o,42,83.98764852608157,83,94.84482151986329
d,33,91.87821419270492,36,16.209083146908643
i,4,9.255849553230256,69,73.07008381365075
a,40,40.60464415621795,38,0.13052627652472282
m,81,23.158671321597534,67,13.407814716974986
o,69,67.97168787169102,17,18.078214477073416
c,57,25.7084511922845,64,55.083386432763945
g,19,40.7116643301021,31,14.184789188135937
b,17,38.06792297370838,28,47.872802088182276
q,88,83.38809408833015,1,89.10997207340645
n,55,55.79972942149709,74,20.457999341862244
n,69,35.15662791906647,87,10.236830663117924
r,62,54.979162893738,98,11.276460116650188
e,25,56.91349242683062,67,49.177009132236236
p,27,0.05797809074442606,1,12.428218723049056
t,46,96.0495759557252,87,94.10032284250647
m,40,20.35539888357438,73,65.39985222881268
w,81,56.6062621187874,10,80.67365445021464
s,93,60.85089290305851,68,71.56665398397686
r,63,28.385972040899343,37,86.7683023589881
v,2,85.94705427534079,87,9.63606690523534
s,67,70.40236575884417,27,23.181682543453174
c,12,74.71230950941279,81,77.47197582506394
j,68,78.35914472429766,45,64.09608670067544
y,41,69.11002472277032,11,15.80215360816849
r,89,90.43848516003739,44,72.61119201742167
p,3,89.5198434758033,97,3.303125663454476
p,14,75.64050296148525,100,79.32408457811961
n,9,79.04884714543002,15,58.851693557207064
f,51,54.619978351223295,94,32.98040764443859
e,89,28.763538424799005,89,68.67258947251842
q,4,79.14028525634164,30,54.26232412078104
i,14,7.19807728658296,80,3.0066410220186968
x,1,29.535946460572582,7,63.046102355150836
e,91,90.62099815830335,73,9.01834868993613
f,79,31.82648325470995,88,17.66910307493689
j,39,20.4932104399986,89,5.04594364040698
x,35,37.25917773121131,45,72.64889764289238
g,51,40.02601609950052,20,12.117383810042515
y,54,5.295586202154112,77,12.349279861607954
g,49,46.52593111126673,22,45.70761846669189
x,0,81.21108339502709,98,17.435451760841826
e,61,62.62481028474674,32,17.63738448643283
g,61,52.66406176563238,25,30.47203730106558
n,29,29.131288539377152,0,22.46938312466208
z,45,46.89542432675603,79,28.096262630118353
f,26,9.151154180003285,28,75.72559234781751
x,37,47.46836621778231,50,12.599335615265183
q,27,70.33373673896557,88,71.5455923755814
r,56,23.35397323080748,98,30.176825396326556
k,80,37.29368173963488,5,37.13648750903671
a,35,91.65418217392751,21,58.25912070842423
b,73,8.775900990698782,74,11.190189216746372
w,53,24.838678755133202,48,77.98785546844073
e,63,21.522715468896546,46,5.794811106461683
z,68,60.5595118367706,63,27.85010613072264
c,32,91.05101792309709,75,38.55177094761307
m,73,12.589764751944122,72,15.727782757633225
i,41,43.65142740635623,17,5.005408126532151
f,52,52.026645167521046,54,57.347795076757855
y,67,98.0899470998483,89,17.887199178252068
y,54,49.07945955241884,14,98.1382819417031
q,21,77.93650962643092,72,6.404860950515134
g,26,42.629300741739385,0,56.58390102959018
t,93,67.43390717198504,48,80.74506341370065
m,10,16.566096110624763,30,5.014324665399439
y,97,43.57244133778697,1,38.136705735218214
d,8,11.845837217700794,83,86.19948465318056
f,67,60.1441713015608,7,31.442471695864903
x,95,6.822921760393386,32,61.980386125599274
k,22,89.58345115905293,27,98.90613077052228
f,35,11.012830575827138,50,37.15414043741817
n,98,0.8476935922190565,9,16.878152897955612
t,81,60.53317444389029,92,20.131530303759394
c,24,58.61049232600776,88,13.650055588437004
y,22,7.017721862108717,84,25.512530107094356
y,42,18.053217520452602,97,67.34729064296113
s,49,89.53082398363024,93,24.003292175257663
a,39,14.581016093829213,77,92.49425999088002
i,52,31.2926277038314,26,52.060387690426836
d,98,89.04748548213892,27,17.554722002984636
f,65,7.395451146162824,22,36.77301542898841
h,59,41.20907275709036,90,80.39661051355431
k,10,69.0779536984997,70,39.79765736360149
o,29,5.891332379341785,38,38.533124768650694
s,48,32.10265335084921,37,91.719738243983
m,32,41.739462837044094,34,44.61951430815402
o,84,48.4728598279774,64,65.41028982830728
w,4,88.93760222382896,43,65.59905121694098
v,38,40.65134732619076,60,95.239752074322
f,69,46.53014539202112,40,17.884802584249073
l,53,60.223422178705135,57,96.025475586427
y,70,18.182563902729733,26,58.141494898759596
w,19,96.37911502163712,3,90.51684521162521
g,42,7.552082427210549,94,31.29734312214232
t,86,92.6509149924825,19,0.7316122497997068
c,37,36.241062926020795,90,44.37890519293206
w,38,19.689638509847953,46,84.46064645231708
p,32,73.70419974504804,39,58.51651972196955
r,100,76.19112825015404,48,93.31964333354874
i,61,94.18930078549967,7,33.88916208237131
c,31,8.703516714158265,89,57.545587871752424
j,61,36.84217511881764,15,61.09661338566838
t,48,36.76038344897306,10,45.0256457030363
y,50,19.292800411646972,95,75.97975576321917
p,41,96.98032132312737,65,0.8342852683304036
j,69,5.235296787878396,6,88.55453099529703
k,10,97.0025439868488,95,90.56684316516485
r,12,2.255981816223096,73,73.38903083226441
z,13,40.14672408702471,50,64.51697554544764
y,60,4.125012428180963,23,51.87949067508429
u,68,93.19836226105825,40,80.32609348474983
d,39,28.5544312577263,19,88.54012431913829
q,18,72.54457063134994,66,65.79056423906944
a,95,73.12198630822617,85,57.91390460635587
f,56,36.079648166191234,52,54.156164244233864
e,92,39.41477146999869,48,6.876472398980715
f,21,30.334636202124322,18,13.761514856733658
j,16,96.463028060132,6,65.68823410976002
i,92,22.614028790762053,41,35.19754088042457
k,87,98.49826097629794,22,10.274347736608336
s,54,72.4708536774942,22,50.3791522362515
r,54,7.730177327278243,19,86.02589241345201
x,8,51.659199785896924,93,32.08258819900688
i,75,25.738208189002087,43,1.9952311090913555
g,56,14.607044321900153,47,37.49510065975108
h,82,9.878369393460474,25,0.8458146735128347
v,48,34.407226025926185,33,11.998111714470216
l,45,26.099506674497132,38,72.34485151924686
n,11,39.31295647518225,98,35.54881349727632
d,47,49.81762154292687,19,49.962913663781016
q,67,47.22316611417946,89,53.81334414069674
a,88,0.4453767598129543,5,94.78722781880529
i,100,21.140731672752022,43,87.81296922554014
d,62,25.619024927800726,6,27.735979603888993
s,41,45.12855854998817,4,37.22579740843731
t,1,18.64335181630964,49,66.06227300822496
s,4,42.001658643679164,12,69.4439200866532
w,80,25.312393287740587,17,90.88629918954607
w,50,40.36014027987913,8,49.71391844197321
b,63,37.562981836952034,58,56.391081110806375
w,45,34.667269393248525,9,94.28854773756326
j,100,49.79117265052063,94,71.9982858370554
p,80,30.09436515970332,20,90.40341073227673
q,75,74.38541092238015,40,27.64932709043615
p,49,63.8408053493375,58,24.972206038562415
p,29,82.1217075079686,51,64.19341002014076
h,100,48.84302167672684,11,81.98336900672714
i,40,91.19199870844642,40,86.12771241907583
w,93,94.13881647824492,31,86.64341099952595
j,58,74.94431137463862,99,16.41430509881463
j,5,40.44064778188079,51,68.59138430524901
d,12,75.84529175014106,42,76.96903854860105
t,74,69.57459172553118,88,59.16923784933446
l,2,89.31588624668385,62,95.8520805297702
t,40,82.09996503214829,67,90.30536865836525
v,5,44.88631754295868,29,21.16206947776703
d,89,63.78664032773358,65,4.951080489648508
m,58,36.51965445090203,48,93.5888452201274
s,60,15.441529099741535,17,10.194126389770597
m,6,74.15357953009863,22,66.26329906616814
r,6,67.1240140474023,37,1.9724131076259588
q,76,95.82469101257391,4,98.67036054205059
p,46,47.79860942039805,24,67.16171865289535
i,22,52.150665009596274,75,26.83945068641609
v,90,9.561405763129915,6,57.41764338657973
g,98,31.598387552397188,17,98.89161715823597
u,71,73.56367899151749,80,89.2210960659193
w,18,56.122041622089014,22,73.45771302256253
p,57,30.92923464550279,90,77.38801134787732
e,24,47.670596655500056,61,16.27406488116425
f,28,82.23421718326692,27,15.843447293071932
x,23,53.46935770965583,4,30.980341352365514
n,0,21.077752104661553,20,23.64428940752621
x,91,12.765373264931446,39,22.32259011227343
k,82,0.33855505340730785,51,23.450358939595638
u,92,5.994666722131847,96,96.1142560075954
b,25,69.82107661274304,88,76.06020673416228
s,78,57.45255573950372,77,66.73557975336061
t,60,73.27603050373284,16,32.943941407433584
c,94,82.7485795373463,50,20.089859004706767
q,47,61.43333309808418,91,70.02180890205139
p,1,62.97468498705662,3,81.53352003997595
p,95,30.644890676522117,74,9.750725616781953
f,56,95.16534939779987,97,35.097022598571634
e,36,29.733178438410203,20,33.16180921497139
n,61,5.382520369241606,85,82.2197113218184
e,36,43.85264525335678,84,55.34245349975667
e,21,94.44033735529038,99,57.76468663808665
o,85,1.612592859998263,69,7.293820853734678
u,35,82.62126454882787,40,82.3647019792726
q,35,39.072124136944616,68,24.69790342969197
g,28,76.13503103950029,70,82.01818209444764
p,18,72.29857599867282,12,8.074444074848941
k,82,84.33071584718155,28,57.07482668004218
i,5,27.549763770907376,76,51.743463752811735
y,79,1.8466852108951826,30,88.24684599192663
e,96,94.85122049995655,84,90.33071227830143
p,18,76.90401389339331,2,27.89477427632281
z,61,88.37467101214096,49,35.836678900029604
m,40,85.8422980890669,81,99.76492862993534
b,62,58.840012737432076,69,79.36424356177301
a,59,30.51802451175114,69,80.82697320334297
p,55,8.515574411635896,50,20.139582882349817
n,4,2.9547376840991846,56,18.907738199770552
j,23,20.75319508690223,64,9.93072279978431
j,42,62.481485834531256,56,95.92618374796503
d,27,19.94631363961954,8,77.92328207517428
x,8,66.70842731573306,85,16.19794989314537
s,63,88.39102173944907,59,52.85109671245878
m,41,68.7844976947811,7,49.540133141366624
p,26,62.70441810525702,34,55.61376074081458
p,41,0.5002730194009097,83,35.457238030796425
j,36,77.7645974446615,24,76.60074620258673
