J,Z,H,W,X
m,61,98.32988819399375,30,23.758471376086952
z,33,1.9590798874453696,45,61.72546488295229
b,27,1.2461322294588628,96,10.28532445237732
e,14,68.42399064711444,14,69.63688543168267
e,35,66.46826471483816,75,3.8146856683944574
p,85,54.94922157312588,58,62.179981723283085
l,53,57.81233638222281,62,79.01573376865161
o,82,51.24704351661498,80,1.9135755853605163
v,46,49.86715716577367,35,19.65285090092105
t,1,6.01292696121245,62,33.482759052574174
p,4,67.79056676094706,77,56.388792340493765
g,44,69.72413573567738,15,2.470973003362986
k,1,55.69803372737824,94,15.993501718224445
a,13,4.168874241775522,32,20.141509634112776
k,1,67.33785050825183,1,4.348491239346119
j,76,43.85640433524757,17,44.71180172235015
y,46,60.69823692760313,85,83.71270557879232
o,50,87.54664974039808,11,36.07585925985835
d,92,86.59571896884218,45,69.73057687559069
i,82,5.67467956365798,76,23.531664902145945
v,46,3.6063278498942863,51,62.76976441856311
y,79,28.724069259514785,61,37.4493065754143
v,19,92.35484879643357,46,39.26744913428063
m,85,79.42913069090376,61,60.29861125044735
g,47,91.9143569909996,50,95.200255261568
m,2,3.0467389770875486,23,43.94015769282005
k,21,99.76298104881963,89,7.30626069162631
x,83,92.99866532891978,92,42.379107926972296
q,11,41.25058604748221,41,98.99287624082218
z,65,91.69621961106408,55,88.32888341549764
t,34,69.77859511558157,4,37.440704409875856
f,28,36.869271747327595,7,44.539924428695954
v,33,62.14673445126229,4,88.90486063944431
f,5,96.46236405042019,5,71.20243829833827
k,13,74.55984546480806,12,69.3796459778017
x,56,31.397189738032093,2,84.56709266527585
l,73,39.37306726992168,21,24.71544305248591
m,25,37.962089702935785,76,32.66889187166259
y,93,67.03902398694085,11,21.991753601945984
v,70,41.923018564144854,51,8.083618948605153
m,84,75.61860967650489,97,96.77020625702443
p,47,98.31029586059101,9,87.38807571185609
q,41,80.9210711610731,65,52.607199177491495
f,13,70.34291333809202,89,1.391292288847057
h,42,43.92882021150671,60,3.446618031578319
r,57,13.934895459027052,8,57.87334145731437
f,33,35.245985139066114,39,72.49602705395563
m,65,96.33588065689781,41,66.63076360422036
p,74,63.85268588067371,43,53.62373819821582
c,83,41.2226431288924,84,12.376967190164168
e,4,41.69565511249866,88,88.14760631502367
m,89,56.552479335516345,88,50.92321630511515
c,81,99.67818409164448,91,80.53765079196914
c,91,37.845674789298386,76,85.94851541521774
o,65,51.09203332893011,64,76.0029668566403
o,21,72.60524379668253,46,68.5661335135658
v,24,45.95113339918474,10,46.0734628136293
j,41,26.991648191123385,24,93.50071282194587
y,14,59.43467172685223,28,75.51472014435655
f,51,70.69197047869822,17,61.542773383224144
z,83,99.452101021533,62,49.808171117854215
h,39,65.74739806865983,11,42.778781994322934
i,96,96.69302404593523,14,5.381169361176019
h,0,14.617495402027847,69,61.66123290468484
n,98,26.347418728244186,86,76.98912338379465
j,51,37.671926093379035,100,74.24962894560136
h,32,11.11731589091196,27,61.86166849204042
g,82,94.64149610363135,40,35.9444707806422
w,10,24.835268788348984,83,19.358663674016398
b,21,30.97551803983358,33,80.35285236758763
e,35,7.563036667917178,89,99.07641212332493
v,72,93.82863245959734,89,81.4436818462173
f,88,68.0408556545977,61,60.528472863106295
a,58,28.716924773278084,86,45.22049219574836
w,2,27.085971649778074,13,95.25521992271055
f,4,85.87774256583049,80,68.72067896727701
a,92,65.9137456736655,78,33.1745752659386
j,93,39.36499786080005,90,9.560353327745407
z,41,90.89941951695721,51,18.899479331368074
s,19,63.72390284297037,28,62.069162676454184
z,63,66.22337583989538,11,42.17375401914764
y,85,33.64804194073856,2,40.154454449479715
k,59,48.48187502602107,33,52.52278946384551
g,47,38.451042169775164,79,90.18607027053018
k,74,22.314684875018198,29,42.47789108948097
e,60,51.76528634249632,90,78.71821829711477
l,70,55.95500171008467,64,34.53558011897061
q,81,98.75273146701538,73,99.07539552728916
m,22,25.266316970010692,98,44.021870320159515
x,1,80.03993869819642,77,31.078063350485362
q,96,67.25491823728767,27,80.6025821959512
f,79,29.642549464302846,90,65.11635413792601
w,28,16.97732429728125,29,87.66267771316659
l,98,98.05143734832336,53,73.69573837868562
r,15,17.436539409510498,89,11.964843501476807
g,94,19.577169708456832,34,55.08799898984883
r,87,77.72320860992289,64,35.630223336256314
a,16,95.94736407347985,93,16.17394385213977
p,72,6.489707706432402,85,31.269547052445212
w,88,98.0877514654948,12,89.20519708318096
g,83,34.394049199002794,92,32.85035138208151
y,7,38.505429096347385,91,30.4883310682192
g,83,86.49793713508613,43,57.23389008801133
r,92,11.541754905115765,82,83.19520073553555
g,29,54.314539800568554,84,14.477311948135341
a,22,51.356672085439236,54,30.919342929276272
m,68,17.156667919958757,96,67.6368550008681
c,41,14.258743872138036,89,31.638624739360587
u,58,87.08774615151181,21,89.79278722961665
c,22,94.17750150362465,98,17.975550977443213
p,24,3.983723561295116,29,17.903501900891726
u,97,58.21414223239621,2,36.03483884565767
m,93,79.82256200349693,89,35.0200302532335
p,74,1.3987562926817465,60,80.34617213437112
z,24,60.48279851556657,83,91.66196707283196
m,39,11.737887281270343,76,2.77161484614028
f,61,70.82164953356455,39,99.72448285681685
x,32,55.53270498552417,64,91.56773524403829
u,83,77.68094356243802,13,42.05637621669561
r,65,44.90283715902973,3,29.754034155730192
k,73,39.96681032528713,14,97.73500570913562
p,14,18.989576257818307,65,31.403198903704578
u,34,56.99068474634262,12,37.265300476691486
m,21,49.59260310619595,24,74.69838484523105
p,80,12.239188305892068,31,92.88731596108741
l,4,83.33794427916067,41,61.1511947657314
h,3,60.17600574773078,23,42.572746246035834
n,82,74.89344035578897,70,73.76053253041826
c,17,93.84909483929479,47,71.20430024431334
s,92,75.52807293270031,11,25.839699455514996
t,46,63.480710306638635,5,65.55107697684747
a,33,7.0149905654177775,24,90.40382374933942
b,14,33.23785900917522,56,9.902532247739082
x,12,68.82983097818503,56,65.15439465191784
x,75,23.682064722605844,72,47.136912786440966
e,90,82.2321018728938,33,4.0548941696816225
i,25,99.56777643405148,27,99.23676264750914
n,69,14.341481106005038,85,25.48587021294696
t,20,86.35426638447457,20,27.70959599686238
t,16,10.988074601688979,91,99.24459908073288
p,15,64.14895779067261,87,85.74392476734904
x,63,70.55366596874116,56,71.89795009436615
x,93,10.002468912091533,81,61.89426378514925
t,4,78.14865759422904,39,72.35369954136218
u,95,50.741984185487446,65,95.62236604856523
k,24,82.83590923978045,7,78.46038776008703
o,1,7.934891857728498,11,31.72569062207735
l,77,27.542261572721284,95,27.994881285397387
g,4,44.403682377568096,44,72.66418230429153
l,76,74.98950896690958,89,18.546524394915174
s,29,54.21044062433005,11,36.13098787816343
v,63,80.58500973710497,81,70.0113471615271
w,58,96.33158241989523,90,93.91746412198574
i,27,41.834845946353205,7,99.30501258781027
h,7,55.43754023234864,63,48.89385374757459
s,28,59.32613420560844,17,67.959786203022
q,42,98.13793945923769,21,44.339430789150626
k,20,76.27731774853042,18,15.585142858272238
r,81,77.65511505202218,9,59.975434387723546
g,58,99.8374432197692,9,90.20595453473939
l,68,42.66335623701137,20,96.99851526723258
i,73,15.392100736608594,0,70.82645556743556
w,83,51.598307208408166,21,56.37079024078353
i,60,97.49764527942548,84,50.59092694991371
i,34,11.319345122701263,63,12.196602097266352
l,49,43.31261356251943,55,63.2175517987573
u,24,99.34586122298987,6,15.57981362410137
b,50,41.053546582479825,82,84.01524213575762
w,83,18.540559567388804,34,56.04617530517273
q,66,63.71038541476415,64,37.084170110372206
s,85,18.887820247976606,79,48.225614847731265
o,44,95.537229074863,81,43.98782603829068
c,30,79.68130801411631,35,57.08535717132174
j,73,6.343529165171457,7,70.34258627921751
x,70,67.10070886298107,4,86.37531038258068
j,83,62.16938789906287,29,55.73448178579251
i,53,94.34914723542583,86,66.20818104524933
i,36,30.96558153383159,76,14.090317333010294
q,9,0.22055034185787248,80,12.440307569692399
o,97,88.14289917171672,99,66.9281332277912
l,13,65.84827377289007,73,42.432738306512384
e,69,38.37410179730387,56,56.74604317455201
q,84,48.232548966907906,92,21.914161585157434
d,47,25.6007296589961,70,81.15534253873336
l,61,18.03120204585983,63,67.33931028490585
u,0,22.008510868256593,9,38.075006641233365
o,64,26.366771855193306,92,31.471719678770725
k,96,1.4617075943913704,80,14.57215646380645
o,43,85.11222128648936,89,27.52812478348664
f,2,39.86436736310909,98,53.96032723500589
b,48,56.4700307600967,20,70.80086114341167
p,52,74.32177295331232,89,66.11201788391885
x,51,79.85555586392339,58,98.73325625885883
w,68,80.56150325220432,38,20.800420683595178
z,68,51.318231317229014,46,19.482154497240046
f,88,15.360113258529061,80,39.48284222786316
a,51,37.47273646957166,91,54.192221190346324
f,21,97.64714222176104,19,67.01876018072431
w,20,9.102158059047138,83,84.68482044934612
m,65,53.69685511605802,19,68.63600042122839
s,91,89.20943025971226,14,64.16600616439914
f,77,10.375496496174463,38,65.26981488412761
r,99,41.21613564041742,5,42.421486586987825
i,8,90.45890379944812,85,39.56332057940003
b,71,13.657417206929424,91,60.139720319900405
n,22,69.43756733801607,69,92.01529267681806
f,72,17.995280624814892,35,71.50643460070253
q,93,74.31781883707188,64,68.666601155871
c,66,3.8256238542645593,39,70.85840961411687
o,78,13.414621332437338,36,79.22705254461742
h,16,18.644972885428224,65,82.05264919689026
n,32,60.90996399493477,19,32.808269517839214
x,90,63.05222937518986,84,72.96819421650464
d,84,83.2618594491228,96,41.64902433842147
b,99,65.79117392446912,67,55.10308604711971
l,67,70.01459774490361,27,84.41418025981258
c,76,90.89004103752616,44,45.95177089318825
h,28,16.570331793298354,6,32.60738818901693
y,25,52.51074416945279,50,52.27720180675688
f,53,17.686060773740643,29,39.74681844034901
u,87,17.362251476358825,22,3.894229314611386
i,33,44.848311012863604,44,84.78582168533133
e,50,96.76355226210403,86,11.623686105949439
f,21,33.466072020681956,8,8.814409520068223
g,33,43.42150966482421,59,77.95152640219229
x,40,24.876678663938744,74,13.533279364754346
q,5,39.92665708280461,79,38.48770452806889
y,12,88.5336906523145,64,23.56743596680948
f,16,70.83080276210761,52,5.698514606984906
l,83,65.54071483892547,20,26.500437077969153
u,89,40.98057992433057,60,59.49051685182363
t,3,61.97048753557197,89,95.0769942812304
t,55,77.42255588318231,30,35.119086875396356
r,71,96.03192858065218,44,92.38856765424741
l,67,51.30825030435437,4,36.863474519638515
y,30,1.3240760331863721,28,66.05810470880844
k,22,72.37116884627206,35,69.16433243575571
g,76,55.7835033325479,80,52.3605025711793
t,58,87.19727830467909,17,74.94363070975841
c,95,11.4693638339865,71,18.325805942730177
u,37,94.66796585312943,77,47.913664572321444
m,86,97.63026962786539,39,16.464938273705208
u,7,86.36482709679866,61,53.76971082924709
e,73,98.62045887045359,49,17.544050896598872
m,52,37.406609376327005,27,91.57371781001493
b,90,90.56665864936409,59,26.50346309353484
y,58,72.87421885302689,93,41.996559093721984
g,59,25.148973820150665,86,19.82752619957787
r,18,63.98759817233795,23,3.092976796042446
i,48,58.579447814776366,63,84.12117994967785
q,80,20.225314283686668,30,48.715576925463324
q,92,94.46720117794058,72,55.34753191290185
v,64,0.6976155371915649,96,0.6259750055357616
x,23,9.99945929561189,100,27.602740830626537
d,59,63.46957085556908,16,93.19336292004408
b,100,61.603416239885625,91,35.17958327229606
n,52,34.78611882696511,46,98.20087784166677
i,20,39.12630851536972,100,7.684138896756442
l,68,50.01278938920779,99,51.49698085860884
d,52,71.98681498122038,97,95.52208593602161
c,17,90.34401996085319,39,29.032750484590043
o,82,75.32121492370611,23,49.26840777280215
r,62,86.8683082605773,31,6.3964714900617174
h,14,52.55534978794834,1,35.666180276939926
f,54,46.871182003178035,88,55.58021225477994
b,82,30.869597890867706,66,47.53713837509031
f,83,17.60136256418855,25,18.84136744134537
n,74,44.10869327879382,18,28.335873543969846
q,19,20.8357974338099,40,60.465321046193395
o,61,1.6173842249423975,63,39.366979792696554
a,100,96.39818456011949,52,24.33786729314682
o,69,63.25164793075639,83,28.16157275169944
s,100,52.13405410933856,21,92.49728479050302
k,93,20.380105865598296,5,23.438557287403217
c,39,13.343200079117812,32,14.23601811897164
e,30,87.18503634797959,74,9.522634655919616
f,32,81.07482446795248,62,42.782814498518476
k,53,15.072226741796024,72,27.852703406533287
b,26,98.18221821557582,71,26.45188109346732
r,66,14.953595495786743,76,75.97888205902255
r,40,19.031802344201722,41,94.35777092364361
m,69,72.06129209113156,47,80.22597877206861
x,67,71.9238885694787,16,58.56117360301971
r,64,76.6196990244198,87,9.794082424097116
s,39,54.332167521032325,87,69.94087392571502
r,74,77.5064921907722,68,86.92882301245629
m,79,33.65256380186187,22,62.207804885327334
m,68,38.07617444773235,63,8.670231485247559
f,65,82.34825596966444,63,95.56942892687992
q,45,82.27029317597783,50,49.38749013906857
v,15,34.40188695071671,19,7.5621134675352035
o,73,72.1145945261815,87,66.52777913006933
s,58,23.70236096587457,88,77.47654592221062
b,32,52.099069978513256,44,86.7504639900701
y,86,86.74313845143892,76,70.22247126746633
l,69,13.23601407492806,62,3.862637527539714
c,46,25.022478216337106,92,62.79588411678064
i,45,55.39266040423294,43,10.095030864420284
b,42,98.94191787871766,59,54.349878209243506
p,33,59.62313015195162,65,5.998431686895156
h,54,33.377480369563294,5,6.304078907460409
r,61,27.32473119881743,76,73.31928114437493
f,34,34.61226368942546,14,70.25743522241936
f,26,7.864211037840407,99,61.39220167841465
y,46,82.66684058794829,77,42.143912901967504
u,47,69.98049679732571,18,11.803989432872342
m,61,75.61669236974198,85,46.436261683965405
p,18,89.22329771938077,79,73.74567215455403
e,55,73.22748663872603,86,63.24886059877086
x,26,81.80344638797429,96,52.49652540725697
h,23,96.80033155249014,45,13.560816384088703
p,7,57.46801676910469,18,75.66251566639029
u,6,73.10235882410258,64,93.8455586102911
a,17,89.98809991825952,97,80.07396341373415
r,65,79.59076048661954,6,16.247842260932178
n,35,70.16323576897292,85,99.38907689327425
s,99,46.36630869461633,76,45.90745203364512
v,68,55.67565250616694,19,56.19904194463265
g,90,28.81475378021181,10,9.293405014811606
e,20,28.923737895134373,84,73.32303207577488
i,54,16.929720863747345,7,54.1930880401749
q,95,33.963945272727194,37,50.93303421802617
t,77,52.782916659531566,5,62.893666144170744
m,42,63.2159872791501,9,92.95730826350608
p,68,73.56872280825138,87,12.105939527572819
x,51,8.353942524055425,11,86.65281029054172
o,78,23.854761186626938,23,73.72830841021967
c,9,87.2718193617893,12,75.70728449977724
s,11,69.92501341631755,83,36.644967479670086
n,1,67.74599256871498,90,93.59228082255936
r,86,60.51220877089661,79,22.602432826266984
r,95,62.08578392017128,46,32.13543153150821
o,100,8.09542652769708,94,36.942196170189824
q,40,46.703634454151896,83,10.629131316728513
q,61,53.55316999213814,66,95.10378486674242
c,83,88.77172892326975,1,37.49321812436938
x,86,67.00199403206507,83,81.41986399305911
e,28,50.51965477858692,39,19.077226467583497
o,4,33.55776435108048,5,66.45771021693574
h,73,70.2998693710959,92,49.83289419582911
f,46,34.51402306503765,10,55.31419653786222
m,56,50.67831385273972,41,42.200989464797644
u,31,95.72532452746339,83,30.77263565137718
g,21,24.769846214540504,17,56.01540794786395
m,30,6.483139730037324,28,18.78069818613658
e,19,78.78574793475805,99,53.739475995499575
o,49,19.15730123420105,87,31.498684789855325
k,46,76.20202573604031,8,77.12989250501303
d,87,30.902762136071416,59,14.807617512139403
k,79,49.9080797401394,73,2.4407399858051737
l,85,29.807382307281415,3,4.767389018216461
v,39,93.03971093513321,69,91.10838372855562
y,69,73.09653217681978,80,90.67720035128438
a,60,72.8430211806445,26,48.95954064775713
x,31,50.07780822986039,82,29.718084688509506
w,6,22.412329915338947,100,43.469089137623676
g,92,16.0983497076276,37,21.839364746569466
o,21,20.014194190377154,81,40.6329702791376
w,38,14.326774673012732,31,44.04086842939241
k,61,86.46608881012973,62,62.85257341461406
e,31,7.046994247760685,72,67.67449366137713
v,29,54.21978959377153,39,43.13636071249085
w,89,16.65783709450149,71,24.84235617271844
k,57,75.91119141386291,70,7.26739086339826
t,14,61.02392795574597,3,31.306400620434616
y,41,28.139127979368727,95,89.5947628836696
r,60,57.1457707564304,66,38.676207929626536
i,7,60.95556884383571,24,30.881566021855832
q,33,15.883518863793222,49,46.10251158245913
u,4,72.08869016789491,72,30.915754008403763
a,6,56.79314955546497,19,91.56838659102837
x,69,85.1710431732205,59,8.762883879261619
p,15,62.309838186870735,9,37.054026182490475
m,33,31.48928891118665,41,9.068362284212217
q,96,94.1716113473597,17,13.458487383690777
z,55,52.15586169386647,81,34.44151076661483
l,34,88.13896037448679,40,12.83858147159057
l,70,43.80270446515455,50,59.18236977300163
v,4,65.45176772867188,34,32.30330423842952
m,55,54.69266940901891,25,61.51562401583842
j,78,50.18487039288261,85,10.550317513979701
k,8,42.9933352319601,63,37.62939981823246
y,6,22.30049253471834,50,78.49915614062519
e,64,59.8372423563228,17,58.562591094963004
o,14,45.85944713434672,13,17.370619287015256
u,79,15.379569742789034,63,32.24590572542792
t,84,90.43035563972825,1,83.9535677036538
z,93,32.101554421295106,91,25.875553683119424
m,37,98.08620121313838,72,78.50812288985483
b,35,53.802186430168256,62,76.43226424211662
d,99,36.685290577580076,62,16.371844127169567
j,35,23.42024247662885,42,42.42681862636323
s,96,4.136771747863954,79,32.80029142523663
e,76,68.86693755619534,95,47.16591027044961
d,60,69.80392426026758,0,51.074097539262134
q,86,20.099040652708823,30,25.709147512387787
t,98,64.95469274253071,98,88.89287662467235
q,44,86.06782649715873,32,27.897129037518575
m,81,14.635987822444395,78,54.511534561610944
e,95,14.742208835546379,34,47.65693580897435
n,17,25.765792107317075,61,6.098075156832728
p,41,61.659366382264636,13,5.820666606319225
e,73,75.4966196789767,88,48.85133125105688
z,77,87.77136097049456,26,0.4394127753859389
k,22,19.343652638490994,25,69.58428460438498
y,95,96.88206286315048,85,86.04681292814578
t,37,69.59168769045235,54,37.789623383236645
y,39,95.19025893810435,49,62.6063068653282
q,65,63.95139328825071,54,67.37747281640037
l,96,16.740832776519987,28,69.82203467671589
o,49,34.57818979063456,27,23.413733294135586
n,87,67.58446312933411,11,45.83983635884567
m,99,75.46873747772747,21,62.74132549288844
h,24,52.72218280460276,3,45.704331946107416
r,87,38.239803174888735,29,9.579685104578706
g,82,45.62921116094408,31,62.34219369523546
h,8,91.66441593725132,75,11.45514546013735
t,5,53.69131801815246,85,90.31461246424091
p,5,1.019694771680435,39,91.27013785718195
i,50,28.943581174979748,77,65.6254716933923
y,36,20.88996758317534,15,58.56642954244615
n,17,85.57352195883094,8,33.31672911197144
f,91,65.23299465408066,48,49.59362272032559
q,65,30.05993308462638,50,54.46559719219214
r,18,64.60603661665284,51,64.59298124636962
m,86,53.392821118896485,5,60.5248028542593
z,68,61.401433185729715,84,40.93788874878738
k,81,18.820994604091666,22,31.91553401844921
d,78,45.15180941177687,40,63.62933637911959
z,35,55.411162674933344,32,2.447257092019506
j,47,31.175959826738985,72,11.006300979461002
g,92,74.64861506057258,49,32.982544934088764
b,25,26.36186934567387,64,90.66477570977436
q,90,75.07433630493821,81,82.22389484852405
n,56,39.78257968962986,77,24.414947454680323
t,9,31.45587019314067,0,41.56398733983192
t,24,44.51602500649191,72,27.210653553347463
r,88,96.95873696791696,36,53.779525660920804
h,40,75.15874238880441,39,79.4897528714719
t,73,31.161019649758114,34,2.2776836201720885
p,74,20.878393367966876,38,22.2944410878946
r,67,98.83557683335353,79,69.9021106798645
w,25,31.525475378177205,45,90.40371048499426
m,22,33.086721750456235,34,47.77499010351889
u,53,8.591914769321319,52,92.93219801484437
y,31,51.01275293886809,81,5.604749821797162
q,95,38.957113307024436,77,8.333389832068717
p,91,97.66534365230544,65,29.97018118953214
j,6,84.9575833896878,94,0.5262505201831469
j,0,46.10748511594388,21,77.21916203906632
o,12,70.45974815041302,34,7.908871985491506
q,8,2.340297063022334,87,72.63228596835621
j,93,62.599101232241,98,6.355988377399823
i,58,85.59751070231837,39,82.64673248341225
s,66,53.27506278526285,4,43.03695853911045
w,65,94.98776109034539,80,89.18812656514311
c,21,73.36922698611711,59,62.975482325769235
f,95,13.159494065492094,60,88.20944906866347
i,85,50.36305213582713,84,18.691431705361538
a,39,69.86868674293319,33,62.71337596145714
d,93,14.83171748103973,86,98.27759941339306
c,90,7.648381508767943,11,94.5721255699135
n,49,78.19799385170221,79,30.353189016237113
c,45,50.32028930229874,82,51.374118902023135
z,31,8.564450450152982,61,76.6631999726928
w,6,50.19856911970434,8,16.81597615511884
y,23,91.55171846095655,30,75.74491019853518
d,65,81.38910010900833,47,5.3895860117374355
s,54,68.45724323575966,86,2.718228750113061
o,45,38.18651748574459,77,88.35561879863796
j,37,42.66680769507282,0,47.614632912194125
x,68,43.55580494142011,38,4.767472061720534
r,51,92.62390103089825,12,27.112540052394817
r,67,97.45427765577985,48,59.905634786432785
f,90,17.149567906513997,38,67.66561856972983
t,1,12.376547004753968,45,65.53611357435216
h,88,90.06670792787352,79,94.5535719002771
v,6,59.56056325916135,0,98.48837417779596
i,76,34.04107413171881,36,79.1406646822494
z,32,90.59214991392449,2,37.94621468258072
n,41,11.111210621247736,75,86.20161710137339
s,30,23.777335157816804,75,63.20860656402245
l,73,20.082632180092475,48,17.20723596293855
k,53,65.77634506163999,73,72.90311742568318
v,39,71.1495179838064,70,7.24155917506285
n,7,91.99979615646333,99,63.29697777962592
n,93,77.00823056460521,68,36.09514847691058
p,6,18.930317015221277,48,83.26317466653506
k,16,45.959575101514304,84,24.89171584631493
h,96,41.222084909273306,13,93.02186825352311
r,43,24.124910105714658,51,66.10667791528367
c,53,85.28571812812635,83,22.78018099600353
g,10,0.8391389276796835,25,7.265227144002084
r,67,40.41262290750286,41,11.094640309280202
m,38,33.356622520114755,98,16.5483296336673
e,99,87.40038826747104,77,58.26204418828698
v,47,60.48329873601439,32,95.96265987959225
d,21,91.3801597791739,62,94.8845904446066
k,82,9.744754352362605,47,46.838277092472815
y,91,46.51847770554514,32,63.007257124049765
g,90,67.72803328361402,70,38.011111133493195
t,24,89.4213547452128,49,23.817745058369923
y,42,3.7108876021377357,26,14.559926234092014
g,54,28.91025299569312,42,79.35730173824172
u,100,29.994402034702183,21,56.97888824105621
m,59,92.78523940062094,48,54.646671878213546
s,62,80.5306477363549,11,64.35667458058235
y,68,98.60507209123261,63,9.41229123682934
d,39,59.688946244240725,47,78.49336382253811
i,21,67.55519748271719,49,25.53580314925037
q,44,49.308632563708386,33,21.6943848109165
w,2,10.191772899644413,48,53.99323881741481
q,30,40.9760512395859,19,70.86685661633597
s,44,83.76980152713868,38,22.393436788608955
t,55,87.47787308240038,26,93.41014038329291
o,51,48.2533100674981,2,33.726454985408694
f,10,9.930373208281583,9,87.8451240276551
b,70,10.201098842510959,52,77.25364326038886
b,62,25.84508119572121,59,61.58765266429519
v,0,52.37855361419478,40,23.344940156966622
g,4,25.57793321082319,62,73.498395880807
r,76,95.6102331448832,67,53.1200755132614
h,90,10.104207511879082,46,73.01923952810418
q,78,93.28448577254763,36,29.790700043824803
d,23,19.044840348004133,43,34.00032843751979
n,17,51.6201394342377,99,7.145344678099974
k,14,40.69734250854338,68,9.231248852703288
r,41,92.39973644676591,14,87.42205295256491
z,73,24.13324915887508,61,81.32182299661949
t,20,23.223537085304045,0,68.86286430182795
k,60,58.190052002509915,4,60.94160529033007
h,55,19.817333611876897,87,48.48574236862338
i,43,83.09083734096923,93,14.49310046696377
b,100,83.66264815021583,42,95.23967984936054
n,45,27.190016530489647,22,42.07638763477911
t,67,80.32803445949946,78,94.27790606689771
q,0,35.66874001356707,98,13.238838529058473
m,77,86.14437753165274,53,95.79844632705081
w,86,30.170157041370317,47,56.285862465721024
m,68,51.42115692770274,95,73.2171209635143
f,49,88.93660229755253,29,29.802951872154225
e,32,5.7868384681183604,40,20.820981582941954
a,54,10.752845940391897,56,17.21829416653806
d,35,29.168025540218036,81,17.225552879041672
h,31,98.81806331556606,9,46.496841104574216
v,25,66.62071017264984,85,11.790534864483138
k,19,24.47419792661559,90,46.33566552722621
i,34,80.97732515317306,34,96.21700578866503
y,80,88.73414443673724,14,18.5370610860618
h,27,85.98381514104774,18,34.897628825029
x,96,44.09694768661645,40,28.801337904172886
x,84,30.534241974754885,36,60.40548415253368
p,79,30.84299615179331,84,63.22757860899596
n,41,24.092557337876585,83,18.402473845642387
l,6,48.958276175121625,23,50.02754734151155
y,97,38.760350123907685,96,70.74002931774422
x,7,50.56081795790755,83,95.02452721478025
q,28,44.04181528238236,3,30.977017365138636
f,100,45.425366941650246,91,45.60657383452068
d,0,89.3655104856623,9,52.18647188998813
s,86,81.86633147643816,41,92.87038449015124
h,46,13.109700788557088,83,60.033094919735944
f,86,6.2774281420593265,26,26.98286069973619
j,96,54.02149128346895,38,89.38830544930514
u,32,29.232438707629193,91,29.535729439215586
h,4,70.37570350896524,49,79.98857325603412
g,20,52.983141537802716,33,33.980147798516654
r,76,37.469861217361,48,75.26654949426859
l,83,14.402575173886866,82,99.47536707780931
m,24,38.51895762798897,95,37.55951028146014
l,33,6.792879998428225,28,80.29511698699874
w,46,0.1841812114513508,95,24.716483526290954
a,85,17.107844425525343,50,38.987427092136485
e,93,14.13678656527848,50,55.41028583605861
l,89,29.411959347176044,13,88.91028481292174
c,62,85.8733792507274,28,75.54599899642629
q,25,77.29027159981848,59,71.69416239622294
i,83,76.20559776166085,20,70.47138106872431
d,2,39.269129877436406,69,92.768409522983
w,53,25.690248517206538,35,11.982346972061176
s,98,16.279680248311468,34,91.40877516910429
j,86,14.019237197565015,6,57.4533691537585
v,35,8.959044793502635,84,89.9346668638782
b,81,28.841922576778046,93,65.1239280813504
